Date,Open,High,Low,Close,Volume
31-Mar-17,9.62,9.66,9.42,9.54,20949
30-Mar-17,9.39,9.66,9.34,9.47,52089
29-Mar-17,9.54,9.67,9.36,9.47,43412
28-Mar-17,9.84,9.84,9.42,9.50,144631
27-Mar-17,9.15,9.67,8.99,9.57,90346
24-Mar-17,9.56,9.66,9.14,9.28,43630
23-Mar-17,9.74,9.74,9.55,9.58,12700
22-Mar-17,9.79,9.91,9.58,9.80,69792
21-Mar-17,10.04,10.11,9.57,9.74,63159
20-Mar-17,9.80,10.14,9.56,10.04,93238
17-Mar-17,9.71,10.31,8.82,9.83,301509
16-Mar-17,10.67,11.03,10.04,10.06,178959
15-Mar-17,10.73,11.02,10.36,10.64,120562
14-Mar-17,11.22,11.50,10.51,10.77,127091
13-Mar-17,10.93,11.35,10.76,10.92,71523
10-Mar-17,11.13,11.23,10.76,10.83,99800
9-Mar-17,10.89,11.24,10.86,11.02,141990
8-Mar-17,11.02,11.05,10.43,10.82,68169
7-Mar-17,10.53,11.40,10.52,11.03,161697
6-Mar-17,10.58,10.71,10.37,10.54,44080
3-Mar-17,10.60,11.04,10.34,10.62,78496
2-Mar-17,10.93,10.95,10.51,10.68,44460
1-Mar-17,11.06,11.25,10.63,11.00,77193
28-Feb-17,11.01,11.13,10.63,10.77,40948
27-Feb-17,10.93,11.32,10.74,11.06,97534
24-Feb-17,11.09,11.19,9.98,11.01,95664
23-Feb-17,11.40,11.40,11.05,11.20,36310
22-Feb-17,11.56,11.67,11.27,11.36,59256
21-Feb-17,11.73,11.73,11.43,11.66,38924
17-Feb-17,11.66,11.87,11.42,11.62,45358
16-Feb-17,11.76,11.99,11.52,11.73,63650
15-Feb-17,11.86,11.92,11.53,11.79,39380
14-Feb-17,11.75,11.95,11.45,11.75,65296
13-Feb-17,12.00,12.11,11.50,11.73,38099
10-Feb-17,12.19,12.25,11.45,11.83,99277
9-Feb-17,11.30,12.16,11.22,12.08,115963
8-Feb-17,11.47,11.47,10.67,11.24,107091
7-Feb-17,10.67,11.25,10.35,11.17,189717
6-Feb-17,10.25,10.91,10.21,10.52,145869
3-Feb-17,9.80,10.25,9.76,10.12,102519
2-Feb-17,9.76,9.83,9.46,9.83,33726
1-Feb-17,9.66,9.83,9.54,9.71,56768
31-Jan-17,9.57,9.72,9.29,9.56,29452
30-Jan-17,9.50,9.64,9.35,9.58,19577
27-Jan-17,9.66,9.70,9.52,9.68,14642
26-Jan-17,9.75,9.77,9.51,9.67,23264
25-Jan-17,9.60,9.85,9.56,9.69,87898
24-Jan-17,9.48,9.60,9.36,9.52,46636
23-Jan-17,9.57,9.60,9.23,9.52,56573
20-Jan-17,9.15,9.55,9.15,9.49,31932
19-Jan-17,9.11,9.39,9.11,9.34,68482
18-Jan-17,9.13,9.33,9.13,9.19,33940
17-Jan-17,9.27,9.46,8.97,9.21,43779
13-Jan-17,9.13,9.32,9.00,9.29,27699
12-Jan-17,9.39,9.39,8.90,9.20,47483
11-Jan-17,9.29,9.58,9.21,9.38,75781
10-Jan-17,9.59,9.59,9.11,9.39,89029
