Date,Open,High,Low,Close,Volume
31-Mar-17,82.55,83.64,81.65,82.42,146170
30-Mar-17,81.90,83.85,80.48,82.68,123099
29-Mar-17,81.52,82.12,81.25,81.69,73585
28-Mar-17,80.81,81.86,80.18,81.80,104576
27-Mar-17,80.08,81.92,79.19,81.25,88302
24-Mar-17,82.16,82.16,80.52,81.00,98102
23-Mar-17,81.71,83.12,81.63,82.09,143827
22-Mar-17,81.54,82.21,81.32,81.97,107965
21-Mar-17,84.50,84.50,81.81,81.83,91718
20-Mar-17,85.60,85.88,84.06,84.12,83534
17-Mar-17,84.13,86.14,83.97,85.81,406586
16-Mar-17,85.87,85.88,84.29,84.77,130617
15-Mar-17,83.54,85.89,82.80,85.46,231691
14-Mar-17,83.00,83.82,82.22,83.29,100375
13-Mar-17,84.26,84.28,83.25,83.31,196542
10-Mar-17,85.59,85.65,84.06,84.26,97645
9-Mar-17,85.25,85.60,84.41,84.88,110803
8-Mar-17,85.80,87.42,85.19,85.28,99347
7-Mar-17,85.61,86.82,85.41,86.12,83788
6-Mar-17,86.23,86.71,85.35,85.86,104975
3-Mar-17,88.04,88.16,86.59,86.70,118510
2-Mar-17,89.48,89.48,87.81,88.14,126581
1-Mar-17,88.11,89.50,87.60,89.23,182587
28-Feb-17,86.12,89.36,84.76,87.17,266388
27-Feb-17,84.23,85.42,84.23,84.82,177042
24-Feb-17,84.39,84.99,83.31,84.24,91324
23-Feb-17,84.43,84.77,82.90,84.48,108628
22-Feb-17,85.01,85.50,83.86,84.35,85047
21-Feb-17,84.38,85.62,83.39,85.40,138438
17-Feb-17,84.00,84.22,83.38,83.87,134331
16-Feb-17,85.85,85.85,83.96,84.03,132455
15-Feb-17,84.23,85.74,83.30,85.54,92847
14-Feb-17,85.25,85.25,83.18,83.69,132665
13-Feb-17,86.26,86.91,85.33,85.82,97365
10-Feb-17,85.30,86.20,84.38,86.01,69930
9-Feb-17,82.93,85.26,82.93,85.00,67049
8-Feb-17,82.59,83.28,81.61,82.88,68996
7-Feb-17,84.41,84.41,82.18,82.82,80476
6-Feb-17,84.39,84.42,83.49,84.24,53735
3-Feb-17,84.16,84.75,83.53,84.65,85530
2-Feb-17,86.51,86.96,83.31,83.50,123162
1-Feb-17,85.83,86.99,85.65,86.66,126292
31-Jan-17,85.08,85.53,84.08,85.24,165920
30-Jan-17,85.17,85.53,83.16,85.12,133829
27-Jan-17,84.52,85.60,83.92,85.41,82741
26-Jan-17,85.50,85.80,83.99,84.46,57739
25-Jan-17,84.99,85.90,84.07,85.62,85104
24-Jan-17,82.42,84.71,82.32,84.45,81603
23-Jan-17,80.49,82.61,80.49,82.32,66658
20-Jan-17,81.48,82.32,80.61,81.03,132795
19-Jan-17,82.28,82.44,81.06,81.53,94334
18-Jan-17,82.14,82.86,81.27,82.10,65296
17-Jan-17,83.07,83.07,81.99,81.99,149163
13-Jan-17,83.70,84.58,83.02,83.60,87279
12-Jan-17,83.26,83.79,82.17,83.34,79215
11-Jan-17,82.76,83.93,82.66,83.78,85599
10-Jan-17,82.72,83.42,80.68,82.69,80997
9-Jan-17,82.36,83.41,82.00,83.01,168901
6-Jan-17,84.24,84.24,82.20,83.00,107822
5-Jan-17,84.56,84.86,83.54,83.99,81734
4-Jan-17,83.49,85.20,81.38,84.78,151501
3-Jan-17,84.06,84.06,82.75,83.26,165905
30-Dec-16,83.26,84.00,82.54,83.92,111703
29-Dec-16,83.54,83.89,82.55,83.03,36995
28-Dec-16,84.21,84.31,82.63,83.21,87836
27-Dec-16,83.55,84.86,83.55,84.00,55313
23-Dec-16,80.83,83.31,80.83,83.31,69443
22-Dec-16,82.78,83.21,80.91,80.97,103842
21-Dec-16,82.06,83.33,81.79,82.96,80043
20-Dec-16,83.25,83.79,82.23,82.94,137598
19-Dec-16,83.99,84.84,82.36,82.52,195784
16-Dec-16,86.30,86.51,83.23,83.46,335554
15-Dec-16,85.95,87.96,85.34,85.99,187807
14-Dec-16,86.75,87.72,85.04,86.21,99723
13-Dec-16,87.57,87.98,85.38,86.89,104104
12-Dec-16,87.53,87.65,81.81,87.28,94608
9-Dec-16,87.14,88.76,86.62,87.56,97555
8-Dec-16,84.92,87.48,84.41,87.40,162295
7-Dec-16,83.80,84.99,82.18,84.73,151871
6-Dec-16,80.00,84.42,80.00,84.11,210353
5-Dec-16,80.99,82.26,79.84,80.26,137847
2-Dec-16,79.72,80.80,79.02,80.62,105592
1-Dec-16,79.71,81.18,78.95,79.91,123717
30-Nov-16,79.14,80.00,77.90,79.86,110539
29-Nov-16,79.71,79.96,78.34,78.42,73957
28-Nov-16,78.64,79.99,78.02,79.39,89529
25-Nov-16,78.32,78.98,78.32,78.96,44934
23-Nov-16,79.56,79.62,77.95,78.04,129103
22-Nov-16,78.83,80.25,78.06,80.03,131396
21-Nov-16,78.43,78.94,77.85,78.48,171303
18-Nov-16,77.51,79.18,75.83,78.40,123703
17-Nov-16,78.28,79.46,77.01,77.23,125474
16-Nov-16,77.55,78.86,76.89,78.20,167423
15-Nov-16,78.69,78.94,77.16,78.26,108873
14-Nov-16,78.40,79.13,76.75,79.01,143514
11-Nov-16,74.96,78.07,74.40,77.91,168186
10-Nov-16,73.21,76.07,72.15,74.85,185712
9-Nov-16,68.38,72.44,68.29,72.34,210957
8-Nov-16,68.72,68.80,67.71,68.53,142385
7-Nov-16,70.47,70.52,68.28,68.58,182513
4-Nov-16,71.23,75.28,67.85,70.42,303628
3-Nov-16,74.07,74.15,70.90,71.78,198935
2-Nov-16,73.94,75.20,73.12,73.90,122446
1-Nov-16,76.05,76.05,73.85,74.20,140182
31-Oct-16,75.57,76.50,74.19,75.90,138340
28-Oct-16,74.81,75.94,74.81,75.57,72655
27-Oct-16,75.17,75.22,74.05,74.68,55394
26-Oct-16,75.42,75.95,74.26,75.02,136249
25-Oct-16,76.46,77.01,75.59,75.81,54844
24-Oct-16,76.30,77.99,75.53,76.50,47369
21-Oct-16,74.99,75.99,74.05,75.95,56461
20-Oct-16,75.44,76.14,75.09,75.54,67779
19-Oct-16,76.03,76.36,75.38,75.58,87208
18-Oct-16,77.00,77.17,75.89,75.96,93404
17-Oct-16,75.77,76.41,75.28,76.28,68441
14-Oct-16,76.88,76.88,75.58,75.81,76457
13-Oct-16,76.21,77.12,75.79,76.30,97643
12-Oct-16,77.41,77.90,76.36,76.79,168703
11-Oct-16,78.83,79.13,77.13,77.68,136332
10-Oct-16,78.26,79.88,78.26,79.16,126942
7-Oct-16,79.44,79.44,78.12,78.22,154774
6-Oct-16,78.37,79.49,77.98,79.46,111522
5-Oct-16,78.85,79.16,78.22,78.70,214900
4-Oct-16,78.23,78.77,77.77,78.36,127966
3-Oct-16,77.64,78.42,76.67,78.38,135698
30-Sep-16,77.25,78.24,75.59,77.53,235624
29-Sep-16,76.46,77.12,75.49,76.63,171826
28-Sep-16,70.85,77.96,70.06,76.70,735500
27-Sep-16,69.30,72.46,68.30,71.04,207490
26-Sep-16,70.00,70.93,68.90,69.09,104452
23-Sep-16,69.52,70.92,69.30,70.45,90728
22-Sep-16,69.00,70.15,68.98,70.08,112644
21-Sep-16,68.01,68.81,67.57,68.74,82637
20-Sep-16,66.98,68.38,66.66,67.70,85754
19-Sep-16,66.52,67.07,66.20,66.66,66393
16-Sep-16,67.10,67.15,65.37,66.52,159040
15-Sep-16,66.29,66.90,65.97,66.84,56426
14-Sep-16,66.36,66.69,66.04,66.25,37880
