Date,Open,High,Low,Close,Volume
31-Mar-17,1.57,1.57,1.56,1.56,925
30-Mar-17,-,-,-,1.51,0
29-Mar-17,1.51,1.51,1.51,1.51,205
28-Mar-17,1.51,1.54,1.49,1.52,19025
27-Mar-17,1.50,1.55,1.50,1.55,1675
24-Mar-17,1.52,1.52,1.52,1.52,100
23-Mar-17,1.54,1.54,1.50,1.53,3262
22-Mar-17,-,-,-,1.60,0
21-Mar-17,-,-,-,1.60,0
20-Mar-17,1.60,1.60,1.60,1.60,923
17-Mar-17,1.54,1.59,1.54,1.59,10230
16-Mar-17,1.53,1.54,1.48,1.54,40121
15-Mar-17,1.50,1.53,1.47,1.53,53097
14-Mar-17,1.40,1.51,1.40,1.51,502
13-Mar-17,1.56,1.56,1.44,1.46,7394
10-Mar-17,1.55,1.56,1.48,1.50,13910
9-Mar-17,1.55,1.55,1.55,1.55,170
8-Mar-17,1.60,1.60,1.49,1.59,10966
7-Mar-17,1.63,1.64,1.55,1.60,6140
6-Mar-17,1.75,1.75,1.70,1.70,742
3-Mar-17,1.78,1.78,1.75,1.75,3600
2-Mar-17,1.75,1.75,1.72,1.73,5099
1-Mar-17,1.73,1.73,1.73,1.73,1631
28-Feb-17,1.74,1.74,1.74,1.74,767
27-Feb-17,-,-,-,1.75,0
24-Feb-17,1.75,1.75,1.75,1.75,100
23-Feb-17,1.79,1.81,1.79,1.81,700
22-Feb-17,1.75,1.75,1.75,1.75,226
21-Feb-17,1.76,1.79,1.76,1.77,1251
17-Feb-17,1.78,1.78,1.78,1.78,100
16-Feb-17,1.76,1.80,1.76,1.78,4805
15-Feb-17,1.77,1.77,1.71,1.72,1611
14-Feb-17,1.81,1.82,1.77,1.79,11172
13-Feb-17,1.80,1.81,1.80,1.81,6000
10-Feb-17,1.81,1.83,1.81,1.82,5004
9-Feb-17,1.80,1.80,1.80,1.80,160
8-Feb-17,1.76,1.86,1.76,1.86,1162
7-Feb-17,1.76,1.76,1.74,1.74,920
6-Feb-17,1.79,1.82,1.75,1.76,10804
3-Feb-17,-,-,-,1.75,0
2-Feb-17,-,-,-,1.75,0
1-Feb-17,1.88,1.88,1.70,1.75,2917
31-Jan-17,-,-,-,1.84,0
30-Jan-17,-,-,-,1.84,0
27-Jan-17,1.84,1.84,1.84,1.84,1000
26-Jan-17,1.89,1.89,1.84,1.84,3089
25-Jan-17,1.87,1.88,1.84,1.87,4115
24-Jan-17,1.89,1.90,1.84,1.85,41978
23-Jan-17,1.85,1.86,1.79,1.79,12684
20-Jan-17,1.82,1.85,1.79,1.85,1100
19-Jan-17,1.79,1.84,1.79,1.84,520
18-Jan-17,1.91,1.91,1.85,1.85,200
17-Jan-17,1.79,1.95,1.79,1.92,11404
13-Jan-17,1.94,1.97,1.94,1.96,4298
12-Jan-17,1.96,2.02,1.95,1.95,3114
