Date,Open,High,Low,Close,Volume
31-Mar-17,12.54,12.80,12.24,12.69,1911582
30-Mar-17,12.43,12.72,12.38,12.63,2540083
29-Mar-17,12.38,12.64,12.20,12.40,1324141
28-Mar-17,12.17,12.53,11.96,12.40,1815081
27-Mar-17,11.48,12.21,11.26,12.18,3106864
24-Mar-17,12.08,12.17,11.74,11.80,1617446
23-Mar-17,12.16,12.29,11.85,12.00,1325508
22-Mar-17,11.92,12.33,11.87,12.22,1615829
21-Mar-17,12.52,12.67,11.90,11.95,2612143
20-Mar-17,12.05,12.47,11.91,12.41,2563661
17-Mar-17,12.64,12.70,12.00,12.11,3394449
16-Mar-17,13.05,13.43,12.56,12.66,1922190
15-Mar-17,12.36,12.87,12.07,12.83,2538368
14-Mar-17,12.23,12.34,11.70,12.13,3704807
13-Mar-17,12.56,12.79,12.39,12.43,2326049
10-Mar-17,12.80,13.07,12.20,12.36,3195163
9-Mar-17,12.99,13.17,12.27,12.42,3501177
8-Mar-17,13.33,13.51,13.06,13.11,1807490
7-Mar-17,13.87,14.20,13.35,13.36,1680652
6-Mar-17,14.25,14.43,13.77,13.87,2253609
3-Mar-17,14.72,14.79,13.90,14.35,3435598
2-Mar-17,15.29,15.34,14.30,14.32,2895687
1-Mar-17,14.50,15.61,14.50,15.39,3211253
28-Feb-17,13.45,14.13,13.37,14.08,3589957
27-Feb-17,13.42,14.08,13.42,14.01,3789204
24-Feb-17,13.04,14.85,12.77,13.49,4597475
23-Feb-17,14.56,14.85,13.54,13.58,2768508
22-Feb-17,15.01,15.22,14.33,14.48,2277988
21-Feb-17,15.28,15.54,15.18,15.25,1654874
17-Feb-17,15.45,15.52,14.94,15.25,2294234
16-Feb-17,15.70,15.70,15.30,15.57,1890555
15-Feb-17,15.85,15.87,15.57,15.77,1536407
14-Feb-17,15.85,16.22,15.58,15.96,2079051
13-Feb-17,16.10,16.45,15.71,15.93,2377457
10-Feb-17,15.92,15.94,15.42,15.80,1955493
9-Feb-17,15.55,15.73,15.27,15.61,2159157
8-Feb-17,16.01,16.09,15.10,15.50,2470616
7-Feb-17,15.47,16.53,15.43,16.06,3326301
6-Feb-17,15.31,15.56,15.16,15.44,1917754
3-Feb-17,15.50,15.83,15.16,15.40,3511806
2-Feb-17,15.53,15.74,15.07,15.47,1928939
1-Feb-17,15.42,15.82,15.06,15.45,2644953
31-Jan-17,15.05,15.47,14.91,15.40,2593240
30-Jan-17,15.19,15.25,14.63,14.98,2908175
27-Jan-17,15.07,15.46,14.84,15.11,2781882
26-Jan-17,15.52,15.85,14.81,15.09,3527908
25-Jan-17,15.57,15.70,14.29,15.56,6954415
24-Jan-17,14.58,16.24,14.55,15.72,9403510
23-Jan-17,13.65,14.43,13.40,14.30,5824210
20-Jan-17,13.25,13.84,13.07,13.75,5180252
19-Jan-17,12.07,13.35,12.00,13.27,6799852
18-Jan-17,11.51,12.22,11.33,12.16,3285736
17-Jan-17,11.42,11.86,11.30,11.51,3234736
13-Jan-17,10.40,11.61,10.10,11.52,4822368
12-Jan-17,9.52,10.39,9.52,10.36,5379096
11-Jan-17,8.97,9.10,8.72,8.98,2557332
10-Jan-17,8.67,9.19,8.56,9.01,3532985
9-Jan-17,8.90,8.98,8.46,8.53,1945147
6-Jan-17,9.24,9.39,8.97,8.98,1084742
5-Jan-17,9.08,9.45,8.95,9.28,1873577
4-Jan-17,8.58,9.12,8.50,9.11,2008258
3-Jan-17,8.73,8.80,8.39,8.56,1302702
30-Dec-16,8.97,9.06,8.55,8.56,1003108
29-Dec-16,9.37,9.37,8.84,8.91,967858
28-Dec-16,9.39,9.60,9.12,9.31,1659340
27-Dec-16,9.29,9.44,9.15,9.32,1066245
23-Dec-16,9.26,9.34,9.15,9.20,652599
22-Dec-16,9.54,9.77,9.19,9.29,1791464
21-Dec-16,9.42,9.70,9.31,9.62,1693377
20-Dec-16,8.57,9.60,8.51,9.50,3218548
19-Dec-16,8.63,8.76,8.42,8.49,1524477
16-Dec-16,8.88,9.08,8.45,8.66,8676870
15-Dec-16,9.05,9.18,8.72,8.86,1732779
14-Dec-16,9.28,9.53,9.13,9.15,1096918
13-Dec-16,9.55,9.75,9.09,9.33,2108319
12-Dec-16,9.87,10.36,9.47,9.53,1812034
9-Dec-16,9.55,9.85,9.41,9.77,1566321
8-Dec-16,9.87,10.05,9.34,9.52,2111495
