Date,Open,High,Low,Close,Volume
31-Mar-17,2.25,2.25,2.16,2.17,15678
30-Mar-17,2.22,2.25,2.16,2.23,32936
29-Mar-17,2.20,2.25,2.16,2.23,15498
28-Mar-17,2.12,2.23,2.10,2.17,39828
27-Mar-17,2.15,2.15,2.10,2.12,8041
24-Mar-17,2.08,2.17,2.08,2.13,21666
23-Mar-17,2.07,2.18,2.06,2.08,15694
22-Mar-17,2.10,2.30,2.02,2.11,55572
21-Mar-17,2.00,2.08,2.00,2.08,11403
20-Mar-17,1.95,2.02,1.95,1.99,2851
17-Mar-17,1.98,2.00,1.98,1.98,3690
16-Mar-17,1.98,2.00,1.97,1.99,2765
15-Mar-17,2.00,2.00,1.90,1.95,17968
14-Mar-17,2.00,2.04,1.99,1.99,18558
13-Mar-17,2.01,2.06,1.99,1.99,22413
10-Mar-17,2.12,2.12,2.03,2.03,13451
9-Mar-17,2.13,2.13,2.03,2.03,14642
8-Mar-17,2.08,2.14,2.06,2.14,8492
7-Mar-17,2.15,2.19,2.08,2.09,35355
6-Mar-17,2.11,2.14,2.07,2.14,13627
3-Mar-17,2.09,2.20,2.08,2.14,18106
2-Mar-17,2.12,2.32,2.08,2.08,25490
1-Mar-17,2.15,2.19,2.05,2.17,59919
28-Feb-17,2.17,2.18,2.15,2.18,11614
27-Feb-17,2.11,2.20,2.10,2.20,5336
24-Feb-17,2.23,2.25,2.11,2.15,10835
23-Feb-17,2.25,2.46,2.20,2.21,80830
22-Feb-17,2.22,2.26,2.15,2.26,32974
21-Feb-17,2.12,2.20,2.12,2.18,16665
17-Feb-17,2.27,2.27,2.11,2.12,28065
16-Feb-17,2.31,2.34,2.20,2.21,50494
15-Feb-17,2.43,2.50,2.31,2.39,38207
14-Feb-17,2.20,2.65,2.16,2.53,206156
13-Feb-17,2.09,2.18,2.06,2.18,31066
10-Feb-17,2.10,2.10,2.03,2.09,11851
9-Feb-17,2.06,2.08,2.01,2.08,11254
8-Feb-17,2.09,2.09,2.06,2.08,15970
7-Feb-17,2.12,2.13,2.08,2.09,9212
6-Feb-17,2.18,2.21,2.09,2.15,19958
3-Feb-17,2.30,2.30,2.15,2.17,40081
2-Feb-17,2.30,2.37,2.27,2.37,14441
1-Feb-17,2.31,2.39,2.30,2.34,21625
31-Jan-17,2.29,2.38,2.19,2.27,31670
30-Jan-17,2.36,2.39,2.12,2.29,60567
27-Jan-17,2.29,2.35,2.29,2.30,8605
26-Jan-17,2.33,2.39,2.29,2.34,10231
25-Jan-17,2.30,2.34,2.15,2.28,68462
24-Jan-17,2.54,2.54,2.30,2.31,62299
23-Jan-17,2.45,2.58,2.43,2.55,21483
20-Jan-17,2.56,2.61,2.50,2.55,14489
19-Jan-17,2.55,2.65,2.51,2.55,32323
18-Jan-17,2.60,2.69,2.52,2.55,49297
17-Jan-17,2.65,2.70,2.46,2.68,85682
13-Jan-17,2.69,2.77,2.55,2.64,21426
12-Jan-17,3.04,3.05,2.60,2.65,159784
11-Jan-17,2.57,3.14,2.45,3.05,369714
10-Jan-17,2.53,2.65,2.53,2.56,14453
9-Jan-17,2.55,2.61,2.51,2.60,8599
6-Jan-17,2.63,2.65,2.55,2.58,20462
5-Jan-17,2.50,2.61,2.40,2.56,64199
4-Jan-17,2.45,2.65,2.42,2.54,73938
3-Jan-17,2.59,2.60,2.28,2.48,185409
30-Dec-16,2.52,2.72,2.32,2.48,168137
29-Dec-16,2.66,2.66,2.47,2.51,21228
28-Dec-16,2.47,2.82,2.45,2.64,156375
27-Dec-16,2.56,2.70,2.39,2.47,173254
23-Dec-16,2.43,2.95,2.37,2.60,355248
22-Dec-16,2.16,3.08,2.15,2.58,1114471
21-Dec-16,2.10,2.18,2.07,2.18,139226
20-Dec-16,2.08,2.11,2.08,2.11,2654
19-Dec-16,2.19,2.19,2.07,2.08,2960
16-Dec-16,2.14,2.19,2.06,2.11,22857
15-Dec-16,2.06,2.22,2.06,2.11,33735
14-Dec-16,2.25,2.27,2.06,2.06,11274
13-Dec-16,2.33,2.33,2.20,2.23,11467
12-Dec-16,2.37,2.37,2.28,2.31,13043
9-Dec-16,2.32,2.47,2.27,2.35,30309
8-Dec-16,2.29,2.29,2.18,2.18,14352
7-Dec-16,2.44,2.44,2.26,2.30,22265
6-Dec-16,2.50,2.50,2.39,2.41,28462
5-Dec-16,2.59,2.62,2.42,2.59,12558
2-Dec-16,2.58,2.64,2.57,2.58,8474
1-Dec-16,2.63,2.70,2.40,2.70,60674
30-Nov-16,2.67,2.79,2.53,2.67,35679
29-Nov-16,2.92,2.92,2.69,2.73,40909
28-Nov-16,2.96,3.08,2.68,2.87,122365
25-Nov-16,2.82,3.11,2.65,3.01,58782
23-Nov-16,2.87,2.92,2.30,2.87,168208
22-Nov-16,3.30,3.45,2.57,2.91,629699
21-Nov-16,2.45,4.25,2.40,3.60,2817406
18-Nov-16,2.45,2.70,2.09,2.35,83512
17-Nov-16,5.00,5.05,2.38,2.45,826338
16-Nov-16,1.73,5.73,1.73,4.82,2052461
15-Nov-16,1.85,1.85,1.61,1.70,34107
14-Nov-16,1.66,1.77,1.66,1.77,2006
11-Nov-16,1.67,1.85,1.60,1.62,9558
10-Nov-16,1.79,1.87,1.67,1.67,47850
9-Nov-16,1.88,1.96,1.78,1.88,146691
8-Nov-16,1.72,1.98,1.51,1.98,63706
7-Nov-16,1.56,1.74,1.56,1.74,960
4-Nov-16,1.67,1.75,1.45,1.50,40744
3-Nov-16,1.70,1.70,1.67,1.67,1854
2-Nov-16,1.74,1.74,1.71,1.71,1381
1-Nov-16,1.70,1.70,1.70,1.70,110
31-Oct-16,1.74,1.75,1.74,1.74,7019
28-Oct-16,1.70,1.73,1.70,1.72,2220
27-Oct-16,1.70,1.70,1.70,1.70,1444
26-Oct-16,1.68,1.72,1.43,1.71,21986
25-Oct-16,1.68,1.68,1.68,1.68,100
24-Oct-16,1.60,1.60,1.60,1.60,101
21-Oct-16,1.60,1.68,1.60,1.64,11863
20-Oct-16,1.61,1.61,1.61,1.61,143
19-Oct-16,1.70,1.77,1.70,1.77,1554
18-Oct-16,1.68,1.73,1.61,1.70,1822
17-Oct-16,1.67,1.67,1.60,1.60,1760
14-Oct-16,1.57,1.69,1.57,1.69,961
13-Oct-16,1.60,1.63,1.60,1.60,2668
7-Oct-16,1.72,1.72,1.60,1.66,2144
