Date,Open,High,Low,Close,Volume
31-Mar-17,86.27,87.98,85.90,87.28,541604
30-Mar-17,87.02,87.58,86.31,86.41,443231
29-Mar-17,87.75,88.14,87.34,87.68,588672
28-Mar-17,89.93,90.06,88.36,89.07,746046
27-Mar-17,91.26,91.37,89.78,90.15,497501
24-Mar-17,89.08,89.75,88.91,89.07,415226
23-Mar-17,90.37,90.93,88.41,89.23,734043
22-Mar-17,90.75,91.25,90.37,90.83,673656
21-Mar-17,89.71,90.88,89.58,89.99,672342
20-Mar-17,88.17,89.61,87.81,89.41,805533
17-Mar-17,87.55,88.09,86.84,87.41,1171176
16-Mar-17,89.85,90.44,87.55,87.87,1065018
15-Mar-17,84.82,88.63,84.16,88.27,1112215
14-Mar-17,85.37,85.97,83.82,84.19,684506
13-Mar-17,85.22,85.48,84.53,85.29,746028
10-Mar-17,83.81,85.60,83.18,85.10,1043493
9-Mar-17,84.46,85.23,83.83,84.26,1148482
8-Mar-17,85.06,86.36,84.72,85.55,1104211
7-Mar-17,87.87,87.89,86.76,87.26,993034
6-Mar-17,89.83,90.04,88.19,88.97,911111
3-Mar-17,89.72,91.57,89.10,90.86,917793
2-Mar-17,90.76,91.10,89.12,89.40,975972
1-Mar-17,91.18,92.78,90.92,92.13,988966
28-Feb-17,93.23,94.15,91.03,91.71,1071159
27-Feb-17,93.99,95.59,90.12,90.58,1156409
24-Feb-17,95.55,96.13,94.38,94.77,887889
23-Feb-17,94.71,95.53,94.59,94.69,800361
22-Feb-17,91.91,93.40,91.91,93.32,1242019
21-Feb-17,90.00,91.64,89.45,91.27,653486
17-Feb-17,92.85,93.04,91.10,91.17,782402
16-Feb-17,92.20,92.48,91.35,91.70,838133
15-Feb-17,91.51,92.55,90.82,92.42,648886
14-Feb-17,93.98,93.98,91.84,93.00,756730
13-Feb-17,92.68,93.39,92.19,92.81,504736
10-Feb-17,91.69,93.61,91.36,93.44,702141
9-Feb-17,94.69,95.09,92.75,92.88,990741
8-Feb-17,93.07,95.05,93.06,94.94,1111855
7-Feb-17,90.67,93.21,90.62,92.95,1363227
6-Feb-17,89.20,91.04,87.72,90.97,1793817
3-Feb-17,85.24,86.50,85.00,85.78,693703
2-Feb-17,86.13,86.31,85.05,85.73,732573
1-Feb-17,84.06,85.19,83.38,84.87,931633
31-Jan-17,84.82,85.55,84.31,84.94,866765
30-Jan-17,82.55,83.24,82.02,82.16,560090
27-Jan-17,81.53,82.46,81.35,82.26,615883
26-Jan-17,81.55,82.04,80.34,81.30,923992
25-Jan-17,83.66,84.42,83.01,83.58,913247
24-Jan-17,85.00,86.39,84.34,84.99,983684
23-Jan-17,84.40,85.95,83.62,85.85,1136081
20-Jan-17,82.66,83.76,82.15,82.89,744205
19-Jan-17,82.01,82.72,81.62,82.14,647954
18-Jan-17,82.78,83.60,81.50,82.39,919796
17-Jan-17,83.89,84.08,82.83,83.44,1199020
13-Jan-17,81.44,82.32,80.46,81.90,808299
12-Jan-17,83.59,83.80,80.78,81.78,1544528
11-Jan-17,80.59,81.40,78.37,80.37,1358085
10-Jan-17,81.11,82.03,80.96,81.61,1006413
9-Jan-17,80.29,81.75,79.96,80.82,1335605
6-Jan-17,80.83,81.70,79.56,80.90,1372851
5-Jan-17,80.50,83.50,80.41,82.71,1474630
4-Jan-17,78.94,79.42,77.94,79.29,904615
3-Jan-17,77.66,79.14,77.16,79.01,1461789
30-Dec-16,79.38,80.60,76.24,76.34,1044599
29-Dec-16,76.45,79.12,76.35,79.08,1527910
28-Dec-16,73.87,75.65,73.51,75.56,1093345
27-Dec-16,72.50,73.16,71.94,72.86,468622
23-Dec-16,71.62,72.33,71.42,71.84,326835
22-Dec-16,70.67,71.80,70.43,71.10,690565
21-Dec-16,70.47,70.71,69.65,70.29,958787
20-Dec-16,69.21,70.93,68.96,70.63,912964
19-Dec-16,69.90,71.27,69.18,70.45,1029190
16-Dec-16,68.96,70.40,68.36,68.74,1406505
15-Dec-16,68.76,69.39,67.54,68.80,2101490
14-Dec-16,74.61,75.87,71.06,71.12,1365498
13-Dec-16,72.84,74.07,72.51,73.91,685744
12-Dec-16,73.49,74.20,72.60,72.85,843108
9-Dec-16,75.01,75.38,72.59,73.12,794595
8-Dec-16,74.38,74.84,73.66,74.65,503314
7-Dec-16,74.06,75.54,74.05,74.61,900742
6-Dec-16,72.52,73.69,72.49,73.07,792262
5-Dec-16,71.76,73.35,71.01,72.84,1238524
2-Dec-16,72.40,74.21,72.22,73.76,809860
1-Dec-16,70.48,74.19,70.44,72.39,1398273
30-Nov-16,72.18,72.38,71.15,71.88,1032694
29-Nov-16,72.25,73.90,72.13,73.61,800181
28-Nov-16,72.25,74.54,71.79,74.29,1210045
25-Nov-16,71.23,71.59,70.78,71.09,625593
23-Nov-16,71.39,71.43,69.60,70.92,1654927
22-Nov-16,73.66,74.03,71.96,73.44,1583826
21-Nov-16,73.87,75.20,73.80,74.59,1055363
18-Nov-16,71.86,72.45,70.58,72.19,1607925
17-Nov-16,74.16,75.89,72.53,73.69,1385183
16-Nov-16,73.97,74.22,72.74,74.12,1290437
15-Nov-16,73.29,75.11,72.80,74.71,1675657
14-Nov-16,72.17,74.86,71.37,73.27,2098255
11-Nov-16,76.44,77.02,73.42,73.67,1605175
10-Nov-16,83.11,83.22,77.00,77.53,3034791
9-Nov-16,90.26,90.90,85.01,86.22,1705689
8-Nov-16,83.96,85.25,83.03,83.71,964247
7-Nov-16,83.66,84.56,82.56,83.91,1467506
4-Nov-16,86.29,87.30,84.71,85.89,1552720
3-Nov-16,88.05,89.18,86.88,88.00,1286384
2-Nov-16,92.28,93.87,89.33,90.03,1506839
1-Nov-16,90.34,90.91,89.65,89.86,922996
