Date,Open,High,Low,Close,Volume
31-Mar-17,1.75,1.79,1.67,1.78,103830
30-Mar-17,1.80,1.80,1.75,1.76,156013
29-Mar-17,1.83,1.85,1.75,1.79,123682
28-Mar-17,1.79,1.85,1.79,1.81,131508
27-Mar-17,1.80,1.84,1.76,1.78,50099
24-Mar-17,1.85,1.87,1.77,1.82,187931
23-Mar-17,1.82,1.86,1.80,1.83,106608
22-Mar-17,1.90,1.93,1.78,1.81,183126
21-Mar-17,1.95,1.95,1.90,1.91,91187
20-Mar-17,1.98,2.04,1.94,1.95,224964
17-Mar-17,2.00,2.02,1.98,2.02,82499
16-Mar-17,2.00,2.01,1.99,1.99,21339
15-Mar-17,1.97,2.00,1.97,1.99,87450
14-Mar-17,2.00,2.00,1.95,1.97,62496
13-Mar-17,1.96,2.05,1.96,2.00,32329
10-Mar-17,2.00,2.03,1.98,1.99,76017
9-Mar-17,1.97,2.04,1.95,1.99,285659
8-Mar-17,1.95,1.98,1.94,1.95,28659
7-Mar-17,1.93,1.98,1.93,1.94,62238
6-Mar-17,1.99,1.99,1.93,1.93,101791
3-Mar-17,1.93,1.98,1.92,1.94,63511
2-Mar-17,1.98,2.01,1.91,1.91,190337
1-Mar-17,1.95,2.00,1.95,1.98,25332
28-Feb-17,1.98,2.00,1.95,1.98,41069
27-Feb-17,1.95,2.00,1.95,1.98,48638
24-Feb-17,2.05,2.05,1.96,1.97,197688
23-Feb-17,2.04,2.08,2.00,2.04,143951
22-Feb-17,2.04,2.08,2.02,2.04,35671
21-Feb-17,2.00,2.08,2.00,2.02,67430
17-Feb-17,2.00,2.00,1.96,1.98,59545
16-Feb-17,2.01,2.04,2.00,2.01,27013
15-Feb-17,2.04,2.04,2.01,2.01,15444
14-Feb-17,2.02,2.08,2.00,2.03,53413
13-Feb-17,2.00,2.11,2.00,2.03,154450
10-Feb-17,2.05,2.06,2.03,2.04,37192
9-Feb-17,1.95,2.05,1.95,2.04,70877
8-Feb-17,2.00,2.00,1.96,1.98,52041
7-Feb-17,2.07,2.07,1.95,1.99,119831
6-Feb-17,2.09,2.10,2.06,2.06,29379
