Date,Open,High,Low,Close,Volume
31-Mar-17,37.65,39.03,37.25,38.12,139674
30-Mar-17,37.05,38.08,36.66,37.41,66454
29-Mar-17,36.77,37.47,36.37,36.95,62255
28-Mar-17,35.79,37.36,34.66,36.97,83867
27-Mar-17,35.22,36.28,34.94,36.02,44005
24-Mar-17,35.96,36.68,35.75,36.01,93976
23-Mar-17,34.77,35.81,34.70,35.78,61229
22-Mar-17,34.79,35.30,33.82,34.54,68275
21-Mar-17,37.61,37.98,34.61,34.78,95678
20-Mar-17,38.77,38.77,37.55,38.08,30371
17-Mar-17,37.88,39.30,37.88,38.63,213553
16-Mar-17,38.66,38.99,37.93,38.00,44169
15-Mar-17,37.63,38.67,37.15,38.47,47712
14-Mar-17,36.35,37.35,36.35,37.16,33261
13-Mar-17,36.70,37.91,36.70,37.08,34849
10-Mar-17,36.64,36.85,36.15,36.63,58983
9-Mar-17,37.67,37.67,35.98,36.16,57419
8-Mar-17,38.09,38.09,37.56,37.69,36174
7-Mar-17,38.06,38.46,37.76,37.91,55200
6-Mar-17,38.64,39.72,37.98,38.11,34846
3-Mar-17,39.03,39.60,38.38,39.16,39950
2-Mar-17,39.75,40.98,38.72,38.83,58147
1-Mar-17,39.67,41.30,39.57,40.72,87406
28-Feb-17,39.94,40.78,38.62,39.06,55506
27-Feb-17,39.40,40.81,39.40,39.98,47093
24-Feb-17,38.96,39.72,38.48,39.64,52783
23-Feb-17,41.11,41.11,38.47,39.33,52188
22-Feb-17,42.12,42.12,40.45,41.03,48047
21-Feb-17,42.00,42.96,41.46,42.12,35781
17-Feb-17,41.60,42.03,41.60,41.83,43142
16-Feb-17,41.57,41.90,41.19,41.67,41378
15-Feb-17,41.40,42.05,41.02,41.66,54552
14-Feb-17,43.19,43.19,41.23,41.76,80661
13-Feb-17,42.51,43.95,42.51,43.29,53194
10-Feb-17,42.08,42.42,41.70,42.11,55735
9-Feb-17,40.65,42.12,40.65,41.69,77437
8-Feb-17,41.00,41.55,39.90,40.60,70948
7-Feb-17,41.25,41.93,41.01,41.18,59638
6-Feb-17,41.01,41.80,40.50,41.17,74699
3-Feb-17,40.25,41.67,39.15,41.33,122910
2-Feb-17,40.86,42.25,40.55,41.97,68749
1-Feb-17,41.26,42.42,40.35,40.87,49413
31-Jan-17,41.35,41.35,40.42,41.11,73653
30-Jan-17,41.90,41.90,40.35,41.14,44846
27-Jan-17,42.33,42.57,41.64,42.15,30785
26-Jan-17,42.21,42.90,41.25,42.07,125194
25-Jan-17,42.68,42.68,41.70,42.50,86731
24-Jan-17,40.57,42.99,40.57,42.46,131751
23-Jan-17,40.00,40.64,40.00,40.49,90093
20-Jan-17,40.78,40.78,39.97,40.10,117829
19-Jan-17,41.70,41.70,40.32,40.54,74517
18-Jan-17,42.42,42.42,41.27,41.72,100072
17-Jan-17,42.16,42.41,41.59,42.27,46048
13-Jan-17,42.71,43.00,41.82,42.17,32944
12-Jan-17,44.10,44.10,41.84,42.46,40102
11-Jan-17,43.50,44.20,42.60,43.89,52007
10-Jan-17,42.13,43.88,42.13,43.50,68642
9-Jan-17,42.95,43.35,41.67,41.80,46170
6-Jan-17,44.02,44.02,42.56,42.65,52021
5-Jan-17,44.80,44.89,43.18,43.57,43409
4-Jan-17,43.80,45.15,43.38,44.90,104690
3-Jan-17,43.68,44.08,42.63,43.42,65740
30-Dec-16,44.25,44.25,42.85,42.99,36014
29-Dec-16,44.16,44.38,43.27,43.88,29834
28-Dec-16,45.46,45.95,43.99,44.15,34412
27-Dec-16,45.10,45.88,44.56,45.18,31247
23-Dec-16,44.72,44.88,44.12,44.66,26679
22-Dec-16,45.25,45.94,44.09,44.46,76466
21-Dec-16,45.82,46.16,44.77,45.34,58490
20-Dec-16,43.88,45.73,43.88,45.67,59463
19-Dec-16,44.33,45.98,43.30,43.95,68062
16-Dec-16,45.28,45.93,44.18,44.51,383767
15-Dec-16,44.00,45.84,43.40,45.41,82813
14-Dec-16,44.80,45.51,43.97,44.10,75411
13-Dec-16,45.71,46.38,44.40,44.75,61971
12-Dec-16,46.84,47.90,45.20,45.49,82322
9-Dec-16,47.59,47.59,45.88,46.79,87480
8-Dec-16,47.03,47.50,46.13,47.26,85599
7-Dec-16,46.45,48.37,46.16,46.89,136130
6-Dec-16,45.31,46.21,43.94,45.81,77556
5-Dec-16,44.79,45.93,44.68,45.47,100514
2-Dec-16,43.27,45.08,43.12,44.75,97480
1-Dec-16,43.74,44.88,42.57,43.27,87633
30-Nov-16,44.32,44.61,42.04,43.57,65382
29-Nov-16,43.25,44.46,42.04,43.57,66996
28-Nov-16,44.15,45.92,43.46,43.93,66711
25-Nov-16,45.50,45.50,41.15,44.24,33909
23-Nov-16,43.82,45.71,41.16,45.48,74137
22-Nov-16,41.63,44.77,40.67,44.54,129640
21-Nov-16,40.97,41.56,37.51,40.86,70162
18-Nov-16,35.77,41.20,35.77,40.43,174333
17-Nov-16,37.77,39.20,36.72,36.88,102999
16-Nov-16,40.02,40.95,37.53,37.84,159560
15-Nov-16,42.21,43.22,38.56,43.13,107687
14-Nov-16,42.43,43.01,41.24,42.65,111486
11-Nov-16,39.67,41.85,39.06,41.69,117912
10-Nov-16,37.64,39.92,37.05,39.64,80766
9-Nov-16,33.42,36.97,33.00,36.86,58182
8-Nov-16,33.00,33.70,32.85,33.12,57929
7-Nov-16,33.21,33.77,32.54,33.00,74335
4-Nov-16,31.88,33.03,31.78,32.51,124119
3-Nov-16,31.05,32.01,31.02,31.93,36838
2-Nov-16,31.38,32.01,31.04,31.14,71469
1-Nov-16,32.20,32.74,31.16,31.20,67174
31-Oct-16,32.05,32.40,31.54,32.17,94282
28-Oct-16,32.57,32.92,31.92,31.94,72854
27-Oct-16,32.94,32.94,32.00,32.71,208940
26-Oct-16,33.42,33.43,32.69,32.75,43776
25-Oct-16,35.01,35.08,32.60,33.46,49205
24-Oct-16,36.09,36.09,34.93,35.04,72047
21-Oct-16,35.73,36.29,34.62,35.57,33646
20-Oct-16,36.09,36.58,35.02,36.30,32440
19-Oct-16,35.58,36.60,35.30,36.41,36835
18-Oct-16,35.92,35.92,35.00,35.40,70917
17-Oct-16,34.63,35.92,34.63,35.24,49007
14-Oct-16,34.63,35.31,34.18,34.37,36329
13-Oct-16,35.19,35.19,34.10,34.27,39659
12-Oct-16,35.49,36.35,35.03,35.78,39338
11-Oct-16,36.04,36.12,34.81,35.35,78850
10-Oct-16,36.67,36.81,36.09,36.12,66528
7-Oct-16,37.26,37.29,36.02,36.16,61165
6-Oct-16,36.37,37.14,36.37,36.93,45684
5-Oct-16,36.58,36.87,35.82,36.63,64418
4-Oct-16,37.20,37.30,35.87,35.94,56947
3-Oct-16,36.78,37.82,36.48,37.40,67518
30-Sep-16,37.12,37.46,36.19,37.11,74323
29-Sep-16,37.90,38.30,36.90,36.94,48692
28-Sep-16,36.56,38.31,36.56,37.99,62133
27-Sep-16,36.39,36.78,35.72,36.68,49095
26-Sep-16,37.11,37.51,36.55,36.59,47601
23-Sep-16,37.21,37.82,37.20,37.35,66289
22-Sep-16,36.89,38.00,36.89,37.64,72061
21-Sep-16,35.75,36.69,35.11,36.62,99121
20-Sep-16,35.56,35.85,35.16,35.53,108632
19-Sep-16,34.25,35.59,34.25,35.48,86997
16-Sep-16,34.31,35.45,33.54,33.95,650224
15-Sep-16,34.14,34.56,33.34,34.13,84347
14-Sep-16,34.94,35.56,33.81,34.24,94575
13-Sep-16,35.52,35.83,33.77,34.78,171493
12-Sep-16,35.13,36.46,35.13,36.14,81030
9-Sep-16,36.67,36.67,34.49,35.48,100464
8-Sep-16,38.24,38.45,37.05,37.10,45287
7-Sep-16,38.59,38.59,37.15,38.43,80523
6-Sep-16,37.64,38.99,37.29,38.80,78641
2-Sep-16,37.24,37.54,36.00,37.36,59467
1-Sep-16,37.06,37.30,35.73,37.19,72511
31-Aug-16,36.46,37.30,35.98,36.89,65065
30-Aug-16,39.05,39.05,36.11,36.79,88161
29-Aug-16,38.08,39.54,37.02,39.37,74928
26-Aug-16,39.50,39.90,38.23,38.59,50256
25-Aug-16,38.64,39.68,38.64,39.41,55635
24-Aug-16,39.24,39.41,38.26,38.79,59775
23-Aug-16,39.78,40.00,39.09,39.45,39700
22-Aug-16,38.40,39.65,38.40,39.39,43123
19-Aug-16,39.76,39.76,38.10,38.60,81379
18-Aug-16,39.56,40.21,39.09,39.90,66954
17-Aug-16,39.51,39.84,38.97,39.35,58712
16-Aug-16,40.04,40.50,39.04,39.82,105833
15-Aug-16,38.05,40.58,38.05,39.89,83551
12-Aug-16,39.35,39.35,37.37,37.83,119952
11-Aug-16,38.67,39.48,37.90,39.34,93322
10-Aug-16,38.51,39.26,38.23,38.70,67142
9-Aug-16,41.33,41.33,38.04,38.36,102924
8-Aug-16,41.08,41.98,40.80,41.27,65285
5-Aug-16,38.99,43.07,38.50,40.77,252494
4-Aug-16,38.17,38.49,37.35,37.58,88380
3-Aug-16,36.99,38.37,36.96,38.24,53009
2-Aug-16,37.56,38.53,36.19,37.12,60971
1-Aug-16,38.09,38.09,36.94,37.51,53436
29-Jul-16,38.17,38.50,37.61,37.98,51029
28-Jul-16,38.53,38.67,38.05,38.35,36889
27-Jul-16,39.00,39.40,37.05,38.40,88748
26-Jul-16,36.16,39.46,36.09,38.93,164331
25-Jul-16,36.78,36.78,35.79,36.22,43292
22-Jul-16,36.93,37.86,36.38,36.91,37026
21-Jul-16,36.69,38.84,36.46,37.19,124090
20-Jul-16,35.88,36.80,35.12,36.55,75382
19-Jul-16,38.64,38.64,35.86,36.08,112119
18-Jul-16,40.34,40.34,38.41,38.95,71826
15-Jul-16,38.71,40.70,38.71,40.58,113795
14-Jul-16,37.19,38.74,36.64,38.43,71645
13-Jul-16,38.57,38.57,36.28,37.09,95294
12-Jul-16,37.35,38.56,37.15,38.11,63504
11-Jul-16,36.33,37.63,36.23,37.11,89838
8-Jul-16,34.18,36.77,34.18,36.22,108060
7-Jul-16,32.75,34.40,32.75,33.78,103047
6-Jul-16,31.68,32.61,31.41,32.42,98161
5-Jul-16,33.28,33.79,31.72,32.13,68951
1-Jul-16,32.25,34.38,32.19,33.42,103823
30-Jun-16,30.51,32.16,30.06,32.08,94395
29-Jun-16,29.63,30.36,29.53,30.18,49626
28-Jun-16,29.56,30.07,28.83,29.13,60648
27-Jun-16,29.75,30.50,29.06,29.16,119133
24-Jun-16,29.42,30.14,29.37,29.93,169863
23-Jun-16,30.45,31.11,30.20,30.75,70547
22-Jun-16,31.63,32.15,28.89,30.08,84383
21-Jun-16,31.98,31.98,30.98,31.54,46991
20-Jun-16,31.62,32.61,31.24,32.05,75789
17-Jun-16,31.01,32.14,30.94,31.28,265543
16-Jun-16,29.70,31.07,29.10,30.91,84765
15-Jun-16,29.24,30.85,29.24,29.83,74093
14-Jun-16,29.44,29.98,28.72,29.03,48402
13-Jun-16,30.00,30.69,29.37,29.58,53373
10-Jun-16,30.47,30.52,29.84,30.17,50888
9-Jun-16,31.97,31.97,30.14,30.79,62410
8-Jun-16,31.59,32.63,31.53,32.17,83623
7-Jun-16,30.75,32.38,30.34,31.30,92422
6-Jun-16,30.55,31.14,30.29,30.84,64225
3-Jun-16,29.14,30.55,29.14,30.48,101322
2-Jun-16,28.87,28.96,28.29,28.93,57886
1-Jun-16,28.67,29.21,27.79,29.01,77121
31-May-16,28.71,29.40,28.59,28.82,93429
27-May-16,29.51,29.57,28.52,28.74,74991
26-May-16,29.54,29.96,29.10,29.64,116126
25-May-16,28.04,30.23,27.59,29.21,136844
24-May-16,27.82,28.58,27.43,27.74,103396
23-May-16,26.31,28.05,26.12,27.65,97874
20-May-16,26.39,26.60,25.84,26.05,71923
19-May-16,26.25,26.70,25.53,26.18,89810
18-May-16,27.60,28.38,25.61,26.11,136731
17-May-16,28.24,29.00,27.40,27.94,118432
16-May-16,29.01,30.02,28.20,28.20,74784
13-May-16,28.86,29.99,28.33,28.83,92973
12-May-16,30.58,30.79,28.96,29.12,79566
11-May-16,30.51,31.06,29.87,30.30,65760
10-May-16,30.48,31.15,30.00,30.53,92037
9-May-16,33.85,33.85,29.98,30.01,163499
6-May-16,34.35,36.07,32.36,34.19,113190
5-May-16,36.56,36.91,35.21,35.35,133166
4-May-16,36.58,37.48,35.73,36.38,91440
3-May-16,37.55,38.31,36.16,36.79,101427
2-May-16,37.62,38.36,37.24,37.89,64439
29-Apr-16,37.41,38.91,37.24,37.53,59850
28-Apr-16,37.63,38.96,37.20,37.36,54317
27-Apr-16,36.86,37.96,36.00,37.88,163315
26-Apr-16,37.02,37.13,36.40,36.73,82266
25-Apr-16,37.89,38.01,36.48,36.99,74424
22-Apr-16,38.63,40.02,37.92,38.29,81914
21-Apr-16,38.71,39.05,37.98,38.60,75903
20-Apr-16,39.54,39.71,38.40,38.49,65724
19-Apr-16,38.84,40.40,38.35,39.60,59521
18-Apr-16,38.30,39.28,38.22,38.47,85934
15-Apr-16,37.94,39.05,37.45,38.80,72888
14-Apr-16,37.73,38.16,37.16,38.12,52760
13-Apr-16,37.18,38.18,37.18,37.58,99195
12-Apr-16,36.68,37.16,36.21,36.84,52964
11-Apr-16,36.41,37.47,36.41,36.59,61424
8-Apr-16,35.01,36.60,35.01,36.12,73044
7-Apr-16,34.59,35.21,33.95,34.56,139825
6-Apr-16,34.91,35.31,34.63,34.85,106227
5-Apr-16,34.91,35.35,34.40,34.90,133019
4-Apr-16,36.61,36.61,34.98,35.36,134384
