Date,Open,High,Low,Close,Volume
31-Mar-17,49.05,49.80,48.90,49.00,36368
30-Mar-17,48.60,49.15,48.50,49.10,17771
29-Mar-17,48.85,48.90,48.10,48.45,16265
28-Mar-17,48.25,49.25,46.55,49.10,21981
27-Mar-17,47.00,48.65,46.85,48.50,19312
24-Mar-17,48.25,48.65,47.45,47.85,24877
23-Mar-17,47.90,48.55,47.40,48.40,28503
22-Mar-17,48.10,49.19,46.85,47.25,36486
21-Mar-17,49.45,49.60,48.35,48.55,49760
20-Mar-17,49.05,49.75,48.60,49.30,26419
17-Mar-17,48.50,49.55,48.30,49.35,175755
16-Mar-17,48.75,49.35,48.05,48.65,28361
15-Mar-17,48.90,49.32,48.75,48.85,28837
14-Mar-17,49.20,49.20,47.95,48.75,32884
13-Mar-17,47.75,49.05,47.75,48.90,24010
10-Mar-17,48.80,48.80,47.80,47.90,20268
9-Mar-17,49.00,49.10,48.10,48.25,16474
8-Mar-17,49.65,49.65,48.60,48.65,18788
7-Mar-17,49.20,49.80,48.10,49.25,35810
6-Mar-17,49.80,49.85,49.20,49.20,14452
3-Mar-17,51.52,51.52,49.95,50.00,19049
2-Mar-17,51.00,52.00,49.25,50.20,14098
1-Mar-17,50.35,51.35,49.80,51.20,28347
28-Feb-17,49.65,50.20,48.97,49.45,25151
27-Feb-17,50.00,50.00,49.30,49.55,30114
24-Feb-17,49.95,50.05,49.60,49.90,8992
23-Feb-17,50.90,50.90,50.00,50.40,19623
22-Feb-17,50.40,51.35,49.90,51.00,30587
21-Feb-17,50.30,51.15,50.00,50.60,23553
17-Feb-17,50.70,50.75,49.60,50.05,25190
16-Feb-17,52.05,52.05,50.25,50.70,18522
15-Feb-17,50.15,51.80,50.15,51.25,14486
14-Feb-17,50.85,51.15,49.70,50.70,28594
13-Feb-17,51.80,51.80,50.50,51.20,19353
10-Feb-17,50.80,51.65,50.80,51.40,17019
9-Feb-17,49.50,51.15,49.50,50.45,22682
8-Feb-17,49.95,50.70,48.85,49.55,21362
7-Feb-17,50.80,51.90,49.95,50.20,34447
6-Feb-17,52.10,52.40,51.35,51.70,19564
3-Feb-17,52.50,52.75,52.10,52.30,12946
2-Feb-17,53.28,53.28,51.85,51.95,15497
1-Feb-17,54.00,54.45,52.90,53.45,20062
31-Jan-17,52.75,53.90,52.05,53.65,31006
30-Jan-17,52.40,53.25,52.00,52.60,33956
27-Jan-17,53.95,54.55,53.50,53.85,13352
26-Jan-17,54.50,54.60,53.40,54.00,18996
25-Jan-17,54.30,54.80,53.50,54.70,18581
24-Jan-17,52.15,54.15,52.15,53.85,36572
23-Jan-17,52.35,52.80,52.35,52.45,18862
20-Jan-17,52.20,53.30,52.20,52.70,22767
19-Jan-17,53.40,53.45,52.05,52.25,23154
18-Jan-17,52.55,53.40,52.10,53.40,17191
17-Jan-17,53.60,53.60,52.20,52.25,32836
13-Jan-17,53.55,54.14,53.45,53.95,18107
12-Jan-17,53.20,53.60,52.30,53.45,21397
11-Jan-17,53.10,53.50,53.05,53.50,26907
10-Jan-17,53.05,53.70,52.40,53.20,22582
9-Jan-17,53.95,53.95,52.65,52.80,14125
6-Jan-17,53.85,53.95,53.55,53.65,17013
5-Jan-17,54.00,54.00,53.05,53.70,29456
4-Jan-17,54.00,54.15,53.75,54.00,37247
3-Jan-17,54.45,54.45,53.10,53.75,31583
30-Dec-16,54.50,54.50,53.60,53.95,10958
29-Dec-16,54.35,54.50,53.55,54.25,12195
28-Dec-16,54.35,54.50,53.70,54.10,17777
27-Dec-16,53.90,54.40,53.90,54.10,12832
23-Dec-16,53.95,54.35,53.55,53.75,29581
22-Dec-16,53.90,53.95,53.25,53.45,32646
21-Dec-16,53.21,54.45,52.90,53.70,34411
20-Dec-16,53.45,53.50,52.95,53.50,23769
19-Dec-16,51.70,53.55,51.70,53.10,41065
16-Dec-16,53.10,53.10,51.25,52.10,201848
15-Dec-16,52.40,53.40,51.70,53.10,35888
14-Dec-16,52.90,53.00,52.10,52.45,26500
13-Dec-16,54.25,54.45,52.70,52.90,45294
12-Dec-16,53.95,54.35,53.50,54.30,36530
9-Dec-16,52.64,54.25,52.55,54.20,56830
8-Dec-16,52.50,53.00,52.20,53.00,47014
7-Dec-16,51.50,52.70,51.00,52.60,32568
6-Dec-16,49.55,51.80,49.50,51.35,58720
5-Dec-16,48.35,50.35,48.35,49.90,51525
2-Dec-16,48.45,49.00,48.00,48.15,14899
1-Dec-16,48.65,49.30,47.95,48.45,29375
30-Nov-16,48.65,49.10,48.32,48.55,19722
29-Nov-16,48.25,49.20,47.90,48.35,38905
28-Nov-16,47.15,48.80,47.15,48.55,23050
25-Nov-16,47.60,47.75,47.15,47.45,14388
23-Nov-16,47.65,48.00,46.85,47.90,32550
22-Nov-16,46.50,48.35,45.99,48.15,46810
21-Nov-16,45.95,46.40,45.20,46.30,28359
18-Nov-16,45.05,45.75,44.60,45.75,28707
17-Nov-16,44.40,45.15,44.26,45.00,23473
16-Nov-16,45.50,45.65,42.60,44.25,54431
15-Nov-16,44.90,46.10,44.25,45.80,27983
14-Nov-16,45.00,45.00,41.50,44.90,32368
11-Nov-16,43.25,45.00,43.25,45.00,74202
10-Nov-16,42.60,43.35,40.50,43.35,32783
9-Nov-16,40.50,42.45,39.95,42.25,36571
8-Nov-16,41.05,41.72,40.90,41.10,16832
7-Nov-16,39.85,41.65,39.85,41.25,38266
4-Nov-16,40.20,40.67,39.70,39.85,22635
3-Nov-16,39.55,41.35,38.85,39.85,24336
2-Nov-16,39.50,40.55,39.50,39.60,16360
1-Nov-16,40.10,40.65,39.05,39.55,15344
31-Oct-16,39.75,40.35,38.95,40.35,28874
28-Oct-16,40.10,40.10,39.55,39.75,10556
