Date,Open,High,Low,Close,Volume
31-Mar-17,10.06,10.50,10.04,10.04,3555
30-Mar-17,-,-,-,9.62,0
29-Mar-17,9.51,9.70,9.51,9.62,911
28-Mar-17,9.79,9.79,9.72,9.72,634
27-Mar-17,10.00,10.00,9.50,9.50,521
24-Mar-17,-,-,-,9.81,0
23-Mar-17,9.81,9.81,9.81,9.81,256
22-Mar-17,-,-,-,9.90,0
21-Mar-17,9.90,9.90,9.90,9.90,1002
20-Mar-17,9.90,9.90,9.90,9.90,106
17-Mar-17,-,-,-,9.90,0
16-Mar-17,9.74,9.90,9.74,9.90,2490
15-Mar-17,-,-,-,9.75,0
14-Mar-17,9.75,9.75,9.75,9.75,530
13-Mar-17,9.76,9.76,9.76,9.76,103
10-Mar-17,9.80,9.80,9.80,9.80,278
9-Mar-17,10.07,10.10,10.00,10.00,976
8-Mar-17,10.00,10.05,10.00,10.00,1892
7-Mar-17,10.10,10.50,10.10,10.50,200
6-Mar-17,10.10,10.10,10.10,10.10,100
3-Mar-17,10.08,10.08,10.06,10.06,304
2-Mar-17,10.50,10.50,10.09,10.10,500
1-Mar-17,10.00,10.50,10.00,10.50,691
28-Feb-17,10.04,10.10,9.50,10.10,1243
27-Feb-17,10.10,10.10,10.10,10.10,242
24-Feb-17,-,-,-,10.25,0
23-Feb-17,10.26,10.30,10.25,10.25,601
22-Feb-17,10.29,10.29,10.25,10.25,530
21-Feb-17,10.25,10.25,10.25,10.25,171
17-Feb-17,10.20,10.20,10.20,10.20,137
16-Feb-17,10.20,10.20,10.20,10.20,362
15-Feb-17,-,-,-,10.50,0
14-Feb-17,10.50,10.50,10.50,10.50,523
13-Feb-17,10.44,10.44,10.44,10.44,239
10-Feb-17,10.30,10.30,10.30,10.30,100
9-Feb-17,10.75,10.80,9.50,10.24,7652
8-Feb-17,10.78,10.78,10.78,10.78,902
7-Feb-17,10.81,11.00,10.79,11.00,5302
6-Feb-17,-,-,-,10.75,0
3-Feb-17,10.75,10.77,10.75,10.75,768
2-Feb-17,11.19,11.19,10.95,10.95,389
1-Feb-17,10.92,10.92,10.92,10.92,1425
31-Jan-17,-,-,-,10.77,0
30-Jan-17,10.85,10.85,10.75,10.77,2199
27-Jan-17,10.90,10.90,10.85,10.85,510
26-Jan-17,11.02,11.02,10.85,10.85,6435
25-Jan-17,11.25,11.33,11.20,11.20,1707
24-Jan-17,11.47,11.47,11.47,11.47,250
23-Jan-17,-,-,-,11.09,0
18-Jan-17,11.10,11.10,11.07,11.09,1496
17-Jan-17,11.04,11.10,11.04,11.10,1316
12-Jan-17,11.14,11.14,10.97,10.97,552
11-Jan-17,11.15,11.35,11.15,11.35,574
9-Jan-17,11.08,11.59,11.05,11.15,31343
4-Jan-17,12.00,12.00,10.98,11.15,5578
3-Jan-17,11.10,11.37,10.96,11.18,1740
30-Dec-16,11.02,11.95,10.98,11.25,63726
29-Dec-16,11.65,11.65,11.05,11.25,1378
28-Dec-16,11.10,11.85,11.03,11.69,18684
23-Dec-16,11.76,11.76,10.97,10.97,395
22-Dec-16,11.20,11.37,11.20,11.37,2335
21-Dec-16,10.96,11.33,10.96,11.15,1470
20-Dec-16,10.96,11.22,10.96,11.20,850
16-Dec-16,11.04,11.07,10.95,10.95,5062
15-Dec-16,11.15,11.15,11.15,11.15,208
13-Dec-16,11.15,11.40,11.15,11.40,1066
8-Dec-16,11.15,11.51,11.00,11.16,1870
7-Dec-16,11.38,11.38,11.00,11.34,2053
6-Dec-16,10.99,11.30,10.99,11.03,2556
5-Dec-16,11.46,11.50,11.46,11.50,416
2-Dec-16,11.90,12.00,11.90,11.90,880
1-Dec-16,10.83,11.08,10.82,10.82,1086
30-Nov-16,10.82,10.82,10.82,10.82,977
28-Nov-16,11.59,11.95,11.22,11.22,352
25-Nov-16,11.11,12.00,11.11,12.00,3898
22-Nov-16,11.00,11.01,11.00,11.01,320
21-Nov-16,10.97,11.25,10.97,11.20,5784
16-Nov-16,10.82,10.82,10.82,10.82,100
10-Nov-16,10.99,10.99,10.99,10.99,564
9-Nov-16,11.00,11.00,11.00,11.00,100
8-Nov-16,10.91,10.99,10.72,10.72,5790
7-Nov-16,10.73,10.73,10.60,10.63,1220
4-Nov-16,10.78,10.78,10.78,10.78,450
31-Oct-16,10.60,10.80,10.60,10.80,701
28-Oct-16,10.62,10.62,10.62,10.62,175
26-Oct-16,10.80,10.80,10.80,10.80,250
25-Oct-16,10.79,10.79,10.79,10.79,108
24-Oct-16,10.88,10.88,10.88,10.88,1300
20-Oct-16,10.65,10.76,10.65,10.76,436
18-Oct-16,10.60,10.98,10.60,10.98,600
17-Oct-16,10.56,10.60,10.47,10.60,5215
11-Oct-16,10.57,10.58,10.56,10.58,470
10-Oct-16,10.56,10.56,10.56,10.56,300
6-Oct-16,10.73,10.73,10.73,10.73,160
4-Oct-16,10.56,10.56,10.56,10.56,512
27-Sep-16,10.97,10.97,10.75,10.75,327
23-Sep-16,10.76,10.76,10.76,10.76,192
22-Sep-16,10.83,10.83,10.83,10.83,437
21-Sep-16,10.62,10.75,10.62,10.75,527
19-Sep-16,10.80,10.80,10.36,10.66,5055
16-Sep-16,10.54,10.54,10.54,10.54,427
15-Sep-16,10.61,11.25,10.45,10.51,3303
14-Sep-16,10.51,11.72,10.51,10.75,2809
13-Sep-16,10.75,11.24,10.45,10.45,4185
