Date,Open,High,Low,Close,Volume
31-Mar-17,49.55,49.55,48.70,49.15,4028092
30-Mar-17,49.69,49.88,49.40,49.69,2230341
29-Mar-17,49.43,49.79,48.97,49.69,2464008
28-Mar-17,49.27,49.84,48.89,49.53,2542154
27-Mar-17,48.88,49.40,48.46,49.29,2010511
24-Mar-17,48.99,49.42,48.74,49.18,4078014
23-Mar-17,48.07,49.07,47.97,48.62,5499067
22-Mar-17,48.05,48.25,47.59,48.20,2841201
21-Mar-17,49.80,50.16,47.79,48.04,6671416
20-Mar-17,49.03,49.90,48.92,49.76,3284893
17-Mar-17,49.24,49.25,48.64,49.06,3058524
16-Mar-17,49.19,49.33,48.83,49.00,3198848
15-Mar-17,49.31,49.66,48.24,48.66,3878417
14-Mar-17,48.72,49.75,48.46,49.37,3091383
13-Mar-17,48.29,49.60,48.29,48.99,4942625
10-Mar-17,47.26,48.33,47.26,48.27,3496040
9-Mar-17,47.19,47.57,46.70,47.17,3112249
8-Mar-17,47.45,47.97,47.06,47.35,3334291
7-Mar-17,47.50,47.77,47.29,47.45,2288786
6-Mar-17,47.79,47.79,47.29,47.51,2131391
3-Mar-17,47.42,47.98,47.30,47.82,2800356
2-Mar-17,47.50,47.98,47.02,47.67,2987602
1-Mar-17,47.80,47.98,47.32,47.87,3151240
28-Feb-17,47.79,48.20,47.25,47.44,4758022
27-Feb-17,48.31,48.50,47.80,48.28,4558839
24-Feb-17,47.90,48.77,47.90,48.54,5069116
23-Feb-17,50.00,50.37,47.91,48.28,12738221
22-Feb-17,47.44,48.00,46.56,47.59,8141212
21-Feb-17,45.85,47.30,45.65,47.06,6725512
17-Feb-17,45.51,45.85,45.14,45.63,3304026
16-Feb-17,45.75,45.75,44.91,45.51,3346963
15-Feb-17,45.16,45.62,44.90,45.46,2872767
14-Feb-17,45.09,45.27,44.60,45.07,7140219
13-Feb-17,44.75,45.28,44.69,44.95,3835738
10-Feb-17,43.85,45.06,43.59,44.49,4856232
9-Feb-17,43.40,43.79,43.03,43.39,3254668
8-Feb-17,43.39,43.39,42.58,43.11,2795971
7-Feb-17,43.21,43.25,42.86,42.91,2162803
6-Feb-17,43.12,43.24,42.83,43.05,2190246
3-Feb-17,42.99,43.05,42.54,42.90,1548197
2-Feb-17,43.00,43.08,42.60,42.79,1925180
1-Feb-17,43.59,43.59,42.57,43.01,2788932
31-Jan-17,43.24,43.63,43.04,43.21,2995969
30-Jan-17,43.35,43.52,42.75,43.40,2279610
27-Jan-17,43.53,43.90,43.39,43.40,2131312
26-Jan-17,43.97,44.00,43.01,43.38,3592358
25-Jan-17,44.00,44.07,43.36,43.62,2590586
24-Jan-17,43.30,44.09,43.30,43.88,2773234
23-Jan-17,43.39,43.40,43.03,43.29,2502804
20-Jan-17,43.58,43.77,43.31,43.36,1869066
19-Jan-17,43.46,44.03,43.29,43.54,2029330
18-Jan-17,44.29,44.30,43.51,43.99,2504333
17-Jan-17,43.52,44.67,43.12,44.17,4858777
13-Jan-17,43.50,43.84,43.26,43.53,1673864
12-Jan-17,43.79,44.24,42.64,43.36,2664834
11-Jan-17,43.76,43.99,43.13,43.97,2448395
10-Jan-17,43.41,43.78,43.30,43.71,2582390
9-Jan-17,42.81,43.66,42.59,43.24,3005866
6-Jan-17,42.50,42.80,41.81,42.50,3133973
5-Jan-17,41.90,43.00,41.71,42.80,4842396
4-Jan-17,40.89,41.69,40.66,41.34,5872847
3-Jan-17,40.88,41.10,40.40,40.49,4544338
30-Dec-16,40.42,40.80,39.88,40.00,3530248
29-Dec-16,40.01,40.11,39.80,39.99,2573340
28-Dec-16,40.20,40.43,39.83,39.97,2620788
27-Dec-16,40.00,40.62,39.89,40.15,2422379
23-Dec-16,40.00,40.17,39.71,39.98,2309301
22-Dec-16,40.33,40.53,40.00,40.07,3745053
21-Dec-16,41.00,41.16,40.63,40.70,2903811
20-Dec-16,40.96,41.37,40.71,40.81,2142473
19-Dec-16,40.98,41.15,40.46,40.86,4539662
16-Dec-16,41.56,41.60,40.90,41.00,4719182
15-Dec-16,41.69,41.74,41.02,41.33,2989721
14-Dec-16,42.47,42.53,41.88,41.97,4429911
13-Dec-16,42.92,43.15,42.28,42.61,2603516
12-Dec-16,43.20,43.38,42.16,42.62,3525024
9-Dec-16,43.26,43.80,42.74,43.43,2328609
8-Dec-16,43.00,43.24,42.34,43.17,3298634
7-Dec-16,42.65,43.04,41.93,42.85,2885178
6-Dec-16,43.18,43.49,42.14,42.38,3668455
5-Dec-16,44.08,44.46,42.91,42.97,4105750
2-Dec-16,44.62,45.02,43.46,44.01,5794983
1-Dec-16,45.30,45.78,44.61,44.83,6247521
30-Nov-16,46.15,46.33,45.09,45.23,5036159
29-Nov-16,44.51,45.96,44.42,45.87,7527201
28-Nov-16,45.00,45.05,44.24,44.74,6854490
25-Nov-16,45.01,46.27,44.75,45.01,15764816
23-Nov-16,42.19,42.19,40.59,40.99,6645876
22-Nov-16,42.50,42.50,41.56,41.87,3874970
21-Nov-16,42.02,42.62,41.64,42.26,3785065
18-Nov-16,42.31,42.73,41.46,42.02,2409811
17-Nov-16,42.01,42.65,42.00,42.31,2165076
16-Nov-16,40.78,42.33,40.32,42.16,3641598
15-Nov-16,41.37,42.10,41.00,42.02,7057927
14-Nov-16,41.37,41.56,40.24,40.62,2919885
11-Nov-16,40.70,41.25,40.02,41.10,7053474
10-Nov-16,43.01,43.85,40.84,40.98,5428504
9-Nov-16,42.75,43.50,41.99,42.29,4180852
8-Nov-16,43.67,44.05,43.05,43.57,2286234
7-Nov-16,43.24,44.04,43.14,43.54,3379154
4-Nov-16,42.00,42.73,41.84,42.44,2784395
3-Nov-16,42.31,43.04,42.26,42.45,2182247
2-Nov-16,43.64,43.68,42.02,42.34,4871923
1-Nov-16,44.39,44.42,42.95,43.41,3677577
31-Oct-16,44.77,45.09,43.98,44.15,4268689
28-Oct-16,45.30,46.20,44.51,44.73,3655198
27-Oct-16,45.47,46.91,44.77,45.47,5360111
26-Oct-16,48.00,48.02,46.62,46.69,2926323
25-Oct-16,48.20,49.62,47.89,48.00,4683513
24-Oct-16,47.66,48.41,47.66,48.20,3105312
21-Oct-16,47.14,47.70,46.94,47.61,1492935
20-Oct-16,47.25,47.42,46.81,47.25,2139201
19-Oct-16,47.13,47.52,47.13,47.24,2168973
18-Oct-16,46.96,47.82,46.75,47.06,3757350
17-Oct-16,46.65,46.70,46.18,46.29,1755892
14-Oct-16,46.99,47.45,46.50,46.57,2211567
13-Oct-16,45.85,46.35,45.23,46.31,4196703
12-Oct-16,46.62,47.13,46.23,46.35,3083931
11-Oct-16,47.94,47.96,46.48,46.77,4292262
10-Oct-16,47.00,48.50,46.76,48.16,3676623
7-Oct-16,47.54,47.58,46.95,47.08,2363957
6-Oct-16,47.62,47.78,46.70,47.59,6678171
5-Oct-16,47.29,47.68,47.05,47.45,4740634
4-Oct-16,47.03,47.30,46.62,47.03,3626481
3-Oct-16,46.57,47.03,46.44,46.95,3493004
30-Sep-16,46.80,46.99,46.46,46.57,3303616
29-Sep-16,46.66,47.25,46.63,46.79,3761722
28-Sep-16,46.18,47.00,46.13,46.95,3083166
27-Sep-16,45.76,46.28,45.51,46.25,3012481
26-Sep-16,45.76,46.05,45.41,45.55,3045080
23-Sep-16,46.00,46.34,45.75,46.02,4894676
22-Sep-16,45.35,46.11,45.35,46.10,6894502
21-Sep-16,44.42,45.50,44.15,45.33,5957466
20-Sep-16,43.77,44.30,43.77,44.09,3482988
19-Sep-16,43.99,44.28,43.63,43.77,3290177
16-Sep-16,43.75,43.81,43.13,43.67,3922677
15-Sep-16,43.15,43.97,42.71,43.75,5412939
14-Sep-16,42.88,43.51,42.65,42.83,4269624
13-Sep-16,44.32,44.48,42.76,43.08,5216392
12-Sep-16,43.47,44.46,43.13,44.32,5272717
9-Sep-16,45.10,45.20,43.71,44.14,10301968
8-Sep-16,45.09,45.88,44.90,45.36,9093249
7-Sep-16,45.63,45.82,44.75,44.95,18836319
6-Sep-16,46.50,47.25,44.85,45.96,13945333
2-Sep-16,48.85,49.43,47.64,47.90,6345471
1-Sep-16,47.05,49.16,46.98,48.96,11643392
31-Aug-16,47.57,47.72,47.00,47.35,4571633
30-Aug-16,47.45,47.93,47.11,47.35,2633839
29-Aug-16,47.45,47.50,46.80,47.14,2643200
26-Aug-16,46.54,47.85,46.40,47.44,5270649
25-Aug-16,45.89,46.66,45.80,46.34,3899900
24-Aug-16,46.04,46.40,45.71,45.82,2566696
23-Aug-16,45.83,46.60,45.68,45.94,2111881
22-Aug-16,46.30,46.35,45.65,45.82,2570600
19-Aug-16,46.25,46.33,45.80,46.16,2844211
18-Aug-16,46.26,46.47,45.50,46.29,3633962
17-Aug-16,46.46,46.52,46.01,46.38,2560225
16-Aug-16,47.00,47.15,46.06,46.46,3961529
15-Aug-16,46.60,47.52,46.60,46.98,5042477
12-Aug-16,45.82,46.60,45.69,46.39,4503526
11-Aug-16,45.84,46.21,45.54,45.89,3778235
10-Aug-16,45.24,45.85,45.08,45.53,4438247
9-Aug-16,43.91,45.40,43.76,45.16,7737496
8-Aug-16,42.97,43.90,42.90,43.89,3420221
5-Aug-16,43.35,43.50,43.00,43.05,2974231
4-Aug-16,42.50,43.06,42.39,42.94,2299518
3-Aug-16,42.67,42.77,42.19,42.50,2755473
2-Aug-16,43.00,43.16,42.03,42.56,2999096
1-Aug-16,43.59,43.79,42.99,43.09,3899662
29-Jul-16,43.75,43.83,42.78,43.67,3373410
28-Jul-16,43.91,43.99,43.38,43.79,2731146
27-Jul-16,43.99,44.12,43.68,43.97,2954627
26-Jul-16,43.52,44.10,43.46,44.00,3603861
25-Jul-16,43.63,43.80,43.30,43.73,2519194
22-Jul-16,43.62,43.92,43.33,43.83,3212644
21-Jul-16,43.23,43.79,42.97,43.40,2836788
20-Jul-16,43.06,43.50,42.84,43.48,3174814
19-Jul-16,43.15,43.40,42.80,43.06,5549235
18-Jul-16,43.07,43.93,43.00,43.68,2480985
15-Jul-16,43.25,43.49,42.67,43.08,2181810
14-Jul-16,42.48,43.28,42.06,43.00,2786725
13-Jul-16,42.00,42.24,41.58,42.19,3621085
12-Jul-16,41.93,42.72,41.81,41.95,3360558
11-Jul-16,40.77,41.94,40.62,41.78,2755619
8-Jul-16,40.01,41.01,39.97,40.61,3677373
7-Jul-16,40.27,40.65,39.74,40.06,2973144
6-Jul-16,40.42,40.62,39.58,40.22,4330926
5-Jul-16,40.77,41.09,40.45,40.66,4053008
1-Jul-16,41.21,41.71,40.84,41.13,3042984
30-Jun-16,40.47,41.56,40.33,41.20,3933138
29-Jun-16,39.74,41.00,39.64,40.50,4137426
28-Jun-16,38.47,40.19,38.35,39.91,5753571
27-Jun-16,39.19,39.38,37.36,37.90,6809495
24-Jun-16,39.25,40.15,39.05,39.60,7894045
23-Jun-16,40.51,40.97,40.04,40.65,3955844
22-Jun-16,39.80,40.58,39.56,40.10,4865928
21-Jun-16,39.43,40.14,39.30,39.64,4470355
20-Jun-16,38.50,39.45,38.50,39.13,6002454
17-Jun-16,39.74,40.02,37.78,38.06,10009855
16-Jun-16,40.83,40.96,39.18,39.84,10065124
15-Jun-16,40.62,40.68,39.06,39.25,6761719
14-Jun-16,39.60,40.50,39.41,40.11,5735379
13-Jun-16,39.41,40.18,39.02,39.51,5405069
10-Jun-16,40.37,41.04,39.61,39.93,5965180
9-Jun-16,42.00,42.54,40.73,41.14,5366369
8-Jun-16,43.90,44.20,40.72,42.00,13146545
7-Jun-16,44.95,45.04,44.00,44.30,3026728
6-Jun-16,44.27,45.51,44.00,44.70,2693218
3-Jun-16,44.57,45.09,43.39,43.84,4092199
2-Jun-16,44.85,45.38,43.66,44.68,4098755
1-Jun-16,45.41,45.50,44.10,44.32,5829127
31-May-16,46.21,46.50,44.62,45.76,36782736
27-May-16,45.45,46.67,44.86,45.90,5449058
26-May-16,44.77,45.38,44.00,44.68,3698270
25-May-16,45.85,46.33,44.83,44.89,4256262
24-May-16,42.97,45.56,42.58,45.42,6053759
23-May-16,43.41,43.47,42.18,42.64,4229462
20-May-16,42.51,43.53,42.50,43.39,3069526
19-May-16,43.39,43.96,42.35,42.67,3452558
18-May-16,43.82,44.41,43.25,43.77,2936881
17-May-16,43.96,45.28,43.94,44.08,3512186
16-May-16,43.25,44.59,43.12,44.29,2517412
13-May-16,43.41,43.53,42.66,43.01,2393267
12-May-16,43.74,44.47,42.75,43.08,2923811
11-May-16,44.11,44.15,43.40,43.51,1808405
10-May-16,43.41,44.15,43.12,44.03,3324401
9-May-16,44.50,44.86,43.02,43.29,3502409
6-May-16,43.48,44.66,43.36,44.50,2271961
5-May-16,44.15,44.95,43.54,43.85,2928751
4-May-16,43.40,43.66,43.10,43.62,2436309
3-May-16,44.23,44.47,43.44,44.00,2617892
2-May-16,43.56,44.72,43.56,44.54,2292077
29-Apr-16,44.91,44.95,43.27,43.61,5826437
28-Apr-16,45.09,45.97,44.92,45.07,2280984
