Date,Open,High,Low,Close,Volume
31-Mar-17,63.07,63.77,63.05,63.49,3235829
30-Mar-17,61.90,63.22,61.66,63.20,2627736
29-Mar-17,62.62,63.12,62.46,62.99,2025977
28-Mar-17,61.95,63.07,61.85,62.92,1829263
27-Mar-17,61.70,62.48,61.35,62.17,1775511
24-Mar-17,61.90,62.22,61.50,61.99,1894261
23-Mar-17,61.54,62.36,61.25,61.88,1716658
22-Mar-17,62.05,62.23,61.34,61.65,2880456
21-Mar-17,63.22,63.26,61.73,61.87,3657760
20-Mar-17,63.70,63.77,62.84,63.06,2756964
17-Mar-17,63.59,63.92,62.89,63.86,4990010
16-Mar-17,63.53,64.15,62.88,63.22,3496918
15-Mar-17,62.79,63.28,62.23,63.14,4453955
14-Mar-17,61.97,62.50,61.41,62.46,4501463
13-Mar-17,62.00,62.39,61.33,61.98,7268995
10-Mar-17,62.44,62.98,61.74,62.05,41312796
9-Mar-17,63.92,64.25,62.97,63.51,5165247
8-Mar-17,63.86,64.34,63.55,63.99,6516350
7-Mar-17,64.39,64.50,63.81,64.00,12710572
6-Mar-17,60.90,61.40,60.88,61.23,982522
3-Mar-17,61.05,61.48,60.85,61.18,1779316
2-Mar-17,61.83,61.91,60.70,60.82,2058780
1-Mar-17,62.50,62.50,61.79,61.99,1602818
28-Feb-17,62.42,62.42,61.65,62.00,1537742
27-Feb-17,62.34,62.92,62.05,62.53,1210532
24-Feb-17,61.92,62.59,61.61,62.54,2072373
23-Feb-17,63.02,63.39,61.88,61.91,2888482
22-Feb-17,64.50,64.74,62.35,62.40,3757306
21-Feb-17,62.80,63.19,62.05,62.82,3160971
17-Feb-17,62.63,62.96,61.88,62.89,2465286
16-Feb-17,62.73,63.00,62.24,62.72,1443215
15-Feb-17,61.95,63.12,61.63,62.89,2529827
14-Feb-17,61.59,62.25,61.40,61.95,2825257
13-Feb-17,62.17,63.29,61.43,61.95,2774185
10-Feb-17,61.08,61.36,60.51,61.15,936772
9-Feb-17,61.04,61.37,59.96,61.07,1818891
8-Feb-17,60.19,61.11,59.91,60.86,991010
7-Feb-17,60.94,61.20,60.31,60.42,1106217
6-Feb-17,61.82,61.99,60.93,60.98,1788349
3-Feb-17,61.37,63.99,61.04,61.85,3382518
