Date,Open,High,Low,Close,Volume
31-Mar-17,35.80,35.95,35.39,35.87,2135957
30-Mar-17,35.16,35.90,35.03,35.70,1773537
29-Mar-17,35.12,35.51,34.91,35.14,2170877
28-Mar-17,35.12,35.45,33.50,35.13,3944934
27-Mar-17,34.98,35.60,34.59,35.50,2370515
24-Mar-17,35.16,35.69,35.04,35.13,2735219
23-Mar-17,35.02,35.79,34.74,35.15,3035240
22-Mar-17,35.65,35.73,34.74,35.17,2508044
21-Mar-17,36.61,36.82,35.42,35.55,2578845
20-Mar-17,37.46,37.64,36.61,36.64,1807390
17-Mar-17,37.43,37.45,36.78,37.36,3175518
16-Mar-17,36.91,37.28,36.69,37.13,2131183
15-Mar-17,35.90,37.61,35.56,36.78,6678825
14-Mar-17,35.96,35.96,35.43,35.79,1839865
13-Mar-17,35.50,36.03,35.40,35.94,2182184
10-Mar-17,35.31,36.30,34.96,35.69,2956967
9-Mar-17,35.33,35.60,35.01,35.29,3238269
8-Mar-17,35.33,36.07,35.10,35.48,2718430
7-Mar-17,35.12,35.43,34.94,35.26,2318915
6-Mar-17,34.92,35.63,34.58,35.24,1845019
3-Mar-17,34.70,34.96,34.41,34.88,1616865
2-Mar-17,35.15,35.15,34.46,34.79,4330471
1-Mar-17,35.87,36.11,34.94,35.20,3922341
28-Feb-17,37.06,37.33,35.35,35.70,5751851
27-Feb-17,37.00,37.32,36.84,37.30,1862322
24-Feb-17,36.40,37.00,36.08,36.99,1607847
23-Feb-17,36.54,36.77,36.08,36.43,3231962
22-Feb-17,37.24,37.32,36.61,36.63,2576641
21-Feb-17,36.79,37.50,36.01,37.45,3028286
17-Feb-17,35.86,36.85,35.85,36.75,2554762
16-Feb-17,36.61,37.69,35.50,35.91,3950529
15-Feb-17,35.32,35.95,35.31,35.83,2216029
14-Feb-17,35.36,35.60,35.23,35.51,1574438
13-Feb-17,35.52,35.66,35.27,35.46,1264395
10-Feb-17,35.35,35.60,35.19,35.36,1785935
9-Feb-17,35.30,35.38,34.81,35.19,1997483
8-Feb-17,35.53,35.72,35.24,35.40,1156429
7-Feb-17,36.09,36.09,35.46,35.54,1798136
6-Feb-17,36.42,36.62,36.07,36.13,912717
3-Feb-17,36.50,36.64,36.33,36.52,776071
2-Feb-17,36.13,36.54,36.02,36.29,860522
1-Feb-17,36.60,36.67,36.02,36.23,1611309
31-Jan-17,36.69,36.78,36.16,36.48,1732310
30-Jan-17,36.60,36.70,36.10,36.62,1750147
27-Jan-17,36.03,36.64,35.94,36.62,2403864
26-Jan-17,35.17,36.02,35.11,35.92,3008614
25-Jan-17,34.98,35.41,34.84,35.23,2693560
24-Jan-17,35.07,35.20,34.56,34.96,1404129
23-Jan-17,34.73,35.14,34.51,34.93,1343713
20-Jan-17,35.26,35.36,34.57,34.87,1283881
19-Jan-17,34.51,35.48,34.47,34.94,2569717
18-Jan-17,34.78,34.81,34.16,34.53,1939193
17-Jan-17,34.74,35.05,34.51,34.69,2150073
13-Jan-17,34.99,35.45,34.86,34.98,2264535
12-Jan-17,34.92,34.99,34.45,34.92,3127026
11-Jan-17,33.94,34.94,33.86,34.91,2495278
10-Jan-17,33.90,34.06,33.37,34.01,2069401
9-Jan-17,33.43,33.96,32.90,33.79,1841809
6-Jan-17,32.52,33.38,32.30,33.34,2588923
5-Jan-17,31.27,32.33,31.23,32.32,2271711
4-Jan-17,30.73,31.35,30.73,31.35,1733020
3-Jan-17,30.99,31.32,30.43,30.65,2515374
30-Dec-16,30.91,30.91,30.33,30.59,1487572
29-Dec-16,31.06,31.17,30.69,30.80,1175732
28-Dec-16,31.45,31.48,30.87,31.02,1130495
27-Dec-16,30.99,31.73,30.77,31.43,1284589
23-Dec-16,30.71,31.19,30.71,30.86,1118437
22-Dec-16,31.16,31.20,30.72,30.82,1725595
21-Dec-16,30.77,31.18,30.62,31.06,1180222
20-Dec-16,30.47,30.87,30.28,30.83,1640474
19-Dec-16,30.65,30.90,30.32,30.33,1609424
16-Dec-16,30.25,30.95,30.09,30.48,3366491
15-Dec-16,29.80,30.74,29.80,30.11,2295964
14-Dec-16,30.34,30.53,29.96,30.05,2649033
13-Dec-16,29.94,30.54,29.89,30.28,3680689
12-Dec-16,30.07,30.44,29.65,29.78,2559489
9-Dec-16,30.37,30.58,29.90,30.14,2416798
8-Dec-16,30.34,30.80,30.14,30.21,3764317
7-Dec-16,29.89,30.44,29.69,30.34,3968895
6-Dec-16,29.52,30.10,29.52,29.91,4250898
5-Dec-16,29.83,30.17,29.54,29.55,2784189
2-Dec-16,30.22,30.32,29.48,29.67,3945652
1-Dec-16,31.22,31.63,30.03,30.07,3353621
