Date,Open,High,Low,Close,Volume
31-Mar-17,25.43,25.77,25.41,25.61,3357150
30-Mar-17,25.35,25.50,25.22,25.40,3662519
29-Mar-17,25.38,25.45,25.06,25.36,4252632
28-Mar-17,25.05,25.60,25.05,25.44,5066750
27-Mar-17,25.03,25.21,24.72,25.16,3839065
24-Mar-17,25.11,25.26,24.96,25.16,2947288
23-Mar-17,25.04,25.19,24.95,25.08,3240821
22-Mar-17,24.96,25.09,24.60,25.06,6100622
21-Mar-17,25.48,25.54,24.87,24.96,8784755
20-Mar-17,25.65,25.66,25.19,25.31,4001467
17-Mar-17,25.56,25.78,25.44,25.66,7630849
16-Mar-17,25.59,25.68,25.08,25.37,4015372
15-Mar-17,25.27,25.65,25.00,25.59,3127493
14-Mar-17,25.33,25.45,25.11,25.18,2901959
13-Mar-17,25.61,25.63,25.31,25.46,4049188
10-Mar-17,25.41,25.57,25.23,25.54,4226809
9-Mar-17,25.16,25.24,24.92,25.20,3182619
8-Mar-17,25.05,25.27,24.99,25.13,2107992
7-Mar-17,25.40,25.49,25.00,25.02,3856052
6-Mar-17,25.41,25.54,25.28,25.47,2825100
3-Mar-17,25.37,25.49,25.19,25.45,3426525
2-Mar-17,25.54,25.68,25.34,25.36,4137124
1-Mar-17,25.93,26.02,25.45,25.55,5345042
28-Feb-17,26.00,26.04,25.67,25.73,5800261
27-Feb-17,25.66,26.12,25.48,26.00,5490723
24-Feb-17,25.47,25.82,25.30,25.76,3837186
23-Feb-17,25.85,25.86,25.47,25.53,6572881
22-Feb-17,25.88,25.88,25.41,25.77,5720309
21-Feb-17,26.10,26.30,25.65,25.79,4651977
17-Feb-17,25.67,26.15,25.57,26.10,7937211
16-Feb-17,26.00,26.13,25.58,25.67,5088342
15-Feb-17,25.63,26.09,25.61,26.00,5486838
14-Feb-17,26.28,26.30,25.54,25.69,6512154
13-Feb-17,25.90,26.05,25.55,25.91,5785490
10-Feb-17,25.96,25.99,25.56,25.73,6232135
9-Feb-17,26.00,26.23,25.78,25.83,8169451
8-Feb-17,25.94,26.15,25.73,25.95,5728838
7-Feb-17,26.02,26.80,25.83,25.88,8394798
6-Feb-17,26.18,26.29,25.91,25.92,5387707
3-Feb-17,25.85,25.94,25.54,25.82,5456849
2-Feb-17,25.59,25.87,25.17,25.77,5950186
1-Feb-17,26.28,26.28,25.35,25.51,7508840
31-Jan-17,26.29,26.33,25.97,26.21,10503199
30-Jan-17,26.71,26.71,25.83,26.32,7435932
27-Jan-17,26.05,26.89,25.95,26.49,11030734
26-Jan-17,27.27,27.84,25.79,25.99,36063554
25-Jan-17,31.23,31.60,31.22,31.56,4480553
24-Jan-17,30.26,31.23,30.25,31.19,3839242
23-Jan-17,30.09,30.51,29.69,30.24,2647611
20-Jan-17,30.20,30.46,29.88,30.02,3325533
