Stock,Date,Open,High,Low,Close,Volume
arlp,4-Apr-16,11.37,11.59,11.05,11.08,223922
arlp,5-Apr-16,11.11,11.66,11.00,11.49,160525
arlp,6-Apr-16,11.60,11.72,11.33,11.65,193742
arlp,7-Apr-16,11.64,11.90,11.35,11.50,192811
arlp,8-Apr-16,11.66,12.12,11.61,11.89,171598
arlp,11-Apr-16,12.09,12.44,11.92,12.22,203766
arlp,12-Apr-16,12.11,12.85,12.03,12.82,197982
arlp,13-Apr-16,12.84,13.22,12.67,12.93,214882
arlp,14-Apr-16,12.94,12.99,12.54,12.95,207250
arlp,15-Apr-16,12.85,13.30,12.61,13.16,199073
arlp,18-Apr-16,12.89,13.91,12.80,13.74,326856
arlp,19-Apr-16,13.70,15.21,13.70,14.78,754669
arlp,20-Apr-16,14.79,15.15,14.62,14.82,346776
arlp,21-Apr-16,14.93,14.98,14.47,14.51,306144
arlp,22-Apr-16,14.45,15.08,14.38,14.64,274268
arlp,25-Apr-16,14.68,14.87,14.35,14.70,266916
arlp,26-Apr-16,13.65,15.42,13.20,15.18,771176
arlp,27-Apr-16,15.22,16.20,15.18,15.83,396573
arlp,28-Apr-16,15.92,16.77,15.41,16.37,541194
arlp,29-Apr-16,16.47,16.85,15.63,15.65,1140205
arlp,2-May-16,15.68,16.09,15.06,15.67,511938
arlp,3-May-16,15.53,15.60,15.21,15.47,261346
arlp,4-May-16,14.88,15.63,14.45,14.62,428114
arlp,5-May-16,14.93,15.38,14.76,14.98,242977
arlp,6-May-16,14.90,15.58,14.81,15.49,217972
arlp,9-May-16,15.20,15.34,14.01,14.76,443680
arlp,10-May-16,14.88,15.24,14.26,14.32,434841
arlp,11-May-16,14.30,15.08,14.30,14.94,271082
arlp,12-May-16,15.09,15.25,14.67,15.16,234675
arlp,13-May-16,15.19,15.24,14.60,14.71,178550
arlp,16-May-16,15.03,15.10,14.67,14.81,167816
arlp,17-May-16,14.87,15.12,14.64,15.00,204015
arlp,18-May-16,15.10,15.12,14.53,14.72,271361
arlp,19-May-16,14.55,15.04,14.20,14.82,251260
arlp,20-May-16,14.94,15.00,14.63,14.90,149727
arlp,23-May-16,14.80,15.00,14.61,14.81,264293
arlp,24-May-16,14.78,14.97,14.42,14.54,346341
arlp,25-May-16,14.63,15.04,14.63,14.85,189657
arlp,26-May-16,14.97,15.02,14.25,14.51,203965
arlp,27-May-16,14.50,14.79,14.25,14.44,170020
arlp,31-May-16,14.44,14.87,14.40,14.65,185979
arlp,1-Jun-16,14.47,15.22,14.47,15.09,273855
arlp,2-Jun-16,15.04,15.75,14.99,15.58,237448
arlp,3-Jun-16,15.78,16.20,15.64,15.87,293413
arlp,6-Jun-16,16.00,16.36,15.81,15.96,308462
arlp,7-Jun-16,15.91,16.48,15.87,16.41,241208
arlp,8-Jun-16,16.50,16.79,16.01,16.25,247474
arlp,9-Jun-16,16.06,16.25,15.52,15.91,302073
arlp,10-Jun-16,15.69,15.85,14.93,15.00,338513
arlp,13-Jun-16,14.94,15.33,14.60,14.93,207765
arlp,14-Jun-16,14.88,15.08,14.36,14.80,273682
arlp,15-Jun-16,14.83,15.65,14.75,15.06,303057
arlp,16-Jun-16,14.89,15.03,14.14,14.79,326682
arlp,17-Jun-16,14.89,15.43,14.86,15.18,263392
