Date,Open,High,Low,Close,Volume
31-Mar-17,22.15,22.65,21.55,21.65,320732
30-Mar-17,21.65,22.80,21.50,22.20,340456
29-Mar-17,21.00,21.85,20.92,21.75,326906
28-Mar-17,20.80,21.30,20.62,20.85,326717
27-Mar-17,20.90,20.95,20.25,20.80,384274
24-Mar-17,21.50,21.50,20.85,21.15,454486
23-Mar-17,21.90,22.05,21.50,21.50,116141
22-Mar-17,21.55,22.00,21.33,21.90,196609
21-Mar-17,22.15,22.15,21.20,21.60,300705
20-Mar-17,21.80,22.40,21.65,22.15,324904
17-Mar-17,22.35,22.58,21.55,21.90,459314
16-Mar-17,22.50,22.70,21.90,22.30,215860
15-Mar-17,22.05,22.40,21.85,22.35,211244
14-Mar-17,21.95,22.20,21.80,21.90,118678
13-Mar-17,21.95,22.25,21.85,22.00,158161
10-Mar-17,21.05,21.95,21.00,21.80,325811
9-Mar-17,21.85,21.95,21.00,21.10,446545
8-Mar-17,22.10,22.45,21.65,21.95,206901
7-Mar-17,22.15,22.18,21.82,22.10,240307
6-Mar-17,22.50,22.80,22.10,22.15,328770
3-Mar-17,22.40,22.95,22.05,22.65,306529
2-Mar-17,23.30,23.40,22.25,22.40,600636
1-Mar-17,23.15,23.60,23.12,23.50,239499
28-Feb-17,23.45,23.60,22.68,22.85,304046
27-Feb-17,23.50,23.70,23.40,23.60,265911
24-Feb-17,23.35,23.60,23.00,23.50,243653
23-Feb-17,23.75,23.75,23.20,23.55,245843
22-Feb-17,24.10,24.30,23.20,23.55,294012
21-Feb-17,24.60,24.85,24.10,24.20,613291
17-Feb-17,24.25,24.50,24.05,24.30,331714
16-Feb-17,23.40,24.15,23.28,24.05,362783
15-Feb-17,23.15,23.70,23.00,23.60,181475
14-Feb-17,23.45,23.51,22.60,23.20,288348
13-Feb-17,23.80,23.89,23.00,23.35,383822
10-Feb-17,23.90,24.15,23.60,23.65,183482
9-Feb-17,23.80,24.30,23.55,23.70,205076
8-Feb-17,24.25,24.40,23.70,23.95,189976
7-Feb-17,23.90,24.60,23.85,24.30,431997
6-Feb-17,23.25,24.30,23.25,24.10,445143
3-Feb-17,23.55,23.80,23.00,23.25,580869
2-Feb-17,24.00,24.15,23.55,23.80,347695
1-Feb-17,23.85,24.21,23.00,23.80,569307
31-Jan-17,24.45,24.50,23.30,23.80,778248
30-Jan-17,25.00,25.55,23.75,24.45,784501
27-Jan-17,23.95,24.50,23.60,24.35,617717
26-Jan-17,23.15,23.80,23.00,23.60,308039
25-Jan-17,22.35,23.00,22.20,22.95,588392
24-Jan-17,21.90,22.35,21.75,22.20,393127
23-Jan-17,21.95,22.25,21.70,21.75,481767
20-Jan-17,22.20,22.37,21.82,22.05,233010
19-Jan-17,21.90,22.20,21.55,22.10,175908
18-Jan-17,22.20,22.60,21.65,21.80,263933
17-Jan-17,23.05,23.13,22.05,22.25,292144
13-Jan-17,22.90,23.25,22.55,22.85,203347
12-Jan-17,23.95,24.00,22.82,22.95,226399
11-Jan-17,22.90,24.05,22.60,23.95,342624
10-Jan-17,22.30,22.85,22.00,22.85,132742
9-Jan-17,22.45,22.72,22.05,22.20,229246
6-Jan-17,22.70,22.95,22.20,22.40,196279
5-Jan-17,22.75,22.93,21.90,22.60,226941
4-Jan-17,22.85,23.35,22.65,22.65,215235
3-Jan-17,22.65,23.00,22.20,22.80,218740
30-Dec-16,21.95,22.85,21.85,22.45,320946
29-Dec-16,22.30,22.52,21.65,21.95,274150
28-Dec-16,23.45,23.70,22.42,22.60,177988
27-Dec-16,23.10,23.60,22.75,23.40,170050
23-Dec-16,23.25,23.33,23.10,23.10,107189
22-Dec-16,22.65,23.70,22.65,23.25,212700
21-Dec-16,22.80,23.10,22.25,22.60,278898
20-Dec-16,23.35,23.50,22.75,22.95,254461
19-Dec-16,23.85,24.00,23.35,23.35,205231
16-Dec-16,24.25,24.35,23.65,23.80,542740
15-Dec-16,23.00,24.25,23.00,24.25,445366
14-Dec-16,23.00,23.77,22.85,23.00,355698
13-Dec-16,24.25,25.10,23.15,23.30,793922
12-Dec-16,25.25,25.95,24.05,24.25,614894
9-Dec-16,24.95,25.60,24.75,25.50,335476
8-Dec-16,25.95,25.95,24.75,25.00,509753
7-Dec-16,25.15,25.90,25.10,25.85,449062
6-Dec-16,25.00,25.15,24.55,25.05,380546
5-Dec-16,24.45,24.90,24.30,24.85,696750
2-Dec-16,23.15,24.15,23.10,24.10,233055
1-Dec-16,24.05,24.05,23.00,23.25,314429
30-Nov-16,24.40,24.65,23.52,23.70,447368
29-Nov-16,22.90,24.15,22.60,23.90,408343
28-Nov-16,22.40,23.50,22.10,23.25,309871
25-Nov-16,22.95,23.10,22.40,22.50,181504
23-Nov-16,23.65,23.90,23.10,23.15,211985
22-Nov-16,23.55,23.96,23.10,23.50,319731
21-Nov-16,23.80,24.10,23.35,23.35,346391
18-Nov-16,22.20,23.75,22.00,23.60,314034
17-Nov-16,23.40,24.10,21.95,22.00,695187
16-Nov-16,24.65,25.00,23.30,23.40,434649
15-Nov-16,24.75,25.10,24.30,24.60,376169
14-Nov-16,25.05,25.60,24.10,24.60,737035
11-Nov-16,26.00,26.30,24.16,24.60,579682
10-Nov-16,25.90,26.65,25.10,25.60,849362
9-Nov-16,23.45,25.25,23.10,25.20,1376619
8-Nov-16,22.70,22.90,21.40,21.50,418794
7-Nov-16,23.35,23.99,22.65,22.70,441517
4-Nov-16,23.20,23.85,23.00,23.35,219076
3-Nov-16,23.55,24.20,23.30,23.40,292711
2-Nov-16,24.25,24.50,23.55,23.95,375879
1-Nov-16,25.15,25.85,24.45,24.60,488670
31-Oct-16,24.40,25.10,24.00,25.00,263368
28-Oct-16,23.95,24.75,23.60,24.00,578608
27-Oct-16,23.50,24.00,23.05,23.50,348987
26-Oct-16,23.90,23.90,23.10,23.30,211897
25-Oct-16,23.60,24.00,23.25,23.85,280556
24-Oct-16,23.45,23.75,23.39,23.60,229285
21-Oct-16,23.95,23.95,23.40,23.45,194057
20-Oct-16,23.70,23.95,23.25,23.95,294521
19-Oct-16,23.70,23.85,23.30,23.75,452419
18-Oct-16,23.30,23.70,23.15,23.55,238810
17-Oct-16,22.90,23.45,22.84,22.90,231724
14-Oct-16,22.38,22.96,22.04,22.82,178284
13-Oct-16,21.93,22.34,21.50,22.20,351196
12-Oct-16,22.59,22.64,21.56,22.01,307750
11-Oct-16,22.47,22.96,22.32,22.67,315375
10-Oct-16,22.60,22.67,22.35,22.60,419242
7-Oct-16,22.45,22.54,22.12,22.25,333276
6-Oct-16,22.16,22.55,22.10,22.43,237204
5-Oct-16,21.47,22.33,21.42,22.25,202631
4-Oct-16,22.25,22.25,21.61,21.81,129792
