Date,Open,High,Low,Close,Volume
31-Mar-17,1.97,2.08,1.89,1.90,46834
30-Mar-17,2.09,2.10,2.03,2.05,15210
29-Mar-17,2.01,2.18,1.98,2.12,96457
28-Mar-17,2.14,2.15,2.01,2.03,28220
27-Mar-17,2.12,2.14,2.06,2.10,3557
24-Mar-17,2.16,2.16,1.97,2.14,33254
23-Mar-17,2.13,2.13,2.05,2.13,29568
22-Mar-17,2.02,2.09,1.99,2.06,22848
21-Mar-17,2.12,2.12,1.90,2.02,17070
20-Mar-17,2.03,2.20,2.03,2.09,9515
17-Mar-17,2.02,2.11,1.96,2.10,26143
16-Mar-17,1.95,2.24,1.85,1.97,40462
15-Mar-17,1.97,1.97,1.80,1.91,28054
14-Mar-17,1.85,1.96,1.85,1.93,21789
13-Mar-17,1.95,1.95,1.91,1.91,1319
10-Mar-17,2.02,2.04,1.81,1.91,21633
9-Mar-17,2.02,2.07,2.02,2.04,8537
8-Mar-17,2.01,2.06,2.01,2.02,4865
7-Mar-17,2.16,2.16,2.02,2.02,21093
6-Mar-17,2.09,2.13,2.03,2.12,14608
3-Mar-17,2.05,2.11,2.05,2.07,3167
2-Mar-17,2.19,2.19,2.03,2.06,26858
1-Mar-17,2.31,2.36,2.21,2.21,22657
28-Feb-17,2.25,2.34,2.21,2.26,18345
27-Feb-17,2.27,2.31,2.17,2.28,29463
24-Feb-17,2.31,2.36,2.26,2.28,3267
23-Feb-17,2.28,2.35,2.28,2.31,9662
22-Feb-17,2.29,2.40,2.26,2.27,19492
21-Feb-17,2.34,2.37,2.26,2.37,11350
17-Feb-17,2.32,2.37,2.29,2.32,6764
16-Feb-17,2.25,2.35,2.25,2.29,6230
15-Feb-17,2.33,2.41,2.24,2.24,12865
14-Feb-17,2.35,2.48,2.32,2.34,14557
13-Feb-17,2.60,2.60,2.41,2.41,29543
10-Feb-17,2.29,2.38,2.25,2.28,10094
9-Feb-17,2.42,2.42,2.27,2.33,14420
8-Feb-17,2.27,2.40,2.27,2.33,9195
7-Feb-17,2.23,2.40,2.23,2.33,13183
6-Feb-17,2.46,2.46,2.33,2.42,32814
3-Feb-17,2.50,2.50,2.44,2.46,9357
2-Feb-17,2.48,2.60,2.46,2.50,6878
1-Feb-17,2.38,2.48,2.38,2.43,14074
31-Jan-17,2.72,2.72,2.02,2.41,54712
30-Jan-17,2.60,3.09,2.60,2.75,137981
27-Jan-17,2.73,2.73,2.60,2.61,3914
26-Jan-17,2.55,2.75,2.55,2.75,21424
25-Jan-17,2.84,2.84,2.65,2.65,8779
24-Jan-17,2.80,2.84,2.80,2.84,3218
23-Jan-17,2.75,2.85,2.65,2.85,39282
20-Jan-17,2.97,3.00,2.75,2.78,38561
19-Jan-17,2.80,2.89,2.75,2.85,33941
18-Jan-17,2.88,3.28,2.88,2.90,75944
17-Jan-17,3.10,3.10,2.85,2.85,31143
13-Jan-17,2.87,3.21,2.76,3.08,41980
12-Jan-17,3.04,3.38,2.81,2.82,75109
11-Jan-17,2.75,3.29,2.75,2.94,80041
10-Jan-17,2.76,2.85,2.73,2.73,2090
9-Jan-17,2.70,2.84,2.70,2.84,1845
6-Jan-17,2.80,2.81,2.70,2.70,4859
5-Jan-17,2.70,2.90,2.70,2.85,4500
4-Jan-17,2.45,2.79,2.45,2.70,1919
