Date,Open,High,Low,Close,Volume
31-Mar-17,27.63,28.70,27.38,28.66,2342398
30-Mar-17,28.68,28.89,27.58,27.62,1807704
29-Mar-17,28.25,29.02,28.20,28.43,1944067
28-Mar-17,27.35,28.60,27.18,28.53,1430956
27-Mar-17,26.12,27.37,26.08,27.33,1072340
24-Mar-17,26.88,27.26,26.73,26.90,868063
23-Mar-17,26.70,27.38,26.50,26.80,1573186
22-Mar-17,27.13,27.48,26.60,26.95,1436824
21-Mar-17,28.76,28.76,27.35,27.38,1556903
20-Mar-17,28.21,28.76,27.64,28.71,1781195
17-Mar-17,28.63,29.25,28.29,28.43,1659236
16-Mar-17,29.10,29.16,28.25,28.52,979586
15-Mar-17,28.53,29.07,28.34,28.95,1641315
14-Mar-17,27.86,28.27,26.87,28.12,1743491
13-Mar-17,28.13,28.79,28.05,28.48,1226889
10-Mar-17,28.08,28.32,27.78,28.11,2140978
9-Mar-17,28.17,28.45,26.50,27.82,4537500
8-Mar-17,30.32,30.53,28.35,28.46,2992508
7-Mar-17,31.94,32.00,30.52,30.57,1348475
6-Mar-17,31.18,31.85,30.94,31.78,1405188
3-Mar-17,31.22,31.53,30.96,31.18,1081960
2-Mar-17,32.63,33.05,30.94,30.96,1511639
1-Mar-17,32.62,33.09,32.45,33.07,1530248
28-Feb-17,32.50,33.30,32.31,32.55,1224696
27-Feb-17,31.78,32.86,31.72,32.68,1366877
24-Feb-17,32.44,32.93,31.20,31.73,2727632
23-Feb-17,33.96,34.62,31.58,33.03,2580681
22-Feb-17,33.89,34.31,33.22,33.24,1584331
21-Feb-17,33.77,34.42,33.43,34.37,1062520
17-Feb-17,33.17,33.65,32.25,33.09,774491
16-Feb-17,34.48,34.78,33.31,33.37,816466
15-Feb-17,34.00,34.54,33.88,34.31,983306
14-Feb-17,34.05,34.35,33.37,34.34,1120823
13-Feb-17,33.84,34.38,33.47,34.01,867730
10-Feb-17,33.24,34.13,32.92,34.13,1195756
9-Feb-17,32.83,33.61,32.53,32.66,1725462
8-Feb-17,32.96,34.08,32.28,32.94,1380072
7-Feb-17,34.11,34.20,32.80,33.30,1884452
6-Feb-17,35.48,35.55,33.91,34.47,1124180
3-Feb-17,35.02,35.68,34.50,35.43,985619
2-Feb-17,34.61,35.02,33.72,34.79,1824172
1-Feb-17,35.70,36.23,34.54,34.72,1092225
31-Jan-17,35.55,35.85,34.83,35.36,847125
30-Jan-17,36.07,36.37,34.52,35.29,1305481
27-Jan-17,36.79,37.00,35.99,36.37,572711
26-Jan-17,36.72,37.47,36.55,37.14,1141777
25-Jan-17,36.46,37.18,36.41,36.48,624754
24-Jan-17,36.44,37.08,36.14,36.52,678594
23-Jan-17,35.82,36.37,35.65,36.21,808831
20-Jan-17,36.45,36.62,36.08,36.36,1135776
19-Jan-17,35.62,36.08,35.21,35.88,936221
18-Jan-17,35.79,36.32,35.28,35.54,1271904
17-Jan-17,36.81,36.95,36.02,36.34,1024980
13-Jan-17,36.48,36.70,35.99,36.41,704052
12-Jan-17,37.35,37.42,36.05,36.46,926865
11-Jan-17,36.49,36.89,35.72,36.77,959212
10-Jan-17,36.84,36.90,36.00,36.18,1305326
9-Jan-17,38.40,38.40,36.51,36.53,946498
6-Jan-17,39.37,39.48,38.56,38.80,943690
5-Jan-17,38.39,38.70,37.65,38.55,862473
4-Jan-17,37.73,38.38,37.28,38.16,900808
3-Jan-17,37.91,38.95,37.38,38.10,940170
30-Dec-16,37.55,38.20,37.12,37.35,687513
29-Dec-16,37.80,37.96,37.39,37.66,535386
28-Dec-16,39.11,39.27,37.78,37.94,650462
27-Dec-16,39.23,39.70,38.96,39.13,715935
23-Dec-16,39.40,39.60,38.86,39.23,747738
22-Dec-16,38.17,39.61,37.96,39.41,1012662
21-Dec-16,38.81,38.99,37.92,37.95,592628
20-Dec-16,39.24,39.31,38.35,38.50,762952
19-Dec-16,38.80,39.46,38.40,38.71,901133
16-Dec-16,40.00,40.14,38.85,39.05,2097232
15-Dec-16,38.56,40.05,37.53,39.69,1453320
14-Dec-16,39.38,40.29,38.83,38.94,1806341
13-Dec-16,40.02,41.11,39.14,40.12,1546058
12-Dec-16,42.47,42.75,39.45,39.61,1679253
9-Dec-16,41.60,41.60,40.15,40.28,1123512
8-Dec-16,41.27,41.56,40.02,41.29,1347274
7-Dec-16,41.31,41.45,40.31,41.03,1083495
6-Dec-16,40.53,41.61,40.07,41.18,1723687
5-Dec-16,42.25,42.52,40.46,40.65,1332201
2-Dec-16,41.92,42.34,41.20,41.39,1372469
1-Dec-16,43.95,43.96,41.48,42.34,2173341
30-Nov-16,39.23,42.44,38.03,42.34,3973091
29-Nov-16,35.10,36.07,34.63,35.17,1388781
28-Nov-16,38.82,38.82,36.14,36.22,1174401
25-Nov-16,38.99,39.28,37.99,38.27,293318
23-Nov-16,38.68,39.56,38.48,39.36,720990
22-Nov-16,39.67,39.70,38.09,39.13,1029264
21-Nov-16,38.22,39.55,37.88,39.54,1323457
18-Nov-16,36.53,37.52,36.42,37.07,979147
17-Nov-16,37.23,37.84,36.01,36.26,1051314
16-Nov-16,37.57,38.11,36.37,36.57,1171679
15-Nov-16,37.15,38.96,36.98,37.80,1772115
14-Nov-16,35.61,36.60,35.20,36.51,1211224
11-Nov-16,36.45,36.82,35.19,36.39,1174221
10-Nov-16,37.48,37.55,36.13,36.82,1644982
9-Nov-16,35.72,37.56,35.43,37.35,1809863
8-Nov-16,35.09,36.07,34.59,35.72,1596449
7-Nov-16,34.87,35.23,34.12,35.18,2362572
4-Nov-16,34.18,34.47,32.94,33.60,2552117
3-Nov-16,33.86,34.50,32.85,34.41,2436923
2-Nov-16,33.00,33.67,32.00,33.23,1978040
1-Nov-16,34.56,34.92,32.71,33.56,1746929
31-Oct-16,34.99,34.99,33.63,33.83,1713771
28-Oct-16,36.32,36.93,35.10,35.45,1067130
27-Oct-16,36.65,36.96,36.00,36.47,1491338
26-Oct-16,36.83,37.13,35.15,36.01,3487570
25-Oct-16,37.73,38.15,36.89,37.06,8856670
24-Oct-16,39.94,40.41,38.20,38.87,1155300
21-Oct-16,40.03,40.55,39.47,40.12,864651
20-Oct-16,39.81,40.82,38.92,40.33,1658286
19-Oct-16,39.84,41.05,39.55,40.10,1518775
18-Oct-16,40.01,40.64,38.33,38.92,1786764
17-Oct-16,39.82,40.34,39.35,39.81,952259
14-Oct-16,40.67,40.88,39.78,39.89,848163
13-Oct-16,40.18,41.05,40.06,40.43,1732547
12-Oct-16,42.09,42.09,41.00,41.40,1568434
11-Oct-16,42.49,42.57,41.52,42.47,1521181
10-Oct-16,41.95,43.56,41.81,42.86,1443357
7-Oct-16,41.44,41.80,40.88,41.27,1329070
6-Oct-16,41.66,42.22,40.77,41.48,1704544
5-Oct-16,41.35,42.16,41.10,41.53,1184269
4-Oct-16,41.22,41.64,40.26,40.63,1330723
3-Oct-16,40.60,41.60,39.98,41.12,1552361
30-Sep-16,40.25,41.17,39.65,40.62,1379322
29-Sep-16,37.68,40.99,37.63,39.85,2846228
28-Sep-16,34.57,37.95,34.33,37.56,2848417
27-Sep-16,34.00,34.37,33.49,34.22,1526975
26-Sep-16,34.22,35.59,34.00,34.78,1575587
23-Sep-16,35.55,36.17,33.67,34.20,1699252
22-Sep-16,35.66,36.62,35.61,35.88,1479638
21-Sep-16,34.27,35.14,34.21,34.95,1582524
20-Sep-16,34.07,34.34,33.16,33.44,999790
19-Sep-16,34.63,35.18,34.06,34.21,1150015
16-Sep-16,33.63,34.30,33.13,34.22,1521174
15-Sep-16,33.90,34.88,33.67,34.23,1961346
14-Sep-16,34.61,35.19,33.37,33.63,1697234
13-Sep-16,36.50,37.04,34.44,34.77,1938899
12-Sep-16,37.19,37.64,36.69,37.36,1648570
9-Sep-16,39.54,40.10,37.79,37.79,1518038
8-Sep-16,40.28,40.74,39.43,40.23,1445590
7-Sep-16,40.12,40.29,39.14,39.63,1344157
6-Sep-16,39.86,40.38,39.20,39.81,1566654
2-Sep-16,38.90,39.74,38.60,39.57,1390096
1-Sep-16,38.02,38.27,37.24,38.15,1282266
31-Aug-16,38.60,39.23,37.95,38.29,1923755
30-Aug-16,39.42,40.00,38.68,38.91,1573848
29-Aug-16,37.76,39.10,37.50,38.84,2091471
26-Aug-16,36.62,38.14,36.45,38.00,2266082
25-Aug-16,35.76,37.17,35.67,36.58,1640875
24-Aug-16,35.76,36.48,35.62,35.75,1177070
23-Aug-16,35.72,36.80,35.49,36.12,1482401
22-Aug-16,36.44,37.06,35.65,35.92,1171363
19-Aug-16,37.71,38.35,36.71,37.15,1321398
18-Aug-16,36.94,38.44,36.65,38.31,2032093
17-Aug-16,37.42,38.24,35.81,36.54,1900190
16-Aug-16,37.43,38.44,36.21,37.52,2075455
15-Aug-16,36.94,38.60,36.56,37.80,1830211
