Date,Open,High,Low,Close,Volume
31-Mar-17,17.00,17.50,16.95,17.20,33543
30-Mar-17,17.35,17.40,17.00,17.10,23751
29-Mar-17,17.00,17.45,16.94,17.40,16302
28-Mar-17,16.90,17.20,16.65,17.05,27236
27-Mar-17,17.50,17.53,16.85,17.00,46566
24-Mar-17,17.35,17.75,17.30,17.35,41748
23-Mar-17,17.30,17.75,17.30,17.40,38964
22-Mar-17,17.30,17.43,17.30,17.35,22598
21-Mar-17,17.40,17.95,17.30,17.35,38682
20-Mar-17,17.50,17.60,17.05,17.55,37131
17-Mar-17,19.00,19.10,17.10,17.50,621113
16-Mar-17,18.25,19.02,17.60,18.95,149523
15-Mar-17,17.70,18.60,17.30,18.40,159264
14-Mar-17,17.60,18.00,17.09,17.60,113266
13-Mar-17,16.65,18.10,16.40,17.75,261687
10-Mar-17,16.75,16.75,16.10,16.45,73819
9-Mar-17,16.00,16.95,15.70,16.55,61468
8-Mar-17,16.40,16.45,16.10,16.15,50590
7-Mar-17,16.30,16.38,16.20,16.30,14703
6-Mar-17,16.50,16.50,16.20,16.30,39509
3-Mar-17,16.50,16.50,16.15,16.35,23487
2-Mar-17,16.40,16.45,16.10,16.45,54144
1-Mar-17,16.50,16.62,16.25,16.35,29435
28-Feb-17,16.70,16.70,16.25,16.45,32769
27-Feb-17,17.00,17.00,16.50,16.70,34961
24-Feb-17,17.15,17.15,16.50,16.80,40920
23-Feb-17,17.30,17.43,16.55,17.10,55239
22-Feb-17,18.10,18.15,17.00,17.25,53566
21-Feb-17,17.00,18.10,16.90,18.10,90458
17-Feb-17,16.75,17.75,16.50,16.85,177566
16-Feb-17,15.85,16.25,15.50,16.10,96401
15-Feb-17,16.10,16.15,15.55,15.95,61741
14-Feb-17,16.15,16.20,16.05,16.10,32431
13-Feb-17,16.60,17.00,16.20,16.20,63091
10-Feb-17,16.60,16.87,16.55,16.60,39314
9-Feb-17,16.25,16.72,16.15,16.60,28513
8-Feb-17,16.35,16.60,16.00,16.30,39194
7-Feb-17,16.65,16.80,16.10,16.30,56165
6-Feb-17,16.85,17.00,16.35,16.60,62062
3-Feb-17,16.95,17.00,16.25,16.85,68264
2-Feb-17,17.20,17.55,16.75,16.95,39804
1-Feb-17,17.25,17.50,16.75,17.30,115026
31-Jan-17,17.30,17.40,16.95,17.35,40639
30-Jan-17,17.65,18.00,16.90,17.25,68343
27-Jan-17,18.00,18.10,17.65,17.80,29763
26-Jan-17,18.30,18.65,17.65,18.00,58481
25-Jan-17,18.55,18.75,18.25,18.60,28383
24-Jan-17,18.35,18.80,18.35,18.45,27655
23-Jan-17,18.70,18.70,18.18,18.30,34253
20-Jan-17,17.95,18.55,17.95,18.45,23761
19-Jan-17,18.20,18.50,17.80,17.90,33048
18-Jan-17,18.75,18.75,18.28,18.35,17803
17-Jan-17,18.20,18.95,18.20,18.70,72167
13-Jan-17,18.15,18.35,18.00,18.35,33449
12-Jan-17,17.75,18.15,17.60,18.10,27908
11-Jan-17,17.45,18.05,17.40,17.70,19082
10-Jan-17,17.70,18.15,17.45,17.55,53837
9-Jan-17,18.00,18.03,17.55,17.75,44004
6-Jan-17,17.90,18.05,17.40,17.90,43752
5-Jan-17,17.75,18.22,17.63,17.75,21323
4-Jan-17,17.70,17.95,17.15,17.75,36508
3-Jan-17,17.85,18.46,17.53,17.55,41549
30-Dec-16,17.40,18.12,17.40,17.55,42044
29-Dec-16,18.00,18.20,17.45,17.60,43773
28-Dec-16,18.10,18.50,18.00,18.00,33457
27-Dec-16,18.05,18.60,18.05,18.20,51534
23-Dec-16,18.15,18.60,17.90,18.30,88460
22-Dec-16,18.90,18.90,18.15,18.20,78899
21-Dec-16,18.65,19.30,18.35,19.30,56133
20-Dec-16,18.15,18.80,18.15,18.50,67036
19-Dec-16,17.45,18.34,17.41,18.00,72901
16-Dec-16,16.85,17.35,16.85,17.35,43059
15-Dec-16,16.80,17.20,16.80,17.00,34411
14-Dec-16,17.10,17.10,16.80,16.80,18126
13-Dec-16,17.05,17.35,16.85,17.35,30004
12-Dec-16,16.80,17.18,16.55,17.00,59254
9-Dec-16,16.75,16.95,16.50,16.75,16156
8-Dec-16,16.55,17.20,16.45,16.65,53165
7-Dec-16,16.50,17.00,16.06,16.80,66868
6-Dec-16,17.10,17.25,16.55,16.65,52665
5-Dec-16,16.90,17.45,16.90,17.20,48938
2-Dec-16,17.00,17.30,16.75,16.95,35752
1-Dec-16,16.80,17.25,16.70,16.85,53593
30-Nov-16,16.60,17.25,16.40,16.65,92803
29-Nov-16,16.10,16.70,15.85,16.15,52092
28-Nov-16,16.45,17.15,16.25,16.35,56056
25-Nov-16,17.00,17.10,16.60,16.85,25753
23-Nov-16,16.65,16.95,16.56,16.95,8022
22-Nov-16,16.85,17.50,16.52,16.65,52967
21-Nov-16,15.95,16.95,15.95,16.70,70112
18-Nov-16,15.95,16.22,15.80,15.95,14508
17-Nov-16,15.95,16.32,15.55,15.95,34057
16-Nov-16,15.80,16.30,15.35,16.15,78128
15-Nov-16,15.55,16.42,15.25,15.95,110125
14-Nov-16,15.25,15.55,15.25,15.40,33472
11-Nov-16,15.65,15.70,15.17,15.30,39746
10-Nov-16,15.50,15.70,15.07,15.55,25102
9-Nov-16,14.60,15.50,14.54,15.35,75928
8-Nov-16,14.65,15.10,14.45,14.90,54047
7-Nov-16,14.70,15.15,14.60,14.95,69470
4-Nov-16,14.45,15.30,14.45,14.75,45609
3-Nov-16,15.00,15.22,14.90,14.90,47426
2-Nov-16,15.00,15.10,14.75,14.90,49547
1-Nov-16,14.90,15.20,14.90,15.10,71568
31-Oct-16,15.10,15.65,14.75,14.85,33033
28-Oct-16,15.25,15.50,15.05,15.20,38231
27-Oct-16,15.10,15.50,15.10,15.25,17511
26-Oct-16,15.40,15.80,15.10,15.25,25553
25-Oct-16,15.40,15.70,15.00,15.65,42141
24-Oct-16,14.90,15.63,14.90,15.20,49557
21-Oct-16,15.80,16.82,14.85,14.90,210594
20-Oct-16,15.80,16.53,15.80,16.00,35338
19-Oct-16,16.00,16.75,15.80,16.10,71992
18-Oct-16,15.80,16.30,15.80,16.00,25166
17-Oct-16,16.35,16.41,15.62,15.65,48725
14-Oct-16,16.75,17.18,16.18,16.37,24558
13-Oct-16,17.33,17.40,16.73,16.79,59281
12-Oct-16,16.68,17.95,16.68,17.60,119782
11-Oct-16,16.68,16.86,16.39,16.60,31317
10-Oct-16,16.56,16.92,16.55,16.70,24087
7-Oct-16,16.10,16.65,16.06,16.46,41525
6-Oct-16,15.80,16.44,15.64,16.00,49464
5-Oct-16,15.64,16.57,15.42,15.78,68965
4-Oct-16,15.68,16.26,15.48,15.90,53902
3-Oct-16,15.35,15.85,15.24,15.66,38425
30-Sep-16,15.54,16.10,15.16,15.41,40568
29-Sep-16,15.41,16.18,15.35,15.47,29628
28-Sep-16,15.15,15.71,15.02,15.46,29456
27-Sep-16,15.46,15.71,15.13,15.15,38855
26-Sep-16,15.37,15.73,15.03,15.50,19234
23-Sep-16,15.37,15.70,15.03,15.37,18559
22-Sep-16,15.39,16.18,15.26,15.29,30048
21-Sep-16,15.15,15.68,15.07,15.39,28213
20-Sep-16,14.92,15.30,14.92,15.01,13913
19-Sep-16,14.84,15.27,14.81,14.98,19091
16-Sep-16,14.71,15.03,14.71,14.72,19715
15-Sep-16,15.05,15.58,14.74,14.91,32281
14-Sep-16,14.78,15.01,14.68,14.90,23300
13-Sep-16,15.02,15.10,14.73,14.73,25593
12-Sep-16,14.94,15.34,14.85,15.24,41955
9-Sep-16,15.20,15.36,15.01,15.01,16836
8-Sep-16,15.47,15.67,15.04,15.42,67424
7-Sep-16,15.08,15.47,14.97,15.28,38286
6-Sep-16,14.88,15.28,14.56,15.06,51589
2-Sep-16,14.83,15.30,14.70,14.81,14010
1-Sep-16,14.76,15.13,14.31,14.84,43467
31-Aug-16,15.19,15.57,14.56,14.89,31276
30-Aug-16,15.19,15.71,15.19,15.19,19855
29-Aug-16,15.20,15.47,15.07,15.19,25071
26-Aug-16,15.29,15.70,15.11,15.15,33983
25-Aug-16,15.73,15.80,15.26,15.35,17504
24-Aug-16,16.26,16.42,15.57,15.82,37674
23-Aug-16,16.20,16.74,16.14,16.36,37643
22-Aug-16,15.80,16.43,15.74,16.23,41295
19-Aug-16,15.83,15.95,15.66,15.82,11122
18-Aug-16,15.66,15.99,15.51,15.91,53444
17-Aug-16,15.51,15.72,15.25,15.57,23985
16-Aug-16,15.71,15.79,15.42,15.50,35650
15-Aug-16,15.58,15.96,15.58,15.81,31191
12-Aug-16,15.89,15.97,15.51,15.55,24185
11-Aug-16,15.51,15.77,15.30,15.76,33955
10-Aug-16,15.73,15.79,15.20,15.34,22455
9-Aug-16,15.88,15.97,15.49,15.82,29989
8-Aug-16,15.75,15.99,15.66,15.74,30522
5-Aug-16,15.05,15.79,14.87,15.53,44674
4-Aug-16,15.06,15.35,14.78,15.05,27983
3-Aug-16,14.41,15.27,14.30,15.27,35438
2-Aug-16,14.64,14.67,14.28,14.50,21840
1-Aug-16,14.72,14.95,14.50,14.54,25584
29-Jul-16,14.66,14.93,14.42,14.93,30115
28-Jul-16,14.86,14.95,14.51,14.62,17105
27-Jul-16,15.10,15.10,14.97,15.00,25161
26-Jul-16,14.91,15.19,14.91,15.09,18789
25-Jul-16,14.71,15.18,14.55,14.91,35417
22-Jul-16,14.59,15.19,14.52,14.71,34888
21-Jul-16,14.56,14.66,14.46,14.52,34001
20-Jul-16,14.23,14.69,14.13,14.56,30792
19-Jul-16,14.52,14.52,14.26,14.26,16972
18-Jul-16,14.25,14.66,14.25,14.43,13344
15-Jul-16,14.79,14.79,14.27,14.39,42875
14-Jul-16,14.23,14.95,14.00,14.87,59682
13-Jul-16,14.51,14.54,14.05,14.19,29255
12-Jul-16,14.29,14.73,14.19,14.52,37524
11-Jul-16,14.11,14.41,14.00,14.12,29334
8-Jul-16,14.10,14.43,13.57,14.13,47583
7-Jul-16,14.10,14.44,13.73,13.94,17058
6-Jul-16,13.70,14.15,13.66,14.04,23561
5-Jul-16,14.11,14.44,13.55,13.70,18585
1-Jul-16,14.50,14.66,14.13,14.28,46888
