Date,Open,High,Low,Close,Volume
31-Mar-17,1.82,1.88,1.72,1.85,19700
30-Mar-17,1.92,1.94,1.79,1.85,46180
29-Mar-17,1.85,1.94,1.85,1.91,40647
28-Mar-17,1.76,1.87,1.73,1.83,23277
27-Mar-17,1.73,1.77,1.66,1.77,12517
24-Mar-17,1.63,1.77,1.62,1.72,12851
23-Mar-17,1.69,1.82,1.69,1.77,115902
22-Mar-17,1.70,1.80,1.63,1.70,39920
21-Mar-17,1.76,1.89,1.70,1.72,63473
20-Mar-17,1.87,1.88,1.79,1.83,61412
17-Mar-17,1.93,1.93,1.86,1.90,62939
16-Mar-17,1.90,1.96,1.89,1.94,46352
15-Mar-17,1.92,1.93,1.86,1.90,59255
14-Mar-17,2.04,2.04,1.89,1.94,46061
13-Mar-17,2.02,2.02,1.99,2.02,64903
10-Mar-17,1.99,2.06,1.92,2.00,95300
9-Mar-17,2.18,2.25,1.90,2.00,225045
8-Mar-17,2.27,2.38,2.25,2.26,62655
7-Mar-17,2.16,2.37,2.16,2.26,72469
6-Mar-17,2.22,2.28,2.08,2.16,148870
3-Mar-17,2.42,2.42,2.25,2.28,36336
2-Mar-17,2.30,2.45,2.27,2.45,56681
1-Mar-17,2.43,2.49,2.32,2.33,107453
28-Feb-17,2.40,2.52,2.40,2.42,104388
27-Feb-17,2.25,2.44,2.25,2.38,124735
24-Feb-17,2.26,2.29,2.07,2.18,170390
23-Feb-17,2.43,2.44,2.25,2.34,115268
22-Feb-17,2.40,2.46,2.35,2.42,84890
21-Feb-17,2.55,2.55,2.36,2.42,177189
17-Feb-17,2.59,2.61,2.50,2.55,165158
16-Feb-17,2.81,2.81,2.53,2.65,151106
15-Feb-17,2.92,2.92,2.82,2.83,79201
14-Feb-17,2.85,2.95,2.79,2.89,90574
13-Feb-17,2.89,2.99,2.82,2.87,178312
10-Feb-17,2.97,3.07,2.75,2.81,375915
9-Feb-17,2.71,3.10,2.67,2.89,657893
8-Feb-17,2.66,2.72,2.66,2.67,103160
7-Feb-17,2.71,2.75,2.67,2.67,83418
6-Feb-17,2.68,2.73,2.65,2.68,74024
3-Feb-17,2.74,2.78,2.68,2.69,103664
2-Feb-17,2.76,2.78,2.68,2.71,68949
1-Feb-17,2.76,2.85,2.66,2.74,119041
31-Jan-17,2.77,2.80,2.67,2.78,106653
30-Jan-17,2.82,2.85,2.64,2.75,117044
27-Jan-17,2.90,2.96,2.72,2.88,225774
26-Jan-17,2.71,2.95,2.70,2.92,359582
25-Jan-17,2.44,2.74,2.42,2.67,465261
24-Jan-17,2.20,2.50,2.17,2.41,245184
23-Jan-17,2.24,2.37,2.16,2.16,118309
20-Jan-17,2.21,2.39,2.16,2.33,29183
19-Jan-17,2.35,2.40,2.29,2.32,36866
18-Jan-17,2.25,2.43,2.22,2.33,87002
17-Jan-17,2.23,2.30,2.05,2.22,186575
13-Jan-17,2.28,2.39,2.02,2.36,144280
12-Jan-17,2.42,2.45,2.31,2.32,57167
11-Jan-17,2.35,2.45,2.31,2.41,44930
10-Jan-17,2.63,2.63,1.99,2.33,478287
9-Jan-17,2.61,2.66,2.54,2.61,182090
6-Jan-17,2.80,2.80,2.51,2.52,201321
5-Jan-17,2.65,2.89,2.52,2.79,412138
4-Jan-17,2.77,2.78,2.58,2.65,216607
3-Jan-17,2.49,2.80,2.43,2.77,598738
30-Dec-16,2.30,2.44,2.30,2.39,121557
29-Dec-16,2.44,2.48,2.24,2.28,114459
28-Dec-16,2.46,2.49,2.21,2.42,296386
27-Dec-16,1.95,2.72,1.95,2.46,1748251
23-Dec-16,1.97,1.97,1.89,1.92,75783
22-Dec-16,1.94,2.00,1.80,1.95,104177
21-Dec-16,1.94,2.10,1.83,1.85,250309
20-Dec-16,1.77,1.93,1.77,1.90,245727
19-Dec-16,1.65,1.80,1.64,1.73,95145
16-Dec-16,1.65,1.65,1.59,1.63,65890
15-Dec-16,1.60,1.67,1.55,1.65,65385
14-Dec-16,1.64,1.73,1.52,1.57,73611
13-Dec-16,1.72,1.79,1.62,1.65,74035
12-Dec-16,1.95,1.95,1.65,1.71,92752
9-Dec-16,1.69,1.85,1.68,1.80,162630
8-Dec-16,1.48,1.77,1.48,1.68,350349
7-Dec-16,1.38,1.50,1.37,1.47,81418
6-Dec-16,1.36,1.44,1.36,1.39,50278
5-Dec-16,1.40,1.43,1.36,1.37,107910
2-Dec-16,1.36,1.40,1.35,1.36,176360
1-Dec-16,1.33,1.47,1.33,1.36,130480
30-Nov-16,1.40,1.44,1.34,1.34,109240
29-Nov-16,1.39,1.52,1.32,1.40,84081
28-Nov-16,1.32,1.35,1.24,1.24,32653
25-Nov-16,1.26,1.32,1.25,1.29,10335
23-Nov-16,1.28,1.33,1.24,1.27,26937
22-Nov-16,1.25,1.35,1.25,1.31,14365
21-Nov-16,1.31,1.34,1.23,1.26,23978
18-Nov-16,1.36,1.48,1.20,1.30,40538
17-Nov-16,1.39,1.40,1.30,1.37,27484
16-Nov-16,1.37,1.41,1.37,1.40,19524
15-Nov-16,1.40,1.40,1.36,1.38,19380
14-Nov-16,1.38,1.44,1.35,1.38,30467
11-Nov-16,1.41,1.41,1.36,1.40,23870
10-Nov-16,1.41,1.45,1.36,1.40,59389
9-Nov-16,1.35,1.40,1.32,1.40,63280
8-Nov-16,1.35,1.40,1.34,1.36,11723
7-Nov-16,1.32,1.42,1.32,1.36,22630
4-Nov-16,1.35,1.35,1.32,1.32,6710
3-Nov-16,1.33,1.42,1.33,1.33,34184
2-Nov-16,1.31,1.36,1.30,1.32,8254
1-Nov-16,1.40,1.40,1.30,1.30,13175
31-Oct-16,1.38,1.44,1.36,1.43,6249
28-Oct-16,1.40,1.44,1.39,1.39,9956
27-Oct-16,1.46,1.46,1.41,1.41,4125
26-Oct-16,1.46,1.48,1.44,1.44,17157
25-Oct-16,1.50,1.50,1.47,1.48,7020
24-Oct-16,1.50,1.50,1.47,1.49,16425
21-Oct-16,1.50,1.52,1.49,1.49,16635
20-Oct-16,1.50,1.50,1.49,1.50,8404
19-Oct-16,1.52,1.52,1.49,1.50,10688
18-Oct-16,1.49,1.50,1.48,1.48,12519
17-Oct-16,1.49,1.53,1.46,1.46,2056
14-Oct-16,1.47,1.50,1.45,1.47,23723
13-Oct-16,1.49,1.53,1.47,1.47,11424
12-Oct-16,1.50,1.56,1.48,1.51,12504
11-Oct-16,1.57,1.57,1.51,1.51,8029
10-Oct-16,1.60,1.60,1.48,1.55,16328
7-Oct-16,1.54,1.59,1.54,1.59,1360
6-Oct-16,1.50,1.57,1.49,1.56,27710
5-Oct-16,1.52,1.55,1.51,1.51,14093
4-Oct-16,1.49,1.56,1.48,1.48,17466
3-Oct-16,1.46,1.58,1.46,1.52,13809
30-Sep-16,1.45,1.57,1.45,1.51,52328
29-Sep-16,1.60,1.61,1.44,1.44,19209
28-Sep-16,1.62,1.62,1.58,1.59,17633
27-Sep-16,1.59,1.63,1.55,1.63,15409
26-Sep-16,1.65,1.65,1.53,1.56,49886
23-Sep-16,1.65,1.66,1.57,1.63,19718
22-Sep-16,1.71,1.71,1.58,1.58,20798
21-Sep-16,1.55,1.72,1.55,1.69,106215
20-Sep-16,1.59,1.59,1.51,1.53,29505
19-Sep-16,1.55,1.60,1.53,1.59,37843
16-Sep-16,1.43,1.55,1.40,1.55,83716
15-Sep-16,1.45,1.47,1.40,1.44,29612
14-Sep-16,1.41,1.50,1.40,1.40,34629
13-Sep-16,1.43,1.49,1.40,1.40,25041
12-Sep-16,1.42,1.50,1.41,1.42,20234
9-Sep-16,1.42,1.49,1.41,1.42,23464
8-Sep-16,1.45,1.52,1.40,1.41,7192
7-Sep-16,1.51,1.54,1.43,1.43,46236
6-Sep-16,1.49,1.51,1.46,1.49,25998
2-Sep-16,1.44,1.50,1.44,1.50,21660
1-Sep-16,1.45,1.50,1.42,1.44,25030
31-Aug-16,1.42,1.49,1.41,1.49,26564
30-Aug-16,1.43,1.46,1.39,1.44,18400
29-Aug-16,1.43,1.45,1.36,1.40,24949
26-Aug-16,1.40,1.45,1.35,1.45,55748
25-Aug-16,1.29,1.45,1.29,1.36,26470
24-Aug-16,1.29,1.34,1.28,1.29,43258
23-Aug-16,1.30,1.33,1.27,1.31,59271
22-Aug-16,1.27,1.32,1.27,1.30,24083
19-Aug-16,1.27,1.30,1.24,1.27,81701
18-Aug-16,1.30,1.30,1.24,1.30,28102
17-Aug-16,1.31,1.34,1.30,1.31,38391
16-Aug-16,1.34,1.35,1.29,1.29,43879
15-Aug-16,1.28,1.32,1.28,1.32,54815
12-Aug-16,1.32,1.32,1.28,1.30,28293
11-Aug-16,1.30,1.31,1.27,1.29,77507
10-Aug-16,1.37,1.37,1.25,1.27,24919
9-Aug-16,1.32,1.35,1.27,1.34,56313
8-Aug-16,1.17,1.51,1.17,1.32,160326
5-Aug-16,1.35,1.40,1.15,1.16,124296
4-Aug-16,1.45,1.47,1.32,1.39,57106
3-Aug-16,1.51,1.53,1.48,1.51,26321
2-Aug-16,1.55,1.56,1.46,1.54,38347
1-Aug-16,1.52,1.55,1.42,1.55,56163
29-Jul-16,1.50,1.58,1.43,1.48,93685
28-Jul-16,1.35,1.55,1.30,1.52,207977
27-Jul-16,1.34,1.35,1.30,1.34,38793
26-Jul-16,1.22,1.31,1.22,1.30,67386
25-Jul-16,1.21,1.33,1.09,1.25,193318
22-Jul-16,1.22,1.25,1.07,1.22,115086
21-Jul-16,1.22,1.25,1.20,1.22,14377
20-Jul-16,1.20,1.29,1.17,1.22,20286
19-Jul-16,1.21,1.27,1.21,1.22,8553
18-Jul-16,1.20,1.26,1.19,1.21,20715
15-Jul-16,1.25,1.25,1.21,1.21,5389
14-Jul-16,1.23,1.25,1.20,1.22,11511
13-Jul-16,1.23,1.29,1.21,1.25,12513
12-Jul-16,1.32,1.35,1.20,1.27,17819
11-Jul-16,1.26,1.30,1.22,1.30,16246
8-Jul-16,1.20,1.25,1.19,1.25,44802
7-Jul-16,1.20,1.24,1.20,1.22,6452
6-Jul-16,1.20,1.20,1.20,1.20,405
5-Jul-16,1.21,1.24,1.20,1.24,25586
1-Jul-16,1.20,1.29,1.20,1.25,6500
30-Jun-16,1.35,1.35,1.20,1.20,8679
29-Jun-16,1.26,1.26,1.20,1.21,12937
28-Jun-16,1.18,1.26,1.18,1.26,21360
27-Jun-16,1.16,1.18,1.15,1.18,22416
24-Jun-16,1.24,1.33,1.16,1.18,44447
23-Jun-16,1.30,1.32,1.26,1.26,7323
22-Jun-16,1.29,1.29,1.26,1.28,4600
21-Jun-16,1.22,1.28,1.22,1.24,5413
20-Jun-16,1.29,1.30,1.23,1.28,13988
17-Jun-16,1.26,1.29,1.21,1.29,8451
16-Jun-16,1.21,1.26,1.21,1.22,6174
15-Jun-16,1.21,1.26,1.21,1.22,3105
14-Jun-16,1.20,1.27,1.20,1.21,19703
13-Jun-16,1.27,1.28,1.21,1.21,7226
10-Jun-16,1.28,1.30,1.23,1.30,25464
9-Jun-16,1.25,1.32,1.25,1.28,38313
8-Jun-16,1.10,1.24,1.10,1.24,40025
7-Jun-16,1.09,1.15,1.08,1.13,27824
6-Jun-16,1.11,1.12,1.06,1.07,26562
3-Jun-16,1.08,1.11,1.08,1.11,3018
2-Jun-16,1.05,1.11,0.97,1.05,12363
1-Jun-16,1.09,1.12,0.97,1.04,18925
31-May-16,1.11,1.14,1.02,1.08,16416
27-May-16,1.13,1.13,1.10,1.10,16103
26-May-16,1.16,1.16,1.13,1.13,10439
25-May-16,1.17,1.17,1.13,1.16,5203
24-May-16,1.14,1.18,1.13,1.17,4695
23-May-16,1.10,1.19,1.10,1.11,4549
20-May-16,1.18,1.20,1.10,1.10,26840
19-May-16,1.13,1.21,1.13,1.16,3793
18-May-16,1.12,1.17,1.07,1.16,12894
17-May-16,1.11,1.20,1.11,1.17,12561
16-May-16,1.19,1.21,1.16,1.16,20672
13-May-16,1.25,1.25,1.18,1.21,8621
12-May-16,1.29,1.37,1.25,1.25,33640
11-May-16,1.30,1.37,1.30,1.31,9314
10-May-16,1.25,1.38,1.25,1.29,13285
9-May-16,1.35,1.40,1.26,1.26,11962
6-May-16,1.36,1.39,1.30,1.39,10353
5-May-16,1.37,1.41,1.35,1.40,22213
4-May-16,1.33,1.41,1.32,1.34,10623
3-May-16,1.36,1.39,1.27,1.31,17409
2-May-16,1.41,1.41,1.29,1.34,23189
29-Apr-16,1.38,1.42,1.35,1.39,21110
28-Apr-16,1.36,1.38,1.35,1.35,11158
27-Apr-16,1.35,1.35,1.29,1.30,13593
26-Apr-16,1.33,1.37,1.32,1.32,15474
25-Apr-16,1.35,1.38,1.29,1.37,22883
22-Apr-16,1.36,1.38,1.30,1.30,39917
21-Apr-16,1.19,1.34,1.19,1.34,29222
20-Apr-16,1.34,1.34,1.22,1.22,18825
19-Apr-16,1.24,1.35,1.24,1.30,46085
18-Apr-16,1.22,1.24,1.12,1.21,13687
15-Apr-16,1.20,1.20,1.15,1.15,17549
14-Apr-16,1.13,1.20,1.08,1.20,7540
13-Apr-16,1.16,1.16,1.09,1.16,5283
12-Apr-16,1.08,1.14,1.07,1.14,10739
11-Apr-16,1.08,1.09,1.06,1.06,27491
8-Apr-16,1.08,1.10,1.08,1.08,12022
7-Apr-16,1.01,1.06,1.01,1.04,34620
6-Apr-16,1.12,1.14,1.01,1.04,14720
5-Apr-16,1.09,1.14,1.08,1.08,7777
4-Apr-16,1.11,1.11,1.04,1.07,8041
