Date,Open,High,Low,Close,Volume
31-Mar-17,11.50,11.75,11.50,11.55,31332
30-Mar-17,11.40,11.90,11.40,11.55,32993
29-Mar-17,10.55,11.45,10.55,11.35,30970
28-Mar-17,11.30,11.32,10.55,10.55,47744
27-Mar-17,10.30,11.30,10.20,11.25,66610
24-Mar-17,10.70,10.90,10.25,10.25,57056
23-Mar-17,10.35,10.75,10.30,10.75,47701
22-Mar-17,10.95,10.95,10.30,10.30,44007
21-Mar-17,11.05,11.30,10.75,10.95,39864
20-Mar-17,10.60,11.20,10.45,11.10,31084
17-Mar-17,10.60,10.80,10.30,10.65,88926
16-Mar-17,10.20,10.85,10.20,10.75,44121
15-Mar-17,10.30,10.45,10.20,10.20,72418
14-Mar-17,10.35,10.50,10.05,10.25,85504
13-Mar-17,10.80,10.90,10.32,10.50,80209
10-Mar-17,11.25,11.30,10.75,10.75,99756
9-Mar-17,11.30,11.30,11.15,11.30,54697
8-Mar-17,11.30,11.35,11.20,11.20,36767
7-Mar-17,11.35,11.35,11.25,11.25,21395
6-Mar-17,11.60,11.60,11.30,11.30,32730
3-Mar-17,11.55,11.60,11.35,11.40,24755
2-Mar-17,11.50,11.80,11.40,11.65,33165
1-Mar-17,11.45,11.88,11.40,11.50,57157
28-Feb-17,12.00,12.25,11.35,11.40,123880
27-Feb-17,11.30,12.15,11.14,11.95,48005
24-Feb-17,12.80,12.80,10.60,11.35,122797
23-Feb-17,13.45,13.45,12.95,13.05,22397
22-Feb-17,13.10,13.50,13.09,13.35,21393
21-Feb-17,13.05,13.25,13.00,13.15,24086
17-Feb-17,13.10,13.25,12.90,13.15,25271
16-Feb-17,13.05,13.30,12.85,13.15,23706
15-Feb-17,13.25,13.40,12.90,13.00,30287
14-Feb-17,13.15,13.35,13.10,13.30,35245
13-Feb-17,13.50,13.60,13.10,13.20,30859
10-Feb-17,13.75,13.85,13.50,13.55,27454
9-Feb-17,13.50,13.80,13.45,13.70,32869
8-Feb-17,13.10,13.50,12.80,13.40,30802
7-Feb-17,13.40,13.65,13.05,13.05,157985
6-Feb-17,13.45,13.65,13.20,13.50,42774
3-Feb-17,13.18,13.70,13.00,13.55,34938
2-Feb-17,13.20,13.35,13.00,13.08,31619
1-Feb-17,13.90,13.90,13.15,13.28,30540
31-Jan-17,13.75,13.95,13.70,13.90,37645
30-Jan-17,13.85,13.90,13.25,13.80,32907
27-Jan-17,13.80,13.90,13.50,13.85,30423
26-Jan-17,13.25,13.90,13.25,13.90,57310
25-Jan-17,13.10,13.25,13.00,13.25,63083
24-Jan-17,12.93,13.30,12.85,13.00,56736
23-Jan-17,13.25,13.30,12.75,13.00,42650
20-Jan-17,13.15,13.50,13.00,13.50,43129
19-Jan-17,13.02,13.15,12.75,13.10,37462
18-Jan-17,12.95,13.15,12.90,13.05,39229
17-Jan-17,13.15,13.15,12.85,12.90,22447
13-Jan-17,13.10,13.20,12.65,13.15,85115
12-Jan-17,13.15,13.15,13.00,13.10,33677
11-Jan-17,13.10,13.19,13.00,13.15,47938
10-Jan-17,13.05,13.10,12.85,13.10,55968
9-Jan-17,13.30,13.30,12.85,13.00,91695
6-Jan-17,13.25,13.35,13.10,13.25,54964
5-Jan-17,13.05,13.52,12.55,13.30,179326
4-Jan-17,12.50,13.20,12.05,13.15,129199
3-Jan-17,12.15,12.70,11.95,12.55,77831
30-Dec-16,12.10,12.25,11.90,11.90,31977
29-Dec-16,12.45,12.61,11.90,12.15,34152
28-Dec-16,11.95,12.50,11.86,12.50,65888
27-Dec-16,11.70,12.50,11.15,12.10,74240
23-Dec-16,12.30,12.65,11.90,11.90,25512
22-Dec-16,12.25,12.75,12.05,12.60,37970
21-Dec-16,12.55,12.85,12.30,12.30,31870
20-Dec-16,12.55,12.85,12.40,12.55,67881
19-Dec-16,11.65,12.50,11.65,12.40,84377
16-Dec-16,12.30,12.40,11.40,11.50,426163
15-Dec-16,12.20,12.30,11.85,12.25,43049
14-Dec-16,12.28,12.45,12.15,12.20,41382
13-Dec-16,12.40,12.48,11.90,12.35,51291
12-Dec-16,12.45,12.65,12.00,12.55,44592
9-Dec-16,12.65,12.65,12.22,12.45,32335
8-Dec-16,12.75,12.75,12.05,12.35,62854
7-Dec-16,11.85,12.75,11.85,12.75,42259
6-Dec-16,11.80,12.18,11.80,12.00,142822
5-Dec-16,11.90,11.90,11.75,11.85,54542
2-Dec-16,11.45,11.80,11.26,11.75,33548
1-Dec-16,11.85,11.92,11.15,11.35,58993
30-Nov-16,11.85,11.90,11.65,11.85,102479
29-Nov-16,11.15,11.75,11.15,11.60,43173
28-Nov-16,11.40,11.65,11.00,11.50,44531
25-Nov-16,10.70,11.40,10.70,11.35,8228
23-Nov-16,10.80,11.10,10.45,10.65,31217
22-Nov-16,10.90,11.00,10.55,10.90,24879
21-Nov-16,10.60,11.00,10.60,11.00,40726
18-Nov-16,10.25,10.50,10.20,10.50,46731
17-Nov-16,10.25,10.25,10.18,10.25,41179
16-Nov-16,10.25,10.25,10.20,10.25,79912
15-Nov-16,10.25,10.25,10.20,10.25,59585
14-Nov-16,10.25,10.30,10.15,10.20,23684
11-Nov-16,10.05,10.25,9.90,10.15,51806
10-Nov-16,9.45,10.25,9.45,10.20,69424
9-Nov-16,9.70,9.85,9.30,9.50,16459
8-Nov-16,9.55,9.95,9.45,9.60,58177
7-Nov-16,9.80,9.95,9.40,9.55,95909
4-Nov-16,9.75,9.88,9.30,9.70,41578
3-Nov-16,10.20,10.25,9.70,9.70,27883
2-Nov-16,10.05,10.20,9.61,10.20,22964
1-Nov-16,9.95,10.30,9.66,10.20,62253
31-Oct-16,9.65,10.00,9.55,10.00,50763
28-Oct-16,9.30,9.89,9.30,9.80,30633
27-Oct-16,9.89,9.89,9.35,9.40,20451
26-Oct-16,9.95,10.02,9.27,9.84,45464
25-Oct-16,10.26,10.80,9.80,10.07,39954
24-Oct-16,10.21,10.29,10.01,10.24,53286
21-Oct-16,10.31,10.50,10.17,10.25,18690
20-Oct-16,10.32,10.49,10.16,10.31,19419
19-Oct-16,10.16,10.37,10.14,10.20,27252
18-Oct-16,10.20,10.27,10.04,10.15,31245
17-Oct-16,10.10,10.33,10.01,10.23,20191
14-Oct-16,10.25,10.28,10.00,10.18,36619
13-Oct-16,10.06,10.35,9.97,10.22,22194
12-Oct-16,10.06,10.37,10.02,10.11,24921
11-Oct-16,9.96,10.23,9.96,10.14,17616
10-Oct-16,9.65,10.03,9.65,9.95,17001
7-Oct-16,9.57,9.68,9.48,9.66,15193
6-Oct-16,9.73,9.73,9.60,9.61,9327
5-Oct-16,9.37,9.73,9.35,9.60,38272
4-Oct-16,9.42,9.42,9.20,9.25,17086
3-Oct-16,9.15,9.47,9.06,9.41,21840
30-Sep-16,9.08,9.22,9.03,9.20,19866
29-Sep-16,8.93,9.22,8.93,9.11,21599
28-Sep-16,8.86,8.94,8.66,8.93,15699
27-Sep-16,8.96,8.97,8.57,8.77,27487
26-Sep-16,8.98,9.09,8.84,9.03,22928
23-Sep-16,9.00,9.03,8.88,8.98,15777
22-Sep-16,8.99,9.05,8.95,9.02,37333
21-Sep-16,8.89,8.96,8.79,8.91,42568
20-Sep-16,8.69,8.91,8.61,8.80,58022
19-Sep-16,8.81,8.87,8.56,8.61,38652
16-Sep-16,8.63,8.80,8.63,8.71,38220
15-Sep-16,8.77,8.79,8.70,8.71,16862
14-Sep-16,8.89,8.90,8.61,8.72,33240
13-Sep-16,9.00,9.00,8.79,8.98,15058
12-Sep-16,9.20,9.29,8.93,9.12,30195
9-Sep-16,9.12,9.45,9.12,9.29,15271
8-Sep-16,9.24,9.48,9.19,9.47,28784
7-Sep-16,8.96,9.30,8.88,9.23,21893
6-Sep-16,8.89,9.19,8.85,8.94,33369
2-Sep-16,8.77,9.07,8.76,8.86,43071
1-Sep-16,8.77,8.88,8.58,8.79,39111
31-Aug-16,9.15,9.15,8.79,8.80,20738
30-Aug-16,9.04,9.14,8.98,9.13,8350
29-Aug-16,8.87,9.01,8.87,8.97,24572
26-Aug-16,9.10,9.13,8.83,8.91,12490
25-Aug-16,9.12,9.18,8.78,9.17,42613
24-Aug-16,8.98,9.24,8.98,9.07,19574
23-Aug-16,8.84,9.00,8.73,8.96,17840
22-Aug-16,8.70,8.86,8.52,8.76,43351
19-Aug-16,8.76,8.85,8.50,8.78,70047
18-Aug-16,8.99,9.08,8.76,8.78,40274
17-Aug-16,9.24,9.24,8.82,8.85,25315
16-Aug-16,8.78,9.41,8.54,9.32,56536
15-Aug-16,8.56,8.87,8.46,8.77,26927
12-Aug-16,8.60,8.65,8.41,8.50,32390
11-Aug-16,8.61,8.74,8.58,8.61,35025
10-Aug-16,8.68,8.90,8.59,8.61,48753
9-Aug-16,8.74,8.79,8.60,8.69,40726
8-Aug-16,8.72,9.05,8.54,8.77,93054
5-Aug-16,8.50,8.75,8.40,8.65,58549
4-Aug-16,8.52,8.64,8.40,8.54,38452
3-Aug-16,8.37,8.86,8.26,8.59,73512
2-Aug-16,8.37,8.58,8.01,8.39,41504
1-Aug-16,8.53,8.53,8.20,8.32,53127
29-Jul-16,7.01,9.19,7.00,8.46,225108
28-Jul-16,6.90,7.02,6.73,6.80,80855
27-Jul-16,7.00,7.16,6.81,6.91,58538
26-Jul-16,6.97,7.17,6.92,7.03,40298
25-Jul-16,6.96,7.05,6.94,6.97,47565
22-Jul-16,7.00,7.06,6.95,7.00,24438
21-Jul-16,7.00,7.18,6.95,7.00,52094
20-Jul-16,6.94,7.20,6.93,7.00,79140
19-Jul-16,6.98,7.03,6.90,6.99,30566
18-Jul-16,6.90,7.06,6.88,7.01,39468
15-Jul-16,7.00,7.03,6.93,7.02,21021
14-Jul-16,6.96,7.07,6.87,6.93,58133
13-Jul-16,6.97,7.05,6.85,6.96,58771
12-Jul-16,6.92,7.69,6.86,6.95,64187
11-Jul-16,6.98,6.98,6.81,6.86,24657
8-Jul-16,6.86,6.92,6.83,6.88,38668
7-Jul-16,6.92,7.02,6.80,6.82,18017
6-Jul-16,6.97,6.97,6.76,6.85,50563
5-Jul-16,6.86,6.92,6.75,6.90,33830
1-Jul-16,7.02,7.05,6.80,6.92,25175
30-Jun-16,6.83,6.97,6.75,6.94,39851
29-Jun-16,7.25,7.25,6.75,6.87,40387
28-Jun-16,6.65,7.01,6.65,6.92,59464
27-Jun-16,6.90,6.90,6.52,6.60,49548
24-Jun-16,6.76,6.99,6.75,6.99,66440
23-Jun-16,6.97,7.17,6.97,7.06,23860
22-Jun-16,7.04,7.11,6.89,7.00,43787
21-Jun-16,6.82,7.19,6.74,7.01,132963
20-Jun-16,6.84,6.95,6.78,6.85,138817
17-Jun-16,6.75,6.82,6.71,6.78,184344
16-Jun-16,6.80,7.04,6.65,6.75,48654
15-Jun-16,6.80,7.02,6.70,6.80,114170
14-Jun-16,6.87,7.04,6.66,6.81,71804
13-Jun-16,7.06,7.08,6.82,6.92,53629
10-Jun-16,7.25,7.26,7.08,7.13,24643
9-Jun-16,7.21,7.31,7.12,7.23,42306
8-Jun-16,7.20,7.80,7.17,7.32,101973
7-Jun-16,7.10,7.25,7.08,7.18,155937
6-Jun-16,6.81,7.18,6.78,7.09,182568
3-Jun-16,6.83,6.98,6.70,6.75,55473
2-Jun-16,6.76,6.88,6.74,6.84,36351
1-Jun-16,6.90,7.00,6.76,6.86,67268
31-May-16,6.79,7.16,6.72,6.92,159874
27-May-16,6.78,7.09,6.72,6.81,46720
26-May-16,6.87,6.98,6.71,6.80,100636
25-May-16,6.69,6.90,6.60,6.80,53230
24-May-16,6.84,7.00,6.48,6.68,47089
23-May-16,6.67,6.92,6.49,6.49,65126
20-May-16,6.35,6.77,6.35,6.68,61430
19-May-16,6.48,6.79,6.34,6.37,72780
18-May-16,6.90,7.22,6.41,6.48,48042
17-May-16,6.75,6.93,6.59,6.73,71387
16-May-16,6.87,7.11,6.70,6.73,125649
13-May-16,7.13,7.37,6.77,6.82,96425
12-May-16,6.69,7.28,6.66,7.16,84926
11-May-16,6.79,7.08,6.66,6.69,39188
10-May-16,6.93,7.22,6.56,6.76,110949
9-May-16,7.10,7.18,6.75,6.85,96666
6-May-16,7.32,7.32,7.05,7.13,138290
5-May-16,7.36,7.36,7.10,7.12,99989
4-May-16,7.26,7.52,7.17,7.30,80764
3-May-16,7.91,7.91,7.05,7.32,109409
2-May-16,7.56,7.60,7.35,7.53,91220
29-Apr-16,7.39,8.14,7.39,7.51,215609
28-Apr-16,7.42,7.42,6.89,7.16,93157
27-Apr-16,7.84,7.84,7.41,7.49,58858
26-Apr-16,7.69,7.69,7.45,7.56,92375
25-Apr-16,7.70,7.86,7.42,7.75,74349
22-Apr-16,7.66,7.91,7.66,7.78,63008
21-Apr-16,7.73,7.77,7.54,7.63,33730
20-Apr-16,7.66,7.97,7.63,7.68,52599
19-Apr-16,7.90,8.13,7.75,7.78,28130
18-Apr-16,7.51,7.97,7.12,7.84,41025
15-Apr-16,7.62,7.71,7.44,7.60,30761
14-Apr-16,7.76,7.76,7.57,7.62,51951
13-Apr-16,7.88,8.06,7.75,7.93,51241
12-Apr-16,7.82,8.25,7.69,7.84,80107
11-Apr-16,7.70,7.96,7.70,7.88,87482
8-Apr-16,7.67,7.86,7.51,7.72,98949
7-Apr-16,7.60,7.87,7.50,7.53,152739
6-Apr-16,7.81,7.81,7.50,7.63,45786
5-Apr-16,7.66,7.76,7.51,7.52,132077
4-Apr-16,7.68,8.02,7.54,7.75,65773
