Date,Open,High,Low,Close,Volume
7-Apr-17,27.66,27.83,27.37,27.44,505355
6-Apr-17,27.28,27.76,27.12,27.55,655707
5-Apr-17,28.02,28.50,27.04,27.05,864922
4-Apr-17,27.81,28.06,27.47,27.84,602638
3-Apr-17,27.95,28.28,27.57,27.79,867239
31-Mar-17,27.97,28.19,27.54,27.93,1281882
30-Mar-17,28.47,28.64,27.90,28.26,1325835
29-Mar-17,27.57,28.60,27.56,28.23,1964749
28-Mar-17,26.89,27.63,26.74,27.56,1202698
27-Mar-17,26.69,27.02,26.26,26.83,1485649
24-Mar-17,27.23,27.68,27.12,27.26,481166
23-Mar-17,26.43,27.44,26.39,27.17,796796
22-Mar-17,26.86,27.16,26.37,26.53,1166543
21-Mar-17,27.83,28.12,26.84,27.16,941722
20-Mar-17,27.12,27.77,27.04,27.66,776556
17-Mar-17,27.06,28.10,27.06,27.22,1482293
16-Mar-17,27.13,27.34,26.59,26.97,726716
15-Mar-17,26.72,27.06,26.42,26.98,870589
14-Mar-17,27.01,27.07,26.12,26.43,1072517
13-Mar-17,27.46,27.88,27.26,27.34,604135
10-Mar-17,27.66,27.77,27.05,27.38,891513
9-Mar-17,27.35,27.64,26.64,27.31,1253672
8-Mar-17,28.56,29.18,27.66,27.66,1706557
7-Mar-17,28.18,28.84,28.03,28.77,1833001
6-Mar-17,27.44,28.35,27.23,28.27,1178924
3-Mar-17,27.09,27.84,26.98,27.79,1078739
2-Mar-17,27.99,28.14,27.04,27.05,1461282
1-Mar-17,27.62,28.36,27.40,28.16,1785123
28-Feb-17,26.05,27.94,26.04,27.31,2452915
27-Feb-17,26.17,26.94,26.12,26.90,1631173
24-Feb-17,26.65,26.84,26.21,26.27,1465853
23-Feb-17,26.77,27.32,26.71,27.20,1938947
22-Feb-17,26.87,26.90,26.30,26.34,916935
21-Feb-17,27.06,27.95,26.99,27.17,2289288
17-Feb-17,26.48,26.90,26.27,26.57,1388854
16-Feb-17,27.30,27.50,26.59,26.75,1379932
15-Feb-17,27.92,27.95,27.11,27.30,1967782
14-Feb-17,26.70,28.15,26.70,28.03,7439106
13-Feb-17,28.40,28.64,27.76,27.92,917658
10-Feb-17,27.54,28.57,27.54,28.48,1598754
9-Feb-17,26.64,27.79,26.59,27.15,1513693
8-Feb-17,26.12,26.93,25.74,26.44,1016309
7-Feb-17,26.48,26.92,25.75,26.38,1183858
6-Feb-17,27.40,27.43,26.56,26.67,807867
3-Feb-17,26.53,27.39,26.44,27.26,1090209
