Date,Open,High,Low,Close,Volume
31-Mar-17,16.83,17.27,16.82,17.19,3538761
30-Mar-17,17.28,17.38,16.84,16.89,3702950
29-Mar-17,16.58,17.32,16.55,17.17,4875485
28-Mar-17,16.37,16.84,16.05,16.50,4666238
27-Mar-17,16.04,16.58,15.97,16.55,3558698
24-Mar-17,16.01,16.38,15.94,16.23,2706760
23-Mar-17,15.93,16.19,15.66,15.89,4928663
22-Mar-17,16.27,16.57,15.95,16.10,2504191
21-Mar-17,16.57,16.79,16.25,16.43,3174840
20-Mar-17,16.41,16.55,16.19,16.51,1902679
17-Mar-17,16.81,16.87,16.50,16.59,4832095
16-Mar-17,17.05,17.16,16.80,16.81,2981673
15-Mar-17,16.76,17.16,16.58,17.05,3855024
14-Mar-17,16.34,16.68,16.05,16.62,4503150
13-Mar-17,16.83,17.07,16.42,16.55,5969333
10-Mar-17,17.19,17.34,16.67,16.83,4823604
9-Mar-17,16.85,17.26,16.57,17.07,5635147
8-Mar-17,17.14,17.50,16.79,16.86,2803000
7-Mar-17,17.51,17.52,16.98,17.11,3371891
6-Mar-17,17.39,17.59,17.26,17.45,3570471
3-Mar-17,17.45,17.66,17.09,17.19,2406887
2-Mar-17,17.58,17.68,17.40,17.42,2104243
1-Mar-17,17.47,17.83,17.29,17.70,2836588
28-Feb-17,17.61,17.76,17.23,17.34,5447604
27-Feb-17,18.09,18.10,17.65,17.76,6257685
24-Feb-17,18.53,18.59,18.04,18.12,3869493
23-Feb-17,18.90,19.06,18.24,18.64,4376701
22-Feb-17,19.11,19.13,18.61,18.66,4012435
21-Feb-17,19.41,19.44,19.12,19.28,3431880
17-Feb-17,19.60,19.84,19.44,19.48,2848241
16-Feb-17,20.20,20.48,19.63,19.71,4396832
15-Feb-17,20.83,21.36,20.40,20.44,3694686
14-Feb-17,20.68,20.85,19.56,20.77,8543008
13-Feb-17,20.76,20.77,20.41,20.68,2827556
10-Feb-17,20.55,20.91,20.37,20.71,3107205
9-Feb-17,20.04,20.58,20.00,20.47,2587503
8-Feb-17,19.91,20.02,19.54,19.87,2335361
7-Feb-17,20.50,20.78,19.76,20.04,3465960
6-Feb-17,21.17,21.50,20.40,20.49,3764319
3-Feb-17,21.17,21.35,21.02,21.19,1870385
2-Feb-17,20.81,21.34,20.50,21.21,2765536
