Date,Open,High,Low,Close,Volume
31-Mar-17,4.95,5.06,4.85,5.06,10532
30-Mar-17,4.79,4.93,4.75,4.89,24590
29-Mar-17,4.75,4.87,4.70,4.75,33532
28-Mar-17,5.09,5.09,4.60,4.73,85008
27-Mar-17,5.20,5.25,4.94,5.06,36518
24-Mar-17,5.20,5.28,4.80,5.16,235245
23-Mar-17,5.33,5.60,5.25,5.60,14756
22-Mar-17,5.35,5.45,5.11,5.28,18043
21-Mar-17,5.61,5.68,5.29,5.30,28026
20-Mar-17,5.76,5.86,5.49,5.63,13173
17-Mar-17,5.54,6.00,5.35,5.89,95738
16-Mar-17,5.63,5.63,5.12,5.55,91363
15-Mar-17,5.01,5.75,5.01,5.60,14401
14-Mar-17,4.98,5.50,4.96,5.34,21324
13-Mar-17,5.07,5.66,4.98,5.36,56159
10-Mar-17,4.48,5.05,4.48,5.01,68225
9-Mar-17,4.90,4.96,4.67,4.85,106443
8-Mar-17,5.57,5.59,4.93,5.00,191918
7-Mar-17,5.50,5.74,5.39,5.68,52584
6-Mar-17,5.76,5.76,5.45,5.61,75690
3-Mar-17,5.64,5.90,5.55,5.71,27108
2-Mar-17,5.72,5.89,5.54,5.64,29173
1-Mar-17,5.66,5.87,5.66,5.71,210057
28-Feb-17,6.20,6.43,5.68,5.70,263482
27-Feb-17,5.65,6.25,5.62,6.25,43316
24-Feb-17,5.65,5.96,5.65,5.65,86337
23-Feb-17,6.19,6.38,5.88,6.00,56530
22-Feb-17,6.23,6.64,6.10,6.18,43409
21-Feb-17,6.49,6.60,6.20,6.20,51376
17-Feb-17,6.60,6.60,6.29,6.48,28319
16-Feb-17,6.77,6.87,6.55,6.57,67352
15-Feb-17,6.99,6.99,6.55,6.70,43400
14-Feb-17,6.22,6.84,6.22,6.76,50995
13-Feb-17,6.89,7.06,6.53,6.71,15636
10-Feb-17,6.80,6.84,6.76,6.81,18779
9-Feb-17,6.75,6.82,6.71,6.76,9401
8-Feb-17,6.90,6.97,6.63,6.77,15610
7-Feb-17,6.67,7.03,6.59,6.99,25858
6-Feb-17,6.87,7.01,6.87,6.94,31079
3-Feb-17,6.75,7.10,6.75,6.92,48204
2-Feb-17,6.57,7.00,6.50,6.69,18485
1-Feb-17,6.95,7.10,6.82,6.97,20917
31-Jan-17,7.00,7.38,6.96,6.98,25060
30-Jan-17,6.67,7.04,6.64,6.99,15991
27-Jan-17,7.12,7.15,6.94,7.00,38645
26-Jan-17,6.90,7.19,6.83,7.10,95930
25-Jan-17,7.08,7.08,6.50,6.75,39665
24-Jan-17,7.40,7.42,6.90,7.05,78469
23-Jan-17,7.21,7.29,7.15,7.15,53037
20-Jan-17,7.40,7.40,6.90,7.20,44436
19-Jan-17,7.04,7.32,7.03,7.20,73708
18-Jan-17,7.07,7.32,6.84,7.07,31048
17-Jan-17,7.28,7.49,6.72,7.07,57269
13-Jan-17,7.35,7.51,7.06,7.14,44685
12-Jan-17,7.85,7.85,6.95,6.96,156035
11-Jan-17,7.86,8.18,7.51,7.84,29884
10-Jan-17,8.06,8.10,7.56,7.74,70855
9-Jan-17,8.70,8.70,7.93,8.06,55986
6-Jan-17,8.37,8.57,8.05,8.32,27518
5-Jan-17,8.08,8.69,7.72,8.40,46734
4-Jan-17,8.07,8.46,7.82,8.10,93362
3-Jan-17,8.22,8.64,6.80,8.14,146631
30-Dec-16,7.80,8.81,7.71,8.54,130392
29-Dec-16,7.98,7.98,7.71,7.76,10263
28-Dec-16,7.70,7.80,7.65,7.74,15585
27-Dec-16,7.75,7.85,7.50,7.67,50752
23-Dec-16,7.68,7.80,7.50,7.62,268661
22-Dec-16,7.30,7.87,7.30,7.70,181570
21-Dec-16,6.70,7.74,6.70,7.44,369458
20-Dec-16,6.36,7.03,6.36,6.70,422817
19-Dec-16,6.01,6.50,6.01,6.36,429515
16-Dec-16,5.92,6.23,5.86,6.23,894471
15-Dec-16,6.08,6.10,5.74,5.81,161800
14-Dec-16,6.78,6.91,6.00,6.15,137249
13-Dec-16,7.00,7.10,6.47,6.72,94139
12-Dec-16,6.94,7.39,6.62,7.09,80260
9-Dec-16,7.30,7.81,6.75,6.88,101630
8-Dec-16,7.59,7.89,7.10,7.30,91718
7-Dec-16,8.00,8.03,7.22,7.55,88029
6-Dec-16,8.25,8.40,8.00,8.02,29234
5-Dec-16,8.76,9.05,8.20,8.31,17644
2-Dec-16,9.30,9.35,8.31,8.32,17106
1-Dec-16,9.17,9.80,8.66,9.35,53316
30-Nov-16,8.59,9.01,8.45,8.97,38786
29-Nov-16,8.00,8.42,8.00,8.29,9273
28-Nov-16,8.66,9.07,8.04,8.04,15650
25-Nov-16,9.19,9.52,8.87,9.01,5927
23-Nov-16,9.50,9.63,9.50,9.59,3722
22-Nov-16,9.87,9.87,9.50,9.53,4358
21-Nov-16,9.51,10.00,9.50,9.60,5042
18-Nov-16,9.50,9.55,9.46,9.51,12438
17-Nov-16,9.75,9.75,9.50,9.50,4004
16-Nov-16,9.00,9.55,9.00,9.22,1739
15-Nov-16,8.93,9.70,8.93,9.26,2194
14-Nov-16,9.75,9.75,9.11,9.11,1676
11-Nov-16,9.00,9.81,8.12,9.60,32313
10-Nov-16,8.21,9.49,8.21,9.10,14356
9-Nov-16,7.97,8.25,7.95,8.11,7884
8-Nov-16,7.77,8.04,7.77,8.04,2195
7-Nov-16,7.44,8.10,7.44,8.09,8608
4-Nov-16,7.48,7.53,7.30,7.34,8033
3-Nov-16,8.20,8.50,7.21,7.48,15984
2-Nov-16,8.18,8.20,7.80,7.85,7003
1-Nov-16,8.43,8.80,8.30,8.30,872
31-Oct-16,8.43,8.44,8.43,8.44,5005
28-Oct-16,7.98,9.21,7.98,8.40,8082
27-Oct-16,8.99,9.13,7.44,8.10,27586
26-Oct-16,9.65,9.70,9.40,9.43,3264
25-Oct-16,9.69,9.75,9.60,9.70,2980
24-Oct-16,9.79,10.24,9.36,9.82,4705
21-Oct-16,9.90,10.18,9.73,9.80,7834
20-Oct-16,9.65,10.51,9.65,10.05,33176
19-Oct-16,9.00,10.10,8.82,9.93,67319
18-Oct-16,9.60,9.60,8.75,9.30,33968
17-Oct-16,9.60,9.60,9.33,9.44,2749
14-Oct-16,9.59,9.60,9.40,9.57,5530
13-Oct-16,9.00,9.48,8.99,9.25,8524
12-Oct-16,8.85,9.58,8.75,8.75,8366
11-Oct-16,9.50,9.50,8.50,8.99,9734
10-Oct-16,9.70,10.39,9.53,9.56,60829
7-Oct-16,10.14,10.31,9.06,9.76,83996
6-Oct-16,10.25,10.50,10.00,10.09,2659
5-Oct-16,10.03,10.52,10.03,10.27,28040
4-Oct-16,10.24,10.27,9.95,9.95,10686
3-Oct-16,10.19,10.45,10.12,10.12,2607
30-Sep-16,10.50,10.71,10.20,10.20,9819
29-Sep-16,10.29,10.60,9.90,10.35,14512
28-Sep-16,10.22,10.99,9.63,10.29,7333
27-Sep-16,10.45,10.47,10.05,10.05,1766
26-Sep-16,10.38,10.98,10.38,10.54,4588
23-Sep-16,10.55,10.73,10.27,10.33,3394
22-Sep-16,10.39,11.00,10.29,10.60,14305
21-Sep-16,9.81,10.82,9.81,10.35,6994
20-Sep-16,11.35,11.35,9.34,9.81,21193
19-Sep-16,12.02,12.02,11.30,11.35,2139
16-Sep-16,11.72,12.76,11.52,11.90,179420
15-Sep-16,12.00,12.95,10.97,12.02,17136
14-Sep-16,11.94,12.70,11.40,12.10,32334
13-Sep-16,12.90,13.12,11.57,12.33,43110
12-Sep-16,11.90,12.93,11.90,12.78,40406
