Date,Open,High,Low,Close,Volume
31-Mar-17,4.00,4.02,3.95,4.00,7996
30-Mar-17,3.70,4.00,3.70,4.00,3765
29-Mar-17,3.85,3.85,3.85,3.85,2653
28-Mar-17,3.80,3.85,3.70,3.70,765
27-Mar-17,3.75,3.75,3.75,3.75,482
24-Mar-17,3.66,3.90,3.66,3.90,2881
23-Mar-17,3.66,3.90,3.66,3.90,934
22-Mar-17,3.80,3.80,3.70,3.70,1437
21-Mar-17,3.95,3.95,3.90,3.95,1725
20-Mar-17,3.85,3.85,3.75,3.75,916
17-Mar-17,3.95,4.00,3.90,4.00,2096
16-Mar-17,3.95,3.95,3.95,3.95,334
15-Mar-17,3.95,3.95,3.86,3.95,8056
14-Mar-17,-,-,-,3.65,0
13-Mar-17,3.70,3.75,3.65,3.65,2456
10-Mar-17,3.70,3.70,3.70,3.70,421
9-Mar-17,3.75,3.75,3.75,3.75,404
8-Mar-17,3.85,3.85,3.70,3.80,1813
7-Mar-17,3.70,3.70,3.70,3.70,261
6-Mar-17,3.75,3.75,3.40,3.60,9205
3-Mar-17,3.75,3.75,3.75,3.75,1326
2-Mar-17,3.75,3.75,3.70,3.75,4571
1-Mar-17,3.90,3.90,3.75,3.75,1473
28-Feb-17,3.85,3.85,3.85,3.85,404
27-Feb-17,4.10,4.10,3.95,4.00,6598
24-Feb-17,-,-,-,3.80,0
23-Feb-17,-,-,-,3.80,0
22-Feb-17,3.75,3.90,3.75,3.80,2726
21-Feb-17,3.75,3.95,3.60,3.62,8252
17-Feb-17,3.75,3.90,3.75,3.90,886
16-Feb-17,3.75,3.89,3.70,3.89,1478
15-Feb-17,3.85,4.00,3.85,3.90,21874
14-Feb-17,3.74,4.20,3.70,3.95,21675
13-Feb-17,3.70,3.70,3.70,3.70,167
10-Feb-17,3.75,4.00,3.70,3.75,3982
9-Feb-17,-,-,-,3.70,0
8-Feb-17,3.70,3.70,3.70,3.70,310
7-Feb-17,3.66,3.66,3.66,3.66,333
6-Feb-17,3.85,3.87,3.65,3.65,2257
3-Feb-17,3.85,3.85,3.85,3.85,1405
2-Feb-17,3.85,3.85,3.85,3.85,500
1-Feb-17,3.75,3.80,3.75,3.80,2878
31-Jan-17,3.65,3.75,3.65,3.75,3278
30-Jan-17,3.71,3.75,3.70,3.70,4479
27-Jan-17,3.70,3.70,3.70,3.70,2711
26-Jan-17,3.75,3.75,3.61,3.65,9500
25-Jan-17,-,-,-,3.88,0
24-Jan-17,3.85,3.95,3.85,3.88,10851
23-Jan-17,3.85,3.85,3.85,3.85,1332
20-Jan-17,3.93,4.02,3.75,3.75,14441
19-Jan-17,4.05,4.05,4.00,4.00,5447
18-Jan-17,3.95,3.98,3.95,3.98,2073
17-Jan-17,4.00,4.05,3.95,4.00,13205
13-Jan-17,4.05,4.05,3.95,3.95,4801
12-Jan-17,3.90,3.90,3.85,3.85,1808
10-Jan-17,4.05,4.05,3.95,4.05,4862
9-Jan-17,4.20,4.35,3.95,3.95,6868
6-Jan-17,4.10,4.10,4.10,4.10,1019
5-Jan-17,4.17,4.17,3.85,3.85,6986
4-Jan-17,4.15,4.20,4.10,4.10,4568
3-Jan-17,4.05,4.20,4.05,4.10,9932
30-Dec-16,3.95,4.20,3.95,4.10,50401
29-Dec-16,3.94,3.94,3.93,3.93,721
28-Dec-16,3.75,3.80,3.75,3.80,491
27-Dec-16,3.90,3.90,3.75,3.75,1881
23-Dec-16,3.98,3.98,3.98,3.98,939
22-Dec-16,3.95,3.95,3.67,3.67,1210
21-Dec-16,4.05,4.05,3.80,3.80,1447
20-Dec-16,4.05,4.05,3.99,3.99,2043
19-Dec-16,3.94,3.94,3.86,3.86,985
16-Dec-16,3.95,4.05,3.90,3.90,1083
15-Dec-16,4.05,4.05,4.05,4.05,575
14-Dec-16,4.05,4.05,3.90,3.95,8591
13-Dec-16,3.75,3.90,3.75,3.90,1001
12-Dec-16,3.95,3.95,3.72,3.72,2905
9-Dec-16,3.90,4.00,3.75,3.95,1550
8-Dec-16,3.90,4.00,3.85,3.85,1628
7-Dec-16,3.95,4.00,3.85,4.00,1269
6-Dec-16,3.95,3.95,3.85,3.85,792
5-Dec-16,3.95,4.00,3.75,4.00,1684
2-Dec-16,3.95,3.95,3.95,3.95,497
1-Dec-16,4.00,4.00,3.75,3.76,3988
30-Nov-16,4.00,4.00,4.00,4.00,480
29-Nov-16,4.00,4.00,3.75,3.75,760
28-Nov-16,4.00,4.00,3.98,4.00,1131
23-Nov-16,3.70,4.00,3.70,3.90,18959
22-Nov-16,4.00,4.00,3.75,3.85,1019
21-Nov-16,4.00,4.00,4.00,4.00,562
18-Nov-16,3.65,3.80,3.65,3.80,526
17-Nov-16,3.85,3.85,3.85,3.85,226
16-Nov-16,3.75,3.81,3.75,3.81,4803
14-Nov-16,3.69,3.70,3.66,3.70,997
11-Nov-16,3.60,3.65,3.50,3.65,1157
10-Nov-16,3.60,3.70,3.45,3.70,3263
9-Nov-16,4.35,4.35,3.80,4.00,1125
8-Nov-16,3.85,3.97,3.85,3.90,1107
4-Nov-16,3.80,3.80,3.80,3.80,455
3-Nov-16,3.60,4.30,3.60,4.20,1807
1-Nov-16,3.52,3.95,3.52,3.85,2601
31-Oct-16,4.15,4.25,3.70,4.05,3962
26-Oct-16,3.41,4.30,3.41,4.15,3779
25-Oct-16,4.15,4.30,4.15,4.25,4556
24-Oct-16,4.15,4.15,3.90,4.15,6794
21-Oct-16,4.10,4.10,3.86,3.86,1446
20-Oct-16,4.15,4.15,4.00,4.00,2952
19-Oct-16,3.80,4.05,3.80,3.95,3212
18-Oct-16,4.00,4.65,3.85,4.05,8604
17-Oct-16,3.90,4.65,3.65,3.75,14762
14-Oct-16,3.77,3.78,3.76,3.78,1116
13-Oct-16,3.50,3.84,3.50,3.58,8923
12-Oct-16,3.49,3.49,3.35,3.42,1827
11-Oct-16,3.35,3.50,3.35,3.49,9762
10-Oct-16,3.39,3.39,3.30,3.30,2670
7-Oct-16,3.35,3.35,3.32,3.33,3115
6-Oct-16,3.36,3.40,3.27,3.27,2395
5-Oct-16,3.39,3.39,3.26,3.26,2090
4-Oct-16,3.35,3.45,3.21,3.44,10132
3-Oct-16,3.30,3.31,3.24,3.30,2289
30-Sep-16,3.32,3.32,3.24,3.24,3433
29-Sep-16,3.42,3.42,3.06,3.26,6641
28-Sep-16,3.42,3.45,3.37,3.37,1830
27-Sep-16,3.42,3.46,3.34,3.44,3996
26-Sep-16,3.36,3.43,3.31,3.42,3333
23-Sep-16,3.37,3.43,3.37,3.43,2092
22-Sep-16,3.30,3.41,3.30,3.30,1517
21-Sep-16,3.37,3.42,3.31,3.31,1805
20-Sep-16,3.36,3.40,3.35,3.37,2388
19-Sep-16,3.26,3.44,3.25,3.25,17217
16-Sep-16,3.40,3.48,3.24,3.24,9384
15-Sep-16,3.44,3.45,3.40,3.40,3464
14-Sep-16,3.28,3.50,3.28,3.47,7198
13-Sep-16,3.38,3.50,3.35,3.49,2378
12-Sep-16,3.57,3.57,3.34,3.36,11672
9-Sep-16,3.44,3.57,3.37,3.57,28714
8-Sep-16,3.39,3.45,3.18,3.44,10597
7-Sep-16,3.45,3.45,3.35,3.35,2888
6-Sep-16,3.51,3.68,3.27,3.45,12673
2-Sep-16,3.43,3.67,3.41,3.64,4698
1-Sep-16,3.65,3.66,3.62,3.66,3733
31-Aug-16,3.42,3.62,3.42,3.62,8840
30-Aug-16,3.65,3.65,3.35,3.54,8986
29-Aug-16,3.56,3.56,3.34,3.54,2839
26-Aug-16,3.63,3.63,3.12,3.54,16651
25-Aug-16,3.55,3.70,3.35,3.49,17677
24-Aug-16,3.44,3.78,3.42,3.55,4208
23-Aug-16,3.50,3.72,3.26,3.48,74694
22-Aug-16,3.90,4.29,3.51,3.51,139068
15-Aug-16,4.01,4.01,3.75,3.75,3685
11-Aug-16,4.07,4.13,4.00,4.06,8465
10-Aug-16,4.10,4.15,4.10,4.10,812
9-Aug-16,4.10,4.16,4.10,4.14,590
8-Aug-16,4.14,4.14,4.14,4.14,472
5-Aug-16,4.10,4.16,4.08,4.16,1091
4-Aug-16,4.25,4.25,4.15,4.16,686
3-Aug-16,4.18,4.25,4.10,4.25,2168
2-Aug-16,4.17,4.25,4.10,4.25,338
29-Jul-16,4.10,4.22,4.10,4.22,622
28-Jul-16,4.30,4.30,4.20,4.20,650
26-Jul-16,3.95,3.96,3.95,3.96,606
25-Jul-16,4.20,4.25,3.96,4.00,5124
18-Jul-16,4.30,4.30,4.11,4.25,795
14-Jul-16,4.00,4.25,4.00,4.20,1127
8-Jul-16,4.15,4.15,4.07,4.10,2513
7-Jul-16,4.15,4.15,4.15,4.15,468
