Date,Open,High,Low,Close,Volume
31-Mar-17,46.30,46.65,44.05,46.10,485036
30-Mar-17,44.50,46.60,44.50,46.40,215407
29-Mar-17,44.70,44.70,43.95,44.40,197688
28-Mar-17,44.35,45.10,44.05,44.85,196463
27-Mar-17,43.60,44.70,42.95,44.65,238589
24-Mar-17,43.55,44.65,43.15,44.50,305693
23-Mar-17,43.05,44.10,43.05,43.50,200358
22-Mar-17,44.00,44.50,42.70,43.35,306439
21-Mar-17,47.50,47.55,44.25,44.52,393385
20-Mar-17,47.45,47.95,46.85,47.35,180807
17-Mar-17,47.50,47.75,46.35,47.65,1090448
16-Mar-17,47.05,47.75,46.75,47.70,248050
15-Mar-17,46.60,47.40,46.50,46.80,393261
14-Mar-17,46.00,46.60,45.25,46.50,185915
13-Mar-17,45.60,46.80,45.50,46.45,256525
10-Mar-17,46.25,46.25,43.10,45.80,443120
9-Mar-17,46.05,46.83,45.60,46.00,226197
8-Mar-17,47.35,47.58,46.00,46.10,187266
7-Mar-17,47.30,47.50,46.75,46.80,214997
6-Mar-17,46.40,47.90,46.25,47.35,659854
3-Mar-17,46.55,47.45,46.05,46.95,286506
2-Mar-17,47.90,48.00,46.35,46.35,316615
1-Mar-17,48.10,48.50,47.25,48.00,1506288
28-Feb-17,48.80,48.80,47.90,48.30,193592
27-Feb-17,48.65,49.10,48.55,48.95,113791
24-Feb-17,48.20,48.90,47.50,48.75,77035
23-Feb-17,49.50,49.50,48.35,49.20,113907
22-Feb-17,48.65,49.45,48.52,49.20,94134
21-Feb-17,49.00,49.13,48.25,48.95,108585
17-Feb-17,48.40,49.00,47.95,48.75,205498
16-Feb-17,47.95,48.55,47.72,48.55,128013
15-Feb-17,47.85,48.00,47.25,47.90,126725
14-Feb-17,47.05,47.75,47.00,47.60,136999
13-Feb-17,46.90,47.90,46.80,47.25,230526
10-Feb-17,46.40,46.50,45.75,46.45,96664
9-Feb-17,45.15,46.20,45.15,46.15,123261
8-Feb-17,45.30,45.55,44.60,45.05,105896
