Date,Open,High,Low,Close,Volume
31-Mar-17,7.67,7.74,7.62,7.62,1127
30-Mar-17,7.89,7.89,7.60,7.72,7533
29-Mar-17,7.73,8.05,7.56,7.90,19731
28-Mar-17,7.61,8.27,7.61,7.82,32625
27-Mar-17,7.52,7.76,7.41,7.75,30674
24-Mar-17,7.68,7.68,7.68,7.68,182
23-Mar-17,7.46,7.71,7.35,7.70,5611
22-Mar-17,7.89,7.89,7.47,7.51,2334
21-Mar-17,7.95,7.95,7.75,7.77,4495
20-Mar-17,7.89,7.90,7.87,7.87,3070
17-Mar-17,7.85,7.93,7.80,7.88,9822
16-Mar-17,7.80,7.85,7.76,7.84,2206
15-Mar-17,7.76,7.85,7.75,7.75,2498
14-Mar-17,7.84,7.91,7.76,7.83,2297
13-Mar-17,7.90,7.94,7.79,7.84,2023
10-Mar-17,7.79,7.85,6.90,7.84,36462
9-Mar-17,7.56,7.83,7.56,7.76,11295
8-Mar-17,7.36,7.46,7.34,7.38,9453
7-Mar-17,7.64,7.64,7.20,7.31,28608
6-Mar-17,7.87,7.88,7.62,7.68,5240
3-Mar-17,7.77,7.92,7.62,7.72,4780
2-Mar-17,7.84,7.84,7.68,7.71,4205
1-Mar-17,7.85,7.90,7.84,7.88,17778
28-Feb-17,7.79,8.00,7.74,7.82,16698
27-Feb-17,7.72,7.90,7.64,7.90,19086
24-Feb-17,7.67,7.89,7.63,7.75,11296
23-Feb-17,7.62,7.96,7.54,7.80,26636
22-Feb-17,7.61,7.84,7.53,7.56,3300
21-Feb-17,7.67,7.75,7.51,7.67,4246
17-Feb-17,7.74,7.85,7.51,7.64,15165
16-Feb-17,7.78,7.81,7.72,7.72,6159
15-Feb-17,7.80,7.81,7.75,7.80,4690
14-Feb-17,7.61,7.79,7.61,7.75,10639
13-Feb-17,7.65,7.74,7.49,7.57,28864
10-Feb-17,7.50,7.65,7.47,7.63,15469
9-Feb-17,7.49,7.50,7.48,7.48,2114
8-Feb-17,7.58,7.62,7.45,7.45,7702
7-Feb-17,7.67,7.75,7.61,7.65,25164
6-Feb-17,7.51,7.69,7.48,7.60,28431
3-Feb-17,7.42,7.50,7.42,7.50,3426
2-Feb-17,7.35,7.38,7.30,7.37,7832
1-Feb-17,7.30,7.43,7.30,7.33,2550
31-Jan-17,7.20,7.27,7.20,7.22,5031
30-Jan-17,7.28,7.28,7.07,7.21,9260
27-Jan-17,7.45,7.45,7.24,7.24,14982
26-Jan-17,7.49,7.49,7.40,7.45,4559
25-Jan-17,7.42,7.44,7.26,7.39,12532
24-Jan-17,7.21,7.60,7.21,7.23,3800
23-Jan-17,7.37,7.41,7.19,7.35,12355
20-Jan-17,7.25,7.47,7.25,7.34,3900
19-Jan-17,7.49,7.49,7.18,7.23,9836
18-Jan-17,7.19,7.51,7.18,7.45,14639
17-Jan-17,7.24,7.51,7.15,7.16,19413
13-Jan-17,7.31,7.45,7.20,7.33,10483
12-Jan-17,7.48,7.48,7.31,7.32,9529
11-Jan-17,7.51,7.55,7.44,7.51,20099
10-Jan-17,7.39,7.51,7.20,7.45,29766
9-Jan-17,7.41,7.47,7.31,7.41,32261
6-Jan-17,7.16,7.64,7.16,7.35,123115
5-Jan-17,6.98,7.16,6.97,7.15,9731
4-Jan-17,6.92,6.98,6.84,6.91,60345
3-Jan-17,6.93,6.93,6.76,6.79,8915
30-Dec-16,6.82,6.84,6.76,6.80,15425
29-Dec-16,6.80,6.96,6.68,6.69,60621
28-Dec-16,7.01,7.10,6.63,6.84,34083
27-Dec-16,7.21,7.25,7.01,7.01,37926
23-Dec-16,7.25,7.25,7.08,7.12,17567
22-Dec-16,7.20,7.25,7.07,7.11,13325
21-Dec-16,7.17,7.35,7.05,7.16,15918
20-Dec-16,7.20,7.20,7.11,7.11,1045
19-Dec-16,7.17,7.18,7.03,7.18,755
16-Dec-16,7.19,7.20,7.00,7.10,14586
15-Dec-16,7.16,7.20,7.12,7.17,15812
14-Dec-16,7.20,7.20,7.09,7.09,2223
13-Dec-16,7.19,7.22,7.10,7.20,2224
12-Dec-16,7.11,7.20,7.02,7.15,5706
9-Dec-16,6.94,7.20,6.93,7.12,41426
8-Dec-16,6.99,7.09,6.95,6.98,14169
7-Dec-16,6.90,7.00,6.90,6.95,2960
6-Dec-16,6.88,6.97,6.73,6.91,5253
5-Dec-16,7.03,7.09,6.77,6.79,21050
2-Dec-16,6.99,7.05,6.92,6.95,16029
1-Dec-16,7.03,7.09,6.99,6.99,5793
30-Nov-16,6.97,7.10,6.90,7.01,10302
29-Nov-16,6.94,7.05,6.94,7.05,380
28-Nov-16,6.90,7.00,6.90,6.96,51235
25-Nov-16,6.87,7.06,6.87,7.06,519
23-Nov-16,6.88,7.06,6.76,6.85,8157
22-Nov-16,6.85,7.08,6.70,6.98,15468
21-Nov-16,6.77,6.85,6.75,6.85,9800
18-Nov-16,6.83,6.85,6.78,6.79,8200
17-Nov-16,6.84,6.86,6.67,6.85,1188
16-Nov-16,6.91,6.92,6.80,6.80,4849
15-Nov-16,6.92,7.04,6.77,6.94,8898
14-Nov-16,6.65,6.94,6.65,6.80,14801
11-Nov-16,6.53,6.66,6.41,6.62,7710
10-Nov-16,6.46,6.58,6.45,6.58,16094
9-Nov-16,6.42,6.49,6.41,6.46,8116
8-Nov-16,6.58,6.59,6.43,6.43,1256
7-Nov-16,6.51,6.53,6.42,6.47,3237
4-Nov-16,6.43,6.60,6.42,6.43,1528
3-Nov-16,6.43,6.56,6.37,6.42,1836
2-Nov-16,6.43,6.48,6.34,6.45,6535
1-Nov-16,6.41,6.50,6.38,6.41,25803
31-Oct-16,6.43,6.58,6.33,6.42,14754
28-Oct-16,6.52,6.57,6.27,6.36,3208
27-Oct-16,6.52,6.62,6.52,6.52,2716
26-Oct-16,6.61,6.61,6.53,6.56,1798
25-Oct-16,6.68,6.68,6.52,6.52,3140
24-Oct-16,6.48,6.80,6.48,6.53,5971
21-Oct-16,6.48,6.55,6.48,6.55,2732
20-Oct-16,6.62,6.62,6.44,6.49,14686
19-Oct-16,6.77,6.77,6.49,6.68,766
18-Oct-16,6.50,6.50,6.40,6.41,2540
17-Oct-16,6.38,6.53,6.36,6.47,17049
14-Oct-16,6.37,6.42,6.36,6.38,1278
13-Oct-16,6.36,6.44,6.30,6.30,10300
12-Oct-16,6.38,6.48,6.26,6.35,218124
11-Oct-16,6.41,6.43,6.30,6.30,8573
10-Oct-16,6.52,6.52,6.40,6.44,93675
7-Oct-16,6.53,6.56,6.46,6.48,2646
6-Oct-16,6.45,6.56,6.45,6.50,1896
5-Oct-16,6.45,6.54,6.42,6.53,6845
4-Oct-16,6.40,6.47,6.40,6.44,8110
3-Oct-16,6.32,6.46,6.32,6.38,8679
30-Sep-16,6.31,6.34,6.25,6.33,9757
29-Sep-16,6.28,6.28,6.25,6.25,700
28-Sep-16,6.38,6.39,6.28,6.28,6366
27-Sep-16,6.28,6.37,6.27,6.31,3182
26-Sep-16,6.36,6.39,6.27,6.36,3588
23-Sep-16,6.31,6.40,6.27,6.39,9969
22-Sep-16,6.42,6.51,6.31,6.34,4294
21-Sep-16,6.30,6.51,6.21,6.21,1147
20-Sep-16,6.60,6.63,6.46,6.55,4718
19-Sep-16,6.50,6.58,6.50,6.58,1941
16-Sep-16,6.36,6.54,6.11,6.54,33459
15-Sep-16,6.63,6.63,6.26,6.31,5279
14-Sep-16,6.42,6.64,6.27,6.33,8359
13-Sep-16,6.49,6.49,6.39,6.40,6464
12-Sep-16,6.44,6.59,6.44,6.46,7342
9-Sep-16,6.60,6.95,6.33,6.44,6500
8-Sep-16,6.69,6.74,6.59,6.60,7173
7-Sep-16,6.69,6.77,6.63,6.68,26530
6-Sep-16,6.70,6.79,6.60,6.70,34149
2-Sep-16,6.70,6.77,6.60,6.70,14088
1-Sep-16,6.71,6.89,6.62,6.67,43507
31-Aug-16,6.65,6.75,6.65,6.73,20523
30-Aug-16,6.65,6.65,6.62,6.64,10967
29-Aug-16,6.48,6.65,6.31,6.65,36268
26-Aug-16,6.40,6.48,6.27,6.48,215020
25-Aug-16,6.31,6.40,6.29,6.38,132255
24-Aug-16,6.42,6.42,6.23,6.23,6244
23-Aug-16,6.18,6.35,6.18,6.28,140931
22-Aug-16,6.15,6.16,6.13,6.15,62722
19-Aug-16,6.14,6.23,6.14,6.14,13217
18-Aug-16,6.19,6.37,6.04,6.19,181183
17-Aug-16,6.02,6.02,6.00,6.00,7756
16-Aug-16,6.00,6.17,5.98,6.00,17905
15-Aug-16,5.97,6.01,5.91,6.01,26604
12-Aug-16,6.00,6.00,5.98,5.98,906
11-Aug-16,6.01,6.01,5.91,5.95,4749
10-Aug-16,6.01,6.03,5.93,5.96,4621
9-Aug-16,5.90,6.00,5.90,6.00,7950
8-Aug-16,6.02,6.04,5.84,5.99,97210
5-Aug-16,5.95,6.04,5.95,6.00,3868
4-Aug-16,6.03,6.03,5.93,5.94,1330
3-Aug-16,6.02,6.03,5.96,6.00,1326
2-Aug-16,6.00,6.04,6.00,6.00,2033
1-Aug-16,6.06,6.10,5.97,6.01,12129
29-Jul-16,6.14,6.14,5.96,6.00,33764
28-Jul-16,5.96,6.09,5.96,6.04,13611
27-Jul-16,6.06,6.06,6.00,6.00,2117
26-Jul-16,6.04,6.04,5.93,6.01,8125
25-Jul-16,6.05,6.08,6.05,6.08,9791
22-Jul-16,6.05,6.20,6.01,6.04,6050
21-Jul-16,6.00,6.01,5.96,6.01,11420
20-Jul-16,6.00,6.02,6.00,6.00,5094
19-Jul-16,6.02,6.10,5.95,6.00,3881
18-Jul-16,6.04,6.06,5.95,6.00,35343
15-Jul-16,5.94,6.07,5.94,6.04,15824
14-Jul-16,6.10,6.10,5.90,5.98,19643
13-Jul-16,6.15,6.15,6.05,6.06,1243
12-Jul-16,6.10,6.10,6.05,6.06,5240
11-Jul-16,6.10,6.11,6.06,6.09,18222
8-Jul-16,6.12,6.15,5.99,6.07,28900
7-Jul-16,6.07,6.10,6.05,6.10,18988
6-Jul-16,6.00,6.08,5.87,6.06,21572
5-Jul-16,6.05,6.05,6.00,6.01,7304
1-Jul-16,6.03,6.15,5.96,6.07,10531
30-Jun-16,6.14,6.14,5.98,5.98,8900
29-Jun-16,6.02,6.14,5.94,6.02,8677
28-Jun-16,5.98,5.98,5.82,5.94,8518
27-Jun-16,6.04,6.07,5.74,5.91,23864
24-Jun-16,5.91,6.17,5.53,6.09,33322
23-Jun-16,6.04,6.20,6.04,6.16,31887
22-Jun-16,5.96,6.05,5.94,6.05,217703
21-Jun-16,6.02,6.03,5.85,5.98,8044
20-Jun-16,5.90,6.00,5.90,5.99,27599
17-Jun-16,5.95,6.01,5.89,5.95,33146
16-Jun-16,5.80,6.05,5.80,6.03,2499
15-Jun-16,5.97,6.07,5.97,6.05,15598
14-Jun-16,5.90,6.12,5.84,5.95,133561
13-Jun-16,6.24,6.24,5.95,5.96,31556
