Date,Open,High,Low,Close,Volume
31-Mar-17,95.16,95.47,94.53,94.77,493281
30-Mar-17,94.29,95.39,94.17,95.29,234934
29-Mar-17,93.87,94.94,93.87,94.43,418066
28-Mar-17,93.25,94.51,93.18,94.23,181044
27-Mar-17,92.81,93.41,91.50,93.29,270464
24-Mar-17,93.62,94.41,93.08,93.21,194183
23-Mar-17,93.35,94.34,93.35,93.67,239577
22-Mar-17,93.43,94.12,93.21,93.63,293108
21-Mar-17,95.18,95.21,93.52,93.61,327163
20-Mar-17,95.16,95.74,95.00,95.20,263995
17-Mar-17,95.39,95.87,94.85,95.60,427519
16-Mar-17,95.71,96.05,95.05,95.50,404439
15-Mar-17,95.02,95.78,94.82,95.64,315348
14-Mar-17,95.21,95.32,94.45,95.08,325338
13-Mar-17,95.20,95.57,94.84,95.29,322454
10-Mar-17,94.20,95.15,94.17,95.09,337696
9-Mar-17,94.20,94.59,94.06,94.20,240909
8-Mar-17,93.99,94.45,93.76,93.94,167088
7-Mar-17,93.81,94.92,93.77,93.98,215758
6-Mar-17,94.76,94.76,94.00,94.08,318873
3-Mar-17,94.63,94.94,94.27,94.66,289273
2-Mar-17,95.82,95.86,94.56,94.60,239057
1-Mar-17,95.10,95.97,94.90,95.73,292563
28-Feb-17,93.60,94.67,93.48,94.57,531756
27-Feb-17,94.77,94.85,93.69,94.10,256131
24-Feb-17,94.01,94.72,92.71,94.54,360151
23-Feb-17,94.53,94.76,94.06,94.56,152894
22-Feb-17,93.41,94.49,93.36,94.17,221613
21-Feb-17,94.42,94.42,93.37,93.65,236493
17-Feb-17,93.45,94.02,92.74,94.02,390658
16-Feb-17,93.30,94.08,93.08,94.04,437330
15-Feb-17,93.32,93.41,92.67,93.09,571484
14-Feb-17,92.83,93.76,92.83,93.00,678528
13-Feb-17,92.90,93.56,92.89,93.21,729149
10-Feb-17,93.09,93.34,92.54,92.99,345781
9-Feb-17,92.22,93.78,91.77,92.86,271960
8-Feb-17,91.00,92.46,90.96,92.01,300092
7-Feb-17,91.36,91.86,91.03,91.30,306972
6-Feb-17,90.88,91.36,90.08,91.16,442382
3-Feb-17,90.00,90.84,89.96,90.64,362814
2-Feb-17,88.74,90.64,88.74,89.94,467849
1-Feb-17,88.38,89.10,88.07,89.05,371964
31-Jan-17,88.82,89.00,87.46,88.35,467919
30-Jan-17,88.47,88.57,87.77,88.42,256415
27-Jan-17,89.22,89.22,88.31,88.97,248004
26-Jan-17,88.62,89.02,88.27,89.00,202779
25-Jan-17,88.11,88.99,88.11,88.68,236220
24-Jan-17,87.80,88.37,87.64,88.14,313472
23-Jan-17,87.42,88.15,87.29,87.68,167604
20-Jan-17,87.48,88.14,87.34,87.49,206610
19-Jan-17,88.09,88.09,86.97,87.68,324945
18-Jan-17,87.20,88.09,86.58,88.07,527313
17-Jan-17,87.08,87.56,86.46,86.75,374814
13-Jan-17,87.14,87.87,86.62,87.02,387309
12-Jan-17,86.11,87.24,85.83,87.15,413567
11-Jan-17,86.34,86.70,85.96,86.36,304618
10-Jan-17,85.48,86.59,84.79,86.31,382339
9-Jan-17,86.22,86.22,84.21,85.22,622056
6-Jan-17,87.45,87.45,85.25,86.47,537036
5-Jan-17,86.71,86.71,85.47,85.62,492354
4-Jan-17,85.79,87.25,85.79,86.50,392091
3-Jan-17,86.83,87.43,85.52,85.89,314877
30-Dec-16,86.18,86.45,85.60,86.29,549715
29-Dec-16,85.83,86.43,85.61,86.09,243660
28-Dec-16,86.68,86.86,85.85,86.00,209684
27-Dec-16,87.56,87.56,86.48,86.70,177627
23-Dec-16,87.00,87.69,86.89,87.25,256512
22-Dec-16,87.00,87.16,86.76,87.09,165032
21-Dec-16,87.00,87.27,86.75,87.09,175777
20-Dec-16,87.10,87.55,86.70,87.13,296432
19-Dec-16,86.83,87.85,86.83,87.10,357556
16-Dec-16,86.18,87.33,86.18,86.83,846344
15-Dec-16,86.36,87.23,85.87,86.63,248776
14-Dec-16,87.75,87.90,86.36,86.45,343658
13-Dec-16,88.19,88.41,87.05,87.38,374728
12-Dec-16,86.70,88.09,85.98,87.91,595776
9-Dec-16,86.66,86.87,85.98,86.19,526125
8-Dec-16,84.95,86.84,84.86,86.25,575538
7-Dec-16,84.25,84.92,84.04,84.88,286095
6-Dec-16,83.79,84.47,83.47,84.44,457781
5-Dec-16,83.05,83.96,82.66,83.95,561793
2-Dec-16,83.47,83.59,82.76,83.09,499386
1-Dec-16,83.09,83.72,82.90,83.30,497949
30-Nov-16,82.44,83.26,82.41,82.72,751065
29-Nov-16,81.76,82.46,81.74,82.39,310982
28-Nov-16,82.03,82.22,81.34,81.62,615031
25-Nov-16,81.77,82.17,81.48,82.14,139340
23-Nov-16,80.97,81.65,80.50,81.61,233879
22-Nov-16,80.95,81.66,79.95,80.96,375307
21-Nov-16,81.33,81.79,80.29,80.89,213148
