Date,Open,High,Low,Close,Volume
31-Mar-17,28.95,29.30,28.85,28.85,7863
30-Mar-17,29.15,29.40,28.50,28.90,20878
29-Mar-17,29.50,29.50,29.05,29.25,5182
28-Mar-17,29.25,29.85,29.05,29.35,10977
27-Mar-17,28.50,29.00,28.50,29.00,5235
24-Mar-17,29.30,29.45,28.75,28.90,5294
23-Mar-17,28.90,29.50,28.90,29.35,5056
22-Mar-17,29.25,29.25,28.18,28.55,21639
21-Mar-17,31.02,31.35,29.30,29.55,23827
20-Mar-17,30.60,32.00,30.55,30.60,10120
17-Mar-17,30.95,31.75,30.45,30.95,123359
16-Mar-17,30.65,31.20,30.25,31.10,10009
15-Mar-17,31.20,32.50,30.20,30.70,27249
14-Mar-17,31.30,31.30,30.05,31.05,14047
13-Mar-17,30.65,31.80,30.25,31.20,20291
10-Mar-17,30.30,30.70,29.60,30.30,15222
9-Mar-17,29.00,30.45,29.00,29.90,12557
8-Mar-17,29.50,30.50,29.30,29.90,12399
7-Mar-17,29.45,30.00,29.45,29.85,9167
6-Mar-17,29.70,30.00,29.50,29.85,11090
3-Mar-17,29.65,29.75,29.58,29.70,3675
2-Mar-17,29.30,29.75,29.30,29.50,7968
1-Mar-17,29.25,29.50,29.10,29.45,5979
28-Feb-17,29.10,29.25,28.90,29.00,8481
27-Feb-17,29.05,29.60,29.05,29.25,6235
24-Feb-17,29.57,29.57,29.25,29.40,3240
23-Feb-17,29.40,29.65,29.40,29.45,4092
22-Feb-17,29.45,29.70,29.20,29.35,6028
21-Feb-17,29.49,29.70,29.40,29.50,3510
17-Feb-17,29.45,29.50,29.14,29.45,7120
16-Feb-17,29.30,29.65,29.25,29.30,4790
15-Feb-17,29.45,29.70,29.05,29.50,4763
14-Feb-17,29.00,29.60,28.80,29.55,12900
13-Feb-17,29.60,29.75,29.05,29.50,3400
10-Feb-17,29.32,29.65,29.05,29.65,7010
9-Feb-17,28.68,29.40,28.60,29.05,3178
8-Feb-17,28.35,28.90,28.30,28.60,4933
7-Feb-17,29.75,29.75,28.45,28.45,2723
6-Feb-17,29.70,29.90,29.15,29.20,10191
3-Feb-17,29.76,30.00,29.76,29.90,3896
2-Feb-17,30.50,30.50,29.92,30.30,2696
1-Feb-17,30.45,30.45,30.00,30.00,1547
31-Jan-17,29.50,30.00,29.50,30.00,5055
30-Jan-17,29.85,29.89,29.80,29.85,6173
27-Jan-17,29.94,29.95,29.50,29.85,5659
26-Jan-17,30.00,30.35,30.00,30.35,1296
25-Jan-17,30.50,30.50,29.90,30.45,1189
24-Jan-17,29.90,30.00,29.40,30.00,2684
23-Jan-17,30.00,30.00,29.60,29.80,2939
20-Jan-17,29.60,29.90,29.50,29.85,6682
19-Jan-17,29.50,29.75,29.50,29.75,3329
18-Jan-17,29.65,30.00,29.42,29.55,2228
17-Jan-17,30.55,30.55,29.50,29.55,8402
13-Jan-17,30.25,30.70,30.05,30.50,9234
12-Jan-17,30.95,30.95,30.15,30.15,3793
11-Jan-17,30.85,31.25,30.60,30.85,3025
10-Jan-17,30.95,30.95,30.52,30.75,4788
9-Jan-17,30.82,31.10,30.65,31.05,5565
6-Jan-17,30.90,31.45,30.90,30.95,3531
5-Jan-17,31.35,31.35,30.85,30.85,7407
4-Jan-17,31.40,31.45,31.05,31.30,5330
