Date,Open,High,Low,Close,Volume
31-Mar-17,6.46,6.57,6.44,6.56,1663982
30-Mar-17,6.40,6.50,6.35,6.47,1861330
29-Mar-17,6.26,6.37,6.24,6.36,1091029
28-Mar-17,6.17,6.28,6.17,6.24,1027465
27-Mar-17,6.16,6.20,6.10,6.17,736261
24-Mar-17,6.19,6.24,6.16,6.18,546059
23-Mar-17,6.18,6.25,6.14,6.15,911835
22-Mar-17,6.25,6.26,6.12,6.16,1196542
21-Mar-17,6.34,6.34,6.18,6.21,1259476
20-Mar-17,6.37,6.39,6.29,6.33,888663
17-Mar-17,6.35,6.37,6.28,6.34,1380932
16-Mar-17,6.50,6.51,6.40,6.46,1830353
15-Mar-17,6.35,6.50,6.33,6.46,922048
14-Mar-17,6.42,6.44,6.35,6.35,938352
13-Mar-17,6.40,6.45,6.39,6.39,1022382
10-Mar-17,6.33,6.42,6.33,6.38,1018283
9-Mar-17,6.48,6.51,6.32,6.33,1479668
8-Mar-17,6.44,6.54,6.44,6.46,1020839
7-Mar-17,6.51,6.58,6.42,6.44,1286722
6-Mar-17,6.40,6.54,6.36,6.51,1599028
3-Mar-17,6.40,6.45,6.37,6.43,1494953
2-Mar-17,6.39,6.41,6.32,6.38,1116205
1-Mar-17,6.36,6.42,6.30,6.40,1290774
28-Feb-17,6.32,6.34,6.27,6.33,1161177
27-Feb-17,6.25,6.34,6.19,6.32,938403
24-Feb-17,6.33,6.34,6.20,6.32,787256
23-Feb-17,6.34,6.37,6.30,6.34,1268138
22-Feb-17,6.20,6.32,6.20,6.29,1131858
21-Feb-17,6.29,6.34,6.22,6.24,1314761
17-Feb-17,6.23,6.28,6.19,6.27,901150
16-Feb-17,6.24,6.24,6.17,6.22,839740
15-Feb-17,6.19,6.24,6.12,6.22,870180
14-Feb-17,6.12,6.19,6.08,6.17,796471
13-Feb-17,6.12,6.18,6.10,6.12,924311
10-Feb-17,6.03,6.12,6.03,6.12,915761
9-Feb-17,6.03,6.14,6.01,6.03,1327808
8-Feb-17,5.88,6.02,5.87,6.01,918087
7-Feb-17,6.02,6.02,5.92,5.92,964984
6-Feb-17,5.98,6.08,5.86,6.06,1061723
3-Feb-17,5.98,6.10,5.97,6.02,1157421
2-Feb-17,5.98,5.99,5.91,5.96,684515
1-Feb-17,5.89,6.02,5.88,5.99,1074340
31-Jan-17,5.87,5.89,5.82,5.86,1315160
30-Jan-17,5.84,5.92,5.83,5.89,667425
27-Jan-17,5.91,5.92,5.85,5.86,647562
26-Jan-17,5.95,5.97,5.88,5.90,780915
25-Jan-17,5.97,5.98,5.92,5.96,742491
24-Jan-17,5.91,5.97,5.89,5.93,815347
23-Jan-17,5.96,5.97,5.90,5.90,625935
20-Jan-17,5.92,5.95,5.90,5.94,526335
19-Jan-17,5.96,6.00,5.90,5.92,563248
18-Jan-17,6.00,6.03,5.94,5.95,806073
17-Jan-17,6.03,6.04,6.00,6.01,641788
13-Jan-17,6.04,6.08,5.99,6.03,960870
12-Jan-17,6.14,6.14,6.02,6.02,694242
11-Jan-17,6.08,6.15,6.05,6.15,920811
10-Jan-17,6.11,6.12,6.08,6.08,474187
9-Jan-17,6.12,6.13,6.07,6.08,437854
6-Jan-17,6.14,6.18,6.08,6.10,842741
5-Jan-17,6.10,6.19,6.09,6.12,1518638
4-Jan-17,5.97,6.18,5.97,6.09,2184921
3-Jan-17,5.85,5.96,5.84,5.94,1298613
30-Dec-16,5.85,5.91,5.82,5.86,1415621
29-Dec-16,5.81,5.89,5.77,5.88,1136094
28-Dec-16,5.81,5.85,5.75,5.80,1105805
27-Dec-16,5.85,5.90,5.77,5.83,1927659
23-Dec-16,5.87,5.88,5.82,5.86,1498948
22-Dec-16,5.88,5.91,5.84,5.88,1926445
21-Dec-16,5.90,5.91,5.85,5.88,1680071
20-Dec-16,5.94,5.96,5.85,5.89,2183242
19-Dec-16,6.00,6.05,5.90,5.90,2745453
16-Dec-16,6.05,6.19,6.05,6.15,4006001
15-Dec-16,6.07,6.14,6.04,6.07,3498546
14-Dec-16,6.07,6.15,6.06,6.08,1994988
13-Dec-16,6.14,6.16,6.08,6.12,1277174
12-Dec-16,6.07,6.16,6.05,6.10,1873020
9-Dec-16,6.06,6.08,6.01,6.07,1538327
8-Dec-16,6.09,6.12,6.05,6.08,1555379
7-Dec-16,6.00,6.12,5.99,6.09,1125477
6-Dec-16,6.03,6.03,5.96,6.00,2197225
5-Dec-16,5.95,6.03,5.95,6.00,1498707
2-Dec-16,6.03,6.05,5.94,5.97,1688899
1-Dec-16,6.20,6.20,5.95,6.04,2806416
30-Nov-16,6.15,6.25,6.11,6.16,2162330
29-Nov-16,6.16,6.20,6.08,6.13,1793703
28-Nov-16,6.21,6.24,6.10,6.14,1655742
25-Nov-16,6.05,6.21,6.02,6.21,2008415
23-Nov-16,6.01,6.06,6.01,6.03,1753058
22-Nov-16,6.04,6.07,6.02,6.05,1521718
21-Nov-16,6.05,6.06,6.02,6.02,1841177
18-Nov-16,6.07,6.07,5.97,6.02,2671352
17-Nov-16,6.04,6.06,5.96,6.05,2790711
16-Nov-16,5.98,6.04,5.95,6.00,2888628
15-Nov-16,6.00,6.00,5.94,5.96,2991231
14-Nov-16,5.96,6.01,5.94,5.97,2301042
11-Nov-16,6.00,6.02,5.94,5.96,2602095
10-Nov-16,6.10,6.21,5.96,6.00,3058340
9-Nov-16,5.74,6.15,5.74,6.06,2753792
8-Nov-16,5.66,6.05,5.66,5.96,1744329
7-Nov-16,5.70,5.80,5.70,5.80,1179355
4-Nov-16,5.69,5.79,5.65,5.71,938190
3-Nov-16,5.80,5.82,5.71,5.72,801467
2-Nov-16,5.88,5.88,5.80,5.81,621639
1-Nov-16,5.94,5.94,5.87,5.88,737019
31-Oct-16,5.98,6.00,5.90,5.91,1211689
28-Oct-16,6.05,6.06,6.00,6.04,1012133
27-Oct-16,6.08,6.10,6.01,6.02,1524819
