Stock,Date,Open,High,Low,Close,Volume
aame,4-Apr-16,4.85,5.00,4.52,4.81,6055
aame,5-Apr-16,4.88,5.00,4.77,4.85,2909
aame,6-Apr-16,4.91,4.91,4.86,4.90,538
aame,7-Apr-16,4.86,4.86,4.78,4.83,907
aame,8-Apr-16,4.77,4.90,4.57,4.63,2889
aame,11-Apr-16,4.61,4.81,4.56,4.56,5816
aame,12-Apr-16,4.71,4.71,4.70,4.71,432
aame,14-Apr-16,4.75,4.75,4.71,4.72,3649
aame,15-Apr-16,4.57,4.76,4.54,4.54,2026
aame,18-Apr-16,4.55,4.55,4.02,4.21,4390
aame,19-Apr-16,4.43,4.56,4.35,4.41,3507
aame,20-Apr-16,4.25,4.48,4.22,4.48,1137
aame,21-Apr-16,4.60,4.60,4.54,4.54,269
aame,22-Apr-16,4.46,4.62,4.42,4.62,1412
aame,25-Apr-16,4.62,4.62,4.62,4.62,312
aame,26-Apr-16,4.55,4.55,4.24,4.24,4959
aame,27-Apr-16,4.40,4.40,4.17,4.24,1599
aame,28-Apr-16,4.28,4.31,4.17,4.31,3729
aame,29-Apr-16,4.12,4.18,3.86,4.18,2596
aame,3-May-16,3.84,4.12,3.78,4.12,880
aame,4-May-16,4.08,4.41,4.08,4.16,1855
aame,5-May-16,4.09,4.20,4.05,4.18,1860
aame,6-May-16,4.17,4.17,4.11,4.11,703
aame,9-May-16,4.30,4.30,4.05,4.10,4213
aame,11-May-16,3.95,3.95,3.95,3.95,354
aame,13-May-16,3.87,3.87,3.87,3.87,107
aame,16-May-16,3.96,3.96,3.53,3.53,11992
aame,17-May-16,3.45,3.53,3.31,3.35,5976
aame,18-May-16,3.42,3.42,3.42,3.42,455
aame,19-May-16,3.35,3.35,3.35,3.35,498
aame,20-May-16,3.36,3.44,3.25,3.32,3769
aame,23-May-16,3.39,3.44,3.29,3.35,3120
aame,24-May-16,3.22,3.44,3.22,3.35,4048
aame,25-May-16,3.21,3.49,3.21,3.49,2031
aame,26-May-16,3.36,3.57,3.36,3.44,5936
aame,27-May-16,3.39,3.56,3.26,3.56,5805
aame,31-May-16,3.56,3.69,3.56,3.68,3320
aame,1-Jun-16,3.61,3.76,3.44,3.65,4198
aame,2-Jun-16,3.65,3.67,3.55,3.55,911
aame,3-Jun-16,3.61,3.64,3.61,3.64,2236
aame,6-Jun-16,3.69,3.69,3.63,3.63,2212
aame,7-Jun-16,3.59,3.59,3.51,3.54,2197
aame,8-Jun-16,3.54,3.54,3.53,3.53,951
aame,9-Jun-16,3.53,3.53,3.53,3.53,758
aame,10-Jun-16,3.51,3.53,3.51,3.53,716
aame,13-Jun-16,3.68,3.68,3.52,3.67,1282
aame,14-Jun-16,3.67,3.72,3.51,3.58,2022
aame,15-Jun-16,3.53,3.73,3.51,3.64,3489
aame,16-Jun-16,3.98,3.98,3.79,3.79,1258
aame,17-Jun-16,3.94,3.94,3.83,3.83,1927
aame,20-Jun-16,3.84,3.96,3.84,3.91,956
aame,21-Jun-16,3.91,3.93,3.87,3.93,889
aame,22-Jun-16,3.96,3.96,3.95,3.95,947
aame,23-Jun-16,4.02,4.04,3.96,3.96,1062
aame,24-Jun-16,4.02,4.02,3.96,3.99,1675
aame,27-Jun-16,4.00,4.18,3.95,4.18,5568
aame,28-Jun-16,4.33,4.33,3.96,4.15,3466
aame,29-Jun-16,3.96,4.46,3.96,3.99,1255
aame,30-Jun-16,4.00,4.08,3.96,3.96,5490
aame,1-Jul-16,3.87,4.00,3.87,3.93,3735
aame,5-Jul-16,3.93,3.93,3.93,3.93,730
aame,6-Jul-16,3.80,4.09,3.80,4.09,1294
aame,7-Jul-16,4.15,4.15,4.15,4.15,468
aame,8-Jul-16,4.15,4.15,4.07,4.10,2513
aame,14-Jul-16,4.00,4.25,4.00,4.20,1127
aame,18-Jul-16,4.30,4.30,4.11,4.25,795
aame,25-Jul-16,4.20,4.25,3.96,4.00,5124
aame,26-Jul-16,3.95,3.96,3.95,3.96,606
aame,28-Jul-16,4.30,4.30,4.20,4.20,650
aame,29-Jul-16,4.10,4.22,4.10,4.22,622
aame,2-Aug-16,4.17,4.25,4.10,4.25,338
aame,3-Aug-16,4.18,4.25,4.10,4.25,2168
aame,4-Aug-16,4.25,4.25,4.15,4.16,686
aame,5-Aug-16,4.10,4.16,4.08,4.16,1091
aame,8-Aug-16,4.14,4.14,4.14,4.14,472
aame,9-Aug-16,4.10,4.16,4.10,4.14,590
aame,10-Aug-16,4.10,4.15,4.10,4.10,812
aame,11-Aug-16,4.07,4.13,4.00,4.06,8465
aame,15-Aug-16,4.01,4.01,3.75,3.75,3685
aame,22-Aug-16,3.90,4.29,3.51,3.51,139068
aame,23-Aug-16,3.50,3.72,3.26,3.48,74694
aame,24-Aug-16,3.44,3.78,3.42,3.55,4208
aame,25-Aug-16,3.55,3.70,3.35,3.49,17677
aame,26-Aug-16,3.63,3.63,3.12,3.54,16651
aame,29-Aug-16,3.56,3.56,3.34,3.54,2839
aame,30-Aug-16,3.65,3.65,3.35,3.54,8986
aame,31-Aug-16,3.42,3.62,3.42,3.62,8840
aame,1-Sep-16,3.65,3.66,3.62,3.66,3733
aame,2-Sep-16,3.43,3.67,3.41,3.64,4698
aame,6-Sep-16,3.51,3.68,3.27,3.45,12673
aame,7-Sep-16,3.45,3.45,3.35,3.35,2888
aame,8-Sep-16,3.39,3.45,3.18,3.44,10597
aame,9-Sep-16,3.44,3.57,3.37,3.57,28714
aame,12-Sep-16,3.57,3.57,3.34,3.36,11672
aame,13-Sep-16,3.38,3.50,3.35,3.49,2378
aame,14-Sep-16,3.28,3.50,3.28,3.47,7198
aame,15-Sep-16,3.44,3.45,3.40,3.40,3464
aame,16-Sep-16,3.40,3.48,3.24,3.24,9384
aame,19-Sep-16,3.26,3.44,3.25,3.25,17217
aame,20-Sep-16,3.36,3.40,3.35,3.37,2388
aame,21-Sep-16,3.37,3.42,3.31,3.31,1805
aame,22-Sep-16,3.30,3.41,3.30,3.30,1517
aame,23-Sep-16,3.37,3.43,3.37,3.43,2092
aame,26-Sep-16,3.36,3.43,3.31,3.42,3333
aame,27-Sep-16,3.42,3.46,3.34,3.44,3996
aame,28-Sep-16,3.42,3.45,3.37,3.37,1830
aame,29-Sep-16,3.42,3.42,3.06,3.26,6641
aame,30-Sep-16,3.32,3.32,3.24,3.24,3433
aame,3-Oct-16,3.30,3.31,3.24,3.30,2289
aame,4-Oct-16,3.35,3.45,3.21,3.44,10132
aame,5-Oct-16,3.39,3.39,3.26,3.26,2090
aame,6-Oct-16,3.36,3.40,3.27,3.27,2395
aame,7-Oct-16,3.35,3.35,3.32,3.33,3115
aame,10-Oct-16,3.39,3.39,3.30,3.30,2670
aame,11-Oct-16,3.35,3.50,3.35,3.49,9762
aame,12-Oct-16,3.49,3.49,3.35,3.42,1827
aame,13-Oct-16,3.50,3.84,3.50,3.58,8923
aame,14-Oct-16,3.77,3.78,3.76,3.78,1116
aame,17-Oct-16,3.90,4.65,3.65,3.75,14762
aame,18-Oct-16,4.00,4.65,3.85,4.05,8604
aame,19-Oct-16,3.80,4.05,3.80,3.95,3212
aame,20-Oct-16,4.15,4.15,4.00,4.00,2952
aame,21-Oct-16,4.10,4.10,3.86,3.86,1446
