Date,Open,High,Low,Close,Volume
31-Mar-17,37.45,37.75,36.50,37.25,58288
30-Mar-17,36.95,37.25,36.70,37.25,14159
29-Mar-17,36.50,38.20,36.35,37.10,58343
28-Mar-17,35.28,36.90,35.00,36.70,57893
27-Mar-17,34.95,35.45,34.95,35.45,4690
24-Mar-17,36.20,36.54,35.70,35.70,10486
23-Mar-17,34.75,35.95,34.75,35.60,6333
22-Mar-17,35.65,35.65,34.60,34.80,17727
21-Mar-17,37.20,37.20,35.90,35.95,17180
20-Mar-17,38.75,38.75,37.20,37.30,10384
17-Mar-17,36.75,39.40,36.05,38.90,51767
16-Mar-17,36.55,36.85,36.35,36.85,9800
15-Mar-17,36.25,36.65,36.15,36.25,8546
14-Mar-17,36.05,36.52,36.00,36.25,10116
13-Mar-17,36.60,36.65,36.00,36.15,7218
10-Mar-17,36.25,36.85,36.00,36.25,12806
9-Mar-17,36.40,36.74,36.35,36.40,12797
8-Mar-17,36.72,36.72,36.45,36.50,23609
7-Mar-17,36.40,36.85,36.20,36.50,64784
6-Mar-17,36.50,36.59,36.50,36.50,6872
3-Mar-17,36.15,36.70,36.15,36.60,13431
2-Mar-17,36.60,36.70,35.80,36.00,11539
1-Mar-17,36.55,36.90,33.80,36.80,17396
28-Feb-17,36.75,36.75,36.50,36.55,21798
27-Feb-17,36.69,36.90,36.50,36.75,31571
24-Feb-17,36.75,36.75,36.65,36.70,3993
23-Feb-17,36.65,36.85,36.52,36.75,6629
22-Feb-17,36.70,36.75,36.50,36.75,4480
21-Feb-17,36.65,36.90,36.56,36.85,3359
17-Feb-17,36.30,36.55,36.25,36.55,15413
16-Feb-17,36.25,36.35,36.20,36.25,15145
15-Feb-17,36.00,36.30,36.00,36.10,8169
14-Feb-17,35.95,36.20,35.90,36.10,8050
13-Feb-17,35.15,36.40,35.15,36.15,26671
10-Feb-17,35.02,35.20,34.95,35.10,5814
9-Feb-17,35.50,35.62,35.10,35.35,6016
8-Feb-17,35.20,35.52,35.10,35.10,9169
7-Feb-17,35.70,35.95,35.40,35.45,5756
6-Feb-17,36.20,37.52,35.50,35.65,11757
3-Feb-17,35.99,36.35,35.90,36.20,15697
2-Feb-17,35.50,35.74,35.35,35.50,6533
1-Feb-17,35.80,36.10,35.20,35.70,9383
31-Jan-17,35.59,35.65,35.20,35.50,8468
30-Jan-17,35.50,35.55,35.00,35.00,8376
27-Jan-17,36.05,36.05,35.60,35.75,5358
26-Jan-17,36.03,36.25,35.80,35.90,7115
25-Jan-17,35.90,35.90,35.60,35.65,9020
24-Jan-17,34.80,35.75,34.80,35.65,16667
23-Jan-17,35.00,35.00,34.80,34.85,12632
20-Jan-17,34.20,35.00,34.20,34.95,8074
19-Jan-17,34.89,34.90,34.80,34.80,10862
18-Jan-17,34.75,35.00,34.75,34.90,5365
17-Jan-17,34.90,34.90,34.70,34.70,28982
13-Jan-17,35.00,35.00,34.80,34.85,9163
12-Jan-17,34.60,34.65,34.15,34.60,13545
11-Jan-17,35.45,35.45,35.00,35.35,10850
10-Jan-17,35.65,35.65,35.40,35.50,5692
9-Jan-17,35.30,35.65,35.20,35.45,13583
6-Jan-17,35.95,35.95,35.45,35.65,3786
5-Jan-17,35.55,36.00,35.55,35.95,6254
4-Jan-17,35.25,36.25,35.25,36.10,9282
3-Jan-17,35.20,35.35,34.40,35.10,10328
30-Dec-16,35.50,35.50,34.50,34.80,9635
29-Dec-16,35.65,35.85,35.35,35.55,10947
28-Dec-16,36.05,36.15,35.45,35.80,10189
27-Dec-16,35.85,36.00,35.75,35.90,6922
23-Dec-16,35.52,35.99,35.40,35.80,5308
22-Dec-16,36.05,36.25,35.55,35.70,5392
