Date,Open,High,Low,Close,Volume
31-Mar-17,15.18,15.22,14.81,14.82,28856
30-Mar-17,14.86,15.05,14.66,14.97,57165
29-Mar-17,15.17,15.17,14.90,14.90,11785
28-Mar-17,15.04,15.10,14.84,14.94,12712
27-Mar-17,15.06,15.23,14.83,15.23,25375
24-Mar-17,15.24,15.24,15.00,15.20,7778
23-Mar-17,14.95,15.14,14.63,15.14,7211
22-Mar-17,14.85,15.13,14.85,15.00,9378
21-Mar-17,15.25,15.25,14.86,14.91,28895
20-Mar-17,15.21,15.28,14.98,15.21,6416
17-Mar-17,15.25,15.25,15.16,15.25,7763
16-Mar-17,15.15,15.25,15.15,15.22,9267
15-Mar-17,15.24,15.25,15.18,15.18,6324
14-Mar-17,14.94,15.25,14.94,15.25,16299
13-Mar-17,14.96,15.07,14.96,15.04,117980
10-Mar-17,14.93,15.04,14.85,14.86,16674
9-Mar-17,15.00,15.03,14.81,14.87,8875
8-Mar-17,14.86,15.21,14.68,15.03,8876
7-Mar-17,14.96,15.02,14.80,14.85,10397
6-Mar-17,14.87,15.04,14.78,14.92,14302
3-Mar-17,15.06,15.08,14.79,14.98,5455
2-Mar-17,15.09,15.14,14.95,14.96,3974
1-Mar-17,15.03,15.24,14.86,15.07,59650
28-Feb-17,14.95,15.13,14.70,14.88,29032
27-Feb-17,15.10,15.32,14.92,15.08,10819
24-Feb-17,15.00,15.04,14.42,15.03,79256
23-Feb-17,15.32,15.32,15.06,15.06,2462
22-Feb-17,15.34,15.35,15.17,15.35,6130
21-Feb-17,15.35,15.42,15.15,15.32,15415
17-Feb-17,15.36,15.45,15.05,15.35,8515
16-Feb-17,15.11,15.43,15.11,15.35,8625
15-Feb-17,15.15,15.44,15.04,15.19,5708
14-Feb-17,14.69,15.38,14.69,15.32,20793
13-Feb-17,15.45,15.45,15.03,15.04,8993
10-Feb-17,15.28,15.45,15.20,15.40,6538
9-Feb-17,15.18,15.36,15.18,15.27,11478
8-Feb-17,14.92,15.23,14.92,15.23,214768
7-Feb-17,15.15,15.19,14.96,14.99,11408
6-Feb-17,15.11,15.16,14.89,15.05,29110
3-Feb-17,15.07,15.15,15.06,15.08,8450
2-Feb-17,14.97,15.15,14.97,15.01,8012
1-Feb-17,15.10,15.22,15.05,15.05,13180
31-Jan-17,14.97,15.10,14.66,15.00,6297
30-Jan-17,15.10,15.16,14.80,14.84,10633
27-Jan-17,15.50,15.50,14.89,15.31,20588
26-Jan-17,14.78,15.67,14.78,15.22,30095
25-Jan-17,14.90,15.00,14.55,14.87,15607
24-Jan-17,13.80,15.00,13.48,14.88,43424
23-Jan-17,13.92,14.37,13.50,13.79,28498
20-Jan-17,14.63,14.89,14.11,14.21,23631
19-Jan-17,14.75,14.89,14.75,14.89,4216
18-Jan-17,14.49,14.95,14.30,14.76,9554
17-Jan-17,14.85,14.88,13.09,14.49,77550
13-Jan-17,15.44,15.63,15.11,15.11,9094
12-Jan-17,15.37,15.70,15.21,15.55,10297
11-Jan-17,15.54,15.70,15.23,15.70,7486
10-Jan-17,15.58,15.70,15.57,15.67,16324
9-Jan-17,15.65,15.89,15.55,15.70,86117
6-Jan-17,15.75,15.75,15.26,15.48,6416
5-Jan-17,15.65,15.87,15.60,15.65,33057
4-Jan-17,15.68,15.70,15.35,15.54,24838
3-Jan-17,15.45,15.90,15.45,15.70,189626
30-Dec-16,15.10,15.18,14.87,15.11,16446
29-Dec-16,15.70,15.70,15.23,15.25,5587
28-Dec-16,15.90,15.90,15.34,15.74,5318
27-Dec-16,14.59,15.99,13.71,15.90,30832
23-Dec-16,14.24,14.60,14.24,14.60,7862
21-Dec-16,14.54,14.54,14.54,14.54,207
20-Dec-16,14.61,14.80,13.90,14.28,5891
19-Dec-16,14.68,14.80,14.60,14.69,10349
16-Dec-16,14.70,14.70,14.66,14.66,827
15-Dec-16,14.60,14.80,14.60,14.80,8519
14-Dec-16,14.74,14.80,14.70,14.74,2525
13-Dec-16,14.56,14.56,14.56,14.56,372
12-Dec-16,14.55,14.65,14.55,14.56,4236
9-Dec-16,14.54,14.78,14.54,14.66,1845
8-Dec-16,14.70,14.85,14.45,14.66,13466
7-Dec-16,14.45,14.60,14.45,14.60,9412
6-Dec-16,14.47,14.50,13.78,14.41,18662
5-Dec-16,13.89,14.50,13.89,14.50,4082
2-Dec-16,14.17,14.44,14.17,14.25,6961
1-Dec-16,13.65,14.17,13.65,14.17,17772
30-Nov-16,13.72,13.84,13.52,13.56,21893
29-Nov-16,13.56,13.61,13.40,13.60,39169
28-Nov-16,13.70,13.90,13.59,13.65,88794
25-Nov-16,13.34,13.70,13.30,13.70,17172
23-Nov-16,13.73,13.86,13.35,13.53,52436
22-Nov-16,13.99,14.28,13.17,13.96,38814
21-Nov-16,14.24,14.29,13.97,13.97,11298
