Date,Open,High,Low,Close,Volume
31-Mar-17,38.82,39.20,38.64,38.86,2001053
30-Mar-17,38.26,38.96,38.24,38.90,1811571
29-Mar-17,38.06,38.46,37.96,38.24,1698928
28-Mar-17,37.15,38.63,37.08,38.23,3118547
27-Mar-17,36.87,37.45,36.36,37.31,4525064
24-Mar-17,38.01,38.24,37.47,37.69,2267523
23-Mar-17,37.86,38.35,37.67,37.84,3564675
22-Mar-17,37.79,38.38,37.35,37.98,3757275
21-Mar-17,39.95,39.95,37.91,37.97,3696475
20-Mar-17,40.28,40.74,39.81,39.81,3541751
17-Mar-17,40.20,40.43,40.02,40.29,5252513
16-Mar-17,39.62,40.41,39.52,40.40,3436731
15-Mar-17,39.41,39.74,39.10,39.42,2340627
14-Mar-17,39.31,39.37,38.89,39.33,2144043
13-Mar-17,39.12,39.86,39.02,39.58,2590258
10-Mar-17,39.54,39.91,39.23,39.42,3298121
9-Mar-17,39.43,39.79,39.14,39.43,2125865
8-Mar-17,39.80,40.09,39.03,39.24,2738289
7-Mar-17,39.10,39.57,39.01,39.40,3698382
6-Mar-17,39.56,39.82,39.27,39.69,2756334
3-Mar-17,39.92,40.25,39.58,39.70,3738740
2-Mar-17,40.95,40.95,39.34,39.96,5711433
1-Mar-17,39.75,41.59,39.75,41.18,9200373
28-Feb-17,41.00,41.25,38.89,39.10,16145527
27-Feb-17,43.46,43.84,43.39,43.66,2519686
24-Feb-17,43.09,43.51,42.89,43.41,2463664
23-Feb-17,43.40,43.62,43.25,43.48,1992382
22-Feb-17,43.00,43.78,42.92,43.46,1958231
21-Feb-17,43.39,43.66,43.13,43.28,1563343
17-Feb-17,42.90,43.31,42.67,43.15,1485910
16-Feb-17,43.48,43.48,42.84,43.27,2216767
15-Feb-17,43.30,43.51,42.70,43.42,2692834
14-Feb-17,42.73,43.24,42.32,42.94,2355493
13-Feb-17,42.73,43.20,42.57,42.73,2583834
10-Feb-17,42.95,42.95,42.33,42.34,2653004
9-Feb-17,41.82,42.61,41.72,42.61,3010124
8-Feb-17,41.76,41.90,41.39,41.74,1856726
7-Feb-17,42.12,42.38,41.78,41.96,2984821
6-Feb-17,42.00,42.31,41.50,42.11,3404138
3-Feb-17,42.51,42.82,41.91,42.17,7729096
2-Feb-17,43.68,43.97,40.93,41.70,15448773
1-Feb-17,46.64,46.85,46.00,46.09,1371380
31-Jan-17,46.24,46.35,45.64,46.15,1674725
30-Jan-17,46.48,46.48,45.66,46.30,1495134
27-Jan-17,46.77,47.02,46.35,46.94,1773832
26-Jan-17,46.84,47.18,46.75,46.90,1777332
25-Jan-17,46.69,46.94,46.29,46.83,2113665
24-Jan-17,46.19,46.54,45.98,46.32,2063215
23-Jan-17,45.99,46.23,45.41,46.12,1769222
20-Jan-17,46.58,46.60,45.87,46.20,1707809
19-Jan-17,46.90,47.03,45.92,46.32,2441025
18-Jan-17,45.77,46.71,44.88,46.65,4935138
17-Jan-17,46.42,46.68,45.82,45.87,4024354
13-Jan-17,47.00,47.41,46.65,46.86,1793600
12-Jan-17,46.62,46.83,45.82,46.74,2060616
11-Jan-17,46.98,46.99,46.35,46.89,1662092
10-Jan-17,46.76,47.06,46.60,46.84,1444179
9-Jan-17,46.69,46.81,46.37,46.55,1710177
6-Jan-17,46.71,47.01,46.20,46.85,2354452
5-Jan-17,45.74,46.36,45.54,46.32,3642064
4-Jan-17,44.39,45.84,44.39,45.60,2874913
3-Jan-17,44.12,44.48,43.76,44.17,1987166
30-Dec-16,43.76,43.88,43.37,43.60,1538588
29-Dec-16,43.83,44.12,43.38,43.53,1667541
28-Dec-16,44.61,44.61,43.85,43.85,1407715
27-Dec-16,44.51,44.79,44.32,44.49,1692099
23-Dec-16,44.00,44.64,43.80,44.47,1615489
22-Dec-16,44.28,44.35,43.88,44.15,1181068
21-Dec-16,44.39,44.48,44.07,44.25,1408909
20-Dec-16,44.22,44.74,43.90,44.38,2003088
19-Dec-16,43.93,44.03,43.44,43.84,1724645
16-Dec-16,44.32,44.63,43.77,43.93,3485326
15-Dec-16,43.57,44.73,43.54,44.34,4313438
14-Dec-16,42.65,44.11,42.52,43.27,3373457
13-Dec-16,42.76,43.13,42.52,42.96,2154689
12-Dec-16,43.37,43.47,42.59,42.76,1843273
