Date,Open,High,Low,Close,Volume
31-Mar-17,12.73,12.73,12.73,12.73,333
30-Mar-17,12.55,12.64,12.55,12.64,700
29-Mar-17,12.55,12.60,12.55,12.56,2944
28-Mar-17,12.56,12.60,12.55,12.58,1967
27-Mar-17,12.55,12.55,12.55,12.55,400
24-Mar-17,12.56,12.57,12.50,12.50,3244
23-Mar-17,12.56,12.58,12.55,12.56,8453
22-Mar-17,12.56,12.59,12.56,12.59,312
21-Mar-17,12.57,12.70,12.57,12.70,4916
20-Mar-17,12.60,12.70,12.55,12.70,8044
17-Mar-17,12.55,12.58,12.55,12.55,7738
16-Mar-17,12.55,12.56,12.55,12.55,3205
15-Mar-17,12.62,12.65,12.50,12.50,6715
14-Mar-17,12.62,12.68,12.62,12.62,4211
13-Mar-17,12.65,12.72,12.65,12.72,709
10-Mar-17,12.68,12.68,12.65,12.65,1252
9-Mar-17,12.66,12.67,12.65,12.65,3460
8-Mar-17,12.65,12.68,12.65,12.65,2001
7-Mar-17,12.70,12.70,12.65,12.65,7404
6-Mar-17,12.70,12.72,12.70,12.70,10264
3-Mar-17,12.70,12.72,12.70,12.70,4866
2-Mar-17,12.74,12.74,12.74,12.74,1151
1-Mar-17,12.70,12.73,12.70,12.70,4457
28-Feb-17,12.71,12.71,12.70,12.71,4401
27-Feb-17,12.71,12.75,12.70,12.75,2206
24-Feb-17,12.70,12.75,12.70,12.75,2518
23-Feb-17,-,-,-,12.74,0
22-Feb-17,12.73,12.74,12.73,12.74,609
21-Feb-17,12.80,12.80,12.78,12.78,1600
17-Feb-17,12.71,12.75,12.70,12.70,20942
16-Feb-17,12.70,12.75,12.70,12.75,35304
15-Feb-17,12.75,12.75,12.73,12.75,10061
14-Feb-17,-,-,-,12.75,0
13-Feb-17,12.75,12.75,12.75,12.75,100
10-Feb-17,12.70,12.80,12.70,12.75,3285
9-Feb-17,12.75,12.80,12.70,12.74,10949
8-Feb-17,12.72,12.80,12.70,12.80,18662
7-Feb-17,12.70,12.80,12.70,12.79,7678
6-Feb-17,12.80,12.83,12.79,12.80,2755
3-Feb-17,12.85,12.85,12.85,12.85,325
2-Feb-17,12.90,12.90,12.90,12.90,993
1-Feb-17,12.74,12.80,12.74,12.79,768
31-Jan-17,12.65,12.89,12.65,12.89,4235
30-Jan-17,12.69,12.69,12.65,12.69,2502
27-Jan-17,12.70,12.70,12.65,12.70,4121
26-Jan-17,12.71,12.84,12.70,12.84,1437
25-Jan-17,12.69,12.69,12.69,12.69,134
24-Jan-17,12.70,12.72,12.70,12.72,751
23-Jan-17,12.80,12.80,12.80,12.80,147
20-Jan-17,12.76,12.90,12.76,12.90,7297
19-Jan-17,12.81,12.81,12.81,12.81,155
18-Jan-17,12.85,12.85,12.85,12.85,278
17-Jan-17,12.81,12.84,12.81,12.84,257
13-Jan-17,12.69,12.84,12.69,12.84,515
12-Jan-17,12.67,12.70,12.67,12.70,567
11-Jan-17,12.70,12.70,12.70,12.70,529
10-Jan-17,12.82,12.85,12.82,12.85,1250
9-Jan-17,12.90,12.90,12.57,12.81,3752
6-Jan-17,12.55,12.87,12.55,12.85,6472
5-Jan-17,12.50,12.55,12.50,12.55,9218
4-Jan-17,12.55,12.55,12.50,12.53,2087
3-Jan-17,12.60,12.60,12.58,12.60,2837
30-Dec-16,12.60,12.60,12.50,12.59,5118
29-Dec-16,12.64,12.70,12.64,12.69,2627
