Stock,Date,Open,High,Low,Close,Volume
alxn,4-Apr-16,143.48,148.74,143.09,147.10,1989817
alxn,5-Apr-16,145.98,149.71,145.21,148.03,1718949
alxn,6-Apr-16,148.29,157.19,148.29,157.02,2098697
alxn,7-Apr-16,154.97,156.48,147.67,148.03,2062660
alxn,8-Apr-16,150.00,150.62,145.79,148.89,1537306
alxn,11-Apr-16,150.00,150.98,146.93,147.88,1294025
alxn,12-Apr-16,148.49,153.91,147.87,153.55,1454317
alxn,13-Apr-16,154.59,155.83,151.13,152.88,1622309
alxn,14-Apr-16,153.55,155.99,152.02,154.75,983352
alxn,15-Apr-16,155.13,155.29,151.65,153.09,1565342
alxn,18-Apr-16,153.76,157.71,152.43,155.71,988453
alxn,19-Apr-16,155.93,156.84,153.66,155.44,774929
alxn,20-Apr-16,156.24,158.12,154.92,157.04,821099
alxn,21-Apr-16,157.07,161.64,156.78,161.38,1191756
alxn,22-Apr-16,161.04,162.00,157.36,159.10,1209033
alxn,25-Apr-16,158.86,159.93,156.73,158.02,849024
alxn,26-Apr-16,158.08,158.08,151.96,154.01,1450831
alxn,27-Apr-16,154.47,155.48,150.75,150.78,1861046
alxn,28-Apr-16,142.99,146.48,139.12,142.53,3267305
alxn,29-Apr-16,141.88,142.30,137.40,139.28,2046531
alxn,2-May-16,140.07,140.78,138.50,140.53,1360005
alxn,3-May-16,141.71,147.79,141.00,144.37,2251185
alxn,4-May-16,143.70,144.46,140.86,141.41,1280399
alxn,5-May-16,142.16,143.74,140.36,142.58,1005004
alxn,6-May-16,141.32,143.52,139.67,140.99,933096
alxn,9-May-16,141.59,145.32,141.48,143.52,949408
alxn,10-May-16,144.75,145.70,141.52,145.48,902366
alxn,11-May-16,145.72,146.44,138.69,138.86,1111655
alxn,12-May-16,139.58,140.46,136.68,139.11,1141351
alxn,13-May-16,138.65,140.27,138.00,139.74,1134581
alxn,16-May-16,139.19,144.88,138.64,144.57,1293032
alxn,17-May-16,143.81,144.39,139.38,139.96,1544418
alxn,18-May-16,139.70,142.45,139.57,142.33,1242385
alxn,19-May-16,140.90,142.30,137.64,139.03,1290936
alxn,20-May-16,139.29,143.00,139.22,142.52,975544
alxn,23-May-16,142.42,144.50,141.73,142.51,978915
alxn,24-May-16,143.93,146.93,142.53,146.67,1165233
alxn,25-May-16,146.73,150.00,146.70,149.61,1392093
alxn,26-May-16,148.97,149.70,147.02,148.17,905542
alxn,27-May-16,148.20,150.65,146.55,150.42,1094201
alxn,31-May-16,151.07,153.44,149.80,150.90,1121791
alxn,1-Jun-16,150.87,153.61,149.89,152.70,978231
alxn,2-Jun-16,152.69,157.02,152.69,156.77,1570450
alxn,3-Jun-16,156.00,156.25,150.60,153.89,1480549
alxn,6-Jun-16,154.02,155.78,152.14,154.99,1402295
alxn,7-Jun-16,139.97,140.75,136.14,138.13,5632792
alxn,8-Jun-16,138.14,139.79,137.91,138.88,2953708
alxn,9-Jun-16,138.26,141.48,137.75,138.24,2376206
alxn,10-Jun-16,136.70,137.86,134.02,135.61,1983755
alxn,13-Jun-16,135.72,137.63,133.18,133.32,1653974
alxn,14-Jun-16,133.19,134.05,130.27,131.22,1905184
alxn,15-Jun-16,131.67,132.20,129.35,129.55,1678130
alxn,16-Jun-16,128.74,129.55,127.20,127.49,2189871
alxn,17-Jun-16,126.98,127.49,124.80,125.20,3526557
alxn,20-Jun-16,128.33,128.55,123.79,123.96,3473046
alxn,21-Jun-16,124.57,124.83,122.65,124.14,2691077
alxn,22-Jun-16,123.92,126.06,121.07,121.41,3681336
alxn,23-Jun-16,123.08,123.71,121.43,123.57,1922846
alxn,24-Jun-16,117.50,119.51,110.56,112.99,7514338
alxn,27-Jun-16,113.63,115.39,111.02,111.89,3284492
alxn,28-Jun-16,113.00,115.69,113.00,114.94,2358599
alxn,29-Jun-16,115.80,116.78,112.20,114.17,2718666
alxn,30-Jun-16,114.10,116.89,113.24,116.76,2561967
alxn,1-Jul-16,116.68,119.76,115.84,118.59,2561538
alxn,5-Jul-16,117.35,118.21,116.00,117.64,1442897
alxn,6-Jul-16,117.27,121.63,116.40,121.12,2723458
alxn,7-Jul-16,122.20,125.54,121.90,123.34,2812834
alxn,8-Jul-16,124.63,125.11,123.29,124.42,2447653
alxn,11-Jul-16,126.03,126.47,124.01,125.30,1734565
alxn,12-Jul-16,125.98,127.20,124.22,125.35,2413377
alxn,13-Jul-16,126.37,126.78,123.24,123.47,1593968
alxn,14-Jul-16,125.00,125.72,123.97,125.15,1317911
alxn,15-Jul-16,126.37,126.87,124.96,125.58,1606479
alxn,18-Jul-16,125.62,125.98,124.00,125.46,1003101
alxn,19-Jul-16,125.00,125.86,123.14,124.16,1426026
alxn,20-Jul-16,124.15,128.00,123.96,126.93,1817215
alxn,21-Jul-16,128.24,129.95,126.34,127.30,2172208
alxn,22-Jul-16,127.74,127.98,125.34,125.80,1381823
alxn,25-Jul-16,125.71,127.93,125.34,127.46,1382218
alxn,26-Jul-16,126.77,127.81,125.39,126.65,1331610
alxn,27-Jul-16,126.63,130.32,125.81,129.78,2110740
alxn,28-Jul-16,134.00,135.00,129.52,130.40,2899315
alxn,29-Jul-16,130.41,131.30,127.70,128.60,1895466
alxn,1-Aug-16,128.87,135.14,128.76,133.50,3425394
alxn,2-Aug-16,133.54,135.51,130.96,133.61,2286096
alxn,3-Aug-16,133.23,138.24,132.58,137.66,2084068
alxn,4-Aug-16,138.18,138.40,135.20,135.43,1708000
alxn,5-Aug-16,135.84,138.26,135.43,137.11,1470223
alxn,8-Aug-16,137.14,138.05,135.69,136.08,1171458
alxn,9-Aug-16,135.55,137.01,134.61,135.00,857990
alxn,10-Aug-16,135.31,135.49,131.89,132.67,1586427
alxn,11-Aug-16,132.86,134.46,132.28,133.67,701318
alxn,12-Aug-16,132.94,133.50,131.31,133.44,1096222
alxn,15-Aug-16,134.18,136.71,133.83,136.07,1192737
alxn,16-Aug-16,135.36,135.37,133.68,133.76,666515
alxn,17-Aug-16,134.35,134.43,132.77,133.06,1004964
alxn,18-Aug-16,132.72,133.32,132.04,132.43,1024044
alxn,19-Aug-16,132.03,133.32,131.97,132.14,795928
alxn,22-Aug-16,133.72,136.62,133.06,136.53,1321071
alxn,23-Aug-16,137.22,137.70,135.94,137.42,903123
alxn,24-Aug-16,137.07,138.25,131.74,132.12,1395740
alxn,25-Aug-16,132.19,133.42,127.46,129.17,1695228
alxn,26-Aug-16,130.00,131.60,128.26,129.63,1057808
alxn,29-Aug-16,129.59,130.38,127.71,127.99,955624
alxn,30-Aug-16,127.77,129.20,127.28,128.22,823792
alxn,31-Aug-16,127.77,128.72,125.69,125.86,1371354
alxn,1-Sep-16,125.90,126.42,123.79,125.63,1335715
alxn,2-Sep-16,126.29,126.29,123.56,123.67,1083049
alxn,6-Sep-16,123.79,126.05,122.02,125.85,1394086
alxn,7-Sep-16,125.60,127.24,124.41,125.09,915624
alxn,8-Sep-16,124.97,130.49,124.93,130.06,2071064
alxn,9-Sep-16,128.32,129.27,123.95,124.92,1550340
alxn,12-Sep-16,124.20,129.52,124.20,129.29,1227650
alxn,13-Sep-16,127.84,129.04,125.75,126.79,1169058
alxn,14-Sep-16,126.91,130.39,126.59,129.42,969888
alxn,15-Sep-16,126.99,131.22,126.99,129.70,1577865
alxn,16-Sep-16,129.99,132.54,128.42,131.46,2930221
alxn,19-Sep-16,131.60,133.03,130.29,131.18,1240251
alxn,20-Sep-16,132.47,132.95,130.38,131.73,1136965
alxn,21-Sep-16,132.26,132.83,128.10,130.36,1210394
alxn,22-Sep-16,131.09,133.88,129.85,133.69,1175594
alxn,23-Sep-16,131.60,132.30,127.18,127.22,2154637
alxn,26-Sep-16,127.22,127.64,124.21,124.51,1484700
alxn,27-Sep-16,124.25,126.52,123.66,125.98,1350927
alxn,28-Sep-16,127.45,127.45,123.26,123.76,1384083
alxn,29-Sep-16,124.23,125.20,120.02,120.06,1976442
alxn,30-Sep-16,120.11,123.05,119.23,122.54,1892733
alxn,3-Oct-16,122.41,122.80,120.36,122.14,1484671
alxn,4-Oct-16,122.41,123.91,121.85,123.41,1277144
alxn,5-Oct-16,123.78,126.82,123.01,125.51,1058643
alxn,6-Oct-16,124.61,125.30,122.58,122.89,951297
alxn,7-Oct-16,123.51,125.33,122.01,125.05,1024944
alxn,10-Oct-16,125.95,126.81,125.23,126.05,923595
alxn,11-Oct-16,125.24,125.98,120.95,121.77,1450237
alxn,12-Oct-16,122.04,122.10,118.59,118.75,1323386
alxn,13-Oct-16,117.72,120.75,117.26,119.61,1151893
alxn,14-Oct-16,120.28,121.39,118.26,118.34,958101
alxn,17-Oct-16,118.63,119.82,116.75,119.47,1242181
alxn,18-Oct-16,121.56,124.47,120.61,121.34,1130164
alxn,19-Oct-16,121.11,121.84,119.95,120.31,968508
alxn,20-Oct-16,120.31,123.22,119.99,122.47,883129
alxn,21-Oct-16,121.96,122.29,119.78,120.26,1111304
alxn,24-Oct-16,121.35,123.03,119.34,121.61,1297947
alxn,25-Oct-16,121.79,123.23,120.74,121.41,932214
alxn,26-Oct-16,121.55,122.65,119.03,121.59,3834221
alxn,27-Oct-16,126.16,133.48,126.16,131.37,4449486
alxn,28-Oct-16,132.69,136.25,130.41,135.59,3247679
alxn,31-Oct-16,135.37,135.54,129.84,130.50,2284761
alxn,1-Nov-16,130.57,133.38,128.64,131.42,1907084
alxn,2-Nov-16,131.02,131.22,127.59,127.74,1786764
alxn,3-Nov-16,128.93,131.03,127.28,127.52,1917007
alxn,4-Nov-16,137.01,145.42,121.55,129.00,11384510
alxn,7-Nov-16,130.57,130.57,118.40,120.05,6151329
alxn,8-Nov-16,119.79,122.66,117.33,119.35,3885485
alxn,9-Nov-16,125.49,138.00,123.07,127.16,6302975
alxn,10-Nov-16,126.25,128.91,125.46,126.88,7447418
alxn,11-Nov-16,125.76,126.70,111.66,113.62,6463293
alxn,14-Nov-16,115.10,122.59,114.50,118.89,4026608
alxn,15-Nov-16,118.85,120.45,117.23,120.36,2120171
alxn,16-Nov-16,119.88,123.46,119.22,122.51,2896662
alxn,17-Nov-16,122.35,123.55,121.02,122.97,1924332
alxn,18-Nov-16,122.49,124.04,119.70,119.85,1523614
