Date,Open,High,Low,Close,Volume
31-Mar-17,164.32,165.48,163.85,164.07,2811836
30-Mar-17,164.07,164.80,163.21,164.38,2262328
29-Mar-17,164.47,165.22,162.94,163.06,4070780
28-Mar-17,164.11,166.26,163.73,164.71,6526446
27-Mar-17,164.77,166.61,163.00,164.91,4733979
24-Mar-17,166.69,166.92,165.08,165.74,3175587
23-Mar-17,167.48,168.02,165.57,166.04,4432154
22-Mar-17,167.93,167.98,166.59,167.45,5070374
21-Mar-17,170.05,170.21,166.49,166.85,4922665
20-Mar-17,169.63,169.71,167.76,169.24,5831538
17-Mar-17,167.37,171.59,165.95,168.61,23936848
16-Mar-17,181.60,181.84,178.02,180.11,6014375
15-Mar-17,180.31,184.21,180.31,182.60,4197296
14-Mar-17,180.42,181.56,179.63,180.12,2746605
13-Mar-17,181.93,182.00,180.32,181.05,2530960
10-Mar-17,179.47,181.93,179.11,181.44,4589257
9-Mar-17,178.05,179.12,177.07,178.92,2505311
8-Mar-17,177.25,178.76,177.14,177.78,2320991
7-Mar-17,177.40,178.59,176.28,177.38,3328877
6-Mar-17,179.55,180.34,178.16,179.46,3280087
3-Mar-17,178.46,180.53,177.55,180.20,2900888
2-Mar-17,177.72,178.86,176.82,178.07,3493003
1-Mar-17,178.00,179.68,175.76,178.24,3532349
28-Feb-17,175.46,178.25,175.42,176.53,3370380
27-Feb-17,174.21,176.27,173.71,176.13,2850737
24-Feb-17,173.29,174.72,172.48,174.56,2677307
23-Feb-17,172.75,174.01,171.89,174.01,2191424
22-Feb-17,172.33,174.70,171.89,172.61,2579797
21-Feb-17,172.85,173.50,171.86,173.14,3941221
17-Feb-17,171.35,173.36,168.89,173.29,4154875
16-Feb-17,171.56,172.17,170.30,172.11,2660644
15-Feb-17,167.32,172.00,167.00,171.79,4058811
14-Feb-17,167.07,168.07,165.57,168.05,3116698
13-Feb-17,167.72,168.26,166.68,167.66,3602846
10-Feb-17,167.80,168.31,167.03,167.89,2931238
9-Feb-17,165.75,167.79,165.50,167.47,4281382
8-Feb-17,166.50,168.35,166.32,168.12,3493436
7-Feb-17,167.00,167.72,165.60,166.82,3584279
6-Feb-17,166.18,166.89,165.13,166.58,4389155
3-Feb-17,166.10,167.85,164.86,167.53,7366635
2-Feb-17,159.73,159.94,156.91,159.58,4445428
1-Feb-17,158.59,159.75,157.05,159.67,3924817
31-Jan-17,153.70,156.96,153.15,156.68,3351306
30-Jan-17,157.10,157.18,153.77,154.43,3758356
