Date,Open,High,Low,Close,Volume
31-Mar-17,88.93,89.07,87.64,87.78,974250
30-Mar-17,89.76,89.77,87.20,89.12,978825
29-Mar-17,89.15,89.85,89.01,89.58,690076
28-Mar-17,88.18,89.59,88.00,89.10,919604
27-Mar-17,86.83,88.36,86.71,88.23,679753
24-Mar-17,87.52,87.93,86.82,87.37,1121370
23-Mar-17,87.31,87.90,86.69,86.84,792355
22-Mar-17,87.28,88.00,86.28,87.42,991890
21-Mar-17,90.19,90.50,86.86,87.03,1120126
20-Mar-17,90.97,91.05,89.44,90.00,890847
17-Mar-17,91.07,91.40,89.80,90.90,1003472
16-Mar-17,92.77,93.16,90.18,90.96,1798659
15-Mar-17,91.42,92.60,90.93,92.50,893480
14-Mar-17,92.77,92.77,90.70,91.65,710356
13-Mar-17,92.68,93.46,91.90,93.12,759471
10-Mar-17,91.09,92.60,90.57,92.53,874656
9-Mar-17,90.18,91.16,89.79,90.96,537230
8-Mar-17,89.24,90.70,89.00,90.40,940949
7-Mar-17,90.56,91.69,89.04,89.23,1070413
6-Mar-17,93.32,93.91,91.76,91.90,926075
3-Mar-17,93.19,94.28,91.82,93.95,927901
2-Mar-17,93.50,95.79,93.02,93.42,1229117
1-Mar-17,94.50,95.48,92.84,93.81,1974119
28-Feb-17,91.60,94.05,91.21,93.93,2354269
27-Feb-17,87.26,91.74,87.26,91.62,1340772
24-Feb-17,87.99,88.82,85.88,87.51,2390386
23-Feb-17,89.76,90.62,88.87,89.29,1175190
22-Feb-17,90.46,90.96,89.69,89.79,960492
21-Feb-17,90.24,90.45,89.42,90.24,1344772
17-Feb-17,90.50,91.29,89.20,89.87,1290223
16-Feb-17,91.77,92.42,89.87,90.53,1706495
15-Feb-17,91.39,91.74,90.15,91.48,1037528
14-Feb-17,90.46,91.60,90.09,91.19,787167
13-Feb-17,90.33,90.94,90.03,90.89,486325
10-Feb-17,91.23,91.27,89.37,90.13,617451
9-Feb-17,90.89,92.19,90.62,91.15,810037
8-Feb-17,88.70,91.23,87.83,90.90,1050754
7-Feb-17,90.00,90.20,88.12,88.91,857292
6-Feb-17,88.57,88.94,87.98,88.74,893323
3-Feb-17,89.23,89.81,88.32,88.81,954550
2-Feb-17,88.50,89.01,87.38,88.38,1008783
1-Feb-17,87.79,89.15,87.44,88.59,1267894
31-Jan-17,84.90,88.10,84.00,87.63,1129571
30-Jan-17,86.49,86.89,84.38,85.54,868872
27-Jan-17,85.99,87.00,85.31,86.56,964701
26-Jan-17,84.00,85.48,83.88,85.28,1198818
25-Jan-17,84.44,84.98,83.46,83.85,1116101
24-Jan-17,83.27,84.42,82.57,84.34,838504
23-Jan-17,84.62,85.41,82.99,83.30,750495
20-Jan-17,86.70,87.50,84.36,84.62,1030818
19-Jan-17,86.90,87.34,85.88,86.15,875623
18-Jan-17,86.19,87.25,85.69,87.16,944658
17-Jan-17,86.34,86.54,84.43,85.21,1167409
13-Jan-17,86.16,88.13,85.91,86.92,1037735
12-Jan-17,85.47,87.57,84.44,86.16,1309558
11-Jan-17,89.84,90.37,84.66,86.07,2063706
10-Jan-17,91.31,92.00,88.51,90.40,1146553
9-Jan-17,89.79,92.20,87.51,91.03,2091598
6-Jan-17,87.19,87.97,86.13,86.85,776503
5-Jan-17,87.00,87.67,84.93,86.29,1083846
4-Jan-17,86.96,87.52,85.51,86.87,1340560
3-Jan-17,83.30,86.57,83.00,85.84,1298938
30-Dec-16,83.35,83.74,81.50,82.84,1267233
29-Dec-16,83.84,84.71,82.97,83.35,811445
28-Dec-16,85.08,86.59,83.74,84.15,927558
27-Dec-16,86.00,87.61,85.01,85.08,655513
23-Dec-16,83.06,86.00,83.06,85.66,715975
22-Dec-16,84.91,85.21,82.89,83.54,987954
21-Dec-16,85.09,86.68,82.84,85.05,1712427
20-Dec-16,84.41,85.42,83.64,84.98,660177
19-Dec-16,85.15,85.91,83.97,84.38,925325
16-Dec-16,85.32,86.40,84.75,85.36,2014946
15-Dec-16,85.72,86.10,84.41,85.35,1300513
14-Dec-16,83.26,85.61,82.72,85.58,1410288
13-Dec-16,82.44,84.36,82.40,83.44,1136684
12-Dec-16,82.37,82.75,80.67,82.01,1284268
9-Dec-16,84.67,87.52,82.58,82.68,1843346
