Date,Open,High,Low,Close,Volume
31-Mar-17,66.20,66.20,65.48,65.91,6980049
30-Mar-17,64.97,66.60,64.82,66.56,6149206
29-Mar-17,64.64,65.34,64.36,65.04,4019176
28-Mar-17,64.27,64.99,64.25,64.84,3382522
27-Mar-17,64.01,64.79,63.89,64.60,3757553
24-Mar-17,64.00,64.35,63.75,64.11,3106266
23-Mar-17,63.91,64.84,63.78,64.02,5489255
22-Mar-17,64.00,64.21,63.46,63.99,4039506
21-Mar-17,64.69,64.80,63.22,63.84,5139578
20-Mar-17,65.08,65.09,63.84,64.37,5556264
17-Mar-17,65.19,65.36,64.65,65.09,7076930
16-Mar-17,65.96,65.98,64.45,64.83,7275674
15-Mar-17,65.80,66.67,65.26,66.06,6937942
14-Mar-17,67.25,67.55,66.44,66.84,2995746
13-Mar-17,67.76,68.00,66.86,67.47,4093201
10-Mar-17,67.44,67.84,66.93,67.64,3760374
9-Mar-17,67.79,67.91,66.26,66.86,6623458
8-Mar-17,67.44,68.45,67.40,67.62,6486986
7-Mar-17,68.89,69.08,67.24,67.39,8651646
6-Mar-17,71.27,71.39,70.04,70.05,4618196
3-Mar-17,72.09,72.11,70.88,71.58,2850724
2-Mar-17,71.51,72.09,71.23,71.96,4222828
1-Mar-17,71.16,72.10,71.03,71.71,3997609
28-Feb-17,71.77,71.78,70.44,70.65,3974691
27-Feb-17,71.38,71.85,71.11,71.75,2534369
24-Feb-17,70.97,71.76,70.56,71.55,2830594
23-Feb-17,70.81,71.12,70.30,70.93,2319734
22-Feb-17,71.15,71.24,70.49,70.73,2611136
21-Feb-17,69.95,71.37,69.86,71.37,4550083
17-Feb-17,68.96,70.00,68.94,69.97,2716030
16-Feb-17,69.66,69.78,68.48,69.23,3143068
15-Feb-17,69.10,70.94,68.53,69.46,6935203
14-Feb-17,69.03,69.79,68.57,69.63,3696195
13-Feb-17,68.55,69.43,68.53,69.30,3657352
10-Feb-17,67.52,68.50,67.02,68.41,3435702
9-Feb-17,67.46,67.96,67.15,67.48,3737024
8-Feb-17,67.65,68.09,67.41,67.62,2384325
7-Feb-17,67.42,67.76,66.77,67.74,2968210
