Date,Open,High,Low,Close,Volume
31-Mar-17,170.35,170.75,169.71,169.97,297444
30-Mar-17,170.42,171.14,170.30,170.83,191087
29-Mar-17,171.37,171.60,170.07,170.89,310595
28-Mar-17,171.05,171.56,170.62,171.09,388449
27-Mar-17,170.29,172.02,170.14,171.26,263743
24-Mar-17,171.77,172.61,170.77,171.25,275541
23-Mar-17,171.80,173.50,171.08,171.46,341490
22-Mar-17,171.36,172.26,169.82,171.85,323072
21-Mar-17,172.00,172.90,170.52,170.80,466507
20-Mar-17,170.86,172.50,169.96,171.41,366792
17-Mar-17,171.64,172.00,170.19,171.25,909124
16-Mar-17,172.50,172.89,170.17,171.17,590424
15-Mar-17,171.51,173.13,170.67,172.72,339618
14-Mar-17,172.08,172.08,170.44,171.25,278045
13-Mar-17,172.01,172.38,170.88,172.22,363619
10-Mar-17,171.65,172.73,170.46,172.17,470954
9-Mar-17,170.89,171.77,170.43,170.94,267334
8-Mar-17,171.06,171.88,170.53,170.89,359439
7-Mar-17,170.48,171.35,169.88,171.06,414804
6-Mar-17,170.43,171.50,169.89,170.90,415248
3-Mar-17,170.98,171.87,170.62,171.57,376450
2-Mar-17,170.88,171.61,170.15,171.03,650979
1-Mar-17,172.45,172.82,171.14,172.00,702656
28-Feb-17,172.81,172.90,170.48,171.56,800698
27-Feb-17,173.67,174.32,173.12,173.54,387918
24-Feb-17,171.71,173.58,171.07,173.53,411624
23-Feb-17,172.85,173.20,171.51,171.92,623503
22-Feb-17,173.05,174.92,172.62,172.64,665241
21-Feb-17,171.00,176.50,170.00,173.01,1274793
17-Feb-17,166.90,168.13,165.50,168.11,900761
16-Feb-17,167.79,168.27,166.40,167.25,716501
15-Feb-17,166.01,168.02,165.80,167.90,504572
14-Feb-17,165.25,167.12,165.12,166.65,479978
13-Feb-17,165.92,166.15,164.33,165.11,487404
10-Feb-17,164.47,165.72,161.99,165.07,278080
9-Feb-17,163.48,165.49,162.82,164.85,476458
8-Feb-17,163.63,164.63,163.11,163.61,638451
7-Feb-17,162.74,164.06,162.22,163.98,719005
6-Feb-17,162.01,162.67,161.01,162.59,398234
3-Feb-17,162.12,162.93,160.90,162.66,345576
2-Feb-17,159.56,161.41,158.78,161.22,404405
1-Feb-17,159.99,160.40,158.36,159.86,456715
31-Jan-17,158.23,159.94,157.34,159.86,511831
30-Jan-17,159.38,159.76,157.66,158.32,515347
27-Jan-17,159.63,159.72,158.25,159.65,350294
26-Jan-17,159.95,160.19,158.39,159.22,491545
