Date,Open,High,Low,Close,Volume
31-Mar-17,42.37,42.94,42.27,42.30,5427748
30-Mar-17,41.85,42.64,41.79,42.54,3681356
29-Mar-17,42.69,42.76,41.87,41.96,5331362
28-Mar-17,41.83,42.93,41.55,42.60,6185811
27-Mar-17,41.07,41.89,40.56,41.74,6050846
24-Mar-17,41.69,42.06,41.42,41.73,6596629
23-Mar-17,40.70,41.86,40.48,41.41,9516585
22-Mar-17,39.78,40.55,39.21,40.35,9943032
21-Mar-17,41.88,41.98,40.34,40.42,7938673
20-Mar-17,42.18,42.42,41.45,41.70,6229799
17-Mar-17,42.00,42.21,41.60,41.72,10185798
16-Mar-17,42.18,42.35,41.45,42.13,7058267
15-Mar-17,40.50,42.19,40.21,42.09,13986198
14-Mar-17,42.06,42.10,40.84,41.21,10208460
13-Mar-17,43.73,44.12,42.26,42.37,8882287
10-Mar-17,43.46,43.95,42.97,43.90,6842316
9-Mar-17,44.50,44.93,43.25,43.33,9330139
8-Mar-17,44.79,45.30,44.60,44.89,5521109
7-Mar-17,45.02,45.23,44.56,44.84,4565315
6-Mar-17,46.41,46.68,44.38,45.31,11336565
3-Mar-17,45.85,47.26,45.77,46.82,7259147
2-Mar-17,46.67,46.74,45.64,45.72,7590676
1-Mar-17,46.79,48.14,46.70,47.09,8278935
28-Feb-17,46.32,46.72,46.03,46.36,4935590
27-Feb-17,46.18,46.36,45.68,46.32,4130975
24-Feb-17,46.00,46.30,45.58,46.28,4489590
23-Feb-17,46.42,47.32,45.89,46.10,5246985
22-Feb-17,46.50,46.70,45.87,46.32,5799646
21-Feb-17,47.01,47.27,46.58,46.81,4672031
17-Feb-17,46.83,47.10,46.43,46.91,4581604
16-Feb-17,47.50,47.65,46.66,46.97,5681810
15-Feb-17,47.59,48.05,46.93,47.54,8394814
14-Feb-17,47.26,47.28,46.45,46.57,6271654
13-Feb-17,46.56,47.78,46.50,47.41,6158580
10-Feb-17,46.62,46.70,46.17,46.45,4040567
9-Feb-17,45.07,46.60,44.94,46.30,7089902
8-Feb-17,45.26,45.26,44.51,45.06,4330414
7-Feb-17,45.75,46.13,45.01,45.17,6119960
6-Feb-17,44.80,45.60,44.74,45.30,6496054
3-Feb-17,44.31,44.55,43.76,44.20,6357916
2-Feb-17,43.61,44.52,43.57,44.01,7607665
1-Feb-17,44.75,45.00,43.91,44.05,7955513
31-Jan-17,44.79,44.84,43.74,44.25,11719842
30-Jan-17,45.62,45.92,43.86,44.90,16786050
27-Jan-17,50.00,50.00,46.72,46.95,19411050
26-Jan-17,48.43,49.71,48.33,49.59,10332849
25-Jan-17,47.90,48.21,47.61,47.91,5139002
24-Jan-17,47.05,47.80,46.80,47.54,4926677
23-Jan-17,47.90,48.09,46.75,46.94,4284196
20-Jan-17,47.54,48.16,47.24,48.00,5611793
19-Jan-17,47.64,48.09,46.88,47.26,3729315
18-Jan-17,47.40,47.80,46.65,47.64,5176524
17-Jan-17,47.56,47.75,46.67,46.75,5350794
13-Jan-17,48.16,48.43,47.54,47.65,3541980
12-Jan-17,48.67,49.00,46.84,48.10,5448098
11-Jan-17,49.29,49.90,48.10,48.64,6925770
10-Jan-17,47.00,48.51,46.97,48.48,7483764
9-Jan-17,46.01,47.34,45.78,47.08,4739142
6-Jan-17,45.85,46.72,45.47,46.21,7260197
5-Jan-17,46.52,46.93,45.61,45.89,6825316
4-Jan-17,46.63,47.44,46.35,46.70,5859604
3-Jan-17,47.28,47.34,46.14,46.30,6737752
30-Dec-16,47.42,47.66,46.47,46.69,4495016
29-Dec-16,47.80,48.00,46.96,47.25,3709262
28-Dec-16,48.73,48.83,47.61,47.67,4153630
27-Dec-16,48.29,48.92,48.14,48.61,2797847
23-Dec-16,48.61,48.84,48.28,48.48,2915271
22-Dec-16,49.35,49.45,48.46,48.69,3618731
21-Dec-16,49.34,49.90,49.23,49.47,3827868
20-Dec-16,48.50,49.50,48.50,49.22,4814999
19-Dec-16,47.89,48.60,47.74,48.58,4729855
16-Dec-16,48.61,49.07,47.56,47.63,9299673
15-Dec-16,48.10,49.95,48.10,48.30,7530837
14-Dec-16,47.84,48.75,47.80,47.92,5293889
13-Dec-16,47.94,48.49,47.71,47.84,6147695
12-Dec-16,49.16,49.34,47.44,47.59,8643546
9-Dec-16,49.27,50.64,48.74,49.64,9850774
8-Dec-16,48.60,48.60,47.70,48.05,6239952
7-Dec-16,46.61,48.94,46.52,48.65,10210334
6-Dec-16,46.16,46.55,45.92,46.43,5334516
5-Dec-16,46.45,46.54,45.58,45.72,5256443
2-Dec-16,46.09,46.86,45.91,46.10,6505099
1-Dec-16,46.20,47.09,45.66,45.75,7435186
30-Nov-16,46.14,46.86,45.42,46.44,7904220
29-Nov-16,46.59,47.14,46.17,46.89,4885442
28-Nov-16,46.64,46.88,45.66,46.50,7369639
25-Nov-16,46.34,46.86,46.30,46.82,2426632
23-Nov-16,46.05,46.39,45.70,46.34,5160176
22-Nov-16,46.03,46.95,45.95,46.08,5781259
21-Nov-16,46.46,46.75,45.95,46.08,6651810
18-Nov-16,46.15,46.49,45.62,46.26,7795053
17-Nov-16,44.39,45.85,44.05,45.83,8521172
16-Nov-16,44.66,44.80,43.93,44.45,6166966
15-Nov-16,45.00,45.28,43.59,44.76,13166625
14-Nov-16,43.01,43.61,42.98,43.40,7773627
11-Nov-16,42.07,42.95,41.68,42.93,6623490
10-Nov-16,42.71,43.39,42.15,42.30,8666121
9-Nov-16,40.76,42.75,40.44,42.41,8392383
8-Nov-16,41.42,41.85,41.02,41.70,5725832
7-Nov-16,40.39,41.65,40.31,41.49,8334221
4-Nov-16,39.27,40.22,39.24,39.74,6717513
3-Nov-16,39.78,40.24,39.30,39.38,6006541
