Date,Open,High,Low,Close,Volume
31-Mar-17,35.20,35.65,35.05,35.35,200103
30-Mar-17,35.00,35.30,34.90,35.25,129707
29-Mar-17,34.70,35.20,34.40,34.95,122874
28-Mar-17,34.90,35.18,34.70,34.80,190005
27-Mar-17,35.70,35.90,35.00,35.05,172194
24-Mar-17,36.50,36.75,35.90,36.25,189627
23-Mar-17,35.60,36.45,35.55,36.35,117924
22-Mar-17,35.75,36.00,35.45,35.60,156636
21-Mar-17,36.95,36.95,35.80,35.90,214510
20-Mar-17,36.85,37.10,36.45,36.70,134498
17-Mar-17,36.60,37.05,36.30,37.00,389448
16-Mar-17,36.20,36.60,36.15,36.55,149253
15-Mar-17,35.60,36.30,35.35,36.20,198797
14-Mar-17,35.10,35.50,34.90,35.35,126648
13-Mar-17,35.30,35.68,35.28,35.35,139591
10-Mar-17,35.15,35.50,34.80,35.40,194982
9-Mar-17,34.85,35.08,34.65,34.95,149968
8-Mar-17,35.00,35.16,34.55,34.85,178069
7-Mar-17,34.60,35.10,34.45,34.90,214209
6-Mar-17,35.00,35.20,34.35,34.80,271436
3-Mar-17,35.50,35.85,35.05,35.30,215005
2-Mar-17,35.20,35.65,35.00,35.55,261176
1-Mar-17,34.10,35.35,34.10,35.30,243340
28-Feb-17,34.00,34.05,33.25,33.65,218710
27-Feb-17,34.45,34.50,33.80,34.15,185554
24-Feb-17,34.80,34.80,33.10,34.50,294113
23-Feb-17,32.50,34.28,30.10,31.95,526769
22-Feb-17,34.50,34.55,33.60,34.40,166959
21-Feb-17,34.35,34.95,34.28,34.65,138806
17-Feb-17,35.00,35.00,34.25,34.35,166861
16-Feb-17,34.70,35.00,34.25,34.95,104854
15-Feb-17,34.20,34.91,34.15,34.60,129436
14-Feb-17,34.75,34.75,34.15,34.45,89743
13-Feb-17,34.50,35.00,34.50,35.00,145982
10-Feb-17,34.55,34.75,34.00,34.35,135968
9-Feb-17,34.10,34.50,34.05,34.35,112383
8-Feb-17,33.75,34.10,33.60,33.95,84320
7-Feb-17,33.65,34.00,33.45,34.00,98410
6-Feb-17,33.90,33.98,33.55,33.60,110125
3-Feb-17,33.50,34.00,33.45,34.00,87673
2-Feb-17,33.90,33.90,33.40,33.50,101707
1-Feb-17,34.15,34.20,33.50,33.90,97587
31-Jan-17,33.70,34.02,33.32,33.95,144005
30-Jan-17,34.60,34.65,33.85,33.90,139716
27-Jan-17,34.85,35.05,34.70,35.00,159492
26-Jan-17,34.55,34.95,34.25,34.85,116939
25-Jan-17,34.25,35.05,34.15,34.65,121665
24-Jan-17,33.00,34.00,33.00,33.90,108230
23-Jan-17,32.50,32.90,32.45,32.80,116561
20-Jan-17,32.30,33.05,32.20,32.70,115400
19-Jan-17,32.30,32.60,32.00,32.25,112656
18-Jan-17,32.30,32.50,32.00,32.20,102675
17-Jan-17,32.60,32.60,31.96,32.40,116168
13-Jan-17,32.75,33.30,32.75,32.90,118797
12-Jan-17,33.35,33.50,32.05,32.60,119268
11-Jan-17,33.30,33.75,33.05,33.75,150610
10-Jan-17,32.95,33.45,32.60,33.40,184427
9-Jan-17,32.50,33.20,32.25,32.80,261311
