Date,Open,High,Low,Close,Volume
31-Mar-17,46.70,47.00,46.55,46.80,232041
30-Mar-17,46.70,46.85,46.00,46.70,188976
29-Mar-17,46.85,47.00,46.50,46.75,241809
28-Mar-17,46.90,47.10,46.35,46.95,346101
27-Mar-17,45.55,47.02,45.10,46.80,1128653
24-Mar-17,44.75,49.25,44.40,44.70,914457
23-Mar-17,44.70,45.00,44.41,44.70,489991
22-Mar-17,44.95,47.00,44.40,44.75,1102154
21-Mar-17,45.25,46.00,44.65,45.10,405121
20-Mar-17,44.60,45.68,44.42,45.20,679192
17-Mar-17,44.60,44.95,44.25,44.60,432839
16-Mar-17,45.35,45.50,44.48,44.80,285406
15-Mar-17,45.50,45.95,45.05,45.10,393153
14-Mar-17,45.00,45.60,44.95,45.30,327680
13-Mar-17,45.10,45.72,44.98,45.50,264018
10-Mar-17,44.60,45.20,43.85,45.05,2215162
9-Mar-17,45.00,45.30,44.80,44.95,414940
8-Mar-17,45.05,45.75,44.51,45.05,832061
7-Mar-17,44.65,45.45,44.50,45.00,502581
6-Mar-17,45.10,45.38,44.60,44.75,957989
3-Mar-17,45.20,46.05,44.65,45.30,710278
2-Mar-17,45.75,46.50,45.10,45.30,692554
1-Mar-17,45.00,46.85,44.75,45.85,1463154
28-Feb-17,46.55,46.55,44.85,45.00,775795
27-Feb-17,45.40,46.62,45.20,46.55,1961255
24-Feb-17,46.35,46.70,45.30,45.35,1160114
23-Feb-17,46.75,46.80,46.52,46.65,357598
22-Feb-17,46.55,46.85,46.38,46.60,347029
21-Feb-17,46.30,47.00,46.30,46.65,503113
17-Feb-17,46.90,47.49,45.95,46.15,735950
16-Feb-17,47.40,47.40,46.85,47.25,280273
15-Feb-17,47.40,47.60,46.95,47.25,500498
14-Feb-17,46.95,47.60,46.70,47.40,860456
13-Feb-17,47.50,47.50,46.90,47.00,551468
10-Feb-17,47.40,47.80,47.05,47.25,547950
9-Feb-17,46.75,47.40,46.65,47.25,708154
8-Feb-17,46.45,46.75,46.25,46.40,587302
7-Feb-17,47.00,47.05,45.96,46.70,691669
6-Feb-17,47.15,47.65,46.50,46.75,696263
3-Feb-17,46.90,47.15,46.16,47.05,688047
2-Feb-17,46.00,51.22,45.82,47.05,1863652
1-Feb-17,45.70,46.42,45.70,46.10,600050
31-Jan-17,45.00,45.65,44.80,45.50,470634
30-Jan-17,45.05,45.15,44.10,45.00,657568
27-Jan-17,44.75,45.35,44.02,45.05,785595
26-Jan-17,44.05,45.05,43.80,44.75,842351
25-Jan-17,43.70,44.20,43.40,44.00,836935
24-Jan-17,42.90,43.50,42.45,43.45,589027
23-Jan-17,42.60,43.08,42.00,42.85,838140
20-Jan-17,41.55,42.85,41.32,42.70,1703671
