Stock,Date,Open,High,Low,Close,Volume
aal,4-Apr-16,39.81,40.24,39.15,39.37,7825269
aal,5-Apr-16,39.13,39.38,38.74,38.93,7638159
aal,6-Apr-16,39.07,39.07,38.34,38.90,5645542
aal,7-Apr-16,38.66,39.05,37.91,38.36,8114136
aal,8-Apr-16,38.70,38.72,38.12,38.50,6085258
aal,11-Apr-16,38.79,39.55,38.67,38.73,7927393
aal,12-Apr-16,38.82,39.43,38.76,39.19,5889724
aal,13-Apr-16,39.30,40.01,38.89,39.94,12493522
aal,14-Apr-16,40.34,41.66,40.25,41.17,10124590
aal,15-Apr-16,41.30,41.36,40.72,40.91,6974188
aal,18-Apr-16,41.18,41.26,40.44,40.92,5234232
aal,19-Apr-16,40.99,41.76,40.97,41.34,6650171
aal,20-Apr-16,41.36,41.71,41.11,41.26,4975786
aal,21-Apr-16,40.80,40.93,39.80,40.01,10721343
aal,22-Apr-16,37.68,38.49,37.01,38.21,20921654
aal,25-Apr-16,38.16,38.40,36.92,37.00,12654529
aal,26-Apr-16,37.27,37.49,36.26,36.92,14682620
aal,27-Apr-16,36.79,37.29,36.52,36.71,12290550
aal,28-Apr-16,37.04,37.09,35.89,35.97,9796389
aal,29-Apr-16,35.81,35.83,34.10,34.69,17786428
aal,2-May-16,34.99,35.16,34.40,34.43,8796652
aal,3-May-16,34.76,34.77,33.85,34.58,10656453
aal,4-May-16,34.17,34.30,33.00,33.21,13402446
aal,5-May-16,33.28,33.52,32.73,32.80,11580220
aal,6-May-16,32.67,33.15,32.19,33.03,12743786
aal,9-May-16,33.03,33.80,32.94,32.94,9307625
aal,10-May-16,33.24,33.80,33.09,33.77,8118225
aal,11-May-16,33.68,34.04,32.85,32.86,8100683
aal,12-May-16,33.01,33.02,31.29,31.33,14207122
aal,13-May-16,31.09,32.01,31.08,31.51,10118053
aal,16-May-16,31.81,32.30,30.99,32.12,12368120
aal,17-May-16,32.25,33.29,32.02,32.64,13296430
aal,18-May-16,32.61,33.36,32.34,32.61,9123710
aal,19-May-16,32.28,32.59,31.69,32.15,8867110
aal,20-May-16,32.30,32.81,31.95,32.01,7276460
aal,23-May-16,32.03,32.29,31.70,31.73,6488571
aal,24-May-16,31.89,32.28,31.85,32.15,6951804
aal,25-May-16,32.39,32.90,32.10,32.17,7401795
aal,26-May-16,32.13,32.34,31.37,31.51,7157754
aal,27-May-16,31.60,31.84,31.41,31.65,8569734
aal,31-May-16,31.75,31.97,31.33,31.91,9618738
aal,1-Jun-16,31.94,32.26,31.73,31.95,6416243
aal,2-Jun-16,31.67,32.07,31.58,31.67,6813295
aal,3-Jun-16,31.59,31.60,30.37,30.81,12424133
aal,6-Jun-16,30.77,31.30,30.38,31.26,8335439
aal,7-Jun-16,31.46,32.87,31.10,32.36,12424206
aal,8-Jun-16,32.63,32.97,32.22,32.51,8173130
aal,9-Jun-16,32.25,33.58,32.25,33.40,8188322
aal,10-Jun-16,32.80,33.48,32.64,33.14,8252308
aal,13-Jun-16,32.99,32.99,31.64,31.80,9225556
aal,14-Jun-16,31.81,31.97,30.02,30.36,13802855
aal,15-Jun-16,30.65,31.10,30.45,30.49,8152256
aal,16-Jun-16,29.80,29.80,29.02,29.14,18236714
aal,17-Jun-16,29.10,29.55,28.85,29.34,15301910
aal,20-Jun-16,29.75,30.39,29.64,29.71,8359297
aal,21-Jun-16,30.29,30.39,29.69,30.02,8922946
aal,22-Jun-16,30.05,30.33,29.82,29.89,6675906
aal,23-Jun-16,30.25,30.49,29.77,30.33,9139949
aal,24-Jun-16,28.20,28.50,27.04,27.05,36049898
aal,27-Jun-16,26.85,26.85,24.85,25.27,23200027
aal,28-Jun-16,26.12,26.88,25.76,26.77,20026097
aal,29-Jun-16,26.94,28.06,26.94,27.70,15008769
aal,30-Jun-16,27.86,28.31,27.49,28.31,11148266
aal,1-Jul-16,28.26,29.52,28.20,29.33,13249962
aal,5-Jul-16,29.09,29.16,28.19,28.93,9467046
aal,6-Jul-16,27.76,28.40,27.12,28.35,18757538
aal,7-Jul-16,28.39,29.47,28.31,29.40,11779807
aal,8-Jul-16,29.80,30.28,29.70,30.04,13659253
aal,11-Jul-16,30.23,31.44,30.22,31.16,12374382
aal,12-Jul-16,32.78,34.89,32.75,34.66,25515686
aal,13-Jul-16,35.00,35.29,34.12,34.45,15215087
aal,14-Jul-16,35.11,36.19,35.00,35.88,16884414
aal,15-Jul-16,35.51,36.06,35.32,35.89,9817118
aal,18-Jul-16,36.03,36.34,35.76,36.03,8606791
aal,19-Jul-16,35.78,36.08,35.33,36.01,7956271
