Date,Open,High,Low,Close,Volume
31-Mar-17,25.95,26.15,25.67,26.00,228844
30-Mar-17,26.05,26.55,25.85,26.00,116742
29-Mar-17,25.70,26.20,25.35,26.05,123207
28-Mar-17,25.35,26.10,24.95,25.85,106912
27-Mar-17,24.90,25.50,24.55,25.40,152509
24-Mar-17,25.60,26.85,25.15,25.30,149435
23-Mar-17,25.70,25.95,25.30,25.50,129101
22-Mar-17,25.80,26.20,24.95,25.70,183649
21-Mar-17,27.40,27.40,25.80,25.80,159431
20-Mar-17,27.25,27.55,26.80,27.15,159801
17-Mar-17,27.50,27.80,26.78,27.40,458645
16-Mar-17,28.10,28.20,27.58,27.60,109992
15-Mar-17,27.45,28.18,27.30,27.95,155050
14-Mar-17,27.25,27.50,26.70,27.25,126202
13-Mar-17,27.35,27.75,26.70,27.35,128477
10-Mar-17,27.45,27.80,26.90,27.40,188493
9-Mar-17,28.00,28.35,27.10,27.25,233971
8-Mar-17,28.20,28.45,27.90,27.90,136583
7-Mar-17,29.00,29.15,28.20,28.20,141608
6-Mar-17,29.60,29.75,28.35,29.05,111998
3-Mar-17,29.90,29.95,29.30,29.95,110792
2-Mar-17,30.65,30.65,29.80,29.90,135128
1-Mar-17,30.00,30.95,29.35,30.65,238043
28-Feb-17,29.85,30.20,29.20,29.35,154790
27-Feb-17,29.35,30.05,28.05,29.95,232327
24-Feb-17,29.25,29.85,28.65,29.50,154728
23-Feb-17,30.25,30.25,29.20,29.55,150338
22-Feb-17,30.65,30.80,29.75,30.20,169040
21-Feb-17,31.05,31.45,30.65,30.75,195465
17-Feb-17,31.05,31.05,30.55,31.00,169051
16-Feb-17,31.70,31.85,30.65,31.10,163820
15-Feb-17,31.00,31.85,30.90,31.70,171652
14-Feb-17,31.40,31.90,30.80,31.10,203869
13-Feb-17,31.65,32.05,31.10,31.35,206641
10-Feb-17,31.50,31.80,31.05,31.55,196575
9-Feb-17,30.75,31.70,30.70,31.40,324003
8-Feb-17,31.20,32.50,29.65,30.70,500307
7-Feb-17,31.85,32.35,30.85,31.20,196394
6-Feb-17,32.45,32.60,31.70,31.85,182225
3-Feb-17,31.75,32.70,31.74,32.55,236623
2-Feb-17,31.60,31.85,30.85,31.45,250925
1-Feb-17,31.90,32.40,31.35,31.95,247355
31-Jan-17,32.20,32.35,31.30,31.60,399753
30-Jan-17,31.60,32.15,30.85,32.10,256352
27-Jan-17,31.45,32.00,30.85,32.00,182243
26-Jan-17,32.25,32.40,31.15,31.55,196250
25-Jan-17,31.10,32.58,30.75,32.45,304830
24-Jan-17,30.20,31.05,30.20,30.75,180124
23-Jan-17,30.20,30.54,29.85,30.10,223100
20-Jan-17,30.80,30.90,30.10,30.30,263430
