Date,Open,High,Low,Close,Volume
31-Mar-17,51.24,51.78,50.91,51.50,1909846
30-Mar-17,51.16,51.36,50.80,51.32,1079316
29-Mar-17,50.75,51.38,50.50,51.22,2099881
28-Mar-17,49.98,51.01,49.70,50.88,1647094
27-Mar-17,50.11,50.25,49.51,50.04,2340808
24-Mar-17,51.15,51.44,50.49,50.76,1449570
23-Mar-17,51.62,51.83,50.98,51.01,1681460
22-Mar-17,51.33,51.90,50.99,51.72,1668103
21-Mar-17,51.86,52.07,50.92,51.16,2198829
20-Mar-17,51.78,52.00,51.47,51.80,1570606
17-Mar-17,51.54,51.99,51.07,51.87,2894983
16-Mar-17,51.59,51.75,51.13,51.25,1465688
15-Mar-17,50.97,51.80,50.77,51.61,1365224
14-Mar-17,51.23,51.23,50.66,50.69,1436362
13-Mar-17,50.67,51.43,50.29,51.40,1848636
10-Mar-17,50.52,51.01,50.52,50.80,1735914
9-Mar-17,51.42,51.84,49.94,50.18,2466859
8-Mar-17,51.44,51.62,51.15,51.44,1530576
7-Mar-17,52.12,52.47,51.25,51.37,2107816
6-Mar-17,51.83,52.64,51.52,52.22,3852234
3-Mar-17,50.65,51.86,50.57,51.80,2588343
2-Mar-17,50.82,51.40,50.54,50.63,2209630
1-Mar-17,50.56,51.17,50.51,50.98,2162988
28-Feb-17,50.39,50.44,49.88,50.03,1666270
27-Feb-17,50.16,50.40,50.02,50.35,1263206
24-Feb-17,49.64,50.10,49.40,50.10,1310500
23-Feb-17,51.07,51.24,49.66,49.79,1819470
22-Feb-17,50.82,50.99,50.63,50.87,1170080
21-Feb-17,50.62,50.90,50.40,50.87,1513799
17-Feb-17,50.44,50.71,50.08,50.71,1683163
16-Feb-17,50.45,50.61,49.93,50.61,1141557
15-Feb-17,50.14,50.63,49.89,50.46,1470947
14-Feb-17,49.97,50.51,49.86,50.39,1210897
13-Feb-17,50.68,50.83,50.10,50.13,1096697
10-Feb-17,50.44,50.69,50.04,50.34,1148434
9-Feb-17,49.88,50.34,49.54,50.25,1194950
8-Feb-17,49.74,49.98,49.42,49.82,1355633
7-Feb-17,50.10,50.45,49.74,49.81,2782479
6-Feb-17,49.45,51.18,49.45,50.39,3985271
3-Feb-17,49.26,49.80,48.88,49.04,2533153
2-Feb-17,49.28,49.50,48.69,49.00,2035349
1-Feb-17,49.85,50.05,49.28,49.62,2059285
31-Jan-17,50.11,50.21,49.31,49.68,2013444
30-Jan-17,49.80,50.24,49.24,50.20,3462289
27-Jan-17,50.41,50.41,49.93,50.17,2550059
26-Jan-17,50.82,51.02,50.22,50.37,2460182
25-Jan-17,51.01,51.51,50.57,50.79,4106923
24-Jan-17,51.30,51.37,50.26,50.81,4292994
23-Jan-17,51.21,51.44,50.72,50.98,2442049
20-Jan-17,50.83,51.42,50.75,51.24,2789681
19-Jan-17,50.86,51.30,50.48,50.55,3834449
18-Jan-17,48.01,51.56,47.00,51.06,8410496
17-Jan-17,47.94,48.48,47.53,48.26,3305814
13-Jan-17,48.14,48.19,47.82,48.05,2315336
12-Jan-17,47.77,48.16,47.16,48.00,3208868
11-Jan-17,46.85,47.80,46.75,47.43,2737713
10-Jan-17,46.23,46.62,46.10,46.51,1898336
9-Jan-17,46.46,46.66,46.16,46.17,2311877
6-Jan-17,46.64,46.91,46.22,46.51,2201092
5-Jan-17,47.94,47.99,46.32,46.62,2552673
4-Jan-17,47.14,47.45,46.91,47.17,2605049
3-Jan-17,47.40,47.76,46.44,46.95,2834884
30-Dec-16,47.49,47.65,46.66,46.98,1471841
29-Dec-16,47.55,47.75,47.13,47.21,1563900
28-Dec-16,48.42,48.43,47.27,47.38,1364917
27-Dec-16,48.19,48.67,48.04,48.33,732537
23-Dec-16,48.04,48.27,47.80,48.14,944542
22-Dec-16,48.13,48.14,47.68,48.03,1284948
21-Dec-16,48.50,48.68,48.14,48.14,1142460
20-Dec-16,48.24,48.92,47.98,48.53,1434690
19-Dec-16,47.98,48.35,47.69,48.02,2317071
16-Dec-16,48.52,48.74,48.02,48.05,2993490
15-Dec-16,48.35,48.78,47.96,48.43,2346282
14-Dec-16,48.73,48.99,48.22,48.32,2319429
13-Dec-16,48.96,48.97,48.23,48.60,2823470
12-Dec-16,49.06,49.15,48.56,48.90,2394961
9-Dec-16,49.17,49.28,48.76,49.01,2182613
8-Dec-16,49.14,49.30,48.89,49.13,2787671
7-Dec-16,48.28,49.24,47.83,49.17,3155362
6-Dec-16,47.94,48.45,47.20,48.30,5187910
5-Dec-16,48.46,49.21,48.18,48.58,6271374
2-Dec-16,47.55,48.00,47.20,47.83,3581034
1-Dec-16,47.51,48.36,47.27,47.49,3657776
30-Nov-16,47.19,47.89,46.87,47.40,3695012
29-Nov-16,46.28,47.14,46.17,47.01,3426674
28-Nov-16,46.29,46.51,45.97,46.36,2289943
25-Nov-16,46.21,46.37,46.01,46.37,538363
23-Nov-16,45.99,46.50,45.71,46.24,1923093
22-Nov-16,45.41,45.97,45.14,45.92,2513887
21-Nov-16,44.99,45.28,44.78,45.26,2036578
18-Nov-16,44.92,45.10,44.73,44.80,1859224
17-Nov-16,45.03,45.37,44.78,44.96,2888909
16-Nov-16,45.03,45.20,44.75,45.09,2396324
15-Nov-16,45.22,45.26,44.73,45.09,2543077
14-Nov-16,44.50,45.43,44.39,45.10,3979840
11-Nov-16,44.77,45.08,43.44,44.28,5018967
10-Nov-16,43.96,45.30,43.96,44.92,5577858
9-Nov-16,39.97,43.97,39.78,43.59,5727486
8-Nov-16,40.58,41.04,40.19,40.62,2014533
7-Nov-16,39.93,40.65,39.92,40.61,2911722
4-Nov-16,38.70,39.80,38.68,39.44,3587458
3-Nov-16,38.41,38.62,38.17,38.60,2239296
2-Nov-16,38.47,38.59,38.09,38.25,2267546
1-Nov-16,39.08,39.13,38.21,38.40,1660305
31-Oct-16,38.94,39.05,38.68,38.98,1762673
28-Oct-16,38.46,39.00,38.44,38.76,1214861
27-Oct-16,39.07,39.13,38.37,38.45,1250777
26-Oct-16,38.52,39.38,38.43,39.02,1729105
25-Oct-16,38.86,38.98,38.47,38.64,1865335
24-Oct-16,38.62,39.08,38.37,38.94,2422726
21-Oct-16,38.32,38.50,37.96,38.37,1663648
20-Oct-16,38.92,39.12,38.75,38.81,2256752
19-Oct-16,38.25,38.96,38.02,38.92,3268740
18-Oct-16,38.66,38.79,37.88,38.16,2156673
17-Oct-16,38.31,38.54,38.18,38.27,2704070
14-Oct-16,38.13,38.64,37.70,38.34,3368025
13-Oct-16,38.82,38.85,37.93,38.34,4829488
12-Oct-16,39.85,39.85,39.02,39.06,4576221
11-Oct-16,41.69,42.77,39.68,39.96,7069434
10-Oct-16,42.47,42.53,42.00,42.12,4891091
7-Oct-16,42.49,42.74,42.14,42.30,2887736
6-Oct-16,41.82,42.79,41.80,42.73,2076399
5-Oct-16,41.73,42.08,41.67,41.91,1502607
4-Oct-16,42.27,42.36,41.29,41.45,1551611
3-Oct-16,41.58,42.29,41.46,42.16,3112609
30-Sep-16,41.00,42.00,40.92,41.78,3239626
29-Sep-16,40.71,41.26,40.40,40.84,1690322
28-Sep-16,40.51,40.91,40.36,40.87,1359906
27-Sep-16,40.04,40.44,40.02,40.39,1671853
26-Sep-16,40.21,40.44,40.14,40.20,1386951
23-Sep-16,40.40,40.73,40.27,40.44,1688600
22-Sep-16,40.57,40.74,40.50,40.55,1847548
21-Sep-16,39.96,40.32,39.94,40.24,2432323
20-Sep-16,40.70,40.70,39.91,39.92,2071058
19-Sep-16,40.33,40.72,40.26,40.57,2195932
16-Sep-16,40.45,40.48,39.85,40.07,3090229
15-Sep-16,40.24,40.84,40.08,40.81,3436458
14-Sep-16,40.30,40.65,39.99,40.28,4480376
13-Sep-16,40.43,40.89,40.15,40.44,3811492
12-Sep-16,40.25,40.86,40.11,40.71,3098930
9-Sep-16,41.77,42.21,40.57,40.57,3047686
8-Sep-16,42.26,42.39,42.00,42.17,1478192
7-Sep-16,42.44,42.49,41.61,42.26,2199439
6-Sep-16,43.44,43.60,42.81,42.91,1925106
2-Sep-16,43.13,43.53,42.91,43.32,1408120
1-Sep-16,43.25,43.37,42.45,42.82,2408860
31-Aug-16,43.69,43.70,42.94,43.11,1843185
30-Aug-16,44.05,44.18,43.59,43.75,1068530
29-Aug-16,43.70,44.04,43.53,44.00,889972
