Date,Open,High,Low,Close,Volume
31-Mar-17,91.42,92.16,90.99,91.74,701600
30-Mar-17,90.88,92.00,90.88,91.90,656266
29-Mar-17,91.85,92.26,90.41,91.16,1413021
28-Mar-17,90.60,92.95,89.42,92.34,1093783
27-Mar-17,89.04,90.66,88.70,90.55,1361534
24-Mar-17,91.16,91.75,89.92,90.27,918405
23-Mar-17,91.61,91.85,90.71,90.81,765878
22-Mar-17,91.92,92.31,91.19,91.70,954786
21-Mar-17,93.17,93.19,91.30,91.61,1163622
20-Mar-17,93.99,93.99,92.63,92.91,796648
17-Mar-17,94.93,94.93,93.42,93.95,1401850
16-Mar-17,95.09,95.41,94.28,94.46,655618
15-Mar-17,94.77,95.48,94.39,95.09,860133
14-Mar-17,95.06,95.06,93.36,94.44,1334102
13-Mar-17,96.61,96.98,95.06,95.25,1319203
10-Mar-17,96.79,97.09,96.04,96.65,919104
9-Mar-17,96.85,97.38,95.71,96.18,1159526
8-Mar-17,96.50,97.26,96.01,96.77,1030551
7-Mar-17,98.19,98.58,96.51,96.60,934088
6-Mar-17,97.65,98.74,97.40,98.55,566567
3-Mar-17,97.93,98.19,97.23,97.85,705706
2-Mar-17,99.87,99.96,97.62,97.85,771331
1-Mar-17,98.82,100.33,98.82,100.14,781380
28-Feb-17,100.26,100.26,98.12,98.17,740014
27-Feb-17,99.43,100.17,99.00,100.12,737629
24-Feb-17,97.09,100.18,96.66,99.82,1173609
23-Feb-17,98.48,98.82,97.04,97.31,1254838
22-Feb-17,100.79,101.22,98.08,98.34,1840400
21-Feb-17,101.00,101.23,100.47,100.82,496518
17-Feb-17,100.64,101.07,99.83,101.04,443580
16-Feb-17,100.73,100.97,99.76,100.71,414318
15-Feb-17,99.45,100.79,99.45,100.67,754144
14-Feb-17,100.38,100.74,99.42,99.50,557286
13-Feb-17,100.60,101.23,99.76,100.36,661987
10-Feb-17,98.56,100.54,98.56,100.37,561008
9-Feb-17,98.33,99.60,98.27,98.82,416071
8-Feb-17,97.94,98.46,96.51,98.19,746843
7-Feb-17,99.80,100.12,98.23,98.51,879163
6-Feb-17,99.47,100.50,99.05,99.52,3331142
3-Feb-17,97.38,99.75,97.08,99.66,1011076
2-Feb-17,97.75,99.08,96.66,97.24,942821
1-Feb-17,99.49,99.63,97.66,98.32,857480
31-Jan-17,99.25,100.21,98.67,99.08,1312651
30-Jan-17,98.09,99.03,97.90,98.93,594822
27-Jan-17,98.92,98.98,97.78,98.87,605190
26-Jan-17,98.30,98.88,97.32,98.76,782070
25-Jan-17,96.78,98.62,95.96,98.54,916583
24-Jan-17,94.90,96.67,94.60,96.48,690061
23-Jan-17,94.65,95.03,93.71,94.50,700139
20-Jan-17,94.15,94.82,93.33,94.52,1025477
19-Jan-17,97.50,97.90,93.58,94.36,2373390
18-Jan-17,98.29,98.62,97.10,98.03,1301281
17-Jan-17,99.13,99.42,97.65,97.98,816834
13-Jan-17,99.25,99.63,98.92,99.28,758934
12-Jan-17,98.47,99.33,98.02,99.05,835160
11-Jan-17,97.82,98.87,97.30,98.72,689456
10-Jan-17,96.97,98.24,96.40,97.72,714200
9-Jan-17,97.00,97.25,96.31,96.87,774837
6-Jan-17,97.43,98.46,96.91,97.69,751461
5-Jan-17,97.42,97.56,96.56,97.19,985778
4-Jan-17,96.58,98.42,96.25,97.82,1036827
3-Jan-17,97.83,99.36,95.89,96.77,1065780
30-Dec-16,97.78,97.95,96.68,97.07,805014
29-Dec-16,96.97,98.06,96.97,97.34,532886
28-Dec-16,98.08,98.55,96.98,97.08,600544
27-Dec-16,97.93,98.72,97.44,98.01,436643
23-Dec-16,97.01,97.75,96.95,97.47,304752
22-Dec-16,97.01,97.61,96.78,97.16,548458
21-Dec-16,98.02,98.24,96.95,97.01,658738
20-Dec-16,98.22,99.00,97.89,98.00,959243
19-Dec-16,96.87,97.94,96.72,97.86,715855
16-Dec-16,98.21,98.31,96.62,97.00,1643774
15-Dec-16,98.57,99.42,97.60,98.01,1501790
14-Dec-16,99.24,99.71,98.31,98.61,1005075
13-Dec-16,99.59,100.05,97.64,99.01,1489218
12-Dec-16,99.34,99.79,98.38,99.14,1127899
9-Dec-16,100.65,102.38,98.73,99.29,1678632
8-Dec-16,100.25,100.97,99.94,100.68,1050833
7-Dec-16,98.06,100.27,97.64,99.96,1040855
6-Dec-16,97.59,98.22,97.00,98.10,1125396
5-Dec-16,96.93,97.69,96.50,97.67,1420939
2-Dec-16,96.97,97.44,95.54,96.33,1035237
1-Dec-16,95.49,97.16,95.21,97.05,916216
30-Nov-16,93.93,95.93,93.86,95.37,1232663
29-Nov-16,92.93,94.32,92.93,93.52,908612
28-Nov-16,93.50,94.14,92.88,93.12,594428
25-Nov-16,92.86,94.11,92.86,93.94,319898
23-Nov-16,91.33,92.95,91.33,92.92,520134
22-Nov-16,92.06,92.06,91.07,91.22,829507
21-Nov-16,91.94,92.39,91.27,91.67,905527
18-Nov-16,91.33,92.08,90.95,91.47,649057
17-Nov-16,91.49,91.85,90.92,91.45,771155
16-Nov-16,91.43,92.13,90.63,91.31,870667
15-Nov-16,91.36,91.43,90.43,91.34,603661
14-Nov-16,90.27,92.17,89.98,91.06,2364035
11-Nov-16,87.95,89.96,87.75,89.69,1347522
10-Nov-16,86.46,88.89,86.46,88.07,1355675
9-Nov-16,84.12,88.32,84.00,86.12,1914820
8-Nov-16,82.55,85.01,81.70,84.72,1362744
7-Nov-16,81.32,82.64,80.83,82.62,1121910
4-Nov-16,80.60,81.20,80.12,80.28,892564
3-Nov-16,81.85,82.30,80.36,80.38,1190669
2-Nov-16,81.75,82.34,81.50,81.59,1295975
1-Nov-16,81.92,82.30,81.50,82.02,1279843
31-Oct-16,81.24,81.90,80.94,81.61,935647
28-Oct-16,80.89,81.36,80.47,80.94,694799
27-Oct-16,80.76,81.30,79.22,81.03,929419
26-Oct-16,78.55,80.42,78.55,80.30,996688
25-Oct-16,78.77,79.18,78.48,78.84,630917
24-Oct-16,78.64,79.32,78.53,78.75,631696
21-Oct-16,77.21,78.40,76.89,78.31,629999
20-Oct-16,77.63,78.51,77.26,77.60,888039
19-Oct-16,79.10,79.49,77.72,77.76,1231519
18-Oct-16,78.93,79.72,78.50,78.99,1913372
