Date,Open,High,Low,Close,Volume
31-Mar-17,80.82,81.60,80.59,81.14,861919
30-Mar-17,80.41,80.95,80.04,80.79,1318957
29-Mar-17,79.78,80.47,79.61,80.45,740693
28-Mar-17,79.39,80.37,79.24,80.06,592919
27-Mar-17,79.36,79.97,79.17,79.68,788689
24-Mar-17,80.18,80.49,79.70,79.71,971840
23-Mar-17,80.27,80.56,79.69,79.96,907071
22-Mar-17,79.86,80.61,79.43,80.03,987627
21-Mar-17,81.08,81.39,79.59,79.63,884344
20-Mar-17,80.94,81.10,80.48,80.95,1233023
17-Mar-17,80.65,81.27,80.09,81.19,1313804
16-Mar-17,79.90,80.66,79.90,80.35,1501054
15-Mar-17,79.59,80.19,79.38,80.07,943320
14-Mar-17,79.51,79.66,79.09,79.35,779455
13-Mar-17,80.10,80.20,79.36,79.76,884117
10-Mar-17,80.36,80.43,79.76,79.94,976798
9-Mar-17,80.84,80.87,79.71,80.05,1014491
8-Mar-17,81.59,82.00,80.52,80.71,1415722
7-Mar-17,82.62,83.15,81.53,81.84,797095
6-Mar-17,83.68,83.93,82.84,82.87,958971
3-Mar-17,83.84,84.15,83.33,83.95,509602
2-Mar-17,84.18,84.46,83.37,83.67,468687
1-Mar-17,83.55,84.49,83.26,84.32,765880
28-Feb-17,83.72,83.81,82.78,82.92,863089
27-Feb-17,83.62,83.84,83.27,83.79,573321
24-Feb-17,82.93,84.00,82.80,83.95,1052511
23-Feb-17,82.47,83.71,82.40,82.84,1144253
22-Feb-17,85.44,87.40,81.90,82.23,2245503
21-Feb-17,84.80,85.42,84.16,85.19,1201233
17-Feb-17,84.28,84.90,84.07,84.90,645421
16-Feb-17,84.08,84.99,83.53,84.27,526252
15-Feb-17,84.14,84.49,83.39,83.77,762583
14-Feb-17,84.80,85.10,84.69,85.09,448392
13-Feb-17,84.99,85.23,84.63,84.96,407468
10-Feb-17,84.28,84.69,83.77,84.52,350568
9-Feb-17,82.15,84.11,82.15,84.07,571983
8-Feb-17,82.88,83.76,82.81,83.61,349742
7-Feb-17,83.27,83.28,82.90,83.01,471153
6-Feb-17,83.18,83.32,82.95,83.27,362940
3-Feb-17,82.80,83.52,82.68,83.52,542276
2-Feb-17,81.53,82.21,81.31,82.15,532053
1-Feb-17,82.63,82.92,81.43,81.76,544253
31-Jan-17,83.00,83.00,81.95,82.64,795284
30-Jan-17,82.63,82.76,82.23,82.74,362622
27-Jan-17,82.21,82.79,82.13,82.68,362377
26-Jan-17,82.63,82.72,82.25,82.53,296103
25-Jan-17,82.50,83.02,82.42,82.69,455029
24-Jan-17,81.38,82.21,81.25,82.17,466898
23-Jan-17,81.23,81.48,80.85,81.18,508975
20-Jan-17,81.27,81.52,80.76,81.36,500418
19-Jan-17,80.95,81.48,80.20,80.92,609857
18-Jan-17,81.00,81.16,80.21,81.08,741953
17-Jan-17,82.45,82.45,81.41,81.55,553686
13-Jan-17,82.45,82.71,82.28,82.63,350637
12-Jan-17,82.76,82.76,81.63,82.32,557614
11-Jan-17,82.06,82.75,81.89,82.75,468967
10-Jan-17,81.72,82.33,81.42,82.26,594588
9-Jan-17,82.03,82.25,81.55,81.73,489648
6-Jan-17,81.52,82.40,81.43,82.38,515856
5-Jan-17,81.69,82.23,81.51,81.66,394756
4-Jan-17,81.28,82.01,81.23,81.96,651822
3-Jan-17,81.59,82.08,81.05,81.32,545814
30-Dec-16,81.99,81.99,80.96,81.17,524897
29-Dec-16,81.52,82.01,81.52,81.70,389786
28-Dec-16,82.42,82.53,81.53,81.65,348716
27-Dec-16,82.41,82.97,82.00,82.15,300040
23-Dec-16,82.01,82.41,81.87,82.11,267096
22-Dec-16,82.27,82.48,81.75,82.07,346166
21-Dec-16,82.37,82.98,82.37,82.43,412307
20-Dec-16,82.36,82.49,82.10,82.37,445858
19-Dec-16,81.85,82.66,81.84,82.11,484509
16-Dec-16,81.40,82.19,80.90,81.78,1619880
15-Dec-16,82.01,82.25,81.24,81.28,645193
14-Dec-16,83.74,83.74,81.95,82.05,1211918
13-Dec-16,83.28,83.95,82.98,83.57,1200802
12-Dec-16,82.70,83.13,82.44,83.03,829274
9-Dec-16,83.35,83.53,82.88,82.93,940804
8-Dec-16,83.19,83.52,82.77,83.19,647749
7-Dec-16,83.04,83.14,82.18,83.14,1241228
6-Dec-16,82.89,83.15,82.34,83.04,1170217
5-Dec-16,82.69,83.28,82.66,82.91,868306
2-Dec-16,82.42,82.66,81.65,82.20,892402
1-Dec-16,83.23,83.52,81.95,82.36,976081
30-Nov-16,84.19,84.42,83.03,83.08,1380659
29-Nov-16,84.20,84.40,83.62,83.88,765968
28-Nov-16,84.41,84.85,84.07,84.15,761024
25-Nov-16,83.96,84.30,83.35,84.11,522694
23-Nov-16,83.79,84.76,82.50,83.89,669550
22-Nov-16,84.00,84.00,83.68,83.96,845041
21-Nov-16,83.40,83.91,83.16,83.75,791019
18-Nov-16,82.83,83.53,82.82,83.16,1905749
17-Nov-16,82.50,83.02,82.44,83.00,1277355
16-Nov-16,82.68,83.06,82.06,82.30,852902
15-Nov-16,83.01,83.58,82.50,82.69,2155447
14-Nov-16,83.39,83.60,82.73,82.83,1291181
11-Nov-16,82.83,83.71,82.83,83.13,1231396
10-Nov-16,83.58,84.29,82.65,83.12,979419
9-Nov-16,80.88,83.40,80.88,83.33,933323
8-Nov-16,82.95,83.23,82.58,82.89,676408
7-Nov-16,82.86,83.20,82.48,83.10,1228458
4-Nov-16,81.83,82.85,81.73,81.76,780158
3-Nov-16,82.57,82.99,82.08,82.41,1092256
2-Nov-16,81.40,83.29,81.12,82.21,1829029
1-Nov-16,81.68,81.68,80.67,80.94,1130995
31-Oct-16,81.68,82.10,81.54,81.55,813209
28-Oct-16,81.43,82.19,81.26,81.35,718815
27-Oct-16,81.58,81.93,81.05,81.25,1233271
26-Oct-16,82.02,82.58,81.40,81.43,1298854
25-Oct-16,82.23,82.28,81.76,82.09,670990
24-Oct-16,81.82,82.43,81.76,82.22,830350
21-Oct-16,79.84,81.28,79.31,81.26,877967
20-Oct-16,80.50,80.92,79.75,80.08,651052
19-Oct-16,80.18,81.25,80.18,80.45,739507
18-Oct-16,79.97,81.49,79.71,80.34,926937
17-Oct-16,79.42,79.82,79.32,79.47,385374
14-Oct-16,79.47,80.14,79.30,79.37,580196
13-Oct-16,79.05,79.66,78.60,79.36,560580
12-Oct-16,79.25,79.80,79.05,79.52,546100
11-Oct-16,79.82,80.07,79.16,79.40,648135
10-Oct-16,79.80,80.42,79.80,80.10,373454
7-Oct-16,79.71,79.96,79.25,79.61,521985
6-Oct-16,80.32,80.50,79.27,79.75,729679
5-Oct-16,80.88,81.06,80.19,80.30,553290
4-Oct-16,81.24,81.31,80.56,80.65,881305
3-Oct-16,80.93,81.50,80.54,81.23,634740
30-Sep-16,81.49,81.72,81.22,81.28,947556
29-Sep-16,81.89,82.18,80.84,81.05,523952
28-Sep-16,81.55,81.90,81.00,81.87,839778
27-Sep-16,80.99,81.73,80.92,81.39,767840
26-Sep-16,80.78,81.47,80.34,81.12,654112
23-Sep-16,81.08,81.66,80.57,81.32,1638351
22-Sep-16,81.21,81.31,80.81,81.05,1059062
21-Sep-16,80.73,81.14,80.15,80.86,426943
20-Sep-16,81.06,81.32,80.53,80.57,560046
19-Sep-16,80.98,81.35,80.42,80.72,437433
16-Sep-16,80.99,81.32,80.43,80.64,1402721
15-Sep-16,81.12,81.76,80.69,81.49,627989
14-Sep-16,81.84,82.18,80.96,81.14,495695
13-Sep-16,81.99,82.16,81.26,81.81,840775
12-Sep-16,81.98,83.98,81.49,82.75,786599
9-Sep-16,82.03,82.83,81.95,81.96,1054277
8-Sep-16,83.44,83.72,82.82,82.82,539453
7-Sep-16,83.92,84.16,83.52,83.62,526765
6-Sep-16,83.70,84.08,83.39,84.06,643377
2-Sep-16,83.94,84.22,83.05,83.84,596513
1-Sep-16,83.27,83.55,82.84,83.30,728884
