Date,Open,High,Low,Close,Volume
31-Mar-17,46.90,47.50,46.90,47.20,38776
30-Mar-17,46.80,47.35,46.35,46.85,30278
29-Mar-17,46.65,47.15,46.60,47.00,17966
28-Mar-17,46.70,47.10,46.70,47.00,52981
27-Mar-17,47.15,47.75,46.70,47.10,42857
24-Mar-17,47.80,48.10,47.45,47.65,47480
23-Mar-17,47.60,48.00,47.60,47.90,24513
22-Mar-17,47.90,47.90,46.45,47.50,68610
21-Mar-17,48.70,49.00,47.45,47.75,44326
20-Mar-17,47.55,48.80,47.25,48.70,60959
17-Mar-17,49.05,49.30,47.45,47.65,78787
16-Mar-17,48.80,49.40,48.60,48.80,54114
15-Mar-17,48.60,49.45,48.40,49.20,80609
14-Mar-17,49.00,49.40,48.40,48.65,61437
13-Mar-17,49.35,49.54,48.60,48.90,52330
10-Mar-17,48.00,49.35,48.00,48.95,40571
9-Mar-17,48.65,49.02,47.45,47.95,54314
8-Mar-17,48.80,49.10,48.20,48.55,45762
7-Mar-17,48.75,49.55,47.85,49.05,54421
6-Mar-17,49.60,50.45,47.80,48.45,107781
3-Mar-17,51.00,51.00,49.20,49.60,55701
2-Mar-17,50.50,51.05,50.00,50.60,53041
1-Mar-17,50.50,52.70,50.35,50.75,108916
28-Feb-17,49.50,51.25,48.75,50.45,123219
27-Feb-17,49.05,49.76,48.66,49.05,73365
24-Feb-17,48.35,49.35,47.55,48.95,85228
23-Feb-17,47.30,49.55,47.00,48.25,107502
22-Feb-17,46.10,46.85,46.00,46.75,73232
21-Feb-17,46.25,47.10,45.45,46.10,67427
17-Feb-17,45.00,46.40,44.60,46.25,84597
16-Feb-17,42.45,45.40,42.45,45.00,106330
15-Feb-17,41.50,42.60,41.25,42.05,55757
14-Feb-17,39.45,39.45,38.75,39.00,25127
13-Feb-17,39.45,39.45,39.10,39.20,10171
10-Feb-17,39.15,40.20,39.15,39.45,16575
9-Feb-17,38.35,38.70,38.20,38.45,18436
8-Feb-17,36.35,37.70,36.25,37.65,40950
7-Feb-17,36.15,36.35,35.85,36.35,38497
6-Feb-17,36.55,36.62,36.25,36.25,17569
3-Feb-17,36.95,37.30,36.50,36.70,21947
2-Feb-17,37.45,37.65,36.75,36.90,17329
1-Feb-17,36.90,37.40,36.55,37.35,29334
31-Jan-17,36.70,36.90,36.10,36.65,21794
30-Jan-17,36.50,36.95,36.25,36.65,17324
27-Jan-17,37.00,37.05,36.45,36.95,22024
26-Jan-17,37.10,37.15,36.90,36.95,9562
25-Jan-17,36.75,37.35,36.75,37.35,14452
24-Jan-17,36.55,37.20,36.55,37.00,22160
23-Jan-17,35.95,36.70,35.95,36.70,40620
20-Jan-17,35.00,36.55,35.00,36.25,43135
19-Jan-17,35.45,35.45,34.70,35.10,114229
18-Jan-17,36.85,36.90,35.55,35.55,20744
17-Jan-17,37.00,37.15,36.60,37.00,25166
13-Jan-17,37.45,37.45,37.00,37.00,11745
12-Jan-17,36.90,37.55,36.90,37.30,32897
11-Jan-17,36.75,36.85,36.20,36.80,37375
10-Jan-17,37.05,37.10,36.70,36.80,15436
9-Jan-17,36.80,37.10,36.35,36.95,17359
6-Jan-17,37.70,37.70,36.50,36.80,73071
5-Jan-17,36.85,37.40,36.80,37.30,44450
4-Jan-17,36.60,37.65,36.60,37.00,33862
3-Jan-17,36.72,36.90,36.15,36.55,32474
30-Dec-16,36.90,36.95,36.05,36.75,23425
29-Dec-16,36.15,36.22,35.85,36.20,25154
28-Dec-16,35.95,36.05,35.65,35.95,59594
27-Dec-16,36.60,36.95,36.05,36.25,20575
