Date,Open,High,Low,Close,Volume
31-Mar-17,20.01,20.24,19.76,20.07,93845
30-Mar-17,19.85,20.17,19.60,20.00,93372
29-Mar-17,19.50,20.07,19.23,19.98,85154
28-Mar-17,19.50,19.61,19.22,19.58,46380
27-Mar-17,19.52,19.71,18.93,19.61,44479
24-Mar-17,19.46,19.75,19.46,19.62,34980
23-Mar-17,19.25,19.70,19.25,19.52,117610
22-Mar-17,19.31,19.45,19.19,19.36,34895
21-Mar-17,19.47,19.51,19.20,19.25,94568
20-Mar-17,19.31,19.56,19.13,19.46,55933
17-Mar-17,19.60,19.76,19.19,19.38,113877
16-Mar-17,18.95,19.69,18.89,19.60,297835
15-Mar-17,18.93,19.15,18.76,18.95,50917
14-Mar-17,19.05,19.07,18.72,18.86,45728
13-Mar-17,19.08,19.18,18.75,19.05,61899
10-Mar-17,19.07,19.46,18.96,19.15,78841
9-Mar-17,19.21,19.68,18.78,18.98,121551
8-Mar-17,18.90,19.52,18.90,19.40,192018
7-Mar-17,18.93,19.17,18.78,18.85,134940
6-Mar-17,18.60,19.05,18.57,18.88,138196
3-Mar-17,18.98,19.06,18.47,18.84,101376
2-Mar-17,19.10,19.24,18.37,18.62,102122
1-Mar-17,18.94,19.19,18.75,19.07,171350
28-Feb-17,18.42,18.94,18.42,18.78,113404
27-Feb-17,18.38,18.77,18.25,18.65,43430
24-Feb-17,18.62,18.62,18.05,18.55,108730
23-Feb-17,19.35,19.35,18.61,18.69,52035
22-Feb-17,19.40,19.63,19.12,19.33,52905
21-Feb-17,19.25,19.60,19.06,19.56,58141
17-Feb-17,19.23,19.49,18.60,19.32,105860
16-Feb-17,19.26,19.52,18.02,19.23,86737
15-Feb-17,19.33,19.66,19.01,19.45,121543
14-Feb-17,19.75,19.76,19.27,19.58,55341
13-Feb-17,19.88,20.29,19.34,19.73,283110
10-Feb-17,18.24,19.00,17.69,18.85,485634
9-Feb-17,17.72,17.95,17.65,17.87,122632
8-Feb-17,17.81,17.81,17.39,17.63,54482
7-Feb-17,17.76,17.82,17.59,17.75,42154
6-Feb-17,17.69,18.10,17.63,17.86,43693
3-Feb-17,17.79,18.35,17.40,17.62,145793
2-Feb-17,17.35,18.00,17.35,17.61,82536
1-Feb-17,17.50,17.83,17.21,17.42,67956
31-Jan-17,16.83,17.50,16.45,17.48,141464
30-Jan-17,16.77,16.97,16.45,16.97,67944
27-Jan-17,16.61,16.89,16.50,16.69,37910
26-Jan-17,16.88,16.98,16.62,16.64,81912
25-Jan-17,16.53,16.86,16.50,16.73,104530
24-Jan-17,16.69,16.99,16.11,16.44,53973
23-Jan-17,16.37,16.78,16.17,16.60,42880
20-Jan-17,15.87,16.54,15.70,16.29,60332
19-Jan-17,16.41,16.49,15.95,15.95,36926
18-Jan-17,16.53,16.82,16.29,16.50,80647
17-Jan-17,16.50,16.59,16.30,16.58,38838
13-Jan-17,16.55,16.72,16.42,16.61,38639
12-Jan-17,16.90,16.97,16.38,16.40,70958
11-Jan-17,17.02,17.11,16.48,16.89,139559
10-Jan-17,16.96,17.11,16.74,16.93,109307
9-Jan-17,17.05,17.25,16.97,17.00,120445
6-Jan-17,16.88,17.17,16.83,16.99,64929
5-Jan-17,16.58,16.92,16.40,16.78,59346
4-Jan-17,16.38,16.84,16.32,16.50,85625
3-Jan-17,15.92,16.57,15.92,16.38,89684
30-Dec-16,15.12,15.77,15.01,15.77,63146
29-Dec-16,15.03,15.50,15.02,15.09,60728
28-Dec-16,15.20,15.33,14.95,15.04,72729
27-Dec-16,14.59,15.29,14.52,15.11,119957
23-Dec-16,15.14,15.14,14.50,14.70,81163
22-Dec-16,15.27,15.38,14.95,15.03,40250
21-Dec-16,15.11,15.42,15.04,15.25,46307
20-Dec-16,15.23,15.76,14.77,15.00,32963
19-Dec-16,15.58,15.58,14.70,15.17,57959
16-Dec-16,15.82,15.82,15.04,15.62,105940
15-Dec-16,15.44,16.11,15.20,16.09,216180
14-Dec-16,15.95,16.21,15.68,15.96,145550
13-Dec-16,15.45,16.34,15.22,16.27,88201
12-Dec-16,15.70,15.85,15.15,15.24,107752
9-Dec-16,16.14,16.15,15.51,15.64,24884
8-Dec-16,15.90,16.20,15.65,15.70,34700
7-Dec-16,16.19,16.25,15.65,16.05,38288
6-Dec-16,15.79,16.40,15.72,16.15,49156
5-Dec-16,15.80,16.00,15.51,15.91,70153
2-Dec-16,15.75,16.20,15.42,15.71,129526
1-Dec-16,16.12,16.12,15.24,15.61,86783
30-Nov-16,16.32,16.56,15.53,16.31,180274
29-Nov-16,16.47,16.99,16.27,16.28,70257
28-Nov-16,16.65,16.76,16.43,16.52,64069
25-Nov-16,16.45,16.90,16.45,16.70,108397
23-Nov-16,15.54,16.40,15.54,16.16,94389
22-Nov-16,15.61,15.87,15.50,15.61,50878
21-Nov-16,15.43,15.86,15.41,15.51,31512
18-Nov-16,15.61,15.61,15.25,15.31,22293
17-Nov-16,15.40,16.08,15.40,15.70,73381
16-Nov-16,15.16,15.54,15.15,15.30,84566
15-Nov-16,14.54,15.34,14.51,15.14,111415
14-Nov-16,15.49,15.57,13.70,14.46,218354
11-Nov-16,15.42,16.00,14.11,15.45,263330
10-Nov-16,16.60,17.00,15.35,15.56,122032
9-Nov-16,16.15,16.71,16.04,16.55,116880
8-Nov-16,16.60,16.73,16.47,16.58,117555
7-Nov-16,16.25,16.74,16.25,16.61,44089
4-Nov-16,16.18,16.55,16.10,16.14,76841
3-Nov-16,16.55,16.86,16.15,16.17,76789
2-Nov-16,16.99,16.99,16.39,16.64,358749
1-Nov-16,17.55,17.74,16.67,17.09,203551
31-Oct-16,17.40,17.79,17.13,17.50,97836
28-Oct-16,17.53,17.70,17.45,17.47,98477
27-Oct-16,18.00,18.00,17.53,17.58,249276
26-Oct-16,17.69,18.02,17.46,17.98,173373
25-Oct-16,17.69,17.89,17.43,17.66,56144
24-Oct-16,18.02,18.02,17.63,17.63,54224
21-Oct-16,17.97,18.00,17.48,17.92,122330
20-Oct-16,18.01,18.04,17.85,17.92,50284
19-Oct-16,18.26,18.37,18.01,18.05,61278
18-Oct-16,17.98,18.15,17.93,18.04,135358
17-Oct-16,17.65,18.15,17.65,17.97,37956
14-Oct-16,18.00,18.16,17.67,17.73,102009
13-Oct-16,17.78,18.00,17.31,17.92,74091
12-Oct-16,17.24,17.94,17.24,17.82,87016
11-Oct-16,17.31,17.68,16.93,17.37,225394
10-Oct-16,17.45,17.70,17.16,17.50,27037
7-Oct-16,17.51,17.71,17.23,17.31,84610
6-Oct-16,17.73,17.90,17.28,17.66,107393
5-Oct-16,17.79,17.88,17.60,17.60,52302
4-Oct-16,17.78,17.85,17.46,17.70,35684
3-Oct-16,17.94,18.04,17.74,17.79,35611
30-Sep-16,17.88,18.10,17.65,17.86,122469
29-Sep-16,17.55,17.98,17.55,17.68,112326
28-Sep-16,17.11,17.67,16.76,17.45,75727
27-Sep-16,17.20,17.56,17.12,17.16,58240
26-Sep-16,17.26,17.55,17.21,17.28,36835
23-Sep-16,17.58,17.58,17.09,17.37,92895
22-Sep-16,16.97,17.58,16.93,17.46,125461
21-Sep-16,16.97,17.11,16.83,17.03,68389
20-Sep-16,17.15,17.30,16.80,16.93,33818
19-Sep-16,17.02,17.18,16.96,16.99,54904
16-Sep-16,17.06,17.06,16.76,16.93,85629
15-Sep-16,17.01,17.28,16.86,17.16,138734
14-Sep-16,16.20,16.99,16.10,16.96,87012
13-Sep-16,16.95,16.95,16.12,16.32,128074
12-Sep-16,17.03,17.34,16.55,16.97,108341
9-Sep-16,17.54,18.07,16.92,17.20,67830
8-Sep-16,17.93,17.93,17.37,17.69,106432
7-Sep-16,18.00,18.20,17.66,17.91,105545
6-Sep-16,17.87,18.02,17.80,18.00,147404
2-Sep-16,17.95,18.00,17.58,17.79,33311
1-Sep-16,17.58,17.92,17.58,17.70,45906
31-Aug-16,17.62,17.73,17.20,17.68,144876
30-Aug-16,17.66,17.98,17.55,17.75,180129
29-Aug-16,17.35,17.76,17.30,17.72,128309
26-Aug-16,17.63,17.86,17.35,17.39,100315
25-Aug-16,17.46,17.89,17.31,17.53,130073
24-Aug-16,16.99,17.40,16.96,17.35,217668
23-Aug-16,16.58,17.10,16.58,17.08,86092
22-Aug-16,16.61,16.61,16.36,16.45,35382
19-Aug-16,16.17,16.65,16.10,16.61,51086
18-Aug-16,16.72,16.95,16.37,16.57,47532
17-Aug-16,16.05,16.80,16.00,16.68,79798
16-Aug-16,16.91,16.97,16.41,16.65,50582
15-Aug-16,16.97,17.16,16.83,16.90,68866
12-Aug-16,17.09,17.24,16.82,17.02,55606
11-Aug-16,17.20,17.60,17.20,17.24,115002
10-Aug-16,17.49,17.60,17.24,17.28,98836
9-Aug-16,17.11,17.59,17.11,17.40,108598
8-Aug-16,16.79,17.32,16.72,17.12,85583
5-Aug-16,16.82,17.46,16.82,16.88,114847
4-Aug-16,16.48,17.00,16.33,16.84,92849
3-Aug-16,16.11,16.46,16.00,16.32,64141
2-Aug-16,16.72,16.73,16.03,16.19,115392
1-Aug-16,16.95,16.95,16.64,16.72,92056
29-Jul-16,16.58,17.10,16.55,17.04,172383
28-Jul-16,16.78,16.90,16.63,16.71,97261
27-Jul-16,17.08,17.08,16.75,16.78,102998
26-Jul-16,17.13,17.17,16.96,17.12,76914
25-Jul-16,17.18,17.29,16.95,17.04,93856
22-Jul-16,17.02,17.15,16.65,17.13,58643
21-Jul-16,17.38,17.95,17.01,17.14,184695
20-Jul-16,17.09,17.30,16.76,17.24,149033
