Date,Open,High,Low,Close,Volume
31-Mar-17,3.40,3.45,3.40,3.40,3437
30-Mar-17,3.45,3.58,3.32,3.49,9378
29-Mar-17,3.30,3.49,3.30,3.49,1552
28-Mar-17,3.29,3.34,3.29,3.34,2346
27-Mar-17,3.29,3.33,3.28,3.33,5691
24-Mar-17,-,-,-,3.40,0
23-Mar-17,3.37,3.40,3.34,3.40,1640
22-Mar-17,3.39,3.40,3.28,3.40,2981
21-Mar-17,3.40,3.41,3.33,3.35,6632
20-Mar-17,3.43,3.48,3.40,3.45,9881
17-Mar-17,3.54,3.54,3.50,3.54,700
16-Mar-17,-,-,-,3.53,0
15-Mar-17,3.53,3.53,3.53,3.53,200
14-Mar-17,-,-,-,3.60,0
13-Mar-17,3.56,3.61,3.47,3.60,16101
10-Mar-17,3.60,3.65,3.58,3.63,13360
9-Mar-17,3.45,3.55,3.44,3.54,12423
8-Mar-17,3.29,3.29,3.29,3.29,250
7-Mar-17,3.27,3.44,3.25,3.44,5901
6-Mar-17,3.31,3.44,3.28,3.35,3373
3-Mar-17,3.36,3.36,3.30,3.31,4500
2-Mar-17,3.39,3.45,3.34,3.39,3929
1-Mar-17,3.38,3.51,3.34,3.47,31638
28-Feb-17,3.40,3.46,3.13,3.45,19742
27-Feb-17,3.36,3.44,3.36,3.37,3290
24-Feb-17,3.33,3.47,3.05,3.28,9573
23-Feb-17,3.27,3.40,3.27,3.40,1567
22-Feb-17,3.29,3.38,3.29,3.30,4899
21-Feb-17,3.30,3.40,3.30,3.40,1598
17-Feb-17,3.33,3.39,3.33,3.39,200
16-Feb-17,3.34,3.38,3.34,3.38,624
15-Feb-17,3.39,3.44,3.38,3.41,3154
14-Feb-17,-,-,-,3.54,0
13-Feb-17,3.52,3.54,3.50,3.54,2579
10-Feb-17,3.45,3.59,3.45,3.59,394
9-Feb-17,3.57,3.60,3.57,3.60,600
8-Feb-17,3.54,3.54,3.54,3.54,200
7-Feb-17,3.51,3.60,3.51,3.58,2267
6-Feb-17,3.57,3.57,3.47,3.56,1050
3-Feb-17,3.55,3.61,3.53,3.53,3320
2-Feb-17,3.49,3.67,3.49,3.49,3657
1-Feb-17,3.46,3.49,3.46,3.46,901
31-Jan-17,3.52,3.72,3.45,3.48,13146
30-Jan-17,3.39,3.50,3.36,3.49,30647
27-Jan-17,3.36,3.36,3.36,3.36,100
26-Jan-17,3.30,3.31,3.22,3.28,5518
25-Jan-17,3.34,3.35,3.24,3.33,14603
24-Jan-17,3.23,3.49,3.23,3.49,904
23-Jan-17,3.25,3.28,3.21,3.23,6269
20-Jan-17,3.32,3.32,3.32,3.32,100
19-Jan-17,3.28,3.37,3.28,3.37,13950
18-Jan-17,3.33,3.33,3.33,3.33,170
17-Jan-17,3.28,3.40,3.28,3.33,5251
13-Jan-17,3.30,3.40,3.30,3.31,13600
12-Jan-17,3.33,3.33,3.31,3.31,1120
11-Jan-17,3.32,3.35,3.32,3.35,1652
10-Jan-17,3.30,3.39,3.30,3.37,6264
9-Jan-17,3.38,3.41,3.32,3.33,7139
6-Jan-17,3.48,3.74,3.40,3.41,17744
5-Jan-17,3.42,3.46,3.42,3.46,1191
4-Jan-17,3.42,3.42,3.36,3.41,1800
3-Jan-17,3.38,3.38,3.32,3.36,9784
30-Dec-16,3.36,3.58,3.36,3.41,4034
29-Dec-16,3.46,3.48,3.35,3.47,6242
28-Dec-16,3.55,3.68,3.42,3.52,10643
27-Dec-16,3.47,3.49,3.30,3.46,17279
23-Dec-16,3.48,3.63,3.48,3.60,3396
22-Dec-16,3.56,3.61,3.42,3.59,28126
21-Dec-16,3.57,3.65,3.56,3.62,2639
20-Dec-16,3.59,3.66,3.56,3.63,4994
19-Dec-16,3.64,3.73,3.58,3.62,62632
16-Dec-16,3.63,3.64,3.56,3.64,6202
15-Dec-16,3.62,3.64,3.51,3.63,14913
14-Dec-16,3.65,3.65,3.51,3.64,4782
13-Dec-16,3.67,3.68,3.50,3.60,5742
12-Dec-16,3.54,3.54,3.53,3.53,1675
9-Dec-16,3.54,3.60,3.54,3.60,4667
8-Dec-16,3.64,3.64,3.55,3.64,1401
7-Dec-16,3.56,3.60,3.50,3.60,7997
6-Dec-16,3.46,3.71,3.33,3.66,9125
5-Dec-16,3.47,3.50,3.47,3.50,300
2-Dec-16,3.51,3.51,3.51,3.51,460
1-Dec-16,3.42,3.54,3.42,3.49,1400
30-Nov-16,3.42,3.48,3.42,3.48,3544
29-Nov-16,3.40,3.49,3.38,3.41,2719
28-Nov-16,3.45,3.56,3.38,3.39,12233
23-Nov-16,3.51,3.64,3.49,3.56,8379
22-Nov-16,3.54,3.64,3.53,3.60,17381
21-Nov-16,3.54,3.69,3.54,3.60,7514
18-Nov-16,3.41,3.68,3.41,3.60,11612
17-Nov-16,3.58,3.87,3.55,3.65,18354
16-Nov-16,3.61,3.85,3.60,3.62,29283
15-Nov-16,3.66,3.79,3.60,3.66,2289
14-Nov-16,3.56,3.67,3.54,3.58,9806
11-Nov-16,3.76,3.76,3.64,3.66,7117
10-Nov-16,3.67,3.79,3.59,3.74,10604
9-Nov-16,3.58,3.86,3.55,3.70,12696
8-Nov-16,3.76,3.78,3.70,3.75,921
7-Nov-16,3.57,3.75,3.57,3.71,14597
4-Nov-16,3.73,3.84,3.73,3.79,8973
3-Nov-16,3.72,3.80,3.68,3.68,1820
2-Nov-16,3.74,3.80,3.73,3.80,10365
1-Nov-16,3.73,3.86,3.73,3.86,2932
31-Oct-16,3.79,3.84,3.73,3.84,9318
28-Oct-16,3.84,3.85,3.80,3.80,1666
27-Oct-16,3.77,3.88,3.75,3.85,12300
26-Oct-16,3.76,3.94,3.76,3.85,2600
25-Oct-16,3.75,3.84,3.75,3.83,10798
24-Oct-16,3.85,3.85,3.79,3.83,3544
21-Oct-16,3.84,3.86,3.84,3.85,4200
20-Oct-16,3.85,3.85,3.85,3.85,110
19-Oct-16,3.87,3.87,3.86,3.86,4811
18-Oct-16,3.82,3.85,3.75,3.80,4507
17-Oct-16,3.84,3.85,3.77,3.83,4484
14-Oct-16,3.83,3.90,3.80,3.90,2375
13-Oct-16,3.81,3.93,3.75,3.93,9890
12-Oct-16,3.91,3.97,3.89,3.91,5284
11-Oct-16,3.98,3.98,3.90,3.95,4872
10-Oct-16,3.81,3.98,3.81,3.96,75227
7-Oct-16,3.80,3.90,3.80,3.90,4858
6-Oct-16,3.84,3.90,3.83,3.90,12762
5-Oct-16,3.84,3.90,3.84,3.90,3687
4-Oct-16,3.85,3.88,3.84,3.88,5050
3-Oct-16,3.80,3.88,3.80,3.88,3444
30-Sep-16,3.80,3.90,3.80,3.88,21089
29-Sep-16,3.79,3.85,3.72,3.78,9293
28-Sep-16,3.77,3.82,3.76,3.82,9622
27-Sep-16,3.73,3.85,3.71,3.83,18863
26-Sep-16,3.78,3.84,3.74,3.78,3470
23-Sep-16,3.81,3.84,3.74,3.77,5804
22-Sep-16,3.66,3.81,3.66,3.80,4692
21-Sep-16,3.53,3.82,3.53,3.70,63862
20-Sep-16,3.63,3.71,3.54,3.64,12865
19-Sep-16,3.81,3.81,3.70,3.75,5872
16-Sep-16,3.79,3.81,3.74,3.80,4290
15-Sep-16,3.77,3.84,3.70,3.81,21539
14-Sep-16,3.70,3.84,3.70,3.84,1340
13-Sep-16,3.78,3.97,3.78,3.84,10578
12-Sep-16,3.75,3.92,3.75,3.86,17777
9-Sep-16,4.03,4.03,3.90,3.90,7397
8-Sep-16,3.89,4.04,3.89,4.00,4364
7-Sep-16,3.86,3.99,3.86,3.99,9735
6-Sep-16,3.85,3.95,3.84,3.95,5986
2-Sep-16,3.97,3.97,3.87,3.89,11620
1-Sep-16,3.78,3.96,3.72,3.95,28113
31-Aug-16,3.73,3.95,3.71,3.84,20959
30-Aug-16,3.56,3.79,3.55,3.75,20279
29-Aug-16,3.51,3.58,3.46,3.49,44316
26-Aug-16,3.87,3.90,3.86,3.86,2000
25-Aug-16,3.87,3.92,3.57,3.89,13072
24-Aug-16,4.00,4.01,3.97,4.00,15275
23-Aug-16,4.01,4.02,3.97,4.01,8727
22-Aug-16,4.00,4.01,3.91,4.00,18826
19-Aug-16,3.99,4.00,3.80,3.99,26342
18-Aug-16,3.89,4.00,3.80,3.95,40262
17-Aug-16,3.57,3.70,3.49,3.69,90953
16-Aug-16,3.38,3.52,3.37,3.50,23588
15-Aug-16,3.25,3.42,3.23,3.31,27802
12-Aug-16,3.23,3.30,3.19,3.19,6603
11-Aug-16,3.07,3.24,3.07,3.24,19484
10-Aug-16,3.03,3.06,2.98,3.05,16001
9-Aug-16,2.93,3.05,2.92,2.98,45105
8-Aug-16,2.90,2.93,2.90,2.93,15763
5-Aug-16,2.90,2.90,2.87,2.89,1000
4-Aug-16,2.82,2.91,2.77,2.78,13690
3-Aug-16,2.86,2.89,2.75,2.81,6830
2-Aug-16,2.73,2.82,2.72,2.80,16140
1-Aug-16,2.70,2.94,2.65,2.80,107838
29-Jul-16,2.70,2.70,2.66,2.70,3900
28-Jul-16,2.66,2.68,2.65,2.67,3484
27-Jul-16,2.64,2.80,2.57,2.65,34920
26-Jul-16,2.63,2.67,2.60,2.66,14264
25-Jul-16,2.59,2.88,2.58,2.70,12057
22-Jul-16,2.56,2.65,2.56,2.65,3017
21-Jul-16,2.51,2.60,2.51,2.59,693
20-Jul-16,2.55,2.68,2.52,2.58,8092
19-Jul-16,2.58,2.58,2.44,2.52,22229
18-Jul-16,2.61,2.70,2.61,2.65,2200
15-Jul-16,2.62,2.69,2.60,2.69,20655
14-Jul-16,2.64,2.65,2.60,2.63,10209
13-Jul-16,2.61,2.63,2.52,2.61,20226
12-Jul-16,2.40,2.68,2.40,2.55,261872
11-Jul-16,2.31,2.44,2.27,2.33,14986
8-Jul-16,2.37,2.37,2.31,2.31,599
7-Jul-16,2.30,2.34,2.29,2.32,32016
6-Jul-16,2.28,2.34,2.27,2.34,44849
5-Jul-16,2.33,2.40,2.33,2.40,3110
1-Jul-16,2.39,2.41,2.33,2.41,4908
30-Jun-16,2.36,2.42,2.34,2.34,20832
29-Jun-16,2.40,2.42,2.36,2.42,2740
28-Jun-16,2.42,2.49,2.16,2.37,17383
27-Jun-16,2.35,2.50,2.33,2.33,43816
24-Jun-16,0.89,0.94,0.86,0.86,24509
23-Jun-16,0.85,0.88,0.85,0.88,3190
22-Jun-16,0.89,0.89,0.82,0.88,14051
21-Jun-16,0.85,0.92,0.83,0.87,10165
20-Jun-16,0.89,0.92,0.85,0.86,32254
17-Jun-16,0.98,0.98,0.87,0.95,1970
16-Jun-16,0.86,0.99,0.86,0.94,34350
15-Jun-16,0.87,0.88,0.85,0.88,11000
14-Jun-16,0.87,0.88,0.86,0.87,4300
13-Jun-16,0.88,0.90,0.87,0.87,7496
10-Jun-16,0.94,0.98,0.87,0.90,21105
9-Jun-16,0.90,0.95,0.88,0.91,7842
8-Jun-16,0.89,0.91,0.87,0.90,25513
7-Jun-16,0.85,0.91,0.83,0.88,43177
6-Jun-16,0.84,0.86,0.84,0.86,8437
3-Jun-16,0.89,0.90,0.86,0.87,16782
2-Jun-16,0.87,0.90,0.82,0.89,5713
1-Jun-16,0.86,0.91,0.85,0.89,42804
31-May-16,0.88,0.92,0.85,0.89,39174
27-May-16,0.92,0.97,0.87,0.90,15530
26-May-16,0.88,0.94,0.83,0.89,75755
25-May-16,0.89,0.93,0.86,0.93,51375
24-May-16,0.87,1.00,0.87,0.93,42171
23-May-16,0.85,0.90,0.84,0.90,15051
20-May-16,0.91,0.91,0.91,0.91,305
19-May-16,0.86,0.92,0.84,0.90,12952
18-May-16,0.86,0.92,0.86,0.90,9551
17-May-16,0.87,0.88,0.87,0.88,2705
16-May-16,0.85,0.88,0.82,0.88,5601
13-May-16,0.82,0.89,0.80,0.88,6700
12-May-16,0.82,0.88,0.82,0.88,10820
11-May-16,0.87,0.88,0.87,0.88,1000
10-May-16,0.86,0.88,0.84,0.88,2515
9-May-16,0.85,0.88,0.80,0.88,12005
6-May-16,0.85,0.90,0.84,0.88,3527
5-May-16,0.86,0.86,0.82,0.85,1463
4-May-16,0.85,0.85,0.85,0.85,325
3-May-16,0.84,0.85,0.84,0.85,2356
2-May-16,0.81,0.85,0.81,0.85,1050
29-Apr-16,0.80,0.87,0.80,0.85,2400
28-Apr-16,0.80,0.85,0.80,0.85,2100
27-Apr-16,0.87,0.87,0.85,0.85,710
26-Apr-16,0.86,0.86,0.83,0.83,4381
25-Apr-16,0.87,0.87,0.80,0.82,1290
22-Apr-16,0.82,0.87,0.82,0.86,4575
21-Apr-16,0.81,0.87,0.81,0.87,1900
20-Apr-16,0.82,0.86,0.82,0.86,500
19-Apr-16,0.82,0.92,0.82,0.87,6809
18-Apr-16,0.85,0.87,0.83,0.87,3300
15-Apr-16,0.88,0.88,0.85,0.85,305
14-Apr-16,0.77,0.88,0.74,0.86,61428
13-Apr-16,0.83,0.88,0.82,0.88,20406
12-Apr-16,0.87,0.87,0.86,0.87,2001
11-Apr-16,0.85,0.90,0.85,0.86,2700
8-Apr-16,0.88,0.88,0.87,0.88,354
7-Apr-16,0.87,0.87,0.84,0.87,4796
6-Apr-16,0.85,0.87,0.83,0.87,29244
5-Apr-16,0.86,0.88,0.84,0.85,9938
4-Apr-16,0.86,0.89,0.85,0.87,40211
