Date,Open,High,Low,Close,Volume
31-Mar-17,396.01,403.62,395.48,400.37,969419
30-Mar-17,393.08,398.00,391.80,397.14,482773
29-Mar-17,386.05,394.47,384.74,394.00,588899
28-Mar-17,384.22,386.77,383.26,384.86,403418
27-Mar-17,385.00,386.44,381.66,384.00,644319
24-Mar-17,390.66,392.43,384.08,388.09,1714621
23-Mar-17,386.95,392.92,385.78,388.05,718208
22-Mar-17,383.61,388.43,383.16,387.47,551101
21-Mar-17,385.85,391.39,382.53,383.41,833430
20-Mar-17,376.73,385.35,376.10,383.57,964616
17-Mar-17,378.51,378.80,374.78,375.64,1162607
16-Mar-17,383.87,384.02,376.54,378.17,743135
15-Mar-17,381.67,385.48,379.14,383.78,663047
14-Mar-17,380.49,385.15,379.19,381.38,817730
13-Mar-17,381.22,385.78,379.21,380.32,1226233
10-Mar-17,377.80,380.51,373.65,379.16,1249979
9-Mar-17,364.00,376.49,364.00,376.01,3220355
8-Mar-17,375.43,375.43,361.90,363.43,781476
7-Mar-17,377.58,378.36,374.02,375.24,264107
6-Mar-17,371.55,378.58,371.55,377.55,365352
3-Mar-17,371.18,375.81,370.88,375.69,331500
2-Mar-17,378.00,378.22,372.61,372.73,603259
1-Mar-17,375.98,381.20,373.44,377.99,490428
28-Feb-17,377.06,380.48,375.59,376.07,433881
27-Feb-17,379.87,381.26,376.84,377.24,356569
24-Feb-17,371.19,379.80,369.99,379.64,593720
23-Feb-17,373.33,375.00,368.57,370.85,569787
22-Feb-17,371.17,373.78,369.79,373.32,509389
21-Feb-17,373.04,377.00,368.60,371.34,695816
17-Feb-17,373.85,378.61,371.60,374.28,606218
16-Feb-17,375.00,384.11,369.66,373.18,1233788
15-Feb-17,379.79,383.61,378.75,380.76,457244
14-Feb-17,386.90,386.90,380.14,382.64,329605
13-Feb-17,388.30,388.30,384.81,386.69,339234
10-Feb-17,386.85,387.48,384.34,386.45,334052
9-Feb-17,384.43,387.13,382.52,385.80,471115
8-Feb-17,381.63,384.42,380.41,383.97,466569
7-Feb-17,381.87,383.55,380.32,380.64,383494
6-Feb-17,385.26,385.70,381.26,381.67,380452
3-Feb-17,385.39,386.40,384.09,384.82,286168
2-Feb-17,381.92,385.37,380.32,383.08,338974
1-Feb-17,385.00,386.80,380.88,381.30,471752
31-Jan-17,386.45,387.92,383.71,384.98,333620
30-Jan-17,381.89,386.44,380.88,386.37,313007
27-Jan-17,385.26,385.52,382.00,382.96,353009
26-Jan-17,383.29,387.33,382.55,384.21,507466
25-Jan-17,389.31,390.52,383.14,384.43,597835
24-Jan-17,386.50,389.97,384.06,389.66,401668
23-Jan-17,382.64,387.40,381.41,385.35,533226
20-Jan-17,381.99,383.46,380.56,383.27,397535
19-Jan-17,376.73,381.96,375.33,381.15,628243
18-Jan-17,377.12,378.90,375.05,376.73,353081
17-Jan-17,374.77,378.91,373.30,376.13,363203
13-Jan-17,373.64,377.20,372.20,374.95,260011
12-Jan-17,371.42,374.75,368.80,374.15,453389
11-Jan-17,369.18,374.80,368.69,371.58,547995
10-Jan-17,373.51,373.51,368.01,370.03,450017
9-Jan-17,370.49,375.15,368.17,373.19,568303
6-Jan-17,369.94,373.09,367.89,370.49,458371
5-Jan-17,366.21,370.00,363.18,369.75,492920
4-Jan-17,358.53,367.30,357.10,365.91,644347
3-Jan-17,357.29,360.48,355.18,358.72,411497
30-Dec-16,358.15,358.34,353.48,357.41,501346
29-Dec-16,353.42,358.93,351.89,357.09,372039
28-Dec-16,357.22,359.55,353.43,353.86,294428
27-Dec-16,356.78,359.65,355.11,356.72,294792
23-Dec-16,352.10,358.14,350.37,356.61,338162
22-Dec-16,350.96,351.76,347.99,351.04,628042
21-Dec-16,355.49,356.74,349.76,350.02,596249
20-Dec-16,355.17,357.45,352.64,354.74,513085
19-Dec-16,351.42,355.88,349.50,354.49,501963
16-Dec-16,351.25,354.97,349.06,350.00,988632
15-Dec-16,355.26,356.93,348.80,349.81,963884
14-Dec-16,361.25,364.30,354.07,354.59,872677
13-Dec-16,357.12,369.67,357.12,361.39,794308
12-Dec-16,344.93,359.44,343.55,357.22,895123
9-Dec-16,345.05,351.14,343.59,346.03,579061
8-Dec-16,338.47,348.33,337.91,346.46,647682
7-Dec-16,330.21,339.54,327.37,339.00,829113
6-Dec-16,333.61,342.81,329.18,329.49,948756
5-Dec-16,332.26,333.72,331.00,332.08,402770
2-Dec-16,327.76,335.08,327.76,330.68,601219
1-Dec-16,338.45,338.45,327.86,329.42,686354
30-Nov-16,342.50,343.15,336.34,338.76,922958
29-Nov-16,339.57,347.83,338.06,343.39,431992
28-Nov-16,338.50,343.68,338.50,341.23,422165
25-Nov-16,337.74,341.39,336.67,339.76,235573
23-Nov-16,343.73,344.14,336.73,338.21,494312
22-Nov-16,336.92,345.22,335.54,343.96,526558
21-Nov-16,334.35,337.60,333.43,335.94,380803
18-Nov-16,331.72,335.55,331.14,333.24,535257
17-Nov-16,335.07,337.60,330.34,331.14,444421
16-Nov-16,334.49,336.19,330.78,335.98,479712
15-Nov-16,331.12,343.81,330.20,336.34,1022360
14-Nov-16,323.56,331.00,314.55,330.20,897133
11-Nov-16,330.89,334.48,324.50,325.05,855101
10-Nov-16,347.32,347.32,321.85,330.80,1623411
9-Nov-16,347.19,350.44,343.11,347.93,806276
8-Nov-16,351.44,358.20,349.76,356.25,714456
7-Nov-16,343.81,350.73,341.72,350.14,761208
4-Nov-16,339.05,341.10,333.86,340.52,1570670
3-Nov-16,347.66,347.66,338.10,338.71,1061312
2-Nov-16,348.05,349.72,343.22,346.17,924608
1-Nov-16,357.78,357.78,347.45,347.71,891120
31-Oct-16,354.59,359.22,350.24,357.28,424912
28-Oct-16,352.25,355.66,350.35,354.97,470622
27-Oct-16,368.10,369.99,350.17,351.56,995298
26-Oct-16,372.79,373.95,367.36,367.91,382511
25-Oct-16,370.41,374.09,367.76,373.22,405456
24-Oct-16,371.99,374.26,369.16,372.11,323132
21-Oct-16,365.47,371.10,364.75,369.91,345271
20-Oct-16,369.45,369.80,365.53,367.98,612001
19-Oct-16,367.40,369.11,362.96,368.51,541023
18-Oct-16,362.38,368.44,362.08,365.94,332619
17-Oct-16,361.48,364.00,359.07,361.15,286255
14-Oct-16,363.51,366.28,360.56,361.72,286852
13-Oct-16,356.95,361.99,355.70,361.90,456314
12-Oct-16,353.00,360.25,351.70,359.90,449307
11-Oct-16,350.06,357.69,350.06,352.80,475073
10-Oct-16,352.12,358.69,351.36,356.42,491489
7-Oct-16,354.14,354.99,347.97,351.09,390354
6-Oct-16,348.16,354.40,345.92,353.15,510769
5-Oct-16,353.13,354.68,342.28,349.03,818445
4-Oct-16,357.36,357.36,351.09,353.12,527185
3-Oct-16,360.63,360.63,354.99,356.19,449494
30-Sep-16,360.30,363.48,357.32,360.25,611349
29-Sep-16,360.28,362.92,357.88,359.95,405900
28-Sep-16,363.85,363.96,360.47,362.38,478201
27-Sep-16,364.66,364.66,361.28,362.26,381745
26-Sep-16,358.09,363.05,357.43,362.40,359338
23-Sep-16,359.72,361.13,355.53,359.78,417742
22-Sep-16,359.55,361.81,358.62,360.38,465347
21-Sep-16,355.33,357.32,348.10,356.91,1038643
20-Sep-16,367.49,369.29,349.60,355.01,1445434
19-Sep-16,360.45,366.79,359.20,366.73,514187
16-Sep-16,359.82,361.50,356.38,358.21,1050412
15-Sep-16,353.96,362.53,352.51,361.79,501543
14-Sep-16,356.18,359.71,354.33,355.29,488286
13-Sep-16,363.01,364.92,356.51,356.91,624881
12-Sep-16,363.03,367.90,362.30,366.00,716706
9-Sep-16,371.47,372.51,362.57,362.78,731869
8-Sep-16,377.19,379.23,372.86,373.03,780928
7-Sep-16,378.05,378.92,376.29,378.20,580258
6-Sep-16,374.29,378.65,371.79,377.97,870853
2-Sep-16,367.43,371.81,367.43,371.46,641928
1-Sep-16,368.41,369.66,365.01,366.76,452277
31-Aug-16,367.72,370.91,366.97,368.65,571517
30-Aug-16,368.19,369.23,364.82,368.07,472360
29-Aug-16,365.92,369.90,365.16,368.34,437521
26-Aug-16,364.43,368.35,362.09,364.72,599686
25-Aug-16,364.60,366.78,362.53,363.98,342301
24-Aug-16,367.63,369.51,363.89,364.77,495420
23-Aug-16,369.03,370.00,367.05,368.14,324118
22-Aug-16,367.21,368.61,364.02,366.97,376302
19-Aug-16,363.52,367.49,361.43,366.31,373479
18-Aug-16,366.59,369.65,363.73,363.97,488895
17-Aug-16,367.88,367.88,362.67,367.00,558722
16-Aug-16,370.33,371.47,366.72,367.08,398650
15-Aug-16,368.76,372.72,368.50,371.33,329135
12-Aug-16,366.62,370.95,365.72,369.04,342178
11-Aug-16,367.51,369.28,362.75,367.75,524178
10-Aug-16,367.51,370.20,365.63,367.83,320289
9-Aug-16,364.15,369.91,363.67,367.23,490761
8-Aug-16,364.90,365.47,361.22,364.30,713394
5-Aug-16,371.95,373.72,365.24,365.50,661899
4-Aug-16,372.86,374.18,366.01,371.40,893535
3-Aug-16,372.24,375.69,368.63,370.34,742581
2-Aug-16,379.22,380.00,371.41,373.46,541057
1-Aug-16,373.93,379.29,372.95,378.97,434312
