Date,Open,High,Low,Close,Volume
31-Mar-17,20.59,20.74,20.45,20.67,168671
30-Mar-17,20.36,20.57,20.24,20.53,87674
29-Mar-17,19.95,20.32,19.90,20.31,75780
28-Mar-17,19.87,19.99,19.75,19.99,81776
27-Mar-17,19.73,20.04,19.73,19.93,93931
24-Mar-17,19.79,20.01,19.77,19.88,87936
23-Mar-17,19.57,19.94,19.55,19.79,82122
22-Mar-17,19.60,19.80,19.33,19.57,119755
21-Mar-17,19.68,19.87,19.55,19.58,134610
20-Mar-17,20.00,20.01,19.58,19.67,143920
17-Mar-17,19.73,20.19,19.73,20.02,386335
16-Mar-17,19.67,19.89,19.57,19.80,126331
15-Mar-17,19.30,19.76,19.27,19.71,167688
14-Mar-17,19.36,19.37,19.12,19.26,82683
13-Mar-17,19.37,19.50,19.20,19.37,91390
10-Mar-17,19.22,19.44,19.09,19.37,135690
9-Mar-17,19.55,19.69,19.07,19.15,152589
8-Mar-17,20.04,20.04,19.53,19.54,144200
7-Mar-17,20.30,20.38,20.02,20.05,155962
6-Mar-17,20.51,20.51,20.11,20.34,119007
3-Mar-17,20.64,20.72,20.12,20.48,142418
2-Mar-17,20.80,20.90,20.55,20.58,100975
1-Mar-17,20.82,20.93,20.65,20.81,123299
28-Feb-17,20.95,20.95,20.80,20.81,163471
27-Feb-17,20.88,21.09,20.75,20.88,126356
24-Feb-17,20.74,20.97,20.68,20.87,125682
23-Feb-17,20.74,20.84,20.50,20.74,92846
22-Feb-17,20.52,20.70,20.24,20.69,121449
21-Feb-17,20.40,20.67,20.22,20.61,152365
17-Feb-17,20.33,20.41,20.07,20.37,178760
16-Feb-17,19.95,20.29,19.76,20.26,136817
15-Feb-17,19.99,20.03,19.70,19.99,123587
14-Feb-17,20.23,20.23,19.86,20.17,119891
13-Feb-17,20.03,20.51,19.94,20.46,171451
10-Feb-17,19.68,20.03,19.68,20.01,91779
9-Feb-17,19.48,19.71,19.48,19.67,75459
8-Feb-17,19.56,19.60,19.36,19.50,112726
7-Feb-17,19.62,19.70,19.48,19.56,108331
6-Feb-17,19.67,19.74,19.52,19.59,75199
3-Feb-17,19.58,19.72,19.52,19.68,77820
2-Feb-17,19.42,19.69,19.35,19.50,68289
1-Feb-17,19.65,19.89,19.39,19.41,123124
31-Jan-17,19.61,19.85,19.60,19.64,107615
30-Jan-17,19.46,19.75,19.25,19.60,148553
27-Jan-17,19.71,19.72,19.47,19.53,78796
26-Jan-17,19.72,19.86,19.70,19.72,64334
25-Jan-17,19.86,19.98,19.69,19.75,94773
24-Jan-17,19.74,19.90,19.65,19.86,98370
23-Jan-17,19.69,19.84,19.59,19.83,90485
20-Jan-17,19.64,19.73,19.54,19.66,141934
19-Jan-17,19.93,19.93,19.57,19.64,157240
18-Jan-17,20.06,20.12,19.90,19.99,110788
17-Jan-17,20.00,20.21,20.00,20.14,108084
13-Jan-17,19.94,20.14,19.91,20.00,71300
12-Jan-17,20.04,20.14,19.73,19.95,114127
11-Jan-17,19.87,20.13,19.87,20.02,133264
10-Jan-17,19.94,20.04,19.81,19.91,105084
9-Jan-17,20.25,20.33,19.93,19.93,150968
6-Jan-17,20.42,20.49,20.13,20.23,115880
5-Jan-17,20.46,20.58,20.11,20.44,171818
4-Jan-17,20.21,20.68,20.18,20.56,196927
3-Jan-17,20.34,20.39,19.94,20.24,226270
30-Dec-16,19.86,20.10,19.72,20.10,192488
29-Dec-16,19.40,19.84,19.37,19.75,153363
