Date,Open,High,Low,Close,Volume
31-Mar-17,30.95,30.95,30.95,30.95,653
30-Mar-17,30.64,30.64,30.64,30.64,527
29-Mar-17,30.53,30.80,30.51,30.80,519
28-Mar-17,31.44,31.44,31.44,31.44,411
27-Mar-17,31.41,31.41,31.41,31.41,506
24-Mar-17,-,-,-,30.76,0
23-Mar-17,30.76,30.76,30.76,30.76,275
22-Mar-17,31.18,31.20,30.51,30.90,1216
21-Mar-17,31.61,32.02,31.10,31.10,1457
20-Mar-17,-,-,-,30.57,0
17-Mar-17,30.09,30.57,30.09,30.57,2931
16-Mar-17,30.49,30.49,30.49,30.49,761
15-Mar-17,30.18,30.18,30.18,30.18,439
14-Mar-17,29.95,29.98,29.95,29.98,1514
13-Mar-17,-,-,-,29.91,0
10-Mar-17,30.05,30.05,29.91,29.91,1095
9-Mar-17,29.94,30.04,29.90,30.04,6256
8-Mar-17,29.64,30.00,29.64,29.66,2324
7-Mar-17,30.03,30.15,30.03,30.15,1695
6-Mar-17,30.10,30.10,30.05,30.05,1295
3-Mar-17,30.78,30.78,29.75,29.88,84627
2-Mar-17,31.20,31.20,30.56,30.56,2701
1-Mar-17,31.63,31.67,31.59,31.59,1347
28-Feb-17,30.86,31.36,30.86,31.05,5953
27-Feb-17,31.50,31.50,31.38,31.38,28827
24-Feb-17,-,-,-,31.90,0
23-Feb-17,-,-,-,31.90,0
22-Feb-17,31.87,31.90,31.86,31.90,805
21-Feb-17,32.15,32.15,31.21,31.90,2209
17-Feb-17,32.10,32.10,31.11,31.68,807
16-Feb-17,31.60,31.60,31.60,31.60,327
15-Feb-17,31.61,31.94,31.61,31.94,354
14-Feb-17,32.16,32.16,31.86,31.86,534
13-Feb-17,32.24,32.27,32.20,32.20,794
10-Feb-17,31.90,32.00,31.90,31.99,573
9-Feb-17,31.55,31.94,31.50,31.66,3571
8-Feb-17,31.03,31.17,31.00,31.17,522
7-Feb-17,31.64,31.64,31.64,31.64,264
6-Feb-17,31.32,31.33,31.24,31.26,1272
3-Feb-17,31.39,31.39,30.93,30.93,1584
2-Feb-17,31.00,31.71,31.00,31.71,1895
1-Feb-17,31.28,31.36,31.00,31.14,1522
31-Jan-17,30.97,31.43,30.97,31.43,5224
30-Jan-17,31.67,31.67,31.06,31.06,610
27-Jan-17,31.27,31.50,31.10,31.41,2326
26-Jan-17,31.10,31.42,31.00,31.00,4151
25-Jan-17,31.00,31.70,31.00,31.16,1201
24-Jan-17,31.00,31.16,30.90,31.00,21412
23-Jan-17,30.73,31.25,30.25,31.25,1412
20-Jan-17,30.88,31.44,30.75,31.05,7754
19-Jan-17,30.40,31.47,30.30,30.75,6567
18-Jan-17,30.94,31.10,30.11,31.10,3027
17-Jan-17,30.81,30.81,30.81,30.81,337
13-Jan-17,30.67,31.05,30.67,31.05,2024
12-Jan-17,30.77,31.08,30.10,30.66,7144
11-Jan-17,30.89,30.90,30.70,30.71,2824
10-Jan-17,31.45,31.45,30.23,30.94,4172
9-Jan-17,30.72,31.21,30.62,31.05,4429
6-Jan-17,30.86,31.21,30.50,30.82,9216
5-Jan-17,30.80,31.65,30.70,30.70,3545
4-Jan-17,30.45,31.96,27.57,30.90,5480
3-Jan-17,30.18,31.85,30.00,31.78,1332
30-Dec-16,31.20,32.39,31.20,31.73,2614
29-Dec-16,31.20,31.20,31.16,31.16,956
28-Dec-16,30.86,32.30,30.86,31.50,1446
27-Dec-16,30.81,31.16,30.81,30.81,5366
23-Dec-16,30.84,31.11,30.84,30.96,7747
22-Dec-16,30.70,31.20,29.98,30.85,13127
21-Dec-16,30.64,31.44,30.64,31.02,6556
20-Dec-16,30.54,31.40,30.54,30.80,13623
19-Dec-16,30.40,30.94,30.12,30.70,4127
