Date,Open,High,Low,Close,Volume
31-Mar-17,20.44,20.72,20.44,20.72,1935
30-Mar-17,-,-,-,20.06,0
29-Mar-17,-,-,-,20.06,0
28-Mar-17,-,-,-,20.06,0
27-Mar-17,20.06,20.06,20.06,20.06,135
24-Mar-17,20.00,20.00,20.00,20.00,288
23-Mar-17,-,-,-,20.05,0
22-Mar-17,-,-,-,20.05,0
21-Mar-17,-,-,-,20.05,0
20-Mar-17,-,-,-,20.05,0
17-Mar-17,20.29,20.29,20.05,20.05,712
16-Mar-17,20.00,20.29,20.00,20.00,2759
15-Mar-17,20.45,20.45,20.05,20.05,780
14-Mar-17,20.00,20.00,20.00,20.00,305
13-Mar-17,20.50,20.50,20.00,20.00,2199
10-Mar-17,20.50,20.50,20.50,20.50,972
9-Mar-17,-,-,-,20.00,0
8-Mar-17,20.26,20.26,20.00,20.00,386
7-Mar-17,20.07,20.07,20.07,20.07,575
6-Mar-17,20.00,20.09,20.00,20.07,639
3-Mar-17,20.00,20.00,20.00,20.00,655
2-Mar-17,20.68,20.68,20.67,20.67,329
1-Mar-17,-,-,-,20.48,0
28-Feb-17,-,-,-,20.48,0
27-Feb-17,20.02,20.48,20.01,20.48,1523
24-Feb-17,20.50,20.50,20.50,20.50,146
23-Feb-17,20.72,20.72,20.62,20.62,532
22-Feb-17,20.67,20.67,20.67,20.67,389
21-Feb-17,20.15,20.72,20.15,20.72,781
17-Feb-17,19.97,19.97,19.97,19.97,205
16-Feb-17,19.70,19.93,19.70,19.93,602
15-Feb-17,19.12,20.02,19.12,20.02,776
14-Feb-17,19.11,19.11,19.11,19.11,310
13-Feb-17,19.95,19.95,19.95,19.95,101
10-Feb-17,19.07,19.47,19.07,19.17,1774
9-Feb-17,19.95,19.95,19.07,19.47,3866
8-Feb-17,-,-,-,18.96,0
7-Feb-17,18.89,18.96,18.87,18.96,6691
6-Feb-17,18.76,18.93,18.75,18.93,2499
3-Feb-17,-,-,-,18.75,0
2-Feb-17,-,-,-,18.75,0
1-Feb-17,18.75,18.75,18.73,18.75,8124
31-Jan-17,18.75,18.94,18.75,18.94,1502
30-Jan-17,18.75,18.98,18.75,18.98,1441
27-Jan-17,18.67,18.75,18.66,18.70,5823
26-Jan-17,18.55,18.70,18.55,18.70,261
25-Jan-17,-,-,-,18.62,0
24-Jan-17,-,-,-,18.62,0
23-Jan-17,18.55,18.71,18.55,18.62,9416
20-Jan-17,18.71,18.71,18.71,18.71,311
19-Jan-17,18.62,18.62,18.55,18.62,895
18-Jan-17,18.60,18.60,18.42,18.55,5437
17-Jan-17,18.53,18.78,18.53,18.56,3804
13-Jan-17,18.95,18.95,18.66,18.66,423
12-Jan-17,18.55,18.75,18.51,18.59,1400
11-Jan-17,18.60,18.60,18.60,18.60,211
10-Jan-17,18.78,18.85,18.78,18.85,420
9-Jan-17,18.50,18.72,18.49,18.50,2100
6-Jan-17,18.53,18.91,18.52,18.88,3233
