Date,Open,High,Low,Close,Volume
31-Mar-17,31.40,31.70,31.22,31.53,437447
30-Mar-17,31.19,31.43,31.06,31.40,479024
29-Mar-17,31.13,31.39,31.00,31.20,1745678
28-Mar-17,30.85,31.26,30.72,31.17,636088
27-Mar-17,30.72,30.98,30.62,30.88,391668
24-Mar-17,31.20,31.35,30.93,30.95,346344
23-Mar-17,31.07,31.65,31.03,31.17,550567
22-Mar-17,31.08,31.16,30.51,31.07,600203
21-Mar-17,31.28,31.38,30.86,30.87,1051784
20-Mar-17,31.35,31.46,31.12,31.27,521106
17-Mar-17,31.14,31.51,30.98,31.31,1457930
16-Mar-17,30.92,31.07,30.83,31.03,560897
15-Mar-17,30.41,31.05,30.36,31.01,1028181
14-Mar-17,29.94,30.29,29.71,30.25,522072
13-Mar-17,30.06,30.23,29.79,29.95,537751
10-Mar-17,30.15,30.31,29.78,30.00,479775
9-Mar-17,30.29,30.56,29.80,29.91,525937
8-Mar-17,30.83,30.92,30.26,30.29,613457
7-Mar-17,30.99,31.08,30.75,30.97,586258
6-Mar-17,31.04,31.17,30.74,30.99,569183
3-Mar-17,31.44,31.44,30.80,31.08,717993
2-Mar-17,32.00,32.05,31.30,31.34,615587
1-Mar-17,32.60,32.60,31.79,32.00,715404
28-Feb-17,32.29,32.29,31.64,31.78,1032308
27-Feb-17,32.06,32.63,31.98,32.29,606018
24-Feb-17,31.95,32.06,31.75,32.01,338282
23-Feb-17,32.10,32.24,31.74,32.03,380398
22-Feb-17,32.34,32.41,31.79,31.89,543999
21-Feb-17,31.98,32.39,31.79,32.28,542372
17-Feb-17,32.36,32.36,31.63,31.78,1256963
16-Feb-17,32.11,32.56,32.04,32.36,633816
15-Feb-17,31.78,32.28,31.59,32.15,655961
14-Feb-17,31.70,32.00,31.39,31.97,420246
13-Feb-17,31.70,31.88,31.60,31.70,497648
10-Feb-17,31.54,31.68,31.41,31.65,318215
9-Feb-17,31.48,31.69,31.39,31.49,479844
8-Feb-17,31.29,31.45,31.10,31.43,259363
7-Feb-17,31.54,31.72,31.23,31.33,431710
6-Feb-17,31.42,31.61,31.30,31.44,343994
3-Feb-17,31.44,31.67,31.29,31.51,514353
2-Feb-17,30.87,31.35,30.73,31.25,793950
1-Feb-17,31.17,31.45,30.66,30.88,725063
31-Jan-17,31.10,31.32,30.90,31.13,704239
30-Jan-17,31.40,31.40,30.85,31.12,597237
27-Jan-17,31.76,31.88,31.20,31.45,396981
26-Jan-17,31.54,31.87,31.52,31.81,506881
25-Jan-17,31.51,31.70,31.40,31.56,399891
24-Jan-17,31.19,31.58,31.19,31.52,590548
23-Jan-17,31.03,31.19,30.84,31.15,466196
20-Jan-17,30.83,31.29,30.83,30.99,570140
19-Jan-17,31.35,31.42,30.68,30.90,851638
18-Jan-17,31.74,31.92,31.53,31.89,1097405
17-Jan-17,31.57,31.80,31.33,31.72,904208
13-Jan-17,31.38,31.70,31.38,31.63,504699
12-Jan-17,31.16,31.36,30.80,31.34,578659
11-Jan-17,30.83,31.26,30.64,31.18,1123371
10-Jan-17,30.51,30.85,30.43,30.61,797698
9-Jan-17,30.97,31.02,30.49,30.54,984911
6-Jan-17,31.32,31.38,30.88,30.92,1327835
5-Jan-17,32.10,32.10,31.23,31.36,1088014
4-Jan-17,32.24,32.46,32.04,32.23,1133676
3-Jan-17,32.00,32.30,31.74,32.10,798955
30-Dec-16,31.61,32.00,31.46,31.74,978847
29-Dec-16,30.98,31.55,30.96,31.55,757375
28-Dec-16,31.06,31.23,30.81,30.96,543312
27-Dec-16,31.01,31.12,30.67,30.97,344818
23-Dec-16,30.90,31.03,30.72,30.97,528236
22-Dec-16,30.65,30.96,30.47,30.84,652972
21-Dec-16,30.91,31.18,30.62,30.67,730469
20-Dec-16,30.80,31.03,30.61,30.91,673664
19-Dec-16,30.76,31.05,30.71,30.75,878286
16-Dec-16,30.53,30.87,30.38,30.56,1530675
15-Dec-16,30.34,30.73,30.20,30.33,879692
14-Dec-16,30.66,30.95,30.24,30.41,1192776
13-Dec-16,30.89,30.89,30.43,30.69,842595
12-Dec-16,30.66,30.87,30.47,30.80,731248
9-Dec-16,30.53,30.78,30.47,30.64,1252726
8-Dec-16,30.13,30.67,30.08,30.47,1283518
7-Dec-16,29.97,30.51,29.97,30.29,1089806
6-Dec-16,29.42,30.29,29.42,29.93,1561824
5-Dec-16,29.33,29.56,29.20,29.42,947309
2-Dec-16,28.82,29.38,28.79,29.18,1195717
1-Dec-16,28.89,29.28,28.64,28.75,951737
30-Nov-16,29.27,29.43,28.96,29.00,1642904
29-Nov-16,28.94,29.46,28.94,29.45,729217
28-Nov-16,29.16,29.36,28.90,28.92,724903
25-Nov-16,29.07,29.32,28.93,29.19,280711
23-Nov-16,28.78,28.97,28.57,28.94,524241
22-Nov-16,28.72,29.09,28.72,28.95,801300
21-Nov-16,28.79,28.93,28.50,28.64,1009618
18-Nov-16,28.69,28.75,28.46,28.56,940232
17-Nov-16,29.12,29.19,28.50,28.54,807937
16-Nov-16,28.85,29.02,28.73,28.89,1158458
15-Nov-16,28.59,28.91,28.38,28.77,1108969
14-Nov-16,27.73,28.95,27.70,28.74,1958881
11-Nov-16,27.08,27.88,26.82,27.68,1121252
10-Nov-16,26.95,27.00,26.50,26.65,1058694
9-Nov-16,26.50,27.32,26.06,27.11,1073345
