Date,Open,High,Low,Close,Volume
31-Mar-17,43.40,43.80,43.00,43.80,29714
30-Mar-17,43.89,43.89,43.89,43.89,20024
29-Mar-17,42.17,42.17,42.17,42.17,527
28-Mar-17,-,-,-,43.90,0
27-Mar-17,-,-,-,43.90,0
24-Mar-17,43.90,43.90,43.90,43.90,250
23-Mar-17,-,-,-,41.51,0
22-Mar-17,41.51,41.51,41.51,41.51,204
21-Mar-17,-,-,-,42.60,0
20-Mar-17,-,-,-,42.60,0
17-Mar-17,42.60,42.60,42.60,42.60,539
16-Mar-17,-,-,-,41.46,0
15-Mar-17,41.65,41.65,41.46,41.46,832
14-Mar-17,-,-,-,43.40,0
13-Mar-17,41.34,43.40,41.20,43.40,1147
10-Mar-17,-,-,-,42.80,0
9-Mar-17,41.05,42.80,41.05,42.80,1795
8-Mar-17,-,-,-,43.80,0
7-Mar-17,-,-,-,43.80,0
6-Mar-17,-,-,-,43.80,0
3-Mar-17,-,-,-,43.80,0
2-Mar-17,-,-,-,43.80,0
1-Mar-17,-,-,-,43.80,0
28-Feb-17,42.30,43.80,42.30,43.80,982
27-Feb-17,-,-,-,44.00,0
24-Feb-17,-,-,-,44.00,0
23-Feb-17,-,-,-,44.00,0
22-Feb-17,44.00,44.00,44.00,44.00,6855
21-Feb-17,-,-,-,44.00,0
17-Feb-17,-,-,-,44.00,0
16-Feb-17,-,-,-,44.00,0
15-Feb-17,-,-,-,44.00,0
14-Feb-17,-,-,-,44.00,0
13-Feb-17,-,-,-,44.00,0
10-Feb-17,44.00,44.00,44.00,44.00,498
9-Feb-17,44.00,44.00,44.00,44.00,211
8-Feb-17,43.00,43.00,42.68,42.68,640
7-Feb-17,-,-,-,44.00,0
6-Feb-17,-,-,-,44.00,0
3-Feb-17,-,-,-,44.00,0
2-Feb-17,-,-,-,44.00,0
1-Feb-17,-,-,-,44.00,0
31-Jan-17,42.93,44.00,42.93,44.00,420
30-Jan-17,-,-,-,42.14,0
27-Jan-17,42.14,42.14,42.14,42.14,302
26-Jan-17,42.00,42.00,42.00,42.00,267
25-Jan-17,-,-,-,42.15,0
24-Jan-17,-,-,-,42.15,0
23-Jan-17,-,-,-,42.15,0
19-Jan-17,42.15,42.15,42.15,42.15,1038
18-Jan-17,40.52,45.99,40.52,43.60,1555
17-Jan-17,42.00,42.00,42.00,42.00,164
13-Jan-17,42.20,42.20,42.00,42.00,373
12-Jan-17,42.00,42.00,42.00,42.00,1038
10-Jan-17,46.00,46.00,42.05,42.05,2207
5-Jan-17,43.10,43.10,43.10,43.10,150
3-Jan-17,43.00,46.01,42.87,46.01,1092
30-Dec-16,46.98,47.37,46.00,47.37,600
29-Dec-16,42.31,45.00,42.31,45.00,827
28-Dec-16,44.44,44.95,42.30,44.95,638
27-Dec-16,45.90,45.90,43.00,43.00,6005
23-Dec-16,44.37,46.05,44.00,44.00,1302
22-Dec-16,45.80,45.94,44.31,44.31,1152
21-Dec-16,42.00,44.05,42.00,43.00,2525
19-Dec-16,42.47,45.97,42.47,43.83,1275
16-Dec-16,43.35,44.30,43.35,44.30,800
15-Dec-16,44.15,44.74,44.15,44.74,326
13-Dec-16,47.00,47.00,44.03,46.00,6712
12-Dec-16,44.51,47.76,43.26,47.46,11682
30-Nov-16,47.00,47.89,46.05,47.89,468
29-Nov-16,44.00,47.95,44.00,47.95,1829
28-Nov-16,47.94,47.94,47.94,47.94,388
25-Nov-16,44.90,44.90,42.01,44.70,559
21-Nov-16,44.00,45.49,44.00,45.49,16049
16-Nov-16,44.94,44.94,44.94,44.94,309
15-Nov-16,39.51,43.00,39.51,43.00,730
14-Nov-16,43.90,43.90,43.90,43.90,123
11-Nov-16,39.83,43.00,39.83,43.00,560
7-Nov-16,44.00,47.99,43.96,47.99,841
4-Nov-16,44.85,44.85,44.85,44.85,125
26-Oct-16,44.00,45.00,44.00,44.85,849
24-Oct-16,40.51,44.00,40.00,44.00,514
21-Oct-16,44.46,44.46,44.46,44.46,105
18-Oct-16,43.00,43.00,43.00,43.00,537
17-Oct-16,44.00,44.00,44.00,44.00,270
14-Oct-16,38.01,43.49,38.01,42.00,6421
13-Oct-16,47.00,48.00,41.85,41.88,12298
12-Oct-16,43.50,54.45,43.50,48.00,10483
6-Oct-16,41.88,43.78,41.88,43.78,322
30-Sep-16,43.74,43.99,43.74,43.82,401
