Date,Open,High,Low,Close,Volume
31-Mar-17,4.78,4.78,4.72,4.77,4387
30-Mar-17,4.64,4.80,4.64,4.75,21051
29-Mar-17,4.71,4.74,4.61,4.63,9194
28-Mar-17,4.88,4.88,4.61,4.69,9266
27-Mar-17,4.70,4.70,4.64,4.67,11425
24-Mar-17,4.71,4.75,4.65,4.69,5667
23-Mar-17,4.70,4.75,4.66,4.70,11523
22-Mar-17,4.74,4.76,4.65,4.67,4884
21-Mar-17,4.81,4.81,4.59,4.74,20329
20-Mar-17,4.90,4.94,4.77,4.81,28996
17-Mar-17,4.50,5.19,4.37,5.19,100929
16-Mar-17,4.50,4.59,4.47,4.48,24142
15-Mar-17,4.54,4.62,4.38,4.50,43174
14-Mar-17,4.63,4.63,4.45,4.49,34173
13-Mar-17,4.68,4.77,4.43,4.43,51991
10-Mar-17,4.67,4.70,4.67,4.68,7926
9-Mar-17,4.67,4.67,4.65,4.66,10083
8-Mar-17,4.72,4.74,4.65,4.67,10462
7-Mar-17,4.70,4.75,4.68,4.69,11969
6-Mar-17,4.78,4.80,4.70,4.70,23546
3-Mar-17,4.80,4.80,4.80,4.80,550
2-Mar-17,4.78,4.81,4.76,4.81,3925
1-Mar-17,4.87,4.88,4.80,4.81,14943
28-Feb-17,4.82,4.88,4.78,4.83,12235
27-Feb-17,4.76,4.87,4.70,4.81,30675
24-Feb-17,4.67,4.75,4.65,4.69,13341
23-Feb-17,4.67,4.67,4.66,4.67,4938
22-Feb-17,4.68,4.68,4.57,4.67,20470
21-Feb-17,4.56,4.62,4.51,4.51,9966
17-Feb-17,4.51,4.60,4.51,4.59,11292
16-Feb-17,4.55,4.58,4.53,4.54,12258
15-Feb-17,4.55,4.57,4.51,4.57,5344
14-Feb-17,4.56,4.60,4.56,4.56,9747
13-Feb-17,4.57,4.58,4.55,4.55,3824
10-Feb-17,4.55,4.60,4.51,4.60,902
9-Feb-17,4.53,4.57,4.53,4.54,13865
8-Feb-17,4.63,4.63,4.48,4.56,10253
7-Feb-17,4.51,4.56,4.51,4.56,1762
6-Feb-17,4.60,4.60,4.49,4.54,27523
3-Feb-17,4.65,4.69,4.53,4.69,15945
2-Feb-17,4.50,4.58,4.46,4.54,16826
1-Feb-17,4.52,4.59,4.52,4.56,5585
31-Jan-17,4.46,4.63,4.41,4.61,9061
30-Jan-17,4.51,4.51,4.45,4.46,7060
27-Jan-17,4.52,4.61,4.48,4.53,7105
26-Jan-17,4.51,4.57,4.51,4.57,4842
25-Jan-17,4.61,4.62,4.61,4.61,4025
24-Jan-17,4.50,4.57,4.46,4.56,18828
23-Jan-17,4.55,4.55,4.48,4.51,11067
20-Jan-17,4.56,4.56,4.48,4.50,9913
19-Jan-17,4.52,4.54,4.51,4.53,9956
18-Jan-17,4.59,4.60,4.54,4.56,15934
17-Jan-17,4.64,4.64,4.53,4.57,3820
13-Jan-17,4.51,4.69,4.51,4.69,2587
12-Jan-17,4.48,4.62,4.48,4.62,3795
11-Jan-17,4.50,4.53,4.50,4.52,23947
10-Jan-17,4.50,4.50,4.50,4.50,1156
9-Jan-17,4.35,4.53,4.35,4.48,39628
6-Jan-17,4.56,4.56,4.40,4.40,21190
