Stock,Date,Open,High,Low,Close,Volume
alsk,4-Apr-16,1.87,1.90,1.78,1.85,191711
alsk,5-Apr-16,1.83,1.90,1.79,1.90,85052
alsk,6-Apr-16,1.87,1.88,1.80,1.83,46641
alsk,7-Apr-16,1.84,1.89,1.81,1.86,64436
alsk,8-Apr-16,1.87,1.89,1.82,1.88,31579
alsk,11-Apr-16,1.90,1.91,1.85,1.90,62345
alsk,12-Apr-16,1.90,1.97,1.88,1.93,106927
alsk,13-Apr-16,1.91,1.94,1.88,1.90,19950
alsk,14-Apr-16,1.92,1.94,1.83,1.84,16191
alsk,15-Apr-16,1.85,1.93,1.84,1.87,29573
alsk,18-Apr-16,1.84,1.89,1.83,1.85,166511
alsk,19-Apr-16,1.85,1.91,1.85,1.87,39090
alsk,20-Apr-16,1.86,1.90,1.86,1.89,30141
alsk,21-Apr-16,1.88,1.89,1.81,1.87,10891
alsk,22-Apr-16,1.84,1.88,1.75,1.79,69211
alsk,25-Apr-16,1.80,1.84,1.78,1.82,55169
alsk,26-Apr-16,1.80,1.83,1.76,1.78,38690
alsk,27-Apr-16,1.78,1.81,1.78,1.80,20981
alsk,28-Apr-16,1.81,1.81,1.76,1.77,227546
alsk,29-Apr-16,1.78,1.81,1.77,1.81,13967
alsk,2-May-16,1.78,1.79,1.77,1.77,29289
alsk,3-May-16,1.75,1.78,1.75,1.77,59327
alsk,4-May-16,1.75,1.84,1.75,1.84,57803
alsk,5-May-16,1.80,1.82,1.77,1.77,21803
alsk,6-May-16,1.75,1.79,1.74,1.76,33976
alsk,9-May-16,1.66,1.87,1.66,1.77,90120
alsk,10-May-16,1.73,1.83,1.73,1.82,40690
alsk,11-May-16,1.82,1.82,1.77,1.81,36731
alsk,12-May-16,1.80,1.82,1.78,1.79,84090
alsk,13-May-16,1.80,1.82,1.80,1.81,45393
alsk,16-May-16,1.82,1.83,1.80,1.83,42294
alsk,17-May-16,1.84,1.87,1.80,1.87,109135
alsk,18-May-16,1.87,1.88,1.82,1.83,48102
alsk,19-May-16,1.88,1.88,1.80,1.80,22792
alsk,20-May-16,1.80,1.86,1.79,1.83,82421
alsk,23-May-16,1.80,1.88,1.80,1.83,32516
alsk,24-May-16,1.81,1.87,1.80,1.83,11880
alsk,25-May-16,1.81,1.87,1.80,1.85,16431
alsk,26-May-16,1.84,1.85,1.81,1.82,27299
alsk,27-May-16,1.80,1.80,1.73,1.75,59282
alsk,31-May-16,1.74,1.82,1.74,1.76,46969
alsk,1-Jun-16,1.74,1.82,1.74,1.80,176436
alsk,2-Jun-16,1.81,1.81,1.76,1.76,44227
alsk,3-Jun-16,1.74,1.80,1.73,1.76,56034
alsk,6-Jun-16,1.76,1.80,1.70,1.73,74055
alsk,7-Jun-16,1.71,1.84,1.71,1.81,162428
alsk,8-Jun-16,1.84,1.84,1.78,1.80,24078
alsk,9-Jun-16,1.77,1.81,1.72,1.76,102593
alsk,10-Jun-16,1.75,1.78,1.72,1.76,36591
alsk,13-Jun-16,1.74,1.76,1.73,1.73,58770
alsk,14-Jun-16,1.74,1.76,1.70,1.70,91712
alsk,15-Jun-16,1.71,1.75,1.70,1.73,22967
alsk,16-Jun-16,1.72,1.74,1.69,1.69,51827
alsk,17-Jun-16,1.67,1.71,1.66,1.66,65824
alsk,20-Jun-16,1.66,1.71,1.66,1.66,126131
alsk,21-Jun-16,1.66,1.70,1.66,1.66,59796
alsk,22-Jun-16,1.69,1.69,1.65,1.65,75689
alsk,23-Jun-16,1.67,1.72,1.66,1.69,42940
alsk,24-Jun-16,1.70,1.71,1.66,1.68,25337
alsk,27-Jun-16,1.69,1.71,1.64,1.66,46985
alsk,28-Jun-16,1.68,1.71,1.67,1.67,12162
alsk,29-Jun-16,1.68,1.72,1.67,1.68,39675
alsk,30-Jun-16,1.68,1.72,1.66,1.70,73881
alsk,1-Jul-16,1.71,1.73,1.65,1.71,79219
alsk,5-Jul-16,1.67,1.73,1.67,1.69,37268
alsk,6-Jul-16,1.67,1.73,1.65,1.67,66135
alsk,7-Jul-16,1.66,1.73,1.66,1.68,33891
alsk,8-Jul-16,1.69,1.71,1.68,1.70,24088
alsk,11-Jul-16,1.68,1.70,1.65,1.68,95204
alsk,12-Jul-16,1.67,1.71,1.67,1.70,51121
alsk,13-Jul-16,1.69,1.72,1.69,1.70,32514
alsk,14-Jul-16,1.68,1.71,1.65,1.70,62973
alsk,15-Jul-16,1.69,1.73,1.69,1.70,81512
alsk,18-Jul-16,1.69,1.74,1.65,1.69,105440
alsk,19-Jul-16,1.68,1.74,1.68,1.70,66401
alsk,20-Jul-16,1.69,1.73,1.67,1.68,62514
alsk,21-Jul-16,1.68,1.72,1.67,1.68,26534
alsk,22-Jul-16,1.69,1.72,1.68,1.68,23090
alsk,25-Jul-16,1.68,1.70,1.65,1.65,64114
alsk,26-Jul-16,1.65,1.66,1.64,1.64,67589
alsk,27-Jul-16,1.64,1.68,1.64,1.64,74382
alsk,28-Jul-16,1.66,1.69,1.64,1.68,73326
alsk,29-Jul-16,1.68,1.70,1.65,1.66,83196
alsk,1-Aug-16,1.68,1.70,1.66,1.67,30223
alsk,2-Aug-16,1.65,1.68,1.64,1.65,94079
alsk,3-Aug-16,1.65,1.69,1.65,1.68,34602
alsk,4-Aug-16,1.69,1.71,1.66,1.70,105610
alsk,5-Aug-16,1.72,1.75,1.68,1.72,224771
alsk,8-Aug-16,1.71,1.72,1.67,1.68,100237
alsk,9-Aug-16,1.67,1.70,1.67,1.69,118486
alsk,10-Aug-16,1.68,1.71,1.67,1.69,83787
alsk,11-Aug-16,1.68,1.72,1.67,1.70,82481
alsk,12-Aug-16,1.70,1.71,1.67,1.70,64813
alsk,15-Aug-16,1.71,1.74,1.71,1.71,79786
alsk,16-Aug-16,1.72,1.73,1.70,1.71,45991
alsk,17-Aug-16,1.71,1.72,1.68,1.71,57631
alsk,18-Aug-16,1.70,1.73,1.69,1.70,44793
alsk,19-Aug-16,1.68,1.71,1.68,1.68,32569
alsk,22-Aug-16,1.68,1.70,1.66,1.66,57646
alsk,23-Aug-16,1.67,1.71,1.66,1.70,39424
alsk,24-Aug-16,1.70,1.71,1.67,1.67,14086
alsk,25-Aug-16,1.67,1.72,1.66,1.70,57176
alsk,26-Aug-16,1.72,1.72,1.67,1.67,12120
alsk,29-Aug-16,1.71,1.72,1.69,1.71,77424
alsk,30-Aug-16,1.70,1.72,1.69,1.69,46385
alsk,31-Aug-16,1.70,1.72,1.68,1.68,36843
alsk,1-Sep-16,1.69,1.72,1.68,1.70,42552
alsk,2-Sep-16,1.70,1.76,1.70,1.73,174669
alsk,6-Sep-16,1.76,1.85,1.73,1.78,149569
alsk,7-Sep-16,1.78,1.82,1.78,1.78,86508
alsk,8-Sep-16,1.80,1.80,1.70,1.73,134115
alsk,9-Sep-16,1.72,1.76,1.69,1.69,53486
alsk,12-Sep-16,1.70,1.75,1.70,1.70,54382
alsk,13-Sep-16,1.76,1.76,1.68,1.70,34275
alsk,14-Sep-16,1.74,1.74,1.68,1.69,87281
alsk,15-Sep-16,1.70,1.73,1.68,1.69,20360
alsk,16-Sep-16,1.68,1.70,1.68,1.69,108004
alsk,19-Sep-16,1.66,1.71,1.65,1.68,50369
alsk,20-Sep-16,1.68,1.70,1.67,1.67,22074
alsk,21-Sep-16,1.70,1.72,1.67,1.69,51735
alsk,22-Sep-16,1.70,1.70,1.68,1.69,45695
alsk,23-Sep-16,1.69,1.78,1.68,1.75,243804
alsk,26-Sep-16,1.71,1.74,1.68,1.69,66381
alsk,27-Sep-16,1.68,1.70,1.67,1.69,28550
alsk,28-Sep-16,1.68,1.71,1.68,1.68,96397
alsk,29-Sep-16,1.68,1.74,1.68,1.70,149702
alsk,30-Sep-16,1.70,1.75,1.70,1.72,26598
alsk,3-Oct-16,1.74,1.74,1.72,1.73,73250
alsk,4-Oct-16,1.72,1.80,1.72,1.75,51855
alsk,5-Oct-16,1.75,1.78,1.71,1.75,31880
alsk,6-Oct-16,1.77,1.77,1.70,1.72,49698
alsk,7-Oct-16,1.74,1.74,1.68,1.72,21768
alsk,10-Oct-16,1.71,1.72,1.70,1.71,30988
alsk,11-Oct-16,1.69,1.70,1.69,1.69,24447
alsk,12-Oct-16,1.70,1.71,1.69,1.69,15932
alsk,13-Oct-16,1.68,1.71,1.68,1.68,49694
alsk,14-Oct-16,1.68,1.71,1.68,1.70,33452
alsk,17-Oct-16,1.69,1.70,1.68,1.69,16673
alsk,18-Oct-16,1.69,1.70,1.68,1.68,24883
alsk,19-Oct-16,1.68,1.70,1.68,1.68,31280
alsk,20-Oct-16,1.70,1.71,1.68,1.70,114605
alsk,21-Oct-16,1.69,1.70,1.65,1.67,28491
alsk,24-Oct-16,1.66,1.69,1.64,1.64,83884
alsk,25-Oct-16,1.66,1.66,1.64,1.65,36619
alsk,26-Oct-16,1.64,1.66,1.63,1.64,41674
alsk,27-Oct-16,1.66,1.66,1.62,1.62,34873
alsk,28-Oct-16,1.60,1.62,1.59,1.59,63517
alsk,31-Oct-16,1.58,1.63,1.58,1.61,59054
