Date,Open,High,Low,Close,Volume
31-Mar-17,1.85,1.85,1.81,1.85,42800
30-Mar-17,1.85,1.90,1.84,1.85,61365
29-Mar-17,1.82,1.87,1.81,1.84,35032
28-Mar-17,1.86,1.86,1.83,1.83,33474
27-Mar-17,1.83,1.89,1.81,1.86,49035
24-Mar-17,1.89,1.90,1.82,1.85,46648
23-Mar-17,1.86,1.89,1.85,1.88,61388
22-Mar-17,1.87,1.94,1.85,1.87,72372
21-Mar-17,1.92,1.96,1.85,1.85,292484
20-Mar-17,1.81,1.96,1.81,1.95,312387
17-Mar-17,1.79,1.83,1.79,1.81,54128
16-Mar-17,1.80,1.86,1.78,1.80,97686
15-Mar-17,1.79,1.86,1.76,1.83,244903
14-Mar-17,1.68,1.80,1.65,1.76,304265
13-Mar-17,1.62,1.64,1.60,1.64,59143
10-Mar-17,1.65,1.67,1.61,1.62,38348
9-Mar-17,1.63,1.68,1.60,1.68,108607
8-Mar-17,1.64,1.66,1.63,1.64,65809
7-Mar-17,1.67,1.68,1.64,1.64,34006
6-Mar-17,1.65,1.68,1.65,1.68,114893
3-Mar-17,1.69,1.69,1.67,1.67,49044
2-Mar-17,1.69,1.74,1.67,1.70,126301
1-Mar-17,1.67,1.69,1.66,1.67,41758
28-Feb-17,1.67,1.69,1.66,1.67,65512
27-Feb-17,1.64,1.70,1.64,1.69,43486
24-Feb-17,1.64,1.65,1.63,1.65,48394
23-Feb-17,1.65,1.67,1.65,1.65,51549
22-Feb-17,1.66,1.68,1.65,1.66,24035
21-Feb-17,1.69,1.70,1.66,1.68,39190
17-Feb-17,1.67,1.69,1.65,1.69,68653
16-Feb-17,1.68,1.69,1.66,1.66,33908
15-Feb-17,1.70,1.72,1.67,1.68,65890
14-Feb-17,1.69,1.72,1.69,1.70,28574
13-Feb-17,1.63,1.74,1.63,1.70,237080
10-Feb-17,1.64,1.68,1.63,1.64,27678
9-Feb-17,1.64,1.68,1.63,1.64,87522
8-Feb-17,1.63,1.66,1.63,1.65,54515
7-Feb-17,1.65,1.66,1.65,1.65,50453
6-Feb-17,1.68,1.68,1.65,1.65,124073
3-Feb-17,1.66,1.68,1.65,1.66,45584
2-Feb-17,1.66,1.68,1.65,1.67,60454
1-Feb-17,1.68,1.69,1.66,1.68,49886
31-Jan-17,1.65,1.67,1.65,1.67,56231
30-Jan-17,1.66,1.68,1.65,1.65,39795
27-Jan-17,1.66,1.70,1.65,1.67,40509
26-Jan-17,1.66,1.70,1.66,1.67,36446
25-Jan-17,1.68,1.70,1.66,1.66,88911
24-Jan-17,1.66,1.68,1.65,1.68,29343
23-Jan-17,1.65,1.68,1.65,1.67,54912
20-Jan-17,1.66,1.67,1.66,1.66,29057
19-Jan-17,1.66,1.68,1.66,1.66,33094
18-Jan-17,1.67,1.68,1.65,1.66,26529
17-Jan-17,1.68,1.70,1.65,1.65,65013
13-Jan-17,1.69,1.70,1.66,1.66,36887
12-Jan-17,1.72,1.73,1.66,1.68,71464
11-Jan-17,1.72,1.75,1.71,1.72,88655
10-Jan-17,1.71,1.72,1.71,1.71,73109
9-Jan-17,1.69,1.72,1.68,1.70,95986
6-Jan-17,1.65,1.69,1.65,1.69,92733
5-Jan-17,1.65,1.67,1.65,1.65,46202
4-Jan-17,1.63,1.67,1.61,1.65,117804
3-Jan-17,1.62,1.65,1.62,1.64,42899
30-Dec-16,1.65,1.65,1.60,1.64,116725
29-Dec-16,1.62,1.66,1.62,1.65,100923
28-Dec-16,1.63,1.66,1.60,1.65,197116
27-Dec-16,1.61,1.66,1.59,1.62,160798
23-Dec-16,1.60,1.64,1.59,1.64,100321
22-Dec-16,1.62,1.64,1.60,1.61,26236
21-Dec-16,1.62,1.66,1.60,1.64,103324
20-Dec-16,1.59,1.66,1.57,1.63,136810
19-Dec-16,1.61,1.63,1.58,1.60,80395
16-Dec-16,1.61,1.63,1.58,1.60,76777
15-Dec-16,1.59,1.61,1.55,1.61,66335
14-Dec-16,1.60,1.63,1.58,1.61,78918
13-Dec-16,1.60,1.65,1.60,1.63,109973
12-Dec-16,1.62,1.62,1.60,1.61,52258
9-Dec-16,1.57,1.61,1.55,1.61,228632
8-Dec-16,1.54,1.60,1.54,1.58,151126
7-Dec-16,1.55,1.60,1.53,1.55,167400
6-Dec-16,1.50,1.60,1.50,1.55,181399
5-Dec-16,1.57,1.58,1.50,1.51,131194
2-Dec-16,1.54,1.57,1.54,1.57,77539
1-Dec-16,1.53,1.60,1.52,1.55,138262
30-Nov-16,1.52,1.56,1.52,1.52,93978
29-Nov-16,1.53,1.59,1.52,1.55,57559
28-Nov-16,1.60,1.60,1.50,1.55,136372
25-Nov-16,1.55,1.60,1.55,1.59,18043
23-Nov-16,1.57,1.61,1.55,1.56,80787
22-Nov-16,1.57,1.60,1.57,1.60,53707
21-Nov-16,1.58,1.63,1.56,1.57,113399
18-Nov-16,1.63,1.66,1.58,1.58,42082
17-Nov-16,1.66,1.69,1.61,1.65,78718
16-Nov-16,1.68,1.70,1.67,1.67,22175
15-Nov-16,1.67,1.70,1.65,1.68,55758
14-Nov-16,1.70,1.71,1.66,1.69,59829
11-Nov-16,1.62,1.70,1.62,1.69,44874
10-Nov-16,1.62,1.66,1.62,1.66,44019
9-Nov-16,1.60,1.65,1.60,1.62,123350
8-Nov-16,1.59,1.66,1.59,1.65,24820
7-Nov-16,1.58,1.65,1.55,1.60,128030
4-Nov-16,1.67,1.71,1.56,1.59,109401
3-Nov-16,1.65,1.72,1.63,1.70,160977
2-Nov-16,1.52,1.65,1.51,1.63,82104
1-Nov-16,1.58,1.64,1.49,1.50,224591
31-Oct-16,1.58,1.63,1.58,1.61,59054
28-Oct-16,1.60,1.62,1.59,1.59,63517
27-Oct-16,1.66,1.66,1.62,1.62,34873
26-Oct-16,1.64,1.66,1.63,1.64,41674
25-Oct-16,1.66,1.66,1.64,1.65,36619
24-Oct-16,1.66,1.69,1.64,1.64,83884
21-Oct-16,1.69,1.70,1.65,1.67,28491
20-Oct-16,1.70,1.71,1.68,1.70,114605
19-Oct-16,1.68,1.70,1.68,1.68,31280
18-Oct-16,1.69,1.70,1.68,1.68,24883
17-Oct-16,1.69,1.70,1.68,1.69,16673
14-Oct-16,1.68,1.71,1.68,1.70,33452
13-Oct-16,1.68,1.71,1.68,1.68,49694
12-Oct-16,1.70,1.71,1.69,1.69,15932
11-Oct-16,1.69,1.70,1.69,1.69,24447
10-Oct-16,1.71,1.72,1.70,1.71,30988
7-Oct-16,1.74,1.74,1.68,1.72,21768
6-Oct-16,1.77,1.77,1.70,1.72,49698
5-Oct-16,1.75,1.78,1.71,1.75,31880
4-Oct-16,1.72,1.80,1.72,1.75,51855
3-Oct-16,1.74,1.74,1.72,1.73,73250
30-Sep-16,1.70,1.75,1.70,1.72,26598
29-Sep-16,1.68,1.74,1.68,1.70,149702
28-Sep-16,1.68,1.71,1.68,1.68,96397
27-Sep-16,1.68,1.70,1.67,1.69,28550
26-Sep-16,1.71,1.74,1.68,1.69,66381
23-Sep-16,1.69,1.78,1.68,1.75,243804
22-Sep-16,1.70,1.70,1.68,1.69,45695
21-Sep-16,1.70,1.72,1.67,1.69,51735
20-Sep-16,1.68,1.70,1.67,1.67,22074
19-Sep-16,1.66,1.71,1.65,1.68,50369
16-Sep-16,1.68,1.70,1.68,1.69,108004
15-Sep-16,1.70,1.73,1.68,1.69,20360
14-Sep-16,1.74,1.74,1.68,1.69,87281
13-Sep-16,1.76,1.76,1.68,1.70,34275
12-Sep-16,1.70,1.75,1.70,1.70,54382
9-Sep-16,1.72,1.76,1.69,1.69,53486
8-Sep-16,1.80,1.80,1.70,1.73,134115
7-Sep-16,1.78,1.82,1.78,1.78,86508
6-Sep-16,1.76,1.85,1.73,1.78,149569
2-Sep-16,1.70,1.76,1.70,1.73,174669
1-Sep-16,1.69,1.72,1.68,1.70,42552
31-Aug-16,1.70,1.72,1.68,1.68,36843
30-Aug-16,1.70,1.72,1.69,1.69,46385
29-Aug-16,1.71,1.72,1.69,1.71,77424
26-Aug-16,1.72,1.72,1.67,1.67,12120
25-Aug-16,1.67,1.72,1.66,1.70,57176
24-Aug-16,1.70,1.71,1.67,1.67,14086
23-Aug-16,1.67,1.71,1.66,1.70,39424
22-Aug-16,1.68,1.70,1.66,1.66,57646
19-Aug-16,1.68,1.71,1.68,1.68,32569
18-Aug-16,1.70,1.73,1.69,1.70,44793
17-Aug-16,1.71,1.72,1.68,1.71,57631
16-Aug-16,1.72,1.73,1.70,1.71,45991
15-Aug-16,1.71,1.74,1.71,1.71,79786
12-Aug-16,1.70,1.71,1.67,1.70,64813
11-Aug-16,1.68,1.72,1.67,1.70,82481
10-Aug-16,1.68,1.71,1.67,1.69,83787
9-Aug-16,1.67,1.70,1.67,1.69,118486
8-Aug-16,1.71,1.72,1.67,1.68,100237
5-Aug-16,1.72,1.75,1.68,1.72,224771
4-Aug-16,1.69,1.71,1.66,1.70,105610
3-Aug-16,1.65,1.69,1.65,1.68,34602
2-Aug-16,1.65,1.68,1.64,1.65,94079
1-Aug-16,1.68,1.70,1.66,1.67,30223
29-Jul-16,1.68,1.70,1.65,1.66,83196
28-Jul-16,1.66,1.69,1.64,1.68,73326
27-Jul-16,1.64,1.68,1.64,1.64,74382
26-Jul-16,1.65,1.66,1.64,1.64,67589
25-Jul-16,1.68,1.70,1.65,1.65,64114
22-Jul-16,1.69,1.72,1.68,1.68,23090
21-Jul-16,1.68,1.72,1.67,1.68,26534
20-Jul-16,1.69,1.73,1.67,1.68,62514
19-Jul-16,1.68,1.74,1.68,1.70,66401
18-Jul-16,1.69,1.74,1.65,1.69,105440
15-Jul-16,1.69,1.73,1.69,1.70,81512
14-Jul-16,1.68,1.71,1.65,1.70,62973
13-Jul-16,1.69,1.72,1.69,1.70,32514
12-Jul-16,1.67,1.71,1.67,1.70,51121
11-Jul-16,1.68,1.70,1.65,1.68,95204
8-Jul-16,1.69,1.71,1.68,1.70,24088
7-Jul-16,1.66,1.73,1.66,1.68,33891
6-Jul-16,1.67,1.73,1.65,1.67,66135
5-Jul-16,1.67,1.73,1.67,1.69,37268
1-Jul-16,1.71,1.73,1.65,1.71,79219
30-Jun-16,1.68,1.72,1.66,1.70,73881
29-Jun-16,1.68,1.72,1.67,1.68,39675
28-Jun-16,1.68,1.71,1.67,1.67,12162
27-Jun-16,1.69,1.71,1.64,1.66,46985
24-Jun-16,1.70,1.71,1.66,1.68,25337
23-Jun-16,1.67,1.72,1.66,1.69,42940
22-Jun-16,1.69,1.69,1.65,1.65,75689
21-Jun-16,1.66,1.70,1.66,1.66,59796
20-Jun-16,1.66,1.71,1.66,1.66,126131
17-Jun-16,1.67,1.71,1.66,1.66,65824
16-Jun-16,1.72,1.74,1.69,1.69,51827
15-Jun-16,1.71,1.75,1.70,1.73,22967
14-Jun-16,1.74,1.76,1.70,1.70,91712
