Date,Open,High,Low,Close,Volume
31-Mar-17,71.06,71.37,69.93,70.42,71150
30-Mar-17,71.31,72.47,70.44,71.15,52524
29-Mar-17,71.14,71.50,70.62,71.35,20039
28-Mar-17,70.36,74.66,70.19,71.65,40528
27-Mar-17,70.95,71.75,70.58,70.92,40957
24-Mar-17,71.81,72.89,71.26,71.98,51546
23-Mar-17,70.00,72.53,70.00,71.82,44164
22-Mar-17,71.73,72.81,70.21,71.37,52928
21-Mar-17,73.78,73.78,71.88,72.05,39495
20-Mar-17,73.99,74.96,72.72,73.49,46178
17-Mar-17,72.32,74.11,69.90,73.93,230054
16-Mar-17,72.62,73.00,71.51,72.57,44380
15-Mar-17,71.53,73.28,71.29,72.38,51821
14-Mar-17,70.86,72.58,70.38,71.47,47950
13-Mar-17,68.85,71.55,68.85,71.33,53282
10-Mar-17,69.24,69.46,68.01,69.12,37490
9-Mar-17,68.00,69.79,68.00,68.51,50209
8-Mar-17,68.80,68.81,66.93,68.30,60587
7-Mar-17,68.21,69.50,67.86,68.55,55415
6-Mar-17,66.47,68.68,66.05,68.30,79158
3-Mar-17,67.91,68.10,66.59,66.71,53289
2-Mar-17,70.23,70.54,68.03,68.28,49971
1-Mar-17,69.24,70.94,68.84,70.21,75770
28-Feb-17,72.73,73.00,68.08,68.39,136953
27-Feb-17,68.42,73.80,67.46,73.13,216408
24-Feb-17,75.50,75.98,68.01,68.02,108592
23-Feb-17,80.15,81.85,75.93,76.20,86252
22-Feb-17,81.40,82.59,81.11,81.67,103815
21-Feb-17,81.38,81.51,80.75,81.26,98390
17-Feb-17,81.28,81.55,80.51,80.75,114818
16-Feb-17,79.04,81.23,79.04,81.10,83062
15-Feb-17,79.06,79.75,78.62,79.34,44577
14-Feb-17,79.25,79.71,77.68,79.44,53643
13-Feb-17,79.60,79.90,78.81,79.50,44795
10-Feb-17,77.70,79.56,74.51,79.33,48096
9-Feb-17,75.77,77.86,75.77,77.30,34059
8-Feb-17,76.54,76.71,75.54,76.21,38603
7-Feb-17,75.95,77.01,75.31,76.81,50511
6-Feb-17,78.52,78.52,75.98,76.38,34929
3-Feb-17,77.33,78.72,77.06,78.52,38520
2-Feb-17,76.17,77.35,75.59,77.08,64209
1-Feb-17,80.77,81.19,74.45,76.27,109317
31-Jan-17,79.23,80.73,79.23,80.29,70677
30-Jan-17,79.72,80.11,78.56,79.29,51257
27-Jan-17,78.80,80.28,78.74,80.23,35617
26-Jan-17,79.72,79.75,78.83,79.41,26430
25-Jan-17,80.79,80.79,79.67,79.91,37610
24-Jan-17,80.30,80.90,79.10,80.28,43770
23-Jan-17,80.05,80.30,79.22,80.19,27573
20-Jan-17,78.88,80.57,78.88,80.05,43882
19-Jan-17,79.87,79.87,77.95,79.10,62798
18-Jan-17,81.81,81.81,79.39,79.87,59044
17-Jan-17,82.23,82.23,80.60,81.56,46681
13-Jan-17,82.36,82.36,79.96,82.12,38218
12-Jan-17,81.79,82.58,79.98,81.95,54344
11-Jan-17,81.50,82.51,80.89,81.98,42378
10-Jan-17,81.36,82.21,81.23,82.20,30055
9-Jan-17,82.37,82.60,81.19,81.85,45154
6-Jan-17,84.98,84.98,82.31,82.38,36387
5-Jan-17,85.22,86.61,83.93,84.94,56020
4-Jan-17,84.00,85.76,83.20,85.02,68840
3-Jan-17,80.22,87.82,80.15,83.79,118740
30-Dec-16,81.16,81.26,79.48,80.13,52886
29-Dec-16,80.83,81.87,80.25,81.56,34145
28-Dec-16,83.54,84.29,80.15,80.95,59744
27-Dec-16,81.62,84.07,81.62,83.34,52892
23-Dec-16,78.70,82.11,78.49,81.89,58042
22-Dec-16,79.60,79.63,78.61,78.78,29379
21-Dec-16,79.49,80.97,79.37,79.50,40916
20-Dec-16,78.96,79.84,78.15,79.66,32977
19-Dec-16,77.63,78.91,77.10,78.72,60036
16-Dec-16,78.21,78.24,77.07,77.41,283635
15-Dec-16,77.03,78.54,77.00,77.88,58223
14-Dec-16,78.81,79.44,76.73,77.12,47193
13-Dec-16,79.00,79.48,78.27,78.64,58833
12-Dec-16,78.59,78.78,77.94,78.78,55925
9-Dec-16,77.11,78.62,76.97,78.52,41076
8-Dec-16,76.90,77.30,76.38,77.20,51842
7-Dec-16,75.01,77.80,74.50,76.83,51099
6-Dec-16,74.74,75.35,74.18,75.25,38642
5-Dec-16,73.14,74.64,72.21,74.58,45907
2-Dec-16,72.33,73.97,72.33,72.72,39548
1-Dec-16,72.39,73.86,72.31,72.58,53405
30-Nov-16,74.25,74.25,72.19,72.31,58157
29-Nov-16,75.19,76.10,73.71,74.02,52894
