Date,Open,High,Low,Close,Volume
31-Mar-17,42.95,43.40,42.80,43.05,293356
30-Mar-17,42.95,43.20,42.55,43.05,197087
29-Mar-17,42.10,42.95,42.10,42.95,166467
28-Mar-17,41.85,42.35,41.60,42.30,193930
27-Mar-17,41.80,42.20,41.20,42.00,207086
24-Mar-17,42.30,42.95,41.95,42.40,257866
23-Mar-17,42.30,42.50,41.85,41.85,155322
22-Mar-17,42.60,42.80,41.65,42.35,247151
21-Mar-17,43.25,43.70,42.60,42.60,306348
20-Mar-17,42.15,43.25,41.90,42.95,509991
17-Mar-17,41.75,42.20,41.25,42.15,670721
16-Mar-17,41.90,42.10,41.50,41.80,210390
15-Mar-17,40.90,41.90,40.90,41.68,403752
14-Mar-17,40.85,40.95,39.65,40.65,419569
13-Mar-17,40.10,40.75,40.10,40.65,200434
10-Mar-17,39.75,40.55,39.75,40.15,241700
9-Mar-17,38.85,39.65,38.85,39.55,299393
8-Mar-17,39.15,39.25,38.50,38.90,318243
7-Mar-17,39.80,39.90,39.00,39.45,378751
6-Mar-17,40.15,40.45,39.50,39.90,307393
3-Mar-17,40.95,41.25,40.35,40.35,300012
2-Mar-17,42.00,42.15,41.00,41.15,406168
1-Mar-17,41.70,42.65,41.25,42.25,425040
28-Feb-17,42.45,42.70,41.40,41.45,323676
27-Feb-17,42.50,42.75,42.25,42.40,393490
24-Feb-17,41.85,43.70,41.85,42.55,626112
23-Feb-17,42.55,44.40,41.65,42.25,739535
22-Feb-17,42.80,43.35,42.25,42.45,514853
21-Feb-17,42.20,42.80,41.85,42.78,368271
17-Feb-17,42.00,42.20,41.20,42.10,266967
16-Feb-17,41.85,42.15,41.30,41.85,228066
15-Feb-17,41.40,42.15,41.00,41.90,227854
14-Feb-17,41.40,41.55,41.00,41.50,153647
13-Feb-17,41.60,41.80,41.35,41.50,140691
10-Feb-17,41.50,41.85,41.10,41.50,138096
9-Feb-17,41.10,41.60,40.95,41.50,146833
8-Feb-17,41.45,41.65,40.95,41.00,358060
7-Feb-17,41.65,41.65,41.15,41.45,242556
6-Feb-17,42.10,42.10,41.15,41.60,174390
3-Feb-17,41.95,42.35,41.90,42.05,234097
2-Feb-17,41.30,41.80,40.95,41.65,267328
1-Feb-17,42.15,42.50,41.00,41.30,272942
31-Jan-17,41.65,42.25,41.55,41.80,221384
30-Jan-17,42.00,42.15,41.50,41.80,251715
27-Jan-17,42.10,42.25,41.58,42.15,239054
26-Jan-17,41.55,42.10,41.35,41.80,197778
25-Jan-17,41.90,42.00,41.20,41.50,167822
24-Jan-17,41.60,41.85,40.95,41.65,232459
23-Jan-17,41.65,41.75,41.20,41.55,210463
20-Jan-17,41.80,42.40,41.60,41.75,519182
19-Jan-17,42.20,42.20,41.25,41.65,353153
18-Jan-17,42.35,42.60,42.05,42.15,196302
17-Jan-17,41.75,42.30,41.35,42.15,269631
13-Jan-17,41.90,42.85,41.82,41.90,318611
12-Jan-17,41.35,41.48,40.95,41.40,339865
11-Jan-17,41.45,41.75,41.30,41.40,202658
10-Jan-17,41.55,41.75,41.25,41.50,156731
9-Jan-17,41.70,41.70,41.25,41.45,263975
6-Jan-17,42.00,42.00,41.45,41.65,260941
5-Jan-17,42.30,42.50,41.75,41.90,507292
4-Jan-17,41.90,42.75,41.90,42.40,382997
3-Jan-17,41.65,41.90,41.15,41.85,426578
30-Dec-16,41.50,41.55,40.98,41.35,246917
29-Dec-16,41.35,41.50,41.05,41.40,287676
28-Dec-16,41.80,42.00,41.20,41.35,171090
27-Dec-16,42.20,42.20,41.45,41.65,361088
23-Dec-16,41.60,42.20,41.60,42.05,147880
22-Dec-16,42.25,42.25,41.05,41.70,225116
21-Dec-16,41.75,42.35,41.70,42.20,343703
20-Dec-16,41.65,42.05,41.20,41.75,316949
19-Dec-16,41.40,42.05,41.18,41.55,349778
16-Dec-16,42.10,42.10,40.90,41.20,2109151
15-Dec-16,41.25,42.05,40.95,42.00,562174
14-Dec-16,40.90,41.45,40.75,41.10,655295
13-Dec-16,41.05,41.50,40.10,40.95,571701
12-Dec-16,39.65,40.70,39.10,40.40,714857
9-Dec-16,39.35,39.50,39.05,39.10,179462
8-Dec-16,38.55,39.35,37.95,39.15,219878
7-Dec-16,37.50,38.80,37.40,38.65,327237
6-Dec-16,37.40,37.55,36.55,37.45,242672
5-Dec-16,36.15,37.22,35.95,37.20,301668
2-Dec-16,36.40,36.50,35.75,36.15,682573
1-Dec-16,37.50,37.85,36.08,36.30,579179
30-Nov-16,38.55,38.55,37.38,37.45,486347
29-Nov-16,39.00,39.15,38.00,38.25,375896
28-Nov-16,39.10,39.10,38.45,38.85,260398
25-Nov-16,38.55,39.35,38.15,39.10,245695
23-Nov-16,38.50,38.62,38.05,38.40,515836
22-Nov-16,38.70,38.75,38.18,38.50,538466
21-Nov-16,38.65,38.95,38.30,38.50,334738
18-Nov-16,38.65,39.05,37.85,38.60,375309
17-Nov-16,39.50,40.20,38.85,39.00,513400
16-Nov-16,39.05,39.75,38.90,39.35,374871
15-Nov-16,38.70,39.20,38.35,39.05,342133
14-Nov-16,40.15,40.65,38.35,38.45,770770
11-Nov-16,39.40,40.35,39.25,39.75,616249
10-Nov-16,40.40,40.40,38.70,39.35,649717
9-Nov-16,39.50,40.25,38.05,40.20,619803
8-Nov-16,40.15,40.35,39.60,40.20,635437
7-Nov-16,39.05,40.40,38.75,40.30,551819
4-Nov-16,37.15,39.40,37.15,38.50,766975
3-Nov-16,35.00,37.65,34.45,36.90,610420
2-Nov-16,36.40,36.90,34.85,35.15,564233
1-Nov-16,36.80,36.95,36.06,36.35,339375
31-Oct-16,37.15,37.15,36.60,36.90,369527
28-Oct-16,37.34,37.34,36.51,36.89,268393
27-Oct-16,36.27,38.02,35.73,37.16,444077
26-Oct-16,36.25,36.67,35.79,36.05,184845
25-Oct-16,36.68,36.68,36.19,36.24,162961
24-Oct-16,36.59,36.79,36.10,36.67,234680
21-Oct-16,35.47,36.32,35.14,36.29,216923
20-Oct-16,35.60,35.86,35.39,35.78,192196
19-Oct-16,35.57,35.85,35.34,35.60,201684
18-Oct-16,35.27,35.64,35.09,35.45,409682
17-Oct-16,35.08,35.24,34.87,34.96,199584
14-Oct-16,34.94,35.20,34.88,35.04,249129
13-Oct-16,34.77,35.17,34.44,34.94,208641
12-Oct-16,34.36,34.78,34.30,34.77,219763
11-Oct-16,35.34,35.34,34.40,34.44,419609
10-Oct-16,34.92,35.57,34.71,35.41,494358
7-Oct-16,34.47,34.87,34.23,34.67,471724
6-Oct-16,34.75,34.88,34.44,34.53,648700
5-Oct-16,35.17,35.35,34.70,34.75,341943
4-Oct-16,36.01,36.29,34.95,35.31,445521
3-Oct-16,36.78,37.08,35.81,36.10,575434
30-Sep-16,37.12,37.42,36.76,36.81,316220
29-Sep-16,37.36,37.36,36.96,37.09,251026
28-Sep-16,37.11,37.51,37.03,37.35,227534
27-Sep-16,36.93,37.12,36.75,37.10,299030
26-Sep-16,37.06,37.18,35.43,36.83,209642
23-Sep-16,36.83,37.46,36.53,37.13,220210
22-Sep-16,36.61,36.97,35.95,36.95,321906
21-Sep-16,35.95,36.29,35.50,36.24,242480
20-Sep-16,36.85,36.85,35.86,35.92,231124
19-Sep-16,36.00,36.68,35.79,36.56,252994
16-Sep-16,35.66,36.61,35.24,35.85,545812
15-Sep-16,35.32,35.86,35.14,35.65,202723
14-Sep-16,35.25,35.62,35.13,35.26,281559
13-Sep-16,35.89,36.49,35.09,35.33,322462
12-Sep-16,35.56,36.23,35.21,36.22,191904
9-Sep-16,36.44,36.66,35.62,35.63,257061
8-Sep-16,36.63,36.84,36.51,36.70,244366
7-Sep-16,36.09,36.67,36.09,36.64,298108
6-Sep-16,36.17,36.33,36.03,36.18,267718
2-Sep-16,35.49,36.72,35.49,36.16,330445
