Date,Open,High,Low,Close,Volume
31-Mar-17,2.19,2.19,2.12,2.14,69752543
30-Mar-17,2.07,2.18,2.05,2.13,65120329
29-Mar-17,2.00,2.05,1.95,2.02,60162259
28-Mar-17,2.03,2.04,1.96,1.98,60940305
27-Mar-17,2.07,2.09,1.99,2.02,45073115
24-Mar-17,1.93,2.11,1.92,2.09,79709949
23-Mar-17,2.06,2.08,1.93,1.94,72736551
22-Mar-17,2.15,2.23,1.95,2.11,104724144
21-Mar-17,2.41,2.44,2.35,2.36,36629303
20-Mar-17,2.45,2.51,2.39,2.41,39611987
17-Mar-17,2.53,2.54,2.42,2.47,302730225
16-Mar-17,2.41,2.56,2.41,2.51,56061880
15-Mar-17,2.42,2.44,2.31,2.41,68962457
14-Mar-17,2.52,2.52,2.40,2.41,45862468
13-Mar-17,2.56,2.59,2.42,2.53,77756152
10-Mar-17,2.62,2.69,2.61,2.67,44354313
9-Mar-17,2.49,2.63,2.49,2.60,65542785
8-Mar-17,2.62,2.64,2.49,2.49,41880835
7-Mar-17,2.68,2.70,2.57,2.62,70741982
6-Mar-17,2.87,2.90,2.71,2.76,48285180
3-Mar-17,2.85,2.90,2.81,2.87,29156500
2-Mar-17,2.92,2.94,2.78,2.81,57376845
1-Mar-17,2.95,2.95,2.90,2.92,36923081
28-Feb-17,3.08,3.11,2.90,2.93,122442347
27-Feb-17,3.36,3.39,3.28,3.29,33604780
24-Feb-17,3.40,3.42,3.37,3.37,16979422
23-Feb-17,3.38,3.40,3.33,3.39,17554242
22-Feb-17,3.33,3.39,3.31,3.35,18856839
21-Feb-17,3.30,3.33,3.24,3.32,26781513
17-Feb-17,3.29,3.30,3.23,3.29,26123818
16-Feb-17,3.34,3.39,3.26,3.29,24589047
15-Feb-17,3.34,3.35,3.27,3.30,17228799
14-Feb-17,3.28,3.35,3.27,3.34,16321953
13-Feb-17,3.31,3.33,3.26,3.28,21924195
10-Feb-17,3.28,3.32,3.27,3.31,24502162
9-Feb-17,3.31,3.34,3.26,3.28,22779871
8-Feb-17,3.28,3.30,3.25,3.30,17830609
7-Feb-17,3.33,3.35,3.26,3.27,24349685
6-Feb-17,3.44,3.48,3.29,3.33,25789775
3-Feb-17,3.37,3.44,3.37,3.42,15135213
2-Feb-17,3.41,3.42,3.33,3.37,15473497
1-Feb-17,3.44,3.50,3.37,3.41,23635676
31-Jan-17,3.47,3.51,3.44,3.49,16490934
30-Jan-17,3.51,3.53,3.44,3.49,17764013
27-Jan-17,3.51,3.54,3.47,3.54,11022771
26-Jan-17,3.42,3.50,3.42,3.50,11653060
25-Jan-17,3.50,3.52,3.40,3.44,18172669
24-Jan-17,3.57,3.58,3.46,3.47,15746490
23-Jan-17,3.49,3.55,3.45,3.54,10998957
20-Jan-17,3.49,3.53,3.41,3.49,18466670
19-Jan-17,3.52,3.54,3.41,3.48,18516777
18-Jan-17,3.57,3.59,3.51,3.54,8947957
17-Jan-17,3.55,3.57,3.51,3.55,9705351
13-Jan-17,3.53,3.57,3.52,3.54,8055645
12-Jan-17,3.61,3.62,3.50,3.53,17897976
11-Jan-17,3.63,3.70,3.55,3.61,14857436
10-Jan-17,3.69,3.71,3.61,3.63,18370934
9-Jan-17,3.76,3.79,3.62,3.68,32817700
6-Jan-17,3.75,3.82,3.65,3.75,57221236
5-Jan-17,3.69,3.76,3.66,3.73,40953891
4-Jan-17,3.60,3.67,3.58,3.67,24667570
3-Jan-17,3.40,3.60,3.39,3.58,34409722
30-Dec-16,3.38,3.42,3.35,3.38,20400691
29-Dec-16,3.27,3.41,3.27,3.36,15741218
28-Dec-16,3.42,3.44,3.34,3.35,13448849
27-Dec-16,3.42,3.46,3.40,3.42,11289144
23-Dec-16,3.32,3.44,3.32,3.42,12705271
22-Dec-16,3.32,3.42,3.30,3.34,15338020
21-Dec-16,3.47,3.47,3.28,3.29,31544672
20-Dec-16,3.57,3.57,3.43,3.45,16142875
19-Dec-16,3.53,3.59,3.50,3.57,15160317
16-Dec-16,3.50,3.57,3.41,3.56,93389589
15-Dec-16,3.42,3.50,3.40,3.49,12778144
14-Dec-16,3.45,3.50,3.39,3.44,15035423
13-Dec-16,3.39,3.53,3.35,3.45,21984075
12-Dec-16,3.68,3.70,3.47,3.49,28424242
9-Dec-16,3.69,3.72,3.63,3.67,20546897
8-Dec-16,3.65,3.73,3.63,3.70,18816170
7-Dec-16,3.53,3.69,3.53,3.60,22919133
6-Dec-16,3.46,3.53,3.41,3.53,17303514
5-Dec-16,3.51,3.60,3.35,3.42,30097640
2-Dec-16,3.53,3.55,3.46,3.48,14273991
1-Dec-16,3.63,3.68,3.48,3.51,21100413
30-Nov-16,3.67,3.72,3.64,3.65,18109002
29-Nov-16,3.74,3.76,3.66,3.67,12998870
28-Nov-16,3.67,3.78,3.67,3.74,16108410
25-Nov-16,3.63,3.70,3.62,3.69,5704093
23-Nov-16,3.55,3.62,3.55,3.62,10192795
22-Nov-16,3.54,3.60,3.52,3.59,15493882
21-Nov-16,3.47,3.52,3.45,3.51,16942077
18-Nov-16,3.39,3.44,3.35,3.42,12626808
17-Nov-16,3.46,3.48,3.36,3.36,16905902
16-Nov-16,3.30,3.47,3.28,3.43,24529612
15-Nov-16,3.24,3.30,3.22,3.30,13537456
14-Nov-16,3.15,3.24,3.14,3.24,15433915
11-Nov-16,3.15,3.23,3.11,3.18,18806392
10-Nov-16,3.23,3.26,3.15,3.16,21524607
9-Nov-16,3.19,3.22,3.13,3.21,22316579
8-Nov-16,3.25,3.31,3.21,3.24,27615481
7-Nov-16,3.20,3.29,3.16,3.21,30989417
4-Nov-16,3.17,3.24,3.10,3.12,43146021
3-Nov-16,3.42,3.43,3.12,3.13,54916608
2-Nov-16,3.80,3.80,3.38,3.39,85892107
1-Nov-16,4.04,4.07,3.90,3.93,19346358
31-Oct-16,4.05,4.09,4.00,4.02,23321673
28-Oct-16,4.16,4.24,4.03,4.03,20753528
27-Oct-16,4.10,4.26,4.02,4.17,24739312
26-Oct-16,4.11,4.13,4.05,4.09,7884121
25-Oct-16,4.10,4.14,4.07,4.11,8635332
24-Oct-16,4.09,4.12,4.05,4.10,5841085
21-Oct-16,4.06,4.13,4.06,4.07,11225946
20-Oct-16,4.10,4.12,4.04,4.09,10307159
19-Oct-16,4.12,4.13,4.04,4.09,14172616
18-Oct-16,3.95,4.09,3.93,4.08,20453722
17-Oct-16,3.96,3.98,3.88,3.90,11834914
14-Oct-16,4.01,4.04,3.93,3.94,11454823
13-Oct-16,4.00,4.03,3.94,4.00,14406549
12-Oct-16,4.16,4.19,4.01,4.02,12999769
11-Oct-16,4.10,4.19,4.10,4.15,17771021
10-Oct-16,4.25,4.29,4.14,4.15,17634568
7-Oct-16,3.99,4.36,3.94,4.23,73382215
6-Oct-16,4.00,4.03,3.90,3.99,29323009
5-Oct-16,4.07,4.10,4.01,4.03,33544754
4-Oct-16,4.15,4.16,4.03,4.10,27830051
