Date,Open,High,Low,Close,Volume
31-Mar-17,21.45,21.68,20.77,20.80,231999
30-Mar-17,21.40,21.65,21.24,21.52,111345
29-Mar-17,21.12,21.45,21.12,21.35,88986
28-Mar-17,21.15,21.36,20.65,21.23,118827
27-Mar-17,21.11,21.61,20.94,21.12,81463
24-Mar-17,21.64,21.82,21.36,21.53,148105
23-Mar-17,21.38,22.03,21.31,21.57,148491
22-Mar-17,21.86,21.98,21.09,21.38,212649
21-Mar-17,21.54,22.34,21.49,21.78,388339
20-Mar-17,20.71,21.80,20.14,21.58,332555
17-Mar-17,19.64,20.68,19.64,20.64,589454
16-Mar-17,19.07,19.86,19.07,19.73,142441
15-Mar-17,18.87,19.08,18.59,18.95,107541
14-Mar-17,18.77,18.90,18.51,18.79,90329
13-Mar-17,18.31,18.88,18.22,18.83,156049
10-Mar-17,18.48,18.68,18.10,18.27,119801
9-Mar-17,17.72,19.21,17.67,18.59,303894
8-Mar-17,17.98,18.29,17.58,17.71,139957
7-Mar-17,17.89,18.15,17.50,17.96,220266
6-Mar-17,18.43,18.54,17.76,17.87,292119
3-Mar-17,19.11,20.57,18.14,18.51,372284
2-Mar-17,19.94,21.58,18.72,19.40,354177
1-Mar-17,20.31,21.35,19.82,21.15,293822
28-Feb-17,21.56,21.56,19.98,20.15,255517
27-Feb-17,20.95,21.74,20.92,21.66,161351
24-Feb-17,21.18,21.36,20.77,20.96,163800
23-Feb-17,21.11,21.34,20.86,21.20,146155
22-Feb-17,20.52,21.24,20.39,21.12,200727
21-Feb-17,20.00,20.51,19.85,20.47,124721
17-Feb-17,19.57,19.90,19.53,19.88,88359
16-Feb-17,19.50,19.92,19.37,19.56,94819
15-Feb-17,19.80,20.24,19.38,19.58,110614
14-Feb-17,20.21,20.21,19.64,19.89,114237
13-Feb-17,20.70,20.73,20.25,20.33,97524
10-Feb-17,20.40,20.66,20.18,20.64,244060
9-Feb-17,19.85,20.45,19.83,20.41,162092
8-Feb-17,19.20,19.95,19.13,19.89,168410
7-Feb-17,19.24,19.39,19.10,19.21,130750
6-Feb-17,19.53,19.56,19.13,19.15,87015
3-Feb-17,19.24,19.64,19.19,19.61,93072
2-Feb-17,18.81,19.28,18.74,19.16,179659
1-Feb-17,20.26,20.56,18.80,18.97,318081
31-Jan-17,19.93,20.31,19.74,20.12,176544
30-Jan-17,19.82,19.96,19.51,19.93,113388
27-Jan-17,19.85,19.99,19.66,19.92,100483
26-Jan-17,19.71,19.89,19.65,19.84,96741
25-Jan-17,19.89,19.89,19.70,19.77,76989
24-Jan-17,19.92,19.96,19.61,19.83,103768
23-Jan-17,19.85,19.93,19.79,19.89,85435
20-Jan-17,19.72,19.93,19.70,19.81,89122
19-Jan-17,19.89,19.89,19.55,19.67,79503
18-Jan-17,20.29,20.29,19.76,19.80,105895
17-Jan-17,20.20,20.34,19.85,20.18,131752
13-Jan-17,19.90,20.24,19.86,20.20,104768
12-Jan-17,19.94,20.03,19.60,20.01,115085
11-Jan-17,20.09,20.10,19.80,19.99,130128
10-Jan-17,20.30,20.30,19.67,20.17,135604
9-Jan-17,20.15,20.60,20.08,20.22,128001
6-Jan-17,20.98,20.98,20.35,20.39,118111
5-Jan-17,21.32,21.45,20.86,20.89,224212
4-Jan-17,20.41,21.47,20.28,21.44,316967
3-Jan-17,19.54,20.98,19.24,20.51,421611
30-Dec-16,19.37,19.55,19.07,19.45,135641
29-Dec-16,19.10,19.33,19.07,19.28,64241
28-Dec-16,19.10,19.10,18.93,19.03,77025
27-Dec-16,19.06,19.11,18.86,19.03,213831
23-Dec-16,18.91,19.17,18.87,19.03,125938
22-Dec-16,18.67,19.08,18.67,18.90,104768
21-Dec-16,18.65,19.11,18.65,18.75,140131
20-Dec-16,18.50,18.80,18.37,18.78,164809
19-Dec-16,17.89,18.51,17.71,18.48,160226
16-Dec-16,17.68,18.08,17.61,18.02,2846235
15-Dec-16,17.82,18.10,17.47,17.57,162897
14-Dec-16,17.63,17.94,17.45,17.88,232854
13-Dec-16,17.90,18.09,17.56,17.65,420094
12-Dec-16,18.42,18.48,17.65,17.77,220784
9-Dec-16,18.44,18.63,18.37,18.49,233186
8-Dec-16,18.18,18.40,18.09,18.36,165996
7-Dec-16,17.85,18.45,17.80,18.25,166431
6-Dec-16,17.53,18.03,17.53,17.97,249597
5-Dec-16,17.47,17.62,17.25,17.59,203403
2-Dec-16,17.24,17.61,17.23,17.44,302807
1-Dec-16,16.81,17.21,16.65,17.14,265461
30-Nov-16,17.05,17.14,16.81,16.86,174086
29-Nov-16,17.11,17.28,16.79,16.93,130258
28-Nov-16,17.14,17.29,17.03,17.03,140145
25-Nov-16,17.16,17.55,17.14,17.24,96019
23-Nov-16,16.85,17.23,16.57,17.10,129674
22-Nov-16,16.89,17.00,16.73,16.93,211679
21-Nov-16,16.43,16.82,16.43,16.80,146376
18-Nov-16,16.60,16.80,16.45,16.49,234086
17-Nov-16,16.94,17.23,16.54,16.55,186272
16-Nov-16,16.70,16.95,16.49,16.86,103780
15-Nov-16,16.55,17.37,16.55,16.70,75940
14-Nov-16,17.05,17.22,16.69,16.81,161758
11-Nov-16,16.36,17.12,16.34,16.88,214089
10-Nov-16,16.58,16.58,15.08,16.36,223440
9-Nov-16,15.64,16.49,15.52,16.42,167208
8-Nov-16,15.58,15.94,15.35,15.80,92726
7-Nov-16,15.59,15.62,15.25,15.54,122524
4-Nov-16,14.89,15.43,14.89,15.35,159349
3-Nov-16,15.15,15.43,14.40,14.77,155612
2-Nov-16,15.42,15.46,14.63,15.18,217616
1-Nov-16,15.90,15.90,15.37,15.39,123697
31-Oct-16,15.46,15.95,15.22,15.84,164197
28-Oct-16,15.74,15.87,15.46,15.50,84918
27-Oct-16,15.50,15.71,15.26,15.69,101048
26-Oct-16,15.44,15.60,14.30,15.53,106869
25-Oct-16,15.27,15.53,15.08,15.47,100886
24-Oct-16,15.13,15.37,15.10,15.27,107634
21-Oct-16,14.76,15.05,14.42,15.02,60534
20-Oct-16,14.85,14.95,14.73,14.89,91479
19-Oct-16,14.85,15.01,14.81,14.89,100736
18-Oct-16,14.87,15.04,14.56,14.80,128072
17-Oct-16,14.52,14.77,14.52,14.72,87625
14-Oct-16,14.52,14.77,14.52,14.57,86447
13-Oct-16,14.40,14.76,14.22,14.48,145841
12-Oct-16,14.52,14.69,14.46,14.46,66390
11-Oct-16,14.80,14.83,14.47,14.49,61336
10-Oct-16,14.58,14.88,14.49,14.80,83159
7-Oct-16,14.64,14.98,14.30,14.56,90740
6-Oct-16,14.90,14.90,14.41,14.50,102674
5-Oct-16,14.31,14.80,14.30,14.80,218358
4-Oct-16,14.20,14.37,14.11,14.36,147963
3-Oct-16,13.76,14.14,13.44,14.13,291961
30-Sep-16,14.05,14.05,13.72,13.75,164249
29-Sep-16,13.81,14.05,13.43,13.98,162965
28-Sep-16,13.74,13.99,13.33,13.91,132275
27-Sep-16,13.24,13.72,13.24,13.70,167351
26-Sep-16,13.32,13.44,12.83,13.30,118768
23-Sep-16,13.16,13.43,13.09,13.41,135136
22-Sep-16,13.40,13.50,13.18,13.29,253569
21-Sep-16,13.48,13.53,13.02,13.35,179701
20-Sep-16,13.51,13.64,13.41,13.43,101047
19-Sep-16,13.66,13.72,13.44,13.49,159034
16-Sep-16,13.58,13.71,13.38,13.67,931643
15-Sep-16,13.26,13.70,13.09,13.57,258417
14-Sep-16,13.47,13.58,13.13,13.28,146340
13-Sep-16,13.38,13.64,13.26,13.48,194236
12-Sep-16,12.97,13.61,12.53,13.54,319460
9-Sep-16,13.49,13.55,13.07,13.07,176039
8-Sep-16,13.80,13.82,13.53,13.62,153648
7-Sep-16,13.51,13.77,13.39,13.77,256054
6-Sep-16,13.64,13.73,13.45,13.55,147639
2-Sep-16,13.82,13.87,13.52,13.58,108513
1-Sep-16,13.80,14.00,13.67,13.70,293187
31-Aug-16,13.92,13.94,13.52,13.90,696644
30-Aug-16,13.83,13.98,13.73,13.88,165465
29-Aug-16,13.63,13.95,13.50,13.88,302202
26-Aug-16,13.32,13.69,13.27,13.66,290119
25-Aug-16,12.85,13.42,12.82,13.36,340423
24-Aug-16,12.54,13.12,12.39,12.82,451267
23-Aug-16,12.53,12.86,12.50,12.59,135133
22-Aug-16,12.59,12.59,12.40,12.50,129937
19-Aug-16,12.48,12.62,12.37,12.61,179390
18-Aug-16,12.49,12.56,12.44,12.53,117135
17-Aug-16,12.48,12.74,12.26,12.45,133519
16-Aug-16,12.69,12.99,12.41,12.48,145798
15-Aug-16,12.89,13.03,12.69,12.69,125767
12-Aug-16,13.25,13.34,12.82,12.89,163108
11-Aug-16,13.37,13.76,13.25,13.25,168957
10-Aug-16,13.85,13.86,13.29,13.35,141051
9-Aug-16,13.57,13.84,13.45,13.83,350332
8-Aug-16,13.64,13.68,13.38,13.57,181890
5-Aug-16,13.79,13.87,13.60,13.63,204662
4-Aug-16,14.12,14.82,13.54,13.70,271853
3-Aug-16,14.46,14.83,13.91,14.05,203124
2-Aug-16,15.17,15.17,14.46,14.63,149105
1-Aug-16,15.32,15.32,15.01,15.13,94505
29-Jul-16,15.16,15.41,15.09,15.39,153514
28-Jul-16,15.64,15.65,15.10,15.19,77886
27-Jul-16,15.57,15.75,15.14,15.72,112976
26-Jul-16,15.72,15.89,15.32,15.52,62779
25-Jul-16,16.18,16.18,15.08,15.76,53813
22-Jul-16,15.08,16.21,15.08,16.17,134173
21-Jul-16,15.78,15.83,14.95,15.08,301551
20-Jul-16,16.04,16.32,15.50,15.79,49595
19-Jul-16,16.15,16.18,15.93,15.97,85445
18-Jul-16,16.42,16.43,16.03,16.21,93871
15-Jul-16,16.63,16.93,16.33,16.42,127547
14-Jul-16,16.99,17.01,16.42,16.56,163309
13-Jul-16,16.83,17.25,16.62,16.96,148651
12-Jul-16,16.72,16.90,16.54,16.71,142373
11-Jul-16,16.50,16.76,16.28,16.71,298338
8-Jul-16,16.13,16.47,16.11,16.41,118520
7-Jul-16,15.97,16.08,15.81,16.04,112576
6-Jul-16,15.81,16.20,15.55,15.97,151285
5-Jul-16,15.87,16.17,15.58,15.81,111976
1-Jul-16,15.82,15.96,15.41,15.95,163367
30-Jun-16,15.40,15.81,15.23,15.80,160323
29-Jun-16,15.14,15.41,15.05,15.41,126383
28-Jun-16,15.34,15.53,14.99,15.01,141007
27-Jun-16,15.63,15.63,15.20,15.25,224248
24-Jun-16,15.37,15.77,15.23,15.73,612032
23-Jun-16,15.39,15.87,15.33,15.85,174999
22-Jun-16,15.27,15.39,15.12,15.29,152290
21-Jun-16,15.31,15.34,14.98,15.21,141501
20-Jun-16,14.96,15.41,14.70,15.24,147808
17-Jun-16,15.03,15.03,14.58,14.87,1030906
16-Jun-16,14.85,15.09,14.69,15.08,333581
15-Jun-16,14.81,15.08,14.67,14.92,270164
14-Jun-16,14.69,14.94,14.43,14.80,269820
13-Jun-16,14.29,14.74,14.13,14.67,201705
10-Jun-16,14.27,14.46,14.12,14.28,141588
9-Jun-16,14.75,14.75,14.36,14.44,121697
8-Jun-16,14.82,14.94,14.53,14.75,138451
7-Jun-16,14.56,14.88,14.52,14.87,151724
6-Jun-16,14.67,14.77,14.42,14.51,268363
3-Jun-16,15.03,15.24,14.61,14.69,145789
2-Jun-16,14.80,14.99,14.46,14.98,287057
1-Jun-16,15.44,15.57,14.81,14.84,265528
31-May-16,15.13,15.76,15.01,15.59,710643
27-May-16,15.07,15.24,15.00,15.21,327394
26-May-16,14.96,15.11,14.85,15.03,159241
25-May-16,15.25,15.25,14.84,14.90,181756
24-May-16,15.17,15.40,14.88,15.27,202029
23-May-16,15.05,15.86,15.05,15.20,172831
20-May-16,15.03,15.35,15.03,15.10,187883
19-May-16,15.85,15.90,15.04,15.05,219639
18-May-16,16.14,16.50,15.79,15.92,136023
17-May-16,16.91,17.14,16.12,16.17,145442
16-May-16,17.06,17.14,16.90,16.94,115016
13-May-16,17.25,17.41,17.00,17.02,143163
12-May-16,17.39,17.56,17.30,17.34,160558
11-May-16,17.51,17.66,17.29,17.32,83388
10-May-16,17.41,17.75,17.13,17.50,141323
9-May-16,17.56,17.68,17.20,17.41,201741
6-May-16,17.66,17.77,17.40,17.69,145114
5-May-16,17.80,18.20,17.43,17.77,176392
4-May-16,17.83,18.12,17.66,17.82,93552
3-May-16,17.82,18.25,17.62,17.84,107409
2-May-16,16.98,18.06,16.93,17.98,225533
29-Apr-16,17.20,17.33,16.83,16.90,143666
28-Apr-16,17.25,17.55,17.15,17.24,95143
27-Apr-16,17.27,17.47,17.07,17.39,106080
